აღებაც	აღებ აც
ივლისს	ივლის ს
თანამედროვეთა	თანა მე დროვე თა
პრეზიდენტებს	პრეზიდენტ ებს
აკვირდებოდა	აკვირდ ებო და
უზრუნველყოს	უზრუნველყ ო ს
ფტორიდი	ფტორ იდი
შედეგებს	შედეგ ებს
არსებობენ	არსებობ ენ
ადამიანს	ადამიან ს
კანონების	კანონ ების
განხორციელება	გა ნხორციელებ ა
ინფიცირებული	ინფიცირებ ული
წინამძღვარმა	წინამძღვარ მა
მიკროტალღური	მი კრო ტალღ ური
რეფერენდუმში	რეფერენდუმ ში
შეადგენდეს	შე ადგენ დეს
წთ	წთ
ნიჭიერი	ნიჭიერ ი
ჰამლეტი	ჰამლეტ ი
მოცემულია	მო ცემ ული ა
სახეობებით	სახეობ ებ ით
სეიმი	სეიმ ი
განაცხადი	გან აცხად ი
იუგოსლავია	ი უგოსლავ ია
სტანისლავის	სტანისლავ ის
შეყვარებულები	შე ყვარებულ ები
მოსამართლედ	მო სამართლ ედ
კვალს	კვალ ს
ფრინველია	ფრინველ ია
ერთპიროვნული	ერთპიროვნულ ი
გამოჩნდნენ	გამო ჩნდ ნენ
ობიექტებია	ობიექტ ები ა
ტაივანი	ტაივან ი
სერის	სერი ს
მიზეზს	მიზეზ ს
ბურგუნდიელის	ბურგუნდი ელის
ათწლეულებში	ა თწლეულ ებ ში
ცენზი	ცენზ ი
დარტყმას	და რტყმ ას
შემადგნლობა	შე მა დგნლ ობ ა
აკუსტიკური	აკუსტიკ ური
ბიუროში	ბიურო ში
ცოლის	ცოლ ის
ყარაბაღი	ყარაბაღ ი
საალყო	სა ალყ ო
ბრიტანეთისგან	ბრიტანეთ ის გან
თურქულად	თურქ ულ ად
ნაგები	ნაგებ ი
ევროპის	ევროპ ის
ქალზე	ქალ ზე
სათავადოს	სა თავად ო ს
თაღში	თაღ ში
ჰყვარებია	ჰ ყვარ ები ა
გაიწელა	გა ი წელ ა
მომდინარეობს	მო მდინარეობ ს
წარჩინებული	წარჩინებ ული
ამაღლდა	ამაღლ და
მაგარ	მაგარ
ტოპოგრაფიულ	ტოპოგრაფი ულ
მკვიდრმა	მკვიდრ მა
მწვერვალისკენ	მწვერვალ ისკენ
ეფექტით	ეფექტ ით
მოქმედებამ	მოქმედ ება მ
ჯანმრთელობისა	ჯანმრთელობ ის ა
არისტოკრატის	არისტოკრატ ის
მანაგუა	მანაგუ ა
ილაის	ი ლა ის
პირველმა	პირველ მა
მოსახლის	მო სახლ ის
მოდელმა	მოდელ მა
სვამს	სვამ ს
ხერარდო	ხერარდ ო
შესატყვისად	შე სატყვის ად
მექანიკურ	მექანიკ ურ
მეტიუ	მეტ ი უ
მთავრობების	მთავრობ ების
გარჩევა	გა რჩევ ა
ლოდი	ლოდ ი
სიმრავლეთა	სიმრავლ ეთ ა
სიუჟეტურად	სიუჟეტ ურ ად
ეთიკის	ეთიკ ის
ზოლისაგან	ზოლ ის ა გან
არღუნის	არღუნ ის
ეთერზეთოვანი	ეთერზეთ ოვან ი
მონიტორი	მონიტორ ი
კომიქსებში	კომიქს ებ ში
მაიკოპის	მა ი კოპ ის
ტიფის	ტიფ ის
ალტერნატივას	ალტერნატივ ას
პაუზის	პაუზ ის
გამოიყვანენ	გამო იყვან ენ
დაწერეს	და წერ ეს
ჩინით	ჩინ ით
საკუთრებისა	საკუთრ ების ა
ჩაღრმავებულ	ჩაღრმავ ებულ
ჩჟან	ჩჟ ან
ახორციელებდა	ა ხორციელ ებდა
მეცხვარული	მე ცხვარ ული
სათვისტომოს	სათვისტომ ო ს
დამპყრობლები	და მპყრობლ ები
მგონია	მგონ ი ა
კმაყოფილი	კმაყოფილ ი
ხარჯებით	ხარჯ ებ ით
გაბონის	გა ბონ ის
პატარა	პატარ ა
განივზოლიანი	გა ნივზოლ იან ი
სიამოვნებით	სიამოვნ ებ ით
განსაკუთრებულობა	გა ნსაკუთრებულ ობ ა
გამაგრებულ	გა მაგრ ებულ
ლადენის	ლადენ ის
კერტის	კერტ ის
დაზავდნენ	და ზავ დნენ
კლუბებმა	კლუბ ებ მა
ინდიელებთან	ინდიელ ებთან
შეჰპირდა	შე ჰპირდ ა
ას	ას
სიმშრალის	სი მშრალ ის
რჩევა	რჩევ ა
სერიაც	სერი აც
დანარჩენებმა	და ნარჩენ ებ მა
სპექტრი	სპექტრ ი
მღვდელმა	მღვდელ მა
აღადგინოს	აღადგინ ო ს
აგენტები	აგენტ ები
აბდულ	აბდ ულ
ვერტმფრენის	ვერტმფრენ ის
ფასადზე	ფასად ზე
სტომატოლოგიური	სტომატ ოლოგი ური
ლაბაძის	ლაბაძ ის
რუთ	რუთ
გადაეცემოდა	გადა ეცემ ო და
სამისიონერო	სა მი სიონერ ო
წარმოთქმას	წარმოთქმ ას
კატეგორიები	კატეგორი ები
შვედური	შვედ ური
უცხოა	უცხო ა
ფავორიტად	ფავორიტ ად
გააუქმეს	გა ა უქმ ეს
გასათვალისწინებელია	გა სა თვალისწინებ ელ ი ა
პროცენტულად	პროცენტ ულ ად
ცხოვრების	ცხოვრებ ის
კომპანიისთვის	კომპანი ის თვის
ქართველ	ქართველ
ეკუთვნიან	ეკუთვნ იან
სახეობრივი	სახე ობრივი
დათმეს	და თმ ეს
ნოველათა	ნოველ ათ ა
მოსამართლემ	მო სამართლ ემ
იგულისხმებოდა	იგულისხმ ებო და
გარდასახვა	გარდ ა სახვ ა
ღეროს	ღერო ს
ჩადენსისის	ჩადენ ს ის ის
კლასიცისტური	კლასიც ის ტურ ი
წერს	წერ ს
აღზარდა	აღ ზარ და
ილტოს	ილტ ო ს
იუვემ	იუვე მ
ვცხოვრობთ	ვ ცხოვრობ თ
ფიზიოლოგია	ფიზიოლოგი ა
მართალი	მართალ ი
ტრანსილვანიაში	ტრანს ილვანი აში
ნინული	ნინ ული
რაიონებია	რაიონ ები ა
გაბატონდნენ	გაბატონ დნენ
ვულკანების	ვულკან ების
ფლობს	ფლობ ს
ვაშინგტონ	ვა შინგტონ
თურქმენეთის	თურქმენეთ ის
ხედვა	ხედვ ა
რჩება	რჩ ება
მილანს	მილან ს
ხეობებით	ხეობ ებ ით
დაე	და ე
საგუბერნატოროდან	სა გუბერნატორ ოდან
ქვეყანამ	ქვეყან ამ
მილიონს	მილიონ ს
სიმულატორი	სიმულ ატორ ი
ცხადყო	ცხადყო
კლდოვან	კლდოვან
მეტამორფული	მეტამორფ ული
კვლევისა	კვლევ ის ა
თხზავდა	თხზ ავ და
კვადრატში	კვადრატ ში
მოსამზადებლად	მო სა მზად ებლ ად
შთაბეჭდილება	შთაბეჭდილ ება
მოწმობენ	მოწმ ობენ
ბოლესლავ	ბოლესლავ
ხელში	ხელ შ ი
ჩარჩოებში	ჩარჩო ებ ში
შესწორებული	შესწორ ებ ული
თანამშრომლობამ	თანამშრომლ ობამ
გამოც	გა მოც
მამიდაშვილმა	მა მი და შვილ მა
ასაკისა	ასაკ ის ა
ანსამბლს	ანსამბლ ს
დასდევს	და სდევ ს
გაზი	გაზ ი
ქმნილება	ქმნილებ ა
საკითხის	საკითხ ის
მეამბოხეებმა	მეამბოხ ე ებმა
ნაყოფია	ნაყოფ ია
თუმანიშვილის	თუმან იშვილ ის
სიწმინდეს	სიწმინდ ეს
დისერტაცია	დისერტაც ი ა
იცვლებიან	იცვლ ები ან
ჩინელ	ჩინელ
გლობუსის	გლობუს ის
ეტლს	ეტლ ს
დაქირავების	და ქირავებ ის
მოახსენა	მო ახსენ ა
იმპერატორი	ი მპერატორ ი
მოკრძალებულად	მო კრძალებ ულ ად
სუაჰილის	სუაჰილ ის
ქალაქებიდან	ქალაქ ებ იდან
ჯიშის	ჯიშ ის
კულინარიული	კულინარი ული
მიიტაცა	მი იტაც ა
კარაქის	კარაქ ის
მედიცინა	მე დიცინ ა
პავლემ	პავლ ემ
მცემ	მცემ
მკვეთრი	მკვეთრ ი
მიღებისას	მიღებ ის ას
ამშვენებდა	ამშვენ ებდა
ბორუსია	ბორუს ი ა
მრავლობითი	მრავლ ობ ით ი
მხარეა	მხარე ა
ბოიართა	ბოი ართ ა
ბრაიანის	ბრაიან ის
ძალაუფლებისა	ძალაუფლებ ის ა
კმაყოფილია	კმაყოფილ ი ა
სანაოსნოა	სანაოსნ ო ა
ფიზიკისა	ფიზიკ ის ა
სიერა	სი ერ ა
ნიუკასლ	ნიუკასლ
იმედის	იმედ ის
შენახვა	შე ნახვ ა
მეიერსი	მე იერს ი
სახითაც	სახ ით აც
სოკოებს	სოკო ებს
შუამდე	შუ ამდე
რღვევა	რღვევ ა
მწყემსვა	მ წყემს ვ ა
გადმოხტა	გა დ მო ხტ ა
ჯონსმა	ჯონს მა
ალექსანდრ	ალექსანდრ
ძროხა	ძროხ ა
არიდება	არიდ ება
შეინიშნებოდა	შე ინიშნ ებო და
დანესტიანების	და ნესტიან ების
ბასიანი	ბასიან ი
ფარფლი	ფარფლ ი
მესვეურები	მე სვეურ ები
თემურ	თემურ
წამყვანმა	წამყვან მა
მემამულეთა	მე მამულ ეთ ა
განსამტკიცებლად	გან სა მტკიც ებლ ად
გაემზადა	გა ემზად ა
გადახრას	გადახრ ას
ინდონეზიას	ინდონეზი ა ს
გრეილსის	გრეილ ს ის
ელოდა	ელ ო და
ვალი	ვალ ი
ჯამბაზები	ჯამბაზ ები
გამომცემლობა	გამო მცემლობ ა
ვოს	ვ ო ს
წვა	წვ ა
მისი	მის ი
შემოიყვანა	შე მო იყვან ა
ვადამდელ	ვად ამდელ
ანალურ	ანალ ურ
დაემთავრებინა	და ე მთავრ ები ნა
შავკანიანი	შავკანიან ი
სამკურნალოდ	სა მკურნალ ოდ
თითს	თით ს
ლაითი	ლა ით ი
დათვლის	და თვლ ის
სინდრომს	სინდრომ ს
ვირსალაძე	ვირსალ ა ძე
ტექნიკისა	ტექნიკ ის ა
მწარმოებელთა	მწარმოებელ თა
ფოთლების	ფოთლ ების
ფოსტერის	ფოსტ ერ ის
მალფოის	მალფო ის
მენაპირე	მე ნაპირ ე
კონა	კონ ა
უკნიდან	უკ ნ იდან
სარძევე	სა რძე ვე
დაიმზირება	და ი მზირ ება
შეავსო	შე ავს ო
მისია	მისი ა
ოსმალებს	ოსმალ ებს
შემოიღეს	შე მო იღ ეს
ეროტიული	ეროტ ი ული
გარე	გარე
უზენაესი	უზენაეს ი
გამოკეტა	გამო კეტ ა
უილისი	უილ ის ი
მიემართა	მი ემართ ა
ესწრაფოდა	ე სწრაფ ო და
რეიტინგში	რეიტინგ ში
დაცემა	და ცემ ა
უცვლელი	უცვლელ ი
პტოლემეს	პტოლემე ს
არქიპელაგს	ა რქიპელაგ ს
სოკოების	სოკო ების
პლანტაციის	პლანტაცი ის
ვარჯიში	ვარჯიშ ი
ადაპტაციას	ა და პტაცი ას
ოსლოს	ოსლო ს
დევნილობაში	დევნილ ობ აში
დიდიე	დიდი ე
ვუდი	ვუდ ი
მიუთითა	მი უთით ა
ხელმწიფეს	ხელმწიფ ეს
ჰოფმანის	ჰოფმან ის
დეპოს	დეპ ო ს
გერმანიკული	გერმან იკ ული
ნამუშევრებში	ნა მუშევრ ებ ში
ჩაიკოვსკის	ჩაიკ ოვსკ ის
შეაჩერა	შე აჩერ ა
მარცვლოვანი	მარცვლოვან ი
მორთულ	მო რთულ
მისული	მის ული
უჭირდათ	უჭირ დათ
კიშინიოვის	კიშინი ოვის
ორკესტრისათვის	ორკესტრ ისა თვის
წაგებით	წაგებ ით
ჯეიმზმა	ჯეიმზ მა
ასლით	ასლ ით
ტყვეობას	ტყვეობ ას
ნადირობაზე	ნადირ ობ ა ზე
ორგანიზაციამ	ორგანიზაცი ამ
მკვლელს	მკვლელ ს
უწყობს	უ წყობ ს
შვილისთვის	შვილ ის თვის
გადაკვეთას	გადაკვეთ ას
განურჩევლად	განუ რჩევ ლად
მებრძოლი	მებრძოლ ი
გარეშეც	გარეშე ც
ჩემპიონატში	ჩემპიონატ ში
მსხვერპლნი	მსხვერპლ ნი
მსახიობებს	მ სახიობ ებს
სივრცითი	სივრც ით ი
ოციანი	ოც იან ი
ქარტია	ქარტი ა
ყინულს	ყინულ ს
მოუხმო	მო უხმო
სისხლძარღვების	სი სხლძარღვ ების
ინდექსით	ინდექს ით
პსვ	პსვ
უპირისპირდება	უპირისპირ დ ება
ცნობიდან	ცნობ იდან
შემოდგომაზე	შემოდგომ ა ზე
ნარვის	ნა რვ ის
აჩვენეს	ა ჩვენ ეს
პრიზები	პრიზ ები
წარმატებებს	წარმატებ ებს
შემოგვრჩა	შემოგვ რჩ ა
მარგი	მა რგ ი
გვირგვინები	გვირგვინ ები
ბავშვებისა	ბავშვ ების ა
ოგადენი	ოგადენ ი
ნიმუშებს	ნიმუშ ებს
წინსვლას	წინსვლ ას
სტარმა	სტარ მა
დინასტიის	დინასტი ის
ზომის	ზომ ის
სამართლიანია	სამართლ იან ია
დარიგება	და რიგებ ა
წესზე	წეს ზე
ბუდიზმის	ბუდიზმ ის
ინჟინრებს	ინჟინრ ებს
წარმოიქმნება	წარმოიქმნ ება
ყიფშიძე	ყიფ ში ძე
გვიანდელი	გვიანდელ ი
სამკერვალო	სამკერვალ ო
წარსულში	წარსულ ში
ბიოლოგი	ბიოლოგი
ოქტომბრისათვის	ოქტომბრ ისა თვის
დენვერის	დენვერ ის
კარიმ	კარ იმ
ფიგურირებს	ფიგურირ ებს
შედედების	შე დედ ების
შოპენი	შოპენ ი
თაჩდაუნი	თაჩდაუნ ი
შესწორება	შესწორ ება
მანჰეტენი	მა ნჰეტენ ი
მიმოხილვა	მი მოხილვ ა
უღრანი	უღრან ი
დემოგრაფიულ	დემოგრაფი ულ
მიტროპოლიტის	მი ტროპოლიტ ი ს
მხედრები	მხედრ ები
ბოლოვდებოდა	ბოლოვ დებოდა
მეთოდეს	მეთოდ ეს
მოთხრობამ	მო თხრობ ა მ
წარმოქმნისა	წარმოქმნ ის ა
ფოცხოვის	ფოცხოვ ის
წრიდან	წრ იდან
ესხმოდნენ	ესხმ ოდნენ
ეწყობა	ეწყ ობ ა
ერთეულ	ერთეულ
კახეთს	კახეთ ს
მოსე	მოს ე
შეკეთება	შე კეთებ ა
ანდერძის	ანდერძ ის
ნასახლარი	ნა სახლ არი
ეშვება	ეშვ ება
ძაბრის	ძაბრ ის
ვოლდემორმა	ვოლდემორ მა
ულვეუსი	ულვეუს ი
ავიაციამ	ავიაცი ამ
ივლის	ივლის
დავიდ	და ვიდ
გადაადგილებისას	გადაადგილ ები ს ა ს
ძეგლს	ძეგლ ს
იუსტიციის	იუსტიც ი ის
არქიტრავული	არქიტრავ ული
აივერსონის	აივერსონ ის
ხარისხში	ხარისხ ში
თიბისი	თიბ ის ი
თხოვა	თხოვ ა
რაკეტებით	რაკეტ ებ ით
რეიუნიონის	რეიუნიონ ის
სტავროპოლის	სტავრ ო პოლ ის
ბრიტანეთში	ბრიტანეთ ში
დამსახურებისათვის	და მსახურებ ისა თვის
სილუეტს	სი ლუეტ ს
კრავს	კრავ ს
აშლენდის	აშ ლენდის
გაძარცვა	გა ძარცვ ა
მაჰმადიანთა	მა ჰმადიან თა
შიფრაციის	შიფრ აცი ის
გაერთიანებული	გა ერთიანებულ ი
განთავსებულია	განთავს ებულ ია
საგაზეთო	სა გაზეთ ო
ლანდშაფტის	ლანდშაფტ ის
ხელმძღვანელებს	ხელმძღვანელ ებს
წყაროთი	წყარო თი
საკონტრაქტო	სა კონტრაქტ ო
სალომე	სა ლომ ე
დამალვის	დამალვ ის
ბატონობისგან	ბატონობ ის გან
ბარსელონამ	ბარსელონ ამ
მიედინებიან	მი ედინებ იან
ზამთარს	ზამთარ ს
წინასწარმეტყველური	წინასწარმეტყველ ური
მატერიის	მატერი ის
გაუშვა	გა უშვ ა
სარგებლობის	სარგებლ ობ ის
ულავ	უ ლავ
სიყვარულითა	სი ყვარულ ით ა
სინგლებმა	სინგლ ებ მა
ერთეულებად	ერთეულ ება დ
ფუძემდებლის	ფუძემდებლ ის
ქცევების	ქცევ ების
აერთიანებდნენ	ა ერთიანებ დნენ
აპირებ	აპირებ
ბარსა	ბარს ა
სუონსის	სუონ ს ის
საავტომობილო	სა ავტომობილ ო
ბრალდებები	ბრალდებ ები
კუნთებს	კუნთ ებს
ნერონმა	ნერონ მა
ინტერესთა	ინტერეს თა
გადაცემები	გადაცემ ები
უყურადღებობის	უ ყურადღებ ობ ის
კითხვებზე	კითხვ ებზე
სენეგალის	სენეგალ ის
პირველებმა	პირველ ებ მა
შესვენების	შე სვენებ ის
კატალოგი	კატალოგ ი
თვითმპყრობელობის	თვით მპყრობელ ობ ის
სტუდიამ	სტუდი ამ
იგნორირებული	იგნორირებ ული
მორისეტს	მო რისეტ ს
ჰემმა	ჰემ მა
შეერთებოდნენ	შეერთ ებოდნენ
კვლევათა	კვლევ ათ ა
აჯანყებებს	აჯანყებ ებს
კვართის	კვართ ის
სალამურა	სა ლამურ ა
სრულყოფა	სრულყოფ ა
ხაზზეა	ხაზ ზე ა
დამპყრობლების	და მპყრობლ ების
ბათილად	ბათილ ად
უამბო	უ ამბ ო
ოდნავი	ოდნავ ი
განიხილა	განიხილ ა
შერბილდა	შე რბილ და
სახელობის	სახელ ობ ის
ასტრონომი	ასტრონომ ი
ზურგის	ზურგ ის
რაბინის	რაბინ ის
სასახლეთა	სასახლე თა
გათხოვების	გა თხოვ ების
ბოკასას	ბოკას ას
ამირამ	ამირ ამ
მარიამის	მარიამ ის
განაწილებაზე	გა ნაწილ ება ზე
თვიანი	თვ იან ი
ვებგვერდის	ვებგვერდ ის
მიურატი	მიურატ ი
აკადემიკოსის	ა კადემიკოს ის
დაბალია	დაბალ ია
სპასალარი	სპასალ არი
სახელწოდებები	სა ხელწოდებ ები
დაამტკიცოს	და ამტკიც ო ს
მესინაში	მესინ აში
სადისერტაციო	სა დისერტაც ი ო
აფხაზ	აფხაზ
კინო	კინ ო
პოლიციაში	პოლიცი აში
ფრიდრიხის	ფრიდრიხ ის
თესლის	თესლ ის
ატოლი	ატოლ ი
ისტორიკოსებმა	ისტორიკოს ებ მა
დაკვირვებით	და კვირვებ ით
ნარუტო	ნარუტ ო
გამოყენების	გამო ყენებ ის
გორგიჯანიძე	გორგიჯანიძ ე
დაფუძნებით	დაფუძნ ებ ით
სკორსეზეს	სკორსეზ ეს
მაკედონია	მაკედონი ა
აფსარის	აფსარ ის
რუბლის	რუბ ლ ის
ზოლი	ზოლ ი
ევროატლანტიკურ	ევრო ატლანტიკურ
შეფასებაში	შეფას ება ში
გასტროლებით	გა სტროლებ ით
საკრავების	სა კრავ ების
ფრანგულში	ფრანგულ შ ი
აჯანყებისა	აჯანყებ ის ა
შრომა	შრომ ა
დეკორაციულ	დეკორაცი ულ
აყენებდა	აყენ ებდა
ვანდა	ვანდ ა
პორტუგალიელი	პორტ უ გა ლი ელ ი
აღმსარებელი	აღმსარ ებელ ი
რევოლუციურად	რევოლუცი ურ ად
ექადიის	ე ქად ი ის
გამოიგონა	გამო იგონ ა
მედიჩის	მედიჩ ის
ჩანაწერებისა	ჩანაწერ ების ა
სემინარის	სემინარ ის
წარმოიქმნა	წარმოიქმნ ა
სასიამოვნოა	სა სიამოვნ ო ა
თავისებურებების	თავისებურებ ების
რეპორტიორი	რე პორტ ი ორ ი
ატმოსფეროზე	ატმოსფერ ო ზე
ხედავდა	ხედავ და
მუსიკალური	მუსიკალურ ი
ითავსებს	ი თავს ებს
მტკივნეულია	მტკივნეულ ია
კლასები	კლას ები
შოუებზე	შოუ ებზე
მანძილი	მანძილ ი
რეგიონებიდან	რეგიონ ებ იდან
ჩამოართვეს	ჩამოართვ ეს
პრუტის	პრუტ ის
კოლხური	კოლხ ური
ხარვეზების	ხარვეზ ების
ორმხრივ	ორმხრივ
ყავა	ყავ ა
შემოტევას	შემოტევ ას
შექმნიდა	შექმნ ი და
ალფონს	ალფონს
დიმა	დი მა
ეფრონის	ეფრ ონ ის
შესრულდა	შესრულ და
პრაღაში	პრაღ აში
ენერგეტიკაში	ენერგეტიკ აში
მოხდის	მოხდ ის
ახლით	ახლ ით
რეესტრში	რეესტრ ში
ჩაიწეროს	ჩაიწერ ო ს
ბრძოლისა	ბრძოლ ის ა
ერთეულის	ერთეულ ის
ბუდისტები	ბუდისტ ები
წარმოქმნიან	წარმოქმნ იან
ირწმუნეს	ირწმუნ ეს
დანაკარგის	და ნა კარგ ის
შეიქმნება	შე იქმნ ება
ნომერ	ნომერ
ლაზერული	ლაზერ ული
ნოტები	ნოტ ები
ფორუმები	ფორუმ ები
გადმოიტანეს	გა დ მო იტან ეს
მოეთხოვა	მო ეთხოვ ა
აფსიდს	აფსიდ ს
სიმღერებისგან	სიმღერ ების გან
სტუდენტებისთვის	სტუდენტ ების თვის
შენარჩუნებაზე	შე ნარჩუნ ება ზე
ერთგვარად	ერთგვარ ად
წყლის	წყლ ის
ხმელეთიდან	ხმელეთ იდან
მილიონიანი	მილიონ იან ი
გარდაცვლილა	გა რდაცვლილ ა
პალესტინელი	პალესტინ ელი
დინამო	დინამ ო
იკავებენ	იკავ ებენ
მადრიდის	მადრიდ ის
