გამოსხივება	გამო სხივ ებ ა
წმიდანს	წმიდ ა ნს
საყლაპავი	სა ყლაპა ვი
ფრანცისკო	ფრანც ის კო
წყევლის	წყევლ ის
თრაინ	თ რაინ
მისალმების	მისალმ ების
ნოვიცკი	ნოვიცკ ი
წაყენებული	წა ყენებ ული
სამკაულებს	სამკა ულ ებს
ცვლილებათა	ცვლილებ ა თა
თავად	თავად
შეთანხმდა	შე თანხმ და
ჟორჟი	ჟორ ჟი
პოლმა	პოლ მა
კარლს	კარლ ს
ურთიერთობაზე	ურთიერთობ აზე
შთამომავალს	შთა მო მავალ ს
სერვერიდან	სერვერ იდან
თინათინი	თინათინ ი
მაიკროსოფტმა	მაიკრო სოფტ მა
დაკანონდა	და კანონ და
ანგელოზმა	ა ნგელოზ მა
ფუს	ფუ ს
წუთით	წუთ ით
პაციენტები	პაციენტ ები
პირად	პირ ად
ჯონის	ჯონ ის
ქვაც	ქვა ც
ბესტი	ბესტ ი
სულიერ	ს ულ იერ
წამოწეული	წამო წეულ ი
დიდებულები	დიდებულ ები
ისტორიამ	ის ტორი ამ
რეზონანსი	რეზონან სი
ფრონტონის	ფრონტ ონის
ვარშავა	ვარშავ ა
სანდრა	სა ნდრა
ასპირანტი	ასპირან ტი
ინვალიდის	ინვალიდი ს
ამოღებულ	ამოღ ებულ
გავდა	გავ და
პარკისა	პარკ ისა
სართავი	სა რთავ ი
მშენებარე	მ შენებ არე
ფოტონის	ფოტო ნის
წესი	წეს ი
ხოტბა	ხოტ ბა
ციკლონების	ციკლონ ების
ამინდში	ა მინდ ში
წყლისთვის	წყლ ის თვის
კანტონების	კ ანტონ ების
აზნაურების	ა ზნაურ ების
გოლიათი	გოლ იათ ი
აუხსნელი	ა უხსნ ელი
კენტის	კენტი ს
ვარსკვლავთკარიბჭე	ვარსკვლავ თ კარიბჭე
ბოშების	ბოშ ების
ტიურინგის	ტიურ ინგის
გურჯი	გურჯი
ჩემპიონობისათვის	ჩემპიონ ობის ა თვის
კერნის	კერ ნის
დათოსაც	დათ ოს აც
ბირჟის	ბირჟ ის
ოცდამერვე	ოცდა მერვე
არსენის	არსენ ის
ბრუნვა	ბრუნ ვა
კვარტეტი	კვარტ ეტი
წამოწყება	წამოწყ ება
ტიტველი	ტიტ ველი
პროცესი	პროცე ს ი
აყვავების	ა ყვავ ების
გუსტავი	გუსტავ ი
სტაბილური	სტაბილ ური
ცენტურიონი	ცენ ტური ონი
ბამბის	ბა მ ბის
ვირს	ვირ ს
მდგომარეობაშია	მ დგომარეობა ში ა
ღრუში	ღრუ ში
ბრძენმა	ბრძენ მა
ტონაზე	ტონ აზე
კარზეც	კარ ზეც
ფოტოსინთეზის	ფოტო სინთე ზის
ღვთაებრივ	ღვთაებ რივ
სპარტა	სპარტ ა
დაბინძურებულ	და ბინძუ რებულ
იაპ	ი აპ
კვარტლები	კვარტ ლები
ენერგიით	ენერგ ი ით
სისხლისსამართლებრივი	სისხლ ის სა მართლე ბრივი
იუდეველებმა	იუდევ ელებმა
დადგინდეს	და დგინ დეს
ნუსხურსა	ნუსხ ურ სა
მყინვარი	მყინვარ ი
ცდები	ცდ ები
გველების	გველ ების
შენების	შენებ ის
დავითნი	და ვით ნი
ჩირი	ჩი რი
სატვირთო	სა ტვირთ ო
ამაში	ამ აში
ბრაუნი	ბრაუნ ი
მიუსაჯა	მი უსა ჯა
ეთიკა	ეთი კა
ბინ	ბინ
ტერასა	ტერას ა
ველური	ველ ური
სისტემატიკის	სისტე მატ იკის
ასკეტური	ას კეტ ური
ზომამ	ზომ ამ
თანაგუნდელები	თანა გუნდ ე ლები
უშაქრო	უ შაქრ ო
მიიჩნიეს	მიიჩნ ი ეს
მუსიკასა	მუსიკ ა სა
ბარდა	ბარ და
თეთრკანიანები	თეთრკანი ან ები
ლეიბლებზე	ლეიბლ ებზე
აინტერესებდათ	ა ინტერეს ებდა თ
თებერვლისთვის	თებერ ვლის თვის
სისტემებთან	სისტე მ ებთან
შეეთავაზებინა	შეე თავაზ ებინა
ბადალი	ბად ალი
გასაყიდი	გასა ყიდ ი
მთაგრეხილის	მთ აგრე ხილ ის
გააშენა	გა აშენ ა
მახარაძეს	მა ხარა ძე ს
მეტალიკამ	მეტალ იკამ
დააზუსტა	დაა ზუსტ ა
სექსუალურ	სექსუა ლურ
ესმა	ე ს მა
კლუბები	კლუბ ები
მზრუნველობის	მ ზრუნველ ობის
თავდასხმის	თავდასხ მის
შერჩენილია	შე რჩენილ ია
იწყეს	იწყ ეს
სერია	ს ერ ი ა
სათათბირო	სა თათბირ ო
მტკვარი	მტკვარ ი
მეტალების	მეტალ ების
გამოც	გამო ც
ოსტატი	ო სტატი
საყრდენად	სა ყრდენ ად
გაჩერდნენ	გა ჩერ დნენ
ზენიტის	ზენიტ ის
საკარმიდამო	სა კარ მიდა მო
ხერხემლიანი	ხერხ ემლიან ი
მოსახლეზე	მო სახლე ზე
შეხედულებას	შეხედუ ლ ებას
ჰარლემში	ჰარ ლემ ში
კალაპოტის	კალაპოტ ის
მინერალ	მინერა ლ
ფასადის	ფას ა დის
უფლებამოსილი	უფლებ ამოსილ ი
სახლზე	სახლ ზე
სიმაგრე	სიმ აგრე
შენობასთან	შენ ობასთან
გადმოჰყურებს	გადმო ჰ ყურებ ს
კრამიტი	კრამიტ ი
მცხეთას	მცხე თა ს
ჰემი	ჰემ ი
გორილები	გორილ ები
რონი	რონ ი
ნომინაციაში	ნომინა ცია ში
გაგიჟებულია	გა გიჟ ებულ ია
კინემატოგრაფიული	კინე მატოგრაფ ი ული
იემენის	ი ემ ე ნის
ემოსა	ე მო სა
ბავშვს	ბავშვ ს
მოაწყვეს	მო აწყ ვე ს
ერიტრეის	ერიტრე ი ს
დაავადებანი	და ავადებ ანი
ეკიპაჟის	ე კიპაჟ ის
კურსიდან	კურს იდან
გამომადგა	გამო მა დ გა
საჭირბოროტო	სა ჭირ ბოროტ ო
ავანგარდულ	ავანგარდულ
ფეხში	ფეხ ში
მალდინიმ	მა ლდინი მ
მემამულეთა	მე მამულე თა
პარაზიტებია	პარაზი ტები ა
პროექტებზე	პროექტ ებზე
ტექსტები	ტექსტ ები
რომანოზ	რომან ოზ
ფინეთმა	ფინეთ მა
ჰუსიტური	ჰუსიტ ური
გრანდიოზული	გრანდი ოზულ ი
კარგმა	კარგ მა
მასათა	მა სა თა
გაატანა	გაა ტანა
სპეციფიური	სპეციფ იური
უხდება	უხდ ება
უპირობოდ	უპირობ ოდ
ბოლქვიანი	ბოლქ ვიანი
ტანკზე	ტანკ ზე
გაუქმებული	გა უქმ ებულ ი
პროლოგი	პრ ოლოგი
მანქანაზე	მანქან აზე
ანონიმი	ანონიმ ი
გაზრდას	გა ზრდ ას
მასშტაბური	მა სშტაბ ური
ცვლაში	ცვლ აში
რეპრესიები	რეპრე სი ები
ვერა	ვერა
ვერასოდეს	ვერა ს ოდეს
ერისთავად	ერისთავ ად
გაზრდილია	გა ზრდილ ია
კვადრატულია	კვადრატ ული ა
იარსებებს	ი არსებ ებს
ცივილიზაციის	ცივილ იზაცი ის
მაისს	მა ის ს
სინგლად	ს ინგლ ად
შერიგება	შე რიგებ ა
კუბაზე	კუბ აზე
მეკობრეების	მეკობრ ე ების
ქვეშევრდომები	ქვეშევ რდომ ები
თოვლით	თოვლ ით
მამაც	მამაც
დეტალებს	დეტალ ებს
გაირკვეს	გა ირკვ ეს
ლიზინგი	ლიზ ინგი
ნიკოლაი	ნიკოლ ა ი
პირი	პირ ი
დაყვეს	და ყვეს
ტრანსფერი	ტრანს ფერი
ბიუროკრატიული	ბიურო კრა ტიულ ი
ესთეტიკას	ესთეტი კას
მატჩში	მატჩ ში
მოიყარეს	მო ი ყარეს
საშუალოზე	სა შუალ ო ზე
ხარიჯიტები	ხარ ი ჯი ტები
გოგონაა	გოგო ნა ა
დაკავებულები	დაკავ ებულ ები
ველად	ველად
ზეპირსიტყვიერების	ზე პირ სიტყვ იერებ ის
პოლიციური	პოლიცი ური
სასწორი	სა სწორ ი
მონო	მო ნო
ნიკოლსკოეს	ნიკოლ სკოეს
გუბერნია	გუბერ ნ ია
დიპლომატიური	დიპლომა ტი ური
პოლემიკა	პოლ ემ იკა
დაბოლოს	და ბოლოს
მონსტრები	მონსტრ ები
ნუმიზმატიკის	ნუმიზმა ტიკის
კარდინალ	კარდინალ
მეთვალყურეობით	მე თვალ ყურე ობით
მიწას	მიწა ს
აღადგენენ	აღ ადგენ ენ
ჩაცმულობის	ჩაცმულ ობის
გადასასვლელად	გადა სა სვლელ ად
კუხეთის	კუხ ეთის
ქურუმები	ქურუმ ები
ტერიტორიაც	ტერიტორ ი აც
კრუხობს	კრუხ ობს
გორი	გორ ი
სეზონში	სეზონ ში
ტვინში	ტვინ ში
ქართლის	ქართლ ის
შემაჯამებელი	შე მა ჯამ ებელი
გააქტიურება	გა ა ქტიურ ება
დათარიღებული	და თარიღ ებულ ი
საქსონია	საქსონ ია
ოქტომბრიდან	ო ქტომბ რიდან
უკვდავებას	უ კვდავ ებას
ჯადოსნურ	ჯადოსნ ურ
სარეკონსტრუქციო	სა რეკონ სტრუქც ი ო
ბრაზილიამ	ბრაზილ ი ამ
გარჩევას	გა რჩევა ს
სოფლების	სოფლ ების
მოყოლებული	მო ყოლ ებულ ი
ოციანი	ოც იანი
სიმბოლოთი	სიმ ბოლო თი
მარცხნიდან	მარცხ ნ იდან
შიშველია	შიშ ველ ია
სექტემბრის	ს ექტემბრ ის
სამუშაოში	სა მუშაო ში
ადმინისტრაციულმა	ად მინისტრ აციულ მა
პარკების	პარკ ების
პოზიციების	პოზიც ი ების
დისციპლინები	დისციპლ ინ ები
კონსტანტინოპოლი	კონსტანტ ინოპოლ ი
ღელვის	ღელვ ის
სულებისთვის	სულ ების თვის
იტალიისკენ	იტალი ისკენ
კლდიაშვილი	კლდ ი ა შვილი
ნიმუშების	ნიმუშ ების
სულიწმინდის	ს ული წმინ დის
ბატალიონის	ბატალი ონის
სკუდეტოს	სკუდე ტო ს
მაგალითისათვის	მაგალით ისათვ ის
ხვეული	ხვ ეული
სტალინგრადის	სტალინ გრად ის
ანსამბლმა	ანსამბ ლმა
ებრძოლათ	ე ბრძოლ ათ
ცნობარი	ცნობ არი
მცენარეებსა	მცენარ ეებს ა
საკითხისათვის	სა კითხ ისა თვის
წარმოდგენები	წარმოდგე ნები
მოაქციეს	მო აქცი ეს
სანაპიროები	ს ანაპირო ები
ბუშის	ბუშ ის
უღლების	უღ ლების
გამოქვეყნებულა	გამო ქვეყნებ ულ ა
მოიცავს	მოიც ავს
კირიბატის	კირი ბატ ის
დიტრიხმა	დიტრიხ მა
ჯარების	ჯარ ების
იმპერიული	ი მპერი ული
სატევარი	სატევ არი
ჩამოყალიბებით	ჩამო ყალიბ ებით
სულებისგან	სულ ების გან
მაშტაბით	მა შტაბ ით
დაპატიმრებები	და პატიმრ ებ ები
სააგენტოს	სა აგენტ ოს
ბრაზილიასთან	ბრაზილ ი ასთან
მიახლოებით	მიახლო ებით
ვარაუდით	ვარაუდ ით
ახალშობილ	ახალ შობილ
უბრძანებია	უ ბრძანებ ი ა
კასტელი	კასტ ელი
უმრავლესობით	უმრავლესო ბით
წლებში	წლ ებში
დაყოფა	და ყოფა
ავალდებულებდა	ავალ დებულებ და
კილომეტრს	კილომეტრ ს
ფრანკლინ	ფრანკ ლინ
ვიდეოებს	ვიდეო ებს
განსაზღვრავენ	გა ნსაზღვრ ავენ
ეფლობა	ეფ ლობა
ჯვრისწერა	ჯვრ ის წერა
შექმნილი	შე ქმნილ ი
მახასიათებლებს	მა ხასიათ ებლ ებს
რაინის	რაინ ის
შესატყვისი	შესა ტყვი სი
მიწებში	მიწ ებში
წლისთავთან	წლის თავ თან
სეზონთან	სეზონ თან
შეკითხვა	შე კითხ ვა
სტილსა	სტილ სა
მოჰყავდათ	მო ჰყავ დათ
კრიტიკოსი	კრიტიკ ო სი
იუნონას	იუნონ ა ს
იუნიორთა	ი უნი ორთა
ძალისხმევა	ძალ ის ხმევ ა
ცვივა	ცვი ვა
თანადამფუძნებელი	თან ად ა მ ფუძნ ებელი
დაიშალა	და იშალა
ჯეპრას	ჯეპ რას
პიტერ	პიტერ
გრაფების	გრაფ ების
ლავრა	ლავრ ა
წამოდგა	წამო დგა
ჰიპოკრატეს	ჰიპ ოკრატ ეს
ანდერსონი	ანდერს ონი
წარმოებდა	წარმო ებდა
ოლაფი	ოლაფი
გამოუცდელი	გამოუ ცდ ელი
განუკურნებელი	განუ კურნ ებელი
ტრიბუნები	ტრიბუ ნები
პაროდიული	პარ ოდ იული
ბრალდებებს	ბრალდ ებ ებს
კომპანიებისთვის	კომპან ი ების თვის
სიყმაწვილე	სი ყმაწ ვილე
უყვებოდა	უყვ ებოდა
საბაჟოს	საბაჟო ს
რგოლს	რგოლ ს
აუკრძალეს	ა უ კრძალ ეს
განვითარების	გან ვითარ ების
აქაურ	აქა ურ
ლიტურგია	ლი ტურგი ა
ქვიშაქვებით	ქვიშაქ ვ ებით
დასწრებია	დასწრ ებია
მართლმადიდებელი	მართ ლმადიდ ებელი
ლომის	ლომ ის
კინოინდუსტრია	კინო ინდუსტ რია
გარეთა	გარე თა
იესოს	ი ეს ოს
რჩეულ	რჩეულ
ტერიტორიასაც	ტერიტორ ი ა საც
ფონდს	ფონდ ს
ლეგო	ლ ეგო
სასკეს	სასკე ს
სიმაღლებრივი	ს იმაღლე ბრივი
სავოევოდო	სა ვოევოდ ო
ლაურეატი	ლაურეა ტი
სასულთნოს	ს ასულთნო ს
ინტერვალის	ინტერ ვალ ის
შემოღებული	შემო ღებ ული
მომავლისთვის	მო მავლ ის თვის
შეწირვა	შე წირვა
ჩიკაგო	ჩიკაგო
აღდგენილიყო	აღდგენ ი ლი ყო
ტიტულიც	ტიტულ იც
გამუდმებულ	გამუდმ ებულ
სრუტეები	სრუტე ები
პერიოდშივე	პერიოდ ში ვე
კახთა	კახ თა
დასაწყისი	და სა წყ ის ი
სტამბოლი	სტამბ ო ლი
ოლიმპია	ოლიმპ ია
თაბაშირის	თაბაშირ ის
აყალიბებენ	ა ყალიბ ებენ
ვალინორში	ვალი ნორ ში
მჟავა	მჟავ ა
ფილმია	ფილმ ია
გეგმები	გეგმ ები
ჟიურის	ჟი ურის
ბარძაყის	ბა რძაყ ის
მოკლას	მოკლ ას
შეერია	შე ერია
ოქუმის	ოქ უმის
შობას	შ ობას
ამნისტია	ამნისტი ა
ბერის	ბერი ს
მჟღავნდება	მჟღავნ დება
სახეობისთვის	სახეობ ის თვის
ხვრელია	ხვრელ ია
ბლოკ	ბლოკ
რაღა	რაღ ა
განაგრძობენ	გან ა გრძ ობენ
გამოფენებში	გამო ფენ ებში
ამტკიცებდნენ	ა მტკიც ებდნენ
დამსახურებით	დამ სახურ ებით
ჰიუ	ჰიუ
კარლა	კარლ ა
ოლიგარქიული	ო ლიგ არქი ული
მოსწორებულია	მო სწორ ებულ ია
მეოთხედში	მე ოთხედ ში
გავლენიან	გა ვლენ იან
კაპიტულაციას	კაპიტ ულ აციას
სარდაფი	ს არდაფ ი
ინგლისელი	ი ნგლისელ ი
ნათელ	ნათელ
აკავშირებდა	ა კავშირ ებდა
აგებულების	ა გებულ ების
პალეოლოგოსის	პალეო ლოგო ს ის
დიალექტი	დიალექ ტი
გინეკოლოგიური	გი ნეკ ოლოგიურ ი
კაპიტანია	კაპიტან ია
მათემატიკამ	მ ა თემატიკ ამ
მდგომარეობისა	მდგომ არეობ ის ა
შვილიშვილს	შვილი შვილ ს
წარმატების	წარმატებ ის
უცვლის	უცვლ ის
დასახმარებლად	დასა ხმარ ებლად
გარდაცვლილს	გარდა ცვლილ ს
ოკრუგის	ოკრუგი ს
მკვდარ	მკვდარ
დარჩებოდა	დარჩ ებოდა
ბოლშევიკური	ბოლშევიკ ური
პორტუგალიის	პორტ უგალი ის
იშტვან	ი შტ ვან
ოტელი	ოტ ელი
ჩხალთის	ჩხალ თ ის
ანდრონიკაშვილის	ანდრო ნიკა შვილი ს
საკრავიერი	საკრავ იერი
წინამძღვარს	წინამძღვ არს
სამნიტები	სამნიტ ები
თათრებს	თათრ ებს
მღელვარე	მღელვარ ე
ორგანიზმებზე	ორგანიზ მ ებზე
მაგისტრალზე	მა გისტრ ალზე
აყვანილი	ა ყვანილი
გააოცა	გა აოც ა
სასურველი	სა სურველ ი
ჯინი	ჯინ ი
შს	შს
სახელმწიფოთაშორისი	ს ა ხელმწიფო თაშორ ის ი
უწოდებს	უწოდ ებს
მარინეს	მარი ნეს
ნეიტრონის	ნეიტრონ ის
გაბრტყელებული	გა ბრტყელ ებულ ი
ტელეარხმა	ტელე არხ მა
ეკიპაჟმა	ე კიპაჟ მა
პროცესების	პროცესებ ის
ვიქტორიანული	ვიქტო რიან ული
აზნაურს	ა ზნაურ ს
მბრუნავი	მ ბრუნ ავი
კევინ	კევინ
აკისრია	ა კის რია
ანტუანის	ა ნტუან ის
ბრიტანეთსა	ბრიტან ეთ სა
ვერცხლით	ვერცხ ლით
წარმოდგენილნი	წარმოდგე ნილნი
ხრამის	ხრა მის
ჩატანებულია	ჩა ტან ებულ ია
ეკლესიით	ეკლეს ი ით
ქვაბები	ქვაბ ები
სრულებითაც	სრულებ ითაც
დანებების	დან ებ ების
ოფიცერს	ოფიცერ ს
ხრესილის	ხრ ეს ილის
ჯოანა	ჯო ა ნა
კლინიკურად	კლინიკ ურად
მლნ	მლნ
მალისა	მა ლი სა
იკითხებოდა	ი კითხ ებოდა
ოცდამეცხრე	ოცდა მეცხრე
ააშენა	ა აშენ ა
დაბომბვის	და ბომბვ ის
მამაკაცია	მა მა კაც ია
ვილაპარაკეთ	ვილ აპარაკ ეთ
ბედავდა	ბე დავ და
მინანქრის	მინანქ რის
ბანაკს	ბანაკ ს
ექსპედიციებს	ექსპე დიცი ებს
ძელებით	ძელ ებით
იზაბელა	იზაბელა
დღიანი	დღ იანი
ბაზები	ბაზ ები
ნათების	ნათ ების
გადაწყვეტილების	გადა წყვეტი ლების
ნორმები	ნორმ ები
პროცესებს	პროცესებ ს
დედამიწასთან	დე და მიწა სთან
ფერმერები	ფერმერ ები
თვალწინ	თვალ წინ
ფილოლოგია	ფილ ოლოგი ა
მითხრა	მით ხრა
კამილუსმა	კამილ უსმ ა
რენამოს	რენ ამ ოს
იარაღით	ი არაღ ით
სცემენ	ს ცემენ
ბელონას	ბელ ონ ას
ელიზაბეთი	ელი ზაბეთ ი
უკიდურესი	უ კიდურ ეს ი
საკითხებთან	სა კითხ ებთან
დოკუმენტებით	დოკუმენტ ებით
პენის	პენი ს
სამლოცველო	სა მლოცვე ლო
როსონერი	როსონერ ი
რელიეფური	რელიეფ ური
ბენდს	ბენდ ს
ექსპლოატაციის	ექს პლოატ აციის
ვაი	ვა ი
მოხვედრა	მო ხვედრა
უდიდებულესობის	უ დიდებულ ეს ობის
გრძნობას	გრძნ ობას
ლოცვა	ლოცვ ა
ღამე	ღამე
ლოდებით	ლოდ ებით
ნინოშვილის	ნინო შვილი ს
ტური	ტური
ადიდე	ად იდე
განსაკუთრებულობა	გან ს აკუთრებ ულობა
ლოუს	ლოუს
დამხობილ	დამხ ობილ
გუდვილი	გუდ ვილი
ჯერა	ჯერა
ისტორიოგრაფიაში	ის ტორი ოგრაფ ი აში
კოლუმბიელი	კოლუმბი ელი
ობიექტური	ო ბიექტ ური
ცხოვრებისათვის	ცხოვრ ები სა თვის
გამოჩენისას	გამო ჩენ ის ას
მარჯნის	მარჯნ ის
გაზრდამ	გა ზრდ ამ
თესლი	თესლ ი
იზოტოპის	ი ზოტოპ ის
პროვინციებს	პროვინციებ ს
სივილ	ს ი ვილ
შემცველ	შე მცველ
დაეცემა	და ეცემა
იტევს	ი ტევ ს
თედორე	თედო რე
დასავლეთისკენ	და სა ვლეთ ისკენ
სექცია	ს ექცი ა
პრინციპულად	პრინციპ ულად
შეემატნენ	შე ემატ ნენ
მოხარული	მო ხარ ული
მეზღვაურების	მე ზღვაურებ ის
დაფების	დაფ ების
ტერმინატორის	ტერმინ ატორი ს
მოღვაწეობამ	მო ღვაწეობ ამ
მოდის	მოდ ი ს
აღგზნება	აღ გზ ნება
გაჩეხვის	გა ჩეხ ვის
რონალდო	რონალდ ო
გრინვუდი	გრინვუდ ი
ალაჰი	ალაჰი
ქართველოლოგიის	ქართვე ლ ოლოგი ის
მეძებარი	მე ძე ბარ ი
დააზარალა	დაა ზარალ ა
რეიტინგული	რეიტინ გული
ტიბეტის	ტიბეტ ის
ელჩობა	ელჩ ობა
ვაქცინის	ვაქცინ ის
თუთიყუშის	თუთიყ უ ში ს
რომეოს	რომეო ს
ვულკანია	ვულკან ია
სიმპლონის	სიმ პლ ონის
ამანში	ამ ანში
მოგებაც	მოგ ებაც
ორგანიზმებით	ორგანიზ მ ებით
ლენინი	ლენინ ი
გამომცემელმა	გამო მცემ ელმა
ენფილდზე	ენ ფილდ ზე
ზონასთან	ზონ ასთან
მოვლენად	მოვლენ ად
ვადამდე	ვად ამდე
სიგრძივი	ს ი გრძივი
სისხლი	სისხლ ი
ფილოსოფიასთან	ფილოსოფ ია სთან
გაჭირვებული	გა ჭირვ ებ ული
დამატებას	და მატ ებას
ნახევარსფეროზე	ნა ხევარ სფერო ზე
ყმა	ყ მა
გაბრიელის	გა ბრიელ ის
მოხატა	მო ხატა
სხვადასხვანაირია	სხვადასხ ვა ნაირი ა
მეგობრულად	მე გობრ ულად
შეჭრილიყო	შე ჭრილ იყო
დაამონტაჟა	და ა მო ნტაჟ ა
ტუპაკ	ტუპაკ
მაიკლ	მაიკლ
აღდგომის	აღ დგომ ის
შეეყარა	შე ეყარა
გაჩერებული	გა ჩერებ ული
მიაკითხა	მ ია კითხ ა
მათრახი	მათ რა ხი
დარეჯანი	და რე ჯან ი
აუტანელი	აუ ტან ელი
ასვლისას	ა სვლის ას
სუზანა	სუზან ა
აკრიტიკებს	ა კრიტიკ ებს
გარსიას	გარს ი ას
ზრუნვას	ზრუნ ვას
მონარქიული	მონ არქი ული
სიმღერაც	სი მღერ აც
შემდგომი	შე მდგომ ი
იცოდე	იცოდე
თხემურ	თხემ ურ
მარსელ	მარსელ
რომელთან	რომელთა ნ
უწესო	უ წეს ო
რაინდებს	რაინდ ებს
სახელები	ს ა ხელ ები
სათნოებას	ს ათნო ებას
პანორამული	პანორამ ული
იკისრა	იკის რა
ფაშისტურ	ფაშისტურ
კლდეს	კლდე ს
გამრავლება	გა მრავლ ება
რელიქტური	რ ელი ქ ტური
რუმინულ	რუმინ ულ
სხდომას	ს ხდ ომ ას
ჩემპიონად	ჩემპიონ ად
თანამეგობრობის	თანამ ე გობრ ობის
ფენებს	ფენ ებს
ხახულის	ხახ ული ს
კარიერაც	კარიერ აც
თანრიგში	თან რიგ ში
დაბოლოებას	და ბოლო ებას
გადაწერილი	გადა წერილ ი
შეიკრიბნენ	შე იკრიბ ნენ
მომხდარი	მო მხდარ ი
ლარს	ლარს
ღირებულებით	ღირებუ ლებით
ოჯახებში	ოჯახ ებში
კათოლიკურმა	კათოლიკ ურმა
რგოლები	რგოლ ები
შეეცვალათ	შეე ცვალ ათ
პილასტრით	პილ ასტრ ით
მომღერალთა	მო მღერ ალ თა
რაკეტების	რაკეტ ების
რობინის	რობინ ის
ტომ	ტომ
ბელგრადის	ბელ გრად ის
ამხანაგური	ამხან ა გური
მუსულმანებს	მუსულმან ებს
წამის	წამ ის
სეპარატისტულ	ს ეპარატ ისტულ
აბრაამის	აბრაამ ის
თრი	თრი
ვერსიად	ვერსი ად
კრეისერი	კრე ის ერი
რადიაქტიური	რადი ა ქტიურ ი
საიმპერიო	სა ი მპერი ო
გამოიტანეს	გამო იტანე ს
ფარა	ფარ ა
ასურეთის	ასურ ეთის
არაუმეტეს	არა უ მეტ ეს
განსაცდელი	გან საცდელ ი
ყბა	ყბ ა
კახეთსა	კახეთ სა
მთავარანგელოზთა	მთავარ ა ნგელოზ თა
აღმასრულებელმა	აღმა სრულებ ელმა
მონათლა	მო ნათლ ა
იგეგმება	ი გეგმ ება
ქორწინებაში	ქორწინ ებაში
ბოთლებში	ბოთლ ებში
განედი	გან ედი
