გამოსხივება	გამო სხივ ება
წმიდანს	წმიდა ნ ს
საყლაპავი	სა ყლაპ ავი
ფრანცისკო	ფრანცისკო
წყევლის	წყევლ ის
თრაინ	თ რაინ
მისალმების	მი სალმ ების
ნოვიცკი	ნოვიცკ ი
წაყენებული	წა ყენებ ული
სამკაულებს	სა მკაულ ებს
ცვლილებათა	ცვლილებ ათა
თავად	თავად
შეთანხმდა	შე თანხმ და
ჟორჟი	ჟორჟ ი
პოლმა	პოლ მა
კარლს	კარლ ს
ურთიერთობაზე	ურთიერთობ აზე
შთამომავალს	შთამომა ვალ ს
სერვერიდან	სერვერ იდან
თინათინი	თინათინ ი
მაიკროსოფტმა	მა იკროსოფტ მა
დაკანონდა	და კანონ და
ანგელოზმა	ანგელოზ მა
ფუს	ფუ ს
წუთით	წუთ ით
პაციენტები	პაციენტ ები
პირად	პირ ად
ჯონის	ჯონ ის
ქვაც	ქვ აც
ბესტი	ბესტ ი
სულიერ	სულ იერ
წამოწეული	წამო წეულ ი
დიდებულები	დიდებულ ები
ისტორიამ	ისტორი ამ
რეზონანსი	რეზონა ნ სი
ფრონტონის	ფრონტ ონის
ვარშავა	ვარშავ ა
სანდრა	სანდრ ა
ასპირანტი	ას პირ ანტი
ინვალიდის	ინვალიდ ის
ამოღებულ	ამოღ ებულ
გავდა	გა ვ და
პარკისა	პარკ ისა
სართავი	სართავ ი
მშენებარე	მშენებ არ ე
ფოტონის	ფოტო ნის
წესი	წეს ი
ხოტბა	ხოტბ ა
ციკლონების	ციკლონ ების
ამინდში	ამინდ ში
წყლისთვის	წყლ ისთვის
კანტონების	კანტონ ების
აზნაურების	აზნაურ ების
გოლიათი	გოლ იათ ი
აუხსნელი	ა უხსნ ელი
კენტის	კენტ ის
ვარსკვლავთკარიბჭე	ვ არსკვლავთკარიბჭ ე
ბოშების	ბოშ ების
ტიურინგის	ტიურ ინგის
გურჯი	გურჯ ი
ჩემპიონობისათვის	ჩემპიონ ობისათვის
კერნის	კერ ნის
დათოსაც	და თო საც
ბირჟის	ბირჟ ის
ოცდამერვე	ოცდამე რვ ე
არსენის	არსენ ის
ბრუნვა	ბრუნვ ა
კვარტეტი	კვა რტეტ ი
წამოწყება	წამო წყებ ა
ტიტველი	ტიტვ ელი
პროცესი	პროცეს ი
აყვავების	აყვავ ების
გუსტავი	გუსტავ ი
სტაბილური	სტაბილურ ი
ცენტურიონი	ცენტური ონი
ბამბის	ბამბ ის
ვირს	ვირ ს
მდგომარეობაშია	მ დგომარეობ აშია
ღრუში	ღრუ ში
ბრძენმა	ბრძენ მა
ტონაზე	ტონ აზე
კარზეც	კარ ზეც
ფოტოსინთეზის	ფოტო სინთეზ ის
ღვთაებრივ	ღვთაებ რივ
სპარტა	სპარტ ა
დაბინძურებულ	და ბინძურ ებულ
იაპ	იაპ
კვარტლები	კვარტლ ები
ენერგიით	ენერგი ით
სისხლისსამართლებრივი	სისხლისსამა რთლებრივ ი
იუდეველებმა	იუდევ ელებმა
დადგინდეს	და დგინ დეს
ნუსხურსა	ნუსხუ რ სა
მყინვარი	მყინვარ ი
ცდები	ცდ ები
გველების	გველ ების
შენების	შენ ების
დავითნი	დავით ნი
ჩირი	ჩ ირ ი
სატვირთო	სა ტვირთ ო
ამაში	ა მ აში
ბრაუნი	ბრაუნ ი
მიუსაჯა	მიუ საჯ ა
ეთიკა	ეთიკ ა
ბინ	ბინ
ტერასა	ტერას ა
ველური	ველ ური
სისტემატიკის	სისტემ ატიკის
ასკეტური	ასკე ტურ ი
ზომამ	ზომ ამ
თანაგუნდელები	თანა გუნდელ ები
უშაქრო	უ შაქრ ო
მიიჩნიეს	მი იჩნი ეს
მუსიკასა	მუსიკ ასა
ბარდა	ბარდ ა
თეთრკანიანები	თეთრკან იანები
ლეიბლებზე	ლეიბლ ებზე
აინტერესებდათ	ა ინტერეს ებდათ
თებერვლისთვის	თებერვლ ისთვის
სისტემებთან	სისტემ ებთან
შეეთავაზებინა	შეე თავაზ ებინა
ბადალი	ბად ალი
გასაყიდი	გასა ყიდ ი
მთაგრეხილის	მთა გრეხილ ის
გააშენა	გა აშენ ა
მახარაძეს	მახარ აძეს
მეტალიკამ	მე ტალიკ ამ
დააზუსტა	დაა ზუსტ ა
სექსუალურ	სექსუალ ურ
ესმა	ეს მა
კლუბები	კლუბ ები
მზრუნველობის	მ ზრუნველობ ის
თავდასხმის	თავდასხმ ის
შერჩენილია	შე რჩენილ ია
იწყეს	იწყ ეს
სერია	სერი ა
სათათბირო	სა თათბირ ო
მტკვარი	მტკვარ ი
მეტალების	მეტალ ების
გამოც	გამო ც
ოსტატი	ოსტატ ი
საყრდენად	საყრდენ ად
გაჩერდნენ	გა ჩერ დნენ
ზენიტის	ზენიტ ის
საკარმიდამო	საკარ მიდამო
ხერხემლიანი	ხერხემ ლიან ი
მოსახლეზე	მოსახლე ზე
შეხედულებას	შე ხედულებ ას
ჰარლემში	ჰარლემ ში
კალაპოტის	კალაპოტ ის
მინერალ	მინერა ლ
ფასადის	ფასად ის
უფლებამოსილი	უფლებამოსი ლ ი
სახლზე	სახლ ზე
სიმაგრე	სი მაგრ ე
შენობასთან	შე ნობ ასთან
გადმოჰყურებს	გადმო ჰყურ ებს
კრამიტი	კრამი ტ ი
მცხეთას	მცხეთ ას
ჰემი	ჰემ ი
გორილები	გორილ ები
რონი	რონ ი
ნომინაციაში	ნომინ აციაში
გაგიჟებულია	გა გიჟ ებულია
კინემატოგრაფიული	კინემატოგრ აფი ული
იემენის	ი ემ ენის
ემოსა	ემ ოს ა
ბავშვს	ბავშვ ს
მოაწყვეს	მო აწყ ვეს
ერიტრეის	ერიტრე ის
დაავადებანი	და ავად ებანი
ეკიპაჟის	ე კიპაჟ ის
კურსიდან	კურს იდან
გამომადგა	გამომა დგ ა
საჭირბოროტო	საჭირ ბოროტ ო
ავანგარდულ	ა ვანგარდ ულ
ფეხში	ფეხ ში
მალდინიმ	მალდინ იმ
მემამულეთა	მე მამულ ეთა
პარაზიტებია	პარაზიტ ებია
პროექტებზე	პროექტ ებზე
ტექსტები	ტექსტ ები
რომანოზ	რომან ოზ
ფინეთმა	ფინეთ მა
ჰუსიტური	ჰუსი ტურ ი
გრანდიოზული	გრანდიოზულ ი
კარგმა	კარგ მა
მასათა	მა ს ათა
გაატანა	გაა ტან ა
სპეციფიური	სპეციფ იური
უხდება	უხდ ება
უპირობოდ	უ პირობ ოდ
ბოლქვიანი	ბოლქვ იანი
ტანკზე	ტანკ ზე
გაუქმებული	გა უქმ ებული
პროლოგი	პრო ლოგ ი
მანქანაზე	მა ნქან აზე
ანონიმი	ა ნონიმ ი
გაზრდას	გაზრდ ას
მასშტაბური	მა სშტაბ ური
ცვლაში	ცვლ აში
რეპრესიები	რეპრესი ები
ვერა	ვერ ა
ვერასოდეს	ვერა სოდ ეს
ერისთავად	ერისთავ ად
გაზრდილია	გაზრდ ილია
კვადრატულია	კვადრატ ულია
იარსებებს	ი არსებ ებს
ცივილიზაციის	ცივილიზაცი ის
მაისს	მაის ს
სინგლად	სინგლ ად
შერიგება	შე რიგ ება
კუბაზე	კუბ აზე
მეკობრეების	მეკობრ ეების
ქვეშევრდომები	ქვეშე ვრდომ ები
თოვლით	თოვლ ით
მამაც	მამ აც
დეტალებს	დეტალ ებს
გაირკვეს	გაი რკვ ეს
ლიზინგი	ლიზ ინგი
ნიკოლაი	ნიკოლა ი
პირი	პირ ი
დაყვეს	და ყვ ეს
ტრანსფერი	ტრანსფერ ი
ბიუროკრატიული	ბიურო კრატიულ ი
ესთეტიკას	ესთეტიკ ას
მატჩში	მატჩ ში
მოიყარეს	მოი ყარ ეს
საშუალოზე	საშუალ ოზე
ხარიჯიტები	ხარიჯ იტები
გოგონაა	გოგონ აა
დაკავებულები	და კავ ებულები
ველად	ველ ად
ზეპირსიტყვიერების	ზეპირსი ტყვიერ ების
პოლიციური	პოლიცი ური
სასწორი	სა სწორ ი
მონო	მონ ო
ნიკოლსკოეს	ნიკოლ სკოეს
გუბერნია	გუბერნ ია
დიპლომატიური	დიპლომატი ური
პოლემიკა	პოლ ემ იკა
დაბოლოს	დაბოლო ს
მონსტრები	მო ნსტრ ები
ნუმიზმატიკის	ნუმიზმა ტიკ ის
კარდინალ	კარდინალ
მეთვალყურეობით	მე თვალყურეობ ით
მიწას	მიწ ას
აღადგენენ	აღ ადგენ ენ
ჩაცმულობის	ჩაცმულობ ის
გადასასვლელად	გადასა სვლელ ად
კუხეთის	კუ ხეთ ის
ქურუმები	ქურუმ ები
ტერიტორიაც	ტერიტორი აც
კრუხობს	კრუხობ ს
გორი	გორ ი
სეზონში	სეზონ ში
ტვინში	ტვინ ში
ქართლის	ქართლ ის
შემაჯამებელი	შემა ჯამ ებელი
გააქტიურება	გა აქტიურ ება
დათარიღებული	და თარიღ ებული
საქსონია	საქსო ნი ა
ოქტომბრიდან	ოქტომ ბრ იდან
უკვდავებას	უკვდავ ებას
ჯადოსნურ	ჯა დოსნ ურ
სარეკონსტრუქციო	სა რეკონსტრუქცი ო
ბრაზილიამ	ბრაზილი ამ
გარჩევას	გა რჩევ ას
სოფლების	სოფლ ების
მოყოლებული	მო ყოლ ებული
ოციანი	ოც იანი
სიმბოლოთი	სი მბოლო თი
მარცხნიდან	მარცხ ნიდან
შიშველია	შიშვ ელია
სექტემბრის	სექტემ ბრ ის
სამუშაოში	სა მუშაო ში
ადმინისტრაციულმა	ადმინისტრა ცი ულმა
პარკების	პარკ ების
პოზიციების	პოზიცი ების
დისციპლინები	დისციპლინ ები
კონსტანტინოპოლი	კონსტანტინოპოლ ი
ღელვის	ღელვ ის
სულებისთვის	სულ ებისთვის
იტალიისკენ	იტალი ისკენ
კლდიაშვილი	კლდ იაშვილი
ნიმუშების	ნიმუშ ების
სულიწმინდის	სული წმინდ ის
ბატალიონის	ბატალიონ ის
სკუდეტოს	სკუ დეტ ოს
მაგალითისათვის	მა გალით ისათვის
ხვეული	ხვე ული
სტალინგრადის	სტალინ გრადის
ანსამბლმა	ა ნსამბლ მა
ებრძოლათ	ე ბრძოლ ათ
ცნობარი	ცნობ არი
მცენარეებსა	მცენა რე ებსა
საკითხისათვის	სა კითხ ისათვის
წარმოდგენები	წარმოდგენ ები
მოაქციეს	მო აქცი ეს
სანაპიროები	სა ნაპირო ები
ბუშის	ბუშ ის
უღლების	უღლ ების
გამოქვეყნებულა	გამო ქვეყნ ებულა
მოიცავს	მო იცავ ს
კირიბატის	კ ირიბ ატის
დიტრიხმა	დიტრიხ მა
ჯარების	ჯარ ების
იმპერიული	იმპერ იული
სატევარი	სა ტევ არი
ჩამოყალიბებით	ჩამო ყალიბ ებით
სულებისგან	სულ ებისგან
მაშტაბით	მა შტაბ ით
დაპატიმრებები	და პატიმრებ ები
სააგენტოს	სა აგენტ ოს
ბრაზილიასთან	ბრაზილი ასთან
მიახლოებით	მი ახლო ებით
ვარაუდით	ვარაუდ ით
ახალშობილ	ა ხალშობილ
უბრძანებია	უ ბრძანებ ია
კასტელი	კასტ ელი
უმრავლესობით	უ მრავლესობ ით
წლებში	წლ ებში
დაყოფა	და ყოფ ა
ავალდებულებდა	ა ვალდებულებ და
კილომეტრს	კილომე ტრ ს
ფრანკლინ	ფრანკლინ
ვიდეოებს	ვიდეო ებს
განსაზღვრავენ	გან საზღვრ ავენ
ეფლობა	ე ფლობ ა
ჯვრისწერა	ჯვრის წერ ა
შექმნილი	შე ქმნილ ი
მახასიათებლებს	მახასია თებლ ებს
რაინის	რაინ ის
შესატყვისი	შე სატყვის ი
მიწებში	მიწ ებში
წლისთავთან	წლისთ ავ თან
სეზონთან	სეზონ თან
შეკითხვა	შე კითხვ ა
სტილსა	სტილ სა
მოჰყავდათ	მო ჰყავ დათ
კრიტიკოსი	კრიტიკოს ი
იუნონას	იუნონა ს
იუნიორთა	იუ ნი ორთა
ძალისხმევა	ძალისხმე ვ ა
ცვივა	ცვივ ა
თანადამფუძნებელი	თანადა მფუძნებელ ი
დაიშალა	და იშალ ა
ჯეპრას	ჯე პრ ას
პიტერ	პიტერ
გრაფების	გრაფ ების
ლავრა	ლავრ ა
წამოდგა	წამო დგ ა
ჰიპოკრატეს	ჰიპო კრატ ეს
ანდერსონი	ანდე რ სონი
წარმოებდა	წარმოებ და
ოლაფი	ოლაფ ი
გამოუცდელი	გამოუ ცდელ ი
განუკურნებელი	გან უკურნებელ ი
ტრიბუნები	ტრიბუნ ები
პაროდიული	პა როდ იული
ბრალდებებს	ბრალდ ებებს
კომპანიებისთვის	კომპანი ებისთვის
სიყმაწვილე	სი ყმაწვილ ე
უყვებოდა	უყვ ებოდა
საბაჟოს	სა ბაჟ ოს
რგოლს	რგოლ ს
აუკრძალეს	აუ კრძალ ეს
განვითარების	განვითარ ების
აქაურ	ა ქა ურ
ლიტურგია	ლიტურგ ია
ქვიშაქვებით	ქვიშაქვ ებით
დასწრებია	და სწრ ებია
მართლმადიდებელი	მართლმა დიდ ებელი
ლომის	ლ ომის
კინოინდუსტრია	კინო ინდუსტრ ია
გარეთა	გარეთ ა
იესოს	იეს ოს
რჩეულ	რჩეულ
ტერიტორიასაც	ტერიტორი ასაც
ფონდს	ფონდ ს
ლეგო	ლეგ ო
სასკეს	სა სკ ეს
სიმაღლებრივი	სიმაღლე ბ რივი
სავოევოდო	სა ვოევოდ ო
ლაურეატი	ლაურეატ ი
სასულთნოს	სა სულთნ ოს
ინტერვალის	ინტერ ვალ ის
შემოღებული	შემო ღებულ ი
მომავლისთვის	მომავლ ისთვის
შეწირვა	შე წირვ ა
ჩიკაგო	ჩიკა გ ო
აღდგენილიყო	აღ დგენილ იყო
ტიტულიც	ტიტულ იც
გამუდმებულ	გამუდმე ბულ
სრუტეები	სრუტე ები
პერიოდშივე	პერიოდ შივე
კახთა	კახ თა
დასაწყისი	დასა წყის ი
სტამბოლი	სტამბოლ ი
ოლიმპია	ოლიმპი ა
თაბაშირის	თაბაშირ ის
აყალიბებენ	ა ყალიბ ებენ
ვალინორში	ვალინორ ში
მჟავა	მჟავ ა
ფილმია	ფილმ ია
გეგმები	გეგმ ები
ჟიურის	ჟიურ ის
ბარძაყის	ბარ ძაყ ის
მოკლას	მოკლ ას
შეერია	შე ერ ია
ოქუმის	ოქ უმის
შობას	შ ობას
ამნისტია	ამნისტი ა
ბერის	ბერ ის
მჟღავნდება	მჟღავნ დება
სახეობისთვის	სა ხეობ ისთვის
ხვრელია	ხვრელ ია
ბლოკ	ბლოკ
რაღა	რ აღა
განაგრძობენ	განა გრძ ობენ
გამოფენებში	გამო ფენ ებში
ამტკიცებდნენ	ა მტკიცებ დნენ
დამსახურებით	დამ სახურ ებით
ჰიუ	ჰ იუ
კარლა	კარლ ა
ოლიგარქიული	ოლიგარქი ული
მოსწორებულია	მო სწორ ებულია
მეოთხედში	მე ოთხედ ში
გავლენიან	გა ვლენ იან
კაპიტულაციას	კაპიტულაც იას
სარდაფი	სა რდაფ ი
ინგლისელი	ი ნგლისელ ი
ნათელ	ნათელ
აკავშირებდა	ა კავშირ ებდა
აგებულების	აგებულ ების
პალეოლოგოსის	პალეო ლოგ ოსის
დიალექტი	დიალექტ ი
გინეკოლოგიური	გი ნეკ ოლოგიური
კაპიტანია	კაპიტან ია
მათემატიკამ	მათემა ტიკ ამ
მდგომარეობისა	მ დგომარეობ ისა
შვილიშვილს	შვილიშვილ ს
წარმატების	წარმატ ების
უცვლის	უ ცვლ ის
დასახმარებლად	დასა ხმარ ებლად
გარდაცვლილს	გარდაცვლი ლ ს
ოკრუგის	ოკრუგ ის
მკვდარ	მკვდარ
დარჩებოდა	დარჩ ებოდა
ბოლშევიკური	ბოლშევ იკ ური
პორტუგალიის	პორტუგალ იის
იშტვან	ი შტ ვან
ოტელი	ოტ ელი
ჩხალთის	ჩხა ლთ ის
ანდრონიკაშვილის	ანდრონიკაშვილ ის
საკრავიერი	სა კრავ იერი
წინამძღვარს	წინამძღვ არს
სამნიტები	სა მნიტ ები
თათრებს	თათრ ებს
მღელვარე	მღელვარ ე
ორგანიზმებზე	ორგანიზმ ებზე
მაგისტრალზე	მა გისტრალ ზე
აყვანილი	ა ყვანილ ი
გააოცა	გაა ოც ა
სასურველი	სა სურველ ი
ჯინი	ჯინ ი
შს	შს
სახელმწიფოთაშორისი	სა ხელმწიფო თაშორისი
უწოდებს	უწოდ ებს
მარინეს	მარინ ეს
ნეიტრონის	ნეიტრონ ის
გაბრტყელებული	გა ბრტყელ ებული
ტელეარხმა	ტელეარხ მა
ეკიპაჟმა	ე კიპაჟ მა
პროცესების	პროცეს ების
ვიქტორიანული	ვიქტორიანულ ი
აზნაურს	აზნაურ ს
მბრუნავი	მ ბრუნ ავი
კევინ	კევინ
აკისრია	ა კისრ ია
ანტუანის	ანტუან ის
ბრიტანეთსა	ბრიტანეთ სა
ვერცხლით	ვერცხლ ით
წარმოდგენილნი	წარმო დგენილ ნი
ხრამის	ხრამ ის
ჩატანებულია	ჩა ტან ებულია
ეკლესიით	ე კლესი ით
ქვაბები	ქვაბ ები
სრულებითაც	სრულ ებითაც
დანებების	და ნებ ების
ოფიცერს	ოფიც ერ ს
ხრესილის	ხრეს ილის
ჯოანა	ჯოან ა
კლინიკურად	კლინიკ ურად
მლნ	მ ლნ
მალისა	მა ლ ისა
იკითხებოდა	ი კითხ ებოდა
ოცდამეცხრე	ოცდამე ცხრ ე
ააშენა	ა აშენ ა
დაბომბვის	და ბომბვ ის
მამაკაცია	მამა კაც ია
ვილაპარაკეთ	ვი ლაპარაკ ეთ
ბედავდა	ბედ ავდა
მინანქრის	მინან ქრ ის
ბანაკს	ბანაკ ს
ექსპედიციებს	ექსპედიც იებს
ძელებით	ძელ ებით
იზაბელა	იზაბე ლ ა
დღიანი	დღ იანი
ბაზები	ბაზ ები
ნათების	ნა თ ების
გადაწყვეტილების	გადა წყვეტილებ ის
ნორმები	ნორმ ები
პროცესებს	პროცეს ებს
დედამიწასთან	დედა მიწ ასთან
ფერმერები	ფერმე რ ები
თვალწინ	თვალ წინ
ფილოლოგია	ფილოლოგი ა
მითხრა	მი თხრ ა
კამილუსმა	კამილუს მა
რენამოს	რენ ამოს
იარაღით	იარაღ ით
სცემენ	სცემ ენ
ბელონას	ბელონ ას
ელიზაბეთი	ე ლიზაბეთ ი
უკიდურესი	უ კიდურ ესი
საკითხებთან	სა კითხ ებთან
დოკუმენტებით	დოკუმენტ ებით
პენის	პენ ის
სამლოცველო	სამ ლოცველ ო
როსონერი	როსონერ ი
რელიეფური	რელიეფ ური
ბენდს	ბენდ ს
ექსპლოატაციის	ექს პლოატ აციის
ვაი	ვა ი
მოხვედრა	მო ხვედრ ა
უდიდებულესობის	უ დიდებულ ესობის
გრძნობას	გრძნობ ას
ლოცვა	ლოცვ ა
ღამე	ღამე
ლოდებით	ლოდებ ით
ნინოშვილის	ნინო შვილ ის
ტური	ტურ ი
ადიდე	ა დიდე
განსაკუთრებულობა	გა ნსაკუთრებულ ობა
ლოუს	ლოუ ს
დამხობილ	და მხობ ილ
გუდვილი	გუდ ვილი
ჯერა	ჯერ ა
ისტორიოგრაფიაში	ისტორი ოგრაფიაში
კოლუმბიელი	კოლუმბი ელი
ობიექტური	ობიექტ ური
ცხოვრებისათვის	ცხოვრებ ისათვის
გამოჩენისას	გამო ჩენ ისას
მარჯნის	მარჯ ნ ის
გაზრდამ	გაზრდ ამ
თესლი	თესლ ი
იზოტოპის	იზოტოპ ის
პროვინციებს	პროვინცი ებს
სივილ	სი ვილ
შემცველ	შე მცველ
დაეცემა	დაე ცემ ა
იტევს	ი ტევ ს
თედორე	თე დორ ე
დასავლეთისკენ	და სავლეთ ისკენ
სექცია	სექცი ა
პრინციპულად	პრინციპ ულად
შეემატნენ	შეე მატ ნენ
მოხარული	მო ხარ ული
მეზღვაურების	მეზღვაუ რ ების
დაფების	და ფ ების
ტერმინატორის	ტერმინ ატორის
მოღვაწეობამ	მო ღვაწეობ ამ
მოდის	მო დ ის
აღგზნება	აღ გზნებ ა
გაჩეხვის	გა ჩეხ ვის
რონალდო	რონალდ ო
გრინვუდი	გრინვუდ ი
ალაჰი	ალაჰ ი
ქართველოლოგიის	ქართველ ოლოგიის
მეძებარი	მ ეძებ არი
დააზარალა	დაა ზარალ ა
რეიტინგული	რეიტინგ ული
ტიბეტის	ტიბეტ ის
ელჩობა	ელჩ ობა
ვაქცინის	ვაქცინ ის
თუთიყუშის	თუთიყუ შის
რომეოს	რომე ოს
ვულკანია	ვულკან ია
სიმპლონის	სიმ პლ ონის
ამანში	ა მან ში
მოგებაც	მო გებ აც
ორგანიზმებით	ორგანიზმ ებით
ლენინი	ლენინ ი
გამომცემელმა	გამო მცემ ელმა
ენფილდზე	ენ ფილდ ზე
ზონასთან	ზონ ასთან
მოვლენად	მო ვლენ ად
ვადამდე	ვად ამდე
სიგრძივი	სი გრძივ ი
სისხლი	სისხლ ი
ფილოსოფიასთან	ფილოსოფი ასთან
გაჭირვებული	გა ჭირვ ებული
დამატებას	დამა ტ ებას
ნახევარსფეროზე	ნახევარ სფერო ზე
ყმა	ყ მა
გაბრიელის	გაბრიე ლ ის
მოხატა	მო ხატ ა
სხვადასხვანაირია	სხვადასხვანაი რ ია
მეგობრულად	მეგობრ ულად
შეჭრილიყო	შე ჭრილ იყო
დაამონტაჟა	დაამო ნტაჟ ა
ტუპაკ	ტუპაკ
მაიკლ	მაიკლ
აღდგომის	აღდგომ ის
შეეყარა	შეე ყარ ა
გაჩერებული	გა ჩერ ებული
მიაკითხა	მია კითხ ა
მათრახი	მათ რახ ი
დარეჯანი	და რეჯ ანი
აუტანელი	ა უტან ელი
ასვლისას	ა სვლ ისას
სუზანა	სუზან ა
აკრიტიკებს	აკრიტიკ ებს
გარსიას	გარს იას
ზრუნვას	ზრუნვ ას
მონარქიული	მო ნარქი ული
სიმღერაც	სი მღერ აც
შემდგომი	შე მდგომ ი
იცოდე	იცოდ ე
თხემურ	თხემ ურ
მარსელ	მარს ელ
რომელთან	რომელ თან
უწესო	უ წეს ო
რაინდებს	რაინდ ებს
სახელები	სახელ ები
სათნოებას	სათნო ებას
პანორამული	პანორამ ული
იკისრა	იკისრ ა
ფაშისტურ	ფაშისტ ურ
კლდეს	კლდე ს
გამრავლება	გა მრავლ ება
რელიქტური	რელიქტურ ი
რუმინულ	რუმინ ულ
სხდომას	სხდომ ას
ჩემპიონად	ჩემპიონ ად
თანამეგობრობის	თანა მეგობრ ობის
ფენებს	ფენ ებს
ხახულის	ხახ ულის
კარიერაც	კარიერ აც
თანრიგში	თან რიგ ში
დაბოლოებას	დაბოლო ებას
გადაწერილი	გადა წერილ ი
შეიკრიბნენ	შე იკრიბ ნენ
მომხდარი	მომხდა რ ი
ლარს	ლ არს
ღირებულებით	ღირებულებ ით
ოჯახებში	ოჯახ ებში
კათოლიკურმა	კათოლიკ ურმა
რგოლები	რგოლ ები
შეეცვალათ	შეე ცვალ ათ
პილასტრით	პილასტრ ით
მომღერალთა	მომღერალ თ ა
რაკეტების	რაკეტ ების
რობინის	რობინ ის
ტომ	ტომ
ბელგრადის	ბელგრად ის
ამხანაგური	ამხანა გური
მუსულმანებს	მუსულმა ნ ებს
წამის	წამ ის
სეპარატისტულ	სეპარატისტულ
აბრაამის	აბრაამ ის
თრი	თრ ი
ვერსიად	ვერსი ად
კრეისერი	კრეის ერი
რადიაქტიური	რადი აქტიურ ი
საიმპერიო	სა იმპერ იო
გამოიტანეს	გამო იტან ეს
ფარა	ფარ ა
ასურეთის	ასურ ეთის
არაუმეტეს	არა უმეტეს
განსაცდელი	გა ნსაცდელ ი
ყბა	ყბ ა
კახეთსა	კახეთ სა
მთავარანგელოზთა	მთავარანგელოზ თა
აღმასრულებელმა	აღმა სრულებელ მა
მონათლა	მო ნათლ ა
იგეგმება	ი გეგმ ება
ქორწინებაში	ქორწინებ აში
ბოთლებში	ბოთლ ებში
განედი	განედ ი
ტილზიტის	ტილ ზიტ ის
მოედნები	მოედნ ები
დაღესტანში	და ღესტან ში
წლებმა	წლ ებმა
ადგილებშიც	ადგილ ებშიც
ცოდვის	ცოდვ ის
ენაცვლება	ე ნაცვლ ება
იაპონელების	იაპონელ ების
