გამოსხივება	გამო სხივ ება
წმიდანს	წმიდ ანს
საყლაპავი	სა ყლაპ ავი
ფრანცისკო	ფრანც ის კო
წყევლის	წყევლ ის
თრაინ	თ რაინ
მისალმების	მისალმ ების
ნოვიცკი	ნოვი ცკი
წაყენებული	წა ყენებ ული
სამკაულებს	სამკაულ ებს
ცვლილებათა	ცვლილ ება თა
თავად	თავად
შეთანხმდა	შე თანხმდ ა
ჟორჟი	ჟორჟ ი
პოლმა	პოლ მა
კარლს	კარლ ს
ურთიერთობაზე	ურ თი ერთობ აზე
შთამომავალს	შთამო მავალ ს
სერვერიდან	სერვერ იდან
თინათინი	თინათინ ი
მაიკროსოფტმა	მაიკ როსოფტ მა
დაკანონდა	და კანონ და
ანგელოზმა	ა ნგელოზ მა
ფუს	ფუს
წუთით	წუთ ით
პაციენტები	პა ციენტ ები
პირად	პირ ად
ჯონის	ჯონ ის
ქვაც	ქვ აც
ბესტი	ბესტ ი
სულიერ	სულ ი ერ
წამოწეული	წამო წეული
დიდებულები	დიდებულ ები
ისტორიამ	ის ტორი ამ
რეზონანსი	რეზონან სი
ფრონტონის	ფრონტ ონის
ვარშავა	ვარშავა
სანდრა	სა ნდრ ა
ასპირანტი	ა ს პირ ანტი
ინვალიდის	ინვალიდი ს
ამოღებულ	ამოღ ებულ
გავდა	გავ და
პარკისა	პარკ ისა
სართავი	სა რთავ ი
მშენებარე	მშენ ება რე
ფოტონის	ფოტო ნის
წესი	წეს ი
ხოტბა	ხოტ ბა
ციკლონების	ციკლო ნ ების
ამინდში	ა მინდ ში
წყლისთვის	წყლ ის თვის
კანტონების	კ ანტონ ების
აზნაურების	ა ზნაურ ების
გოლიათი	გოლ ი ათი
აუხსნელი	ა უხსნ ელი
კენტის	კენ ტის
ვარსკვლავთკარიბჭე	ვარსკვლავთ კარიბჭე
ბოშების	ბოშ ების
ტიურინგის	ტიურ ი ნგის
გურჯი	გურჯ ი
ჩემპიონობისათვის	ჩემპიონ ობის ათვის
კერნის	კერ ნის
დათოსაც	და თო საც
ბირჟის	ბირჟ ის
ოცდამერვე	ოცდა მერვე
არსენის	არსენ ის
ბრუნვა	ბრუნ ვა
კვარტეტი	კვარტ ეტი
წამოწყება	წამო წყებ ა
ტიტველი	ტიტ ველი
პროცესი	პროცე სი
აყვავების	ა ყვავ ების
გუსტავი	გუსტ ავი
სტაბილური	სტა ბილურ ი
ცენტურიონი	ც ენტ ური ონი
ბამბის	ბამბ ის
ვირს	ვირ ს
მდგომარეობაშია	მდგომარეო ბაში ა
ღრუში	ღრუ ში
ბრძენმა	ბრძენ მა
ტონაზე	ტონ აზე
კარზეც	კარ ზეც
ფოტოსინთეზის	ფოტო სი ნთეზ ის
ღვთაებრივ	ღვთ ა ებრივ
სპარტა	სპარტ ა
დაბინძურებულ	და ბინძ ურ ებულ
იაპ	ია პ
კვარტლები	კვარტ ლები
ენერგიით	ენერგი ი თ
სისხლისსამართლებრივი	სისხლ ის სა მართლ ებრივი
იუდეველებმა	იუდევ ელ ებმა
დადგინდეს	და დგინ დეს
ნუსხურსა	ნუსხ ურ სა
მყინვარი	მყინვარ ი
ცდები	ცდ ები
გველების	გველ ების
შენების	შენ ების
დავითნი	დავით ნი
ჩირი	ჩი რი
სატვირთო	სა ტვირთ ო
ამაში	ა მა ში
ბრაუნი	ბრაუნ ი
მიუსაჯა	მიუსაჯ ა
ეთიკა	ე თი კ ა
ბინ	ბინ
ტერასა	ტერას ა
ველური	ველ ური
სისტემატიკის	ს ისტემ ატიკ ის
ასკეტური	ასკე ტური
ზომამ	ზომ ამ
თანაგუნდელები	თან ა გუნდ ელ ები
უშაქრო	უ შაქრ ო
მიიჩნიეს	მიიჩნი ეს
მუსიკასა	მუსიკ ა სა
ბარდა	ბარ და
თეთრკანიანები	თეთრკან ია ნები
ლეიბლებზე	ლეიბლ ებზე
აინტერესებდათ	ა ინტერ ეს ებდა თ
თებერვლისთვის	თებერვლ ის თვის
სისტემებთან	ს ისტემ ებთან
შეეთავაზებინა	შეე თავაზ ებინა
ბადალი	ბად ალი
გასაყიდი	გა სა ყიდ ი
მთაგრეხილის	მთ აგრე ხილის
გააშენა	გაა შენა
მახარაძეს	მახარ აძე ს
მეტალიკამ	მეტალ ი კამ
დააზუსტა	და ა ზუსტ ა
სექსუალურ	სექს უ ალურ
ესმა	ეს მა
კლუბები	კლუბ ები
მზრუნველობის	მზრუნველ ობის
თავდასხმის	თა ვდასხმ ის
შერჩენილია	შე რჩენილ ი ა
იწყეს	იწყეს
სერია	სერი ა
სათათბირო	სა თათბირო
მტკვარი	მტკ ვარი
მეტალების	მეტალ ების
გამოც	გამო ც
ოსტატი	ოსტატ ი
საყრდენად	საყრ დენ ად
გაჩერდნენ	გა ჩერ დნენ
ზენიტის	ზენიტ ის
საკარმიდამო	სა კ არმი და მო
ხერხემლიანი	ხერხემლ იანი
მოსახლეზე	მო სახლ ეზე
შეხედულებას	შე ხედულ ებას
ჰარლემში	ჰარლემ ში
კალაპოტის	კალ ა პო ტის
მინერალ	მინერა ლ
ფასადის	ფასად ის
უფლებამოსილი	უფლებ ამოსილ ი
სახლზე	სახლ ზე
სიმაგრე	სიმაგრე
შენობასთან	შენობ ასთან
გადმოჰყურებს	გადმო ჰყურ ებს
კრამიტი	კრამიტ ი
მცხეთას	მცხე თა ს
ჰემი	ჰემ ი
გორილები	გორილ ები
რონი	რ ონი
ნომინაციაში	ნომინ აცია ში
გაგიჟებულია	გა გიჟ ებული ა
კინემატოგრაფიული	კინემატოგრაფ იული
იემენის	ი ე მე ნის
ემოსა	ე მოსა
ბავშვს	ბავშვ ს
მოაწყვეს	მო აწყ ვეს
ერიტრეის	ერიტრე ის
დაავადებანი	და ავად ება ნი
ეკიპაჟის	ეკიპაჟ ის
კურსიდან	კურს იდან
გამომადგა	გამო მა დგა
საჭირბოროტო	სა ჭირ ბოროტ ო
ავანგარდულ	ავან გარდ ულ
ფეხში	ფეხ ში
მალდინიმ	მალდინ იმ
მემამულეთა	მ ემამულე თა
პარაზიტებია	პარა ზიტ ები ა
პროექტებზე	პროექტ ებზე
ტექსტები	ტექსტ ები
რომანოზ	რომან ოზ
ფინეთმა	ფინეთ მა
ჰუსიტური	ჰუსიტ ური
გრანდიოზული	გრანდ იოზ ული
კარგმა	კარგ მა
მასათა	მა ს ა თა
გაატანა	გა ა ტანა
სპეციფიური	სპეცი ფი ური
უხდება	უხდ ება
უპირობოდ	უპირ ობ ოდ
ბოლქვიანი	ბოლქვ იანი
ტანკზე	ტანკ ზე
გაუქმებული	გა უქმებ ული
პროლოგი	პრ ოლოგი
მანქანაზე	მა ნქან ა ზე
ანონიმი	ა ნონიმ ი
გაზრდას	გა ზრდა ს
მასშტაბური	მა სშტაბ ური
ცვლაში	ცვლ აში
რეპრესიები	რეპრე სი ები
ვერა	ვერ ა
ვერასოდეს	ვერ ას ოდეს
ერისთავად	ერის თავად
გაზრდილია	გა ზრდილი ა
კვადრატულია	კვადრატ ულია
იარსებებს	ი არსებ ებს
ცივილიზაციის	ცივილიზ აციის
მაისს	მა ის ს
სინგლად	ს ინგლ ად
შერიგება	შე რიგებ ა
კუბაზე	კუბ აზე
მეკობრეების	მეკობრე ების
ქვეშევრდომები	ქვე შე ვრდომ ები
თოვლით	თოვლ ით
მამაც	მამაც
დეტალებს	დეტალ ებს
გაირკვეს	გა ი რკვე ს
ლიზინგი	ლიზ ინგი
ნიკოლაი	ნიკოლ ა ი
პირი	პირ ი
დაყვეს	და ყვეს
ტრანსფერი	ტრანს ფერი
ბიუროკრატიული	ბიურო კრატ ი ული
ესთეტიკას	ესთეტ იკას
მატჩში	მატჩ ში
მოიყარეს	მო ი ყარეს
საშუალოზე	სა შუალო ზე
ხარიჯიტები	ხარი ჯი ტები
გოგონაა	გოგონა ა
დაკავებულები	დაკავ ებულ ები
ველად	ველად
ზეპირსიტყვიერების	ზე პირ სიტყვ იერებ ი ს
პოლიციური	პოლიცი ური
სასწორი	სა სწორ ი
მონო	მო ნო
ნიკოლსკოეს	ნიკოლ სკოეს
გუბერნია	გუბერნ ია
დიპლომატიური	დიპლო მა ტი ური
პოლემიკა	პოლ ემ იკა
დაბოლოს	და ბოლოს
მონსტრები	მო ნსტრ ები
ნუმიზმატიკის	ნუმიზმატ იკის
კარდინალ	კარდინ ალ
მეთვალყურეობით	მე თვალ ყურე ობით
მიწას	მიწა ს
აღადგენენ	აღ ადგენ ენ
ჩაცმულობის	ჩაცმ უ ლობის
გადასასვლელად	გადა სა სვლელ ად
კუხეთის	კუხ ეთის
ქურუმები	ქურუ მ ები
ტერიტორიაც	ტერიტორ ი აც
კრუხობს	კრუხ ობს
გორი	გორი
სეზონში	სეზონ ში
ტვინში	ტვინ ში
ქართლის	ქართლ ის
შემაჯამებელი	შე მა ჯამ ებელი
გააქტიურება	გა აქტიურ ება
დათარიღებული	და თარიღ ებული
საქსონია	საქსო ნი ა
ოქტომბრიდან	ო ქტომბ რიდან
უკვდავებას	უ კვდავ ებას
ჯადოსნურ	ჯადოსნ ურ
სარეკონსტრუქციო	სა რეკ ონსტრუქც იო
ბრაზილიამ	ბრაზილი ამ
გარჩევას	გა რჩევა ს
სოფლების	სოფლ ების
მოყოლებული	მო ყოლ ებული
ოციანი	ოც იანი
სიმბოლოთი	სიმბოლ ოთ ი
მარცხნიდან	მარცხ ნ იდან
შიშველია	შიშ ველი ა
სექტემბრის	სექტ ემბრ ის
სამუშაოში	სამ უშაო ში
ადმინისტრაციულმა	ადმი ნისტრაც ი ულმა
პარკების	პარკ ების
პოზიციების	პოზიცი ების
დისციპლინები	დისცი პლინ ები
კონსტანტინოპოლი	კონ სტანტინ ოპოლ ი
ღელვის	ღელვ ის
სულებისთვის	სულ ების თვის
იტალიისკენ	იტალი ისკენ
კლდიაშვილი	კლდია შვილი
ნიმუშების	ნიმუშ ების
სულიწმინდის	სული წმინდ ის
ბატალიონის	ბატალი ონის
სკუდეტოს	ს კუდეტო ს
მაგალითისათვის	მა გალით ისა თვის
ხვეული	ხვე ული
სტალინგრადის	სტალინ გრად ის
ანსამბლმა	ანსამბლ მა
ებრძოლათ	ებრძოლ ა თ
ცნობარი	ცნობ არი
მცენარეებსა	მცენარე ებს ა
საკითხისათვის	სა კითხ ის ათვის
წარმოდგენები	წარმო დგენ ები
მოაქციეს	მო აქცი ეს
სანაპიროები	სანაპირო ები
ბუშის	ბუშ ის
უღლების	უღ ლები ს
გამოქვეყნებულა	გამო ქვეყნ ებულ ა
მოიცავს	მოიც ავს
კირიბატის	კირ ი ბატ ის
დიტრიხმა	დიტრიხ მა
ჯარების	ჯარ ების
იმპერიული	იმპერი ული
სატევარი	სა ტე ვარი
ჩამოყალიბებით	ჩამო ყალიბ ებით
სულებისგან	სულ ების გან
მაშტაბით	მა შტაბ ით
დაპატიმრებები	და პატიმრ ებები
სააგენტოს	სა აგენტო ს
ბრაზილიასთან	ბრაზილი ასთან
მიახლოებით	მი ახლო ებით
ვარაუდით	ვარაუდ ით
ახალშობილ	ახალ შობილ
უბრძანებია	უ ბრძან ები ა
კასტელი	კასტ ელი
უმრავლესობით	უმრავლე ს ობით
წლებში	წლ ებში
დაყოფა	და ყოფა
ავალდებულებდა	ა ვალდებუ ლებ და
კილომეტრს	კილომეტრ ს
ფრანკლინ	ფრანკ ლინ
ვიდეოებს	ვიდეო ებს
განსაზღვრავენ	გან საზღვრ ავენ
ეფლობა	ე ფლ ობა
ჯვრისწერა	ჯვრ ის წერა
შექმნილი	შე ქმნი ლი
მახასიათებლებს	მა ხასიათებ ლებს
რაინის	რაინ ის
შესატყვისი	შესა ტყვი ს ი
მიწებში	მიწ ებში
წლისთავთან	წლის თავ თან
სეზონთან	სეზონ თან
შეკითხვა	შე კითხვა
სტილსა	სტილ სა
მოჰყავდათ	მო ჰყავდ ათ
კრიტიკოსი	კრიტიკ ო სი
იუნონას	იუნონა ს
იუნიორთა	იუნი ორთა
ძალისხმევა	ძალისხმევ ა
ცვივა	ცვივა
თანადამფუძნებელი	თანა და მფუძნებ ელ ი
დაიშალა	და იშალა
ჯეპრას	ჯეპრას
პიტერ	პიტერ
გრაფების	გრაფ ების
ლავრა	ლავრ ა
წამოდგა	წამო დგა
ჰიპოკრატეს	ჰიპო კრატ ეს
ანდერსონი	ანდერ სონი
წარმოებდა	წარმოებ და
ოლაფი	ოლაფი
გამოუცდელი	გამოუ ცდ ელი
განუკურნებელი	განუ კურნ ებელი
ტრიბუნები	ტრიბუნ ები
პაროდიული	პაროდი ული
ბრალდებებს	ბრალდ ებ ებს
კომპანიებისთვის	კომპან ი ების თვის
სიყმაწვილე	ს იყმაწვილე
უყვებოდა	უყვ ებოდა
საბაჟოს	საბაჟო ს
რგოლს	რგოლ ს
აუკრძალეს	ა უ კრძალ ეს
განვითარების	გან ვითარებ ის
აქაურ	აქაურ
ლიტურგია	ლიტურგ ია
ქვიშაქვებით	ქვიშაქ ვ ებით
დასწრებია	დასწრ ებია
მართლმადიდებელი	მა რთლმადიდებ ელი
ლომის	ლომ ის
კინოინდუსტრია	კინო ინდუსტრ ია
გარეთა	გარე თა
იესოს	ი ეს ოს
რჩეულ	რჩეულ
ტერიტორიასაც	ტერიტორ იას აც
ფონდს	ფონდ ს
ლეგო	ლე გო
სასკეს	ს ას კ ეს
სიმაღლებრივი	ს ი მაღლ ებრივი
სავოევოდო	სა ვოევოდო
ლაურეატი	ლაურეატ ი
სასულთნოს	სა სულთნ ოს
ინტერვალის	ინტერ ვალი ს
შემოღებული	შემო ღებულ ი
მომავლისთვის	მო მა ვლის თვის
შეწირვა	შეწირვ ა
ჩიკაგო	ჩიკაგო
აღდგენილიყო	აღდგენ ილიყო
ტიტულიც	ტიტულ ი ც
გამუდმებულ	გა მუდმ ებულ
სრუტეები	სრუტე ები
პერიოდშივე	პერიოდ ში ვე
კახთა	კახ თა
დასაწყისი	დასა წყ ის ი
სტამბოლი	სტამბო ლი
ოლიმპია	ოლიმპ ია
თაბაშირის	თა ბაში რის
აყალიბებენ	ა ყალიბ ებენ
ვალინორში	ვალი ნორ ში
მჟავა	მჟავ ა
ფილმია	ფილმ ია
გეგმები	გეგმ ები
ჟიურის	ჟი ურის
ბარძაყის	ბარძაყ ის
მოკლას	მო კლას
შეერია	შე ერი ა
ოქუმის	ოქ უმის
შობას	შობ ა ს
ამნისტია	ამნისტი ა
ბერის	ბერ ის
მჟღავნდება	მ ჟღავნ დება
სახეობისთვის	სახე ობის თვის
ხვრელია	ხვრელ ია
ბლოკ	ბლოკ
რაღა	რ აღა
განაგრძობენ	გა ნა გრძ ობენ
გამოფენებში	გამო ფენ ებში
ამტკიცებდნენ	ა მტკიცებ დნენ
დამსახურებით	დ ამსახურ ებით
ჰიუ	ჰიუ
კარლა	კარლ ა
ოლიგარქიული	ო ლიგ არქი ული
მოსწორებულია	მო სწორ ებულ ია
მეოთხედში	მეოთ ხედ ში
გავლენიან	გა ვლენ იან
კაპიტულაციას	კაპიტ ულაცი ას
სარდაფი	ს არდაფ ი
ინგლისელი	ინგლ ის ელი
ნათელ	ნათელ
აკავშირებდა	ა კავშირ ებდა
აგებულების	აგებ ულ ების
პალეოლოგოსის	პალეო ლოგო ს ის
დიალექტი	დია ლექტ ი
გინეკოლოგიური	გინ ეკოლოგ ი ური
კაპიტანია	კაპიტან ია
მათემატიკამ	მა თემატი კამ
მდგომარეობისა	მდგომარეო ბისა
შვილიშვილს	შვილი შვილ ს
წარმატების	წარმატ ების
უცვლის	უცვლ ის
დასახმარებლად	დასა ხმარ ებლად
გარდაცვლილს	გარდა ცვლილ ს
ოკრუგის	ოკრუგი ს
მკვდარ	მკვდარ
დარჩებოდა	დარჩ ებოდა
ბოლშევიკური	ბოლშე ვ იკური
პორტუგალიის	პორტუგალ ი ის
იშტვან	ი შტ ვან
ოტელი	ოტ ელი
ჩხალთის	ჩხ ალთ ის
ანდრონიკაშვილის	ანდრო ნიკა შვილის
საკრავიერი	სა კრავ იერი
წინამძღვარს	წინამძღვ არს
სამნიტები	სამნიტ ები
თათრებს	თათრ ებს
მღელვარე	მ ღელვარ ე
ორგანიზმებზე	ორგანიზმ ებზე
მაგისტრალზე	მაგისტრ ალ ზე
აყვანილი	ა ყვანი ლი
გააოცა	გა აოც ა
სასურველი	სა სურვ ელი
ჯინი	ჯინ ი
შს	შს
სახელმწიფოთაშორისი	სა ხელმწიფო თა შორ ის ი
უწოდებს	უწოდ ებს
მარინეს	მარი ნეს
ნეიტრონის	ნეიტრ ონის
გაბრტყელებული	გა ბრტყ ელ ებული
ტელეარხმა	ტელეარხ მა
ეკიპაჟმა	ეკიპაჟ მა
პროცესების	პროცესებ ის
ვიქტორიანული	ვიქტორ იან ული
აზნაურს	ა ზნაურ ს
მბრუნავი	მ ბრუნ ავი
კევინ	კევინ
აკისრია	ა კისრ ია
ანტუანის	ანტუან ის
ბრიტანეთსა	ბრიტან ეთსა
ვერცხლით	ვერცხლ ით
წარმოდგენილნი	წარმო დგენილ ნი
ხრამის	ხრა მის
ჩატანებულია	ჩა ტან ებულ ი ა
ეკლესიით	ეკლესი ი თ
ქვაბები	ქვაბ ები
სრულებითაც	სრულებ ითაც
დანებების	დან ებ ების
ოფიცერს	ოფიც ერს
ხრესილის	ხრ ესი ლის
ჯოანა	ჯო ანა
კლინიკურად	კლინ იკურ ად
მლნ	მლნ
მალისა	მა ლი სა
იკითხებოდა	ი კითხ ებოდა
ოცდამეცხრე	ოცდა მეცხრე
ააშენა	აა შენა
დაბომბვის	და ბომბვ ის
მამაკაცია	მა მა კაც ია
ვილაპარაკეთ	ვი ლაპარაკ ეთ
ბედავდა	ბედ ავდა
მინანქრის	მინანქ რის
ბანაკს	ბანაკ ს
ექსპედიციებს	ე ქსპედიც ი ებს
ძელებით	ძელ ებით
იზაბელა	იზაბელ ა
დღიანი	დღ იანი
ბაზები	ბაზ ები
ნათების	ნათ ების
გადაწყვეტილების	გადა წყვეტ ილ ების
ნორმები	ნორმ ები
პროცესებს	პროცესებ ს
დედამიწასთან	დედა მიწ ასთან
ფერმერები	ფერმერ ები
თვალწინ	თვალ წინ
ფილოლოგია	ფილ ოლოგი ა
მითხრა	მით ხრა
კამილუსმა	კამილუს მა
რენამოს	რე ნა მოს
იარაღით	იარაღ ით
სცემენ	სცემ ენ
ბელონას	ბელ ონ ა ს
ელიზაბეთი	ელიზაბე თი
უკიდურესი	უკიდურე სი
საკითხებთან	სა კითხ ებთან
დოკუმენტებით	დოკუმენ ტები თ
პენის	პენი ს
სამლოცველო	სა მლოცველ ო
როსონერი	როს ონერი
რელიეფური	რელიეფ ური
ბენდს	ბენდ ს
ექსპლოატაციის	ექსპლ ო ატ აციის
ვაი	ვაი
მოხვედრა	მო ხვედრ ა
უდიდებულესობის	უ დიდებულ ეს ობის
გრძნობას	გრძნობ ას
ლოცვა	ლოცვ ა
ღამე	ღამე
ლოდებით	ლოდ ებით
ნინოშვილის	ნინო შვილის
ტური	ტური
ადიდე	ად იდე
განსაკუთრებულობა	გან სა კუთრებ ულობა
ლოუს	ლოუ ს
დამხობილ	დამხ ობილ
გუდვილი	გუდ ვილი
ჯერა	ჯერა
ისტორიოგრაფიაში	ის ტორი ოგრაფი აში
კოლუმბიელი	კოლუმბ ი ელი
ობიექტური	ობიექტ ური
ცხოვრებისათვის	ცხოვრებ ის ათვის
გამოჩენისას	გამო ჩენ ის ას
მარჯნის	მარჯ ნის
გაზრდამ	გა ზრდა მ
თესლი	თესლ ი
იზოტოპის	იზოტოპ ის
პროვინციებს	პროვინცი ებს
სივილ	ს ი ვილ
შემცველ	შე მცველ
დაეცემა	დაე ცემა
იტევს	ი ტევ ს
თედორე	თედო რე
დასავლეთისკენ	და სავლეთი ს კენ
სექცია	ს ექცია
პრინციპულად	პრინციპ ულად
შეემატნენ	შე ემატ ნენ
მოხარული	მო ხარულ ი
მეზღვაურების	მე ზღვა ურ ების
დაფების	დაფ ების
ტერმინატორის	ტერმინ ატორი ს
მოღვაწეობამ	მო ღვაწეობ ამ
მოდის	მო დის
აღგზნება	აღ გზ ნება
გაჩეხვის	გა ჩეხ ვის
რონალდო	რონალდ ო
გრინვუდი	გრინ ვუდ ი
ალაჰი	ალაჰი
ქართველოლოგიის	ქართველ ოლოგი ის
მეძებარი	მე ძე ბარი
დააზარალა	და ა ზარალ ა
რეიტინგული	რ ეიტინგ ული
ტიბეტის	ტიბეტ ის
ელჩობა	ელჩ ობა
ვაქცინის	ვაქცინ ის
თუთიყუშის	თუთი ყუ ში ს
რომეოს	რომეო ს
ვულკანია	ვულკან ია
სიმპლონის	სიმპ ლო ნის
ამანში	ა მან ში
მოგებაც	მოგ ებაც
ორგანიზმებით	ორგანიზმ ებით
ლენინი	ლენინ ი
გამომცემელმა	გამო მცემ ელმა
ენფილდზე	ენ ფილდ ზე
ზონასთან	ზონ ას თან
მოვლენად	მო ვლენ ად
ვადამდე	ვად ამდე
სიგრძივი	სი გრძივ ი
სისხლი	სისხლ ი
ფილოსოფიასთან	ფილოსოფ ი ასთან
გაჭირვებული	გა ჭირვ ებული
დამატებას	და მატ ებას
ნახევარსფეროზე	ნა ხევარსფერო ზე
ყმა	ყმა
გაბრიელის	გაბრი ელი ს
მოხატა	მო ხატა
სხვადასხვანაირია	სხვა და სხვა ნაირი ა
მეგობრულად	მეგობ რულად
შეჭრილიყო	შე ჭრ ილიყო
დაამონტაჟა	დაა მო ნტაჟ ა
ტუპაკ	ტუპაკ
მაიკლ	მაიკლ
აღდგომის	აღ დგომ ის
შეეყარა	შე ეყარა
გაჩერებული	გ ა ჩერ ებული
მიაკითხა	მია კითხ ა
მათრახი	მა თრახი
დარეჯანი	და რე ჯან ი
აუტანელი	აუტა ნელი
ასვლისას	ას ვლის ას
სუზანა	ს უზან ა
აკრიტიკებს	ა კრიტიკ ებს
გარსიას	გარს ია ს
ზრუნვას	ზრუნ ვას
მონარქიული	მონ არქი ული
სიმღერაც	ს იმღერ აც
შემდგომი	შე მდგომ ი
იცოდე	იცოდე
თხემურ	თხემ ურ
მარსელ	მარს ელ
რომელთან	რომელ თან
უწესო	უ წეს ო
რაინდებს	რაინდ ებს
სახელები	სახელ ები
სათნოებას	სათნო ებას
პანორამული	პანორამ ული
იკისრა	იკის რა
ფაშისტურ	ფაშ ი სტურ
კლდეს	კლდე ს
გამრავლება	გა მრავლ ება
რელიქტური	რელიქ ტური
რუმინულ	რუმინ ულ
სხდომას	სხდომ ას
ჩემპიონად	ჩემპიონ ად
თანამეგობრობის	თანა მეგობ რ ობის
ფენებს	ფენ ებს
ხახულის	ხახ ული ს
კარიერაც	კარიერ აც
თანრიგში	თან რიგ ში
დაბოლოებას	და ბოლო ებას
გადაწერილი	გადა წერილი
შეიკრიბნენ	შე იკრიბ ნენ
მომხდარი	მო მხდარ ი
ლარს	ლარს
ღირებულებით	ღირებ ულ ებით
ოჯახებში	ოჯახ ებში
კათოლიკურმა	კათოლიკ ურმა
რგოლები	რგოლ ები
შეეცვალათ	შე ეცვალა თ
პილასტრით	პილასტრ ით
მომღერალთა	მო მღერალ თა
რაკეტების	რაკეტ ების
რობინის	რობინ ის
ტომ	ტომ
ბელგრადის	ბელგ რად ის
ამხანაგური	ამხანა გური
მუსულმანებს	მუსულ მან ებს
წამის	წამ ის
სეპარატისტულ	სეპარატისტ ულ
აბრაამის	აბრაამ ის
თრი	თრი
ვერსიად	ვერსი ად
კრეისერი	კრეისერ ი
რადიაქტიური	რად ი აქტიურ ი
საიმპერიო	სა იმპერი ო
გამოიტანეს	გამო იტანე ს
ფარა	ფარა
ასურეთის	ა ს ურ ეთის
არაუმეტეს	ა რ ა უმეტ ეს
განსაცდელი	გან საცდელ ი
ყბა	ყბ ა
კახეთსა	კახეთ სა
მთავარანგელოზთა	მთავარ ა ნგელოზ თა
აღმასრულებელმა	აღმ ა სრულებელ მა
მონათლა	მონათ ლა
იგეგმება	ი გეგმ ება
ქორწინებაში	ქორწინ ება ში
ბოთლებში	ბოთლ ებში
განედი	განე დი
ტილზიტის	ტილ ზიტ ის
მოედნები	მოედნ ები
დაღესტანში	დაღეს ტან ში
წლებმა	წლ ებმა
ადგილებშიც	ადგილ ებშიც
