გამოსხივება	გამო სხივ ება
საყლაპავი	სა ყლაპ ავი
ფრანცისკო	ფრან ცისკ ო
წყევლის	წყევლ ის
თრაინ	თრა ინ
მისალმების	მი სალმ ების
ნოვიცკი	ნოვიცკ ი
წაყენებული	წა ყენებ ული
სამკაულებს	სა მკაულ ებს
ცვლილებათა	ცვლილებ ათა
თავად	თავ ად
შეთანხმდა	შე თანხმ და
ჟორჟი	ჟორჟ ი
პოლმა	პოლ მა
კარლს	კარლ ს
ურთიერთობაზე	ურთიერთობ აზე
შთამომავალს	შთამომა ვალ ს
სერვერიდან	სერვერ იდან
თინათინი	თინათი ნი
მაიკროსოფტმა	მაი კროსოფტ მა
დაკანონდა	და კანონ და
ანგელოზმა	ანგელოზ მა
ფუს	ფუ ს
წუთით	წუთ ით
პაციენტები	პაციენტ ები
პირად	პირ ად
ჯონის	ჯონ ის
ქვაც	ქვ აც
ბესტი	ბესტ ი
სულიერ	სულიერ
წამოწეული	წამო წე ული
დიდებულები	დიდ ებულები
ისტორიამ	ისტორ იამ
რეზონანსი	რეზონა ნს ი
ფრონტონის	ფრონტ ონის
ვარშავა	ვარ შავ ა
სანდრა	სა ნდრ ა
ასპირანტი	ას პირ ანტი
ინვალიდის	ინვალიდ ის
ამოღებულ	ამოღ ებულ
გავდა	გა ვ და
პარკისა	პარკ ისა
სართავი	სართავ ი
მშენებარე	მშენებ არე
ფოტონის	ფოტო ნ ის
წესი	წეს ი
ხოტბა	ხოტბ ა
ციკლონების	ციკლონ ების
ამინდში	ა მინდ ში
წყლისთვის	წყლ ისთვის
კანტონების	კანტონ ების
აზნაურების	ა ზნაურ ების
გოლიათი	გოლ იათ ი
აუხსნელი	ა უხსნ ელი
კენტის	კენტ ის
ვარსკვლავთკარიბჭე	ვარსკვლავთ კარიბჭე
ბოშების	ბოშ ების
ტიურინგის	ტიურ ინგის
გურჯი	გურჯ ი
ჩემპიონობისათვის	ჩემპიონობ ისათვის
კერნის	კერ ნ ის
დათოსაც	და თო საც
ბირჟის	ბირჟ ის
ოცდამერვე	ოცდამე რ ვე
არსენის	არსენ ის
ბრუნვა	ბრუნვ ა
კვარტეტი	კვა რტ ეტი
წამოწყება	წამო წყებ ა
ტიტველი	ტიტვ ელი
პროცესი	პროცეს ი
აყვავების	აყვავ ების
გუსტავი	გუსტავ ი
სტაბილური	სტაბილურ ი
ცენტურიონი	ცენტური ონი
ბამბის	ბამბ ის
ვირს	ვირ ს
მდგომარეობაშია	მ დგომარეობ აშია
ღრუში	ღრუ ში
ბრძენმა	ბრძენ მა
ტონაზე	ტონ აზე
კარზეც	კარ ზეც
ფოტოსინთეზის	ფოტო სინთეზ ის
ღვთაებრივ	ღვთაებ რივ
სპარტა	სპარტ ა
დაბინძურებულ	და ბინძურებ ულ
იაპ	ი აპ
კვარტლები	კვარტლ ები
ენერგიით	ენერგი ით
სისხლისსამართლებრივი	სისხლისსამ ართლ ებრივი
იუდეველებმა	ი უდეველ ებმა
დადგინდეს	და დგინ დეს
ნუსხურსა	ნუსხურ სა
მყინვარი	მყინვარ ი
ცდები	ცდ ები
გველების	გველ ების
შენების	შენებ ის
დავითნი	დავით ნი
ჩირი	ჩირ ი
სატვირთო	სა ტვირთ ო
ამაში	ამ აში
ბრაუნი	ბრაუნ ი
მიუსაჯა	მიუ საჯ ა
ეთიკა	ეთიკ ა
ბინ	ბ ინ
ტერასა	ტერას ა
ველური	ველ ური
სისტემატიკის	სისტემ ატიკის
ასკეტური	ას კეტ ური
ზომამ	ზომ ამ
თანაგუნდელები	თანაგუნდელ ები
უშაქრო	უ შაქრ ო
მიიჩნიეს	მი იჩნი ეს
მუსიკასა	მუსიკ ასა
ბარდა	ბარ და
თეთრკანიანები	თეთრკანიან ები
ლეიბლებზე	ლეიბლ ებზე
აინტერესებდათ	ა ინტერეს ებდათ
თებერვლისთვის	თებერვლ ისთვის
სისტემებთან	სისტემ ებთან
შეეთავაზებინა	შეე თავაზ ებინა
ბადალი	ბად ალი
გასაყიდი	გასა ყიდ ი
მთაგრეხილის	მთა გრეხილი ს
გააშენა	გა აშენ ა
მახარაძეს	მახარაძ ეს
მეტალიკამ	მეტა ლიკ ამ
დააზუსტა	დაა ზუსტ ა
სექსუალურ	სექსუალ ურ
ესმა	ესმ ა
კლუბები	კლუბ ები
მზრუნველობის	მ ზრუნველ ობის
თავდასხმის	თავდასხმ ის
შერჩენილია	შე რჩენილ ია
იწყეს	იწყ ეს
სერია	სერი ა
სათათბირო	სა თათბირ ო
მტკვარი	მტკვარ ი
მეტალების	მე ტალ ების
გამოც	გამო ც
ოსტატი	ოსტატ ი
საყრდენად	სა ყრდენ ად
გაჩერდნენ	გა ჩერ დნენ
ზენიტის	ზენიტ ის
საკარმიდამო	სა კარმ იდამო
ხერხემლიანი	ხერხემლიან ი
მოსახლეზე	მოსახლე ზე
შეხედულებას	შეხედულე ბ ას
ჰარლემში	ჰარლემ ში
კალაპოტის	კალაპოტ ის
მინერალ	მინერა ლ
ფასადის	ფასად ის
უფლებამოსილი	უფლებამოსი ლ ი
სახლზე	სახლ ზე
სიმაგრე	სი მაგრ ე
შენობასთან	შენობ ასთან
გადმოჰყურებს	გადმო ჰყურ ებს
კრამიტი	კრამიტ ი
მცხეთას	მ ცხეთ ას
ჰემი	ჰემ ი
გორილები	გორილ ები
რონი	რონ ი
ნომინაციაში	ნომინ აციაში
გაგიჟებულია	გა გიჟ ებულია
კინემატოგრაფიული	კინემატოგრაფიუ ლ ი
იემენის	ი ემ ენის
ემოსა	ე მოს ა
ბავშვს	ბავშვ ს
მოაწყვეს	მო აწყ ვეს
ერიტრეის	ერიტრე ის
დაავადებანი	დაავად ებანი
ეკიპაჟის	ე კიპაჟ ის
კურსიდან	კურს იდან
გამომადგა	გამომ ადგ ა
საჭირბოროტო	საჭირ ბოროტ ო
ავანგარდულ	ავანგარდ ულ
ფეხში	ფეხ ში
მალდინიმ	მა ლდინ იმ
მემამულეთა	მე მამულ ეთა
პარაზიტებია	პარაზიტ ებია
პროექტებზე	პროექტ ებზე
ტექსტები	ტექსტ ები
რომანოზ	რომან ოზ
ფინეთმა	ფინეთ მა
ჰუსიტური	ჰუსი ტურ ი
გრანდიოზული	გრანდიოზულ ი
კარგმა	კარგ მა
მასათა	მას ათა
გაატანა	გაა ტან ა
სპეციფიური	სპეციფ ი ური
უხდება	უ ხდ ება
უპირობოდ	უ პირობ ოდ
ბოლქვიანი	ბოლქვ იანი
ტანკზე	ტანკ ზე
გაუქმებული	გა უქმ ებული
პროლოგი	პრო ლოგ ი
მანქანაზე	მა ნქან აზე
ანონიმი	ა ნონიმ ი
გაზრდას	გა ზრდ ას
მასშტაბური	მა სშტაბ ური
ცვლაში	ცვლ აში
რეპრესიები	რეპრეს იები
ვერა	ვერ ა
ვერასოდეს	ვერა სოდ ეს
ერისთავად	ერისთავ ად
გაზრდილია	გა ზრდილ ია
კვადრატულია	კვადრატ ულია
იარსებებს	ი არსებ ებს
ცივილიზაციის	ცივილიზაცი ის
მაისს	მაის ს
სინგლად	სინგლ ად
შერიგება	შე რიგ ება
კუბაზე	კუბ აზე
მეკობრეების	მეკობრე ებ ის
ქვეშევრდომები	ქვეშევრდომ ები
თოვლით	თოვლ ით
მამაც	მამაც
დეტალებს	დეტალ ებს
გაირკვეს	გაი რკვ ეს
ლიზინგი	ლიზ ინგი
ნიკოლაი	ნიკოლა ი
პირი	პირ ი
დაყვეს	და ყვ ეს
ტრანსფერი	ტრანსფერ ი
ბიუროკრატიული	ბიურო კრატიული
ესთეტიკას	ესთეტიკ ას
მატჩში	მატჩ ში
მოიყარეს	მოი ყარ ეს
საშუალოზე	სა შუალ ოზე
ხარიჯიტები	ხარი ჯ იტები
გოგონაა	გოგონ აა
დაკავებულები	და კავ ებულები
ველად	ველ ად
ზეპირსიტყვიერების	ზეპირსი ტყვიერ ების
პოლიციური	პოლიცი ური
სასწორი	სა სწორ ი
მონო	მონ ო
ნიკოლსკოეს	ნიკოლ სკოეს
გუბერნია	გუბერნ ია
დიპლომატიური	დიპლომა ტ იური
პოლემიკა	პო ლემ იკა
დაბოლოს	და ბოლ ოს
მონსტრები	მო ნსტრ ები
ნუმიზმატიკის	ნუმიზმა ტიკ ის
კარდინალ	კარდინა ლ
მეთვალყურეობით	მე თვალყურ ეობით
მიწას	მიწ ას
აღადგენენ	აღა დგენ ენ
ჩაცმულობის	ჩაცმულობ ის
გადასასვლელად	გადასა სვლ ელად
კუხეთის	კუ ხეთ ის
ქურუმები	ქურუმ ები
ტერიტორიაც	ტერიტორი აც
კრუხობს	კრუხ ობს
გორი	გორ ი
სეზონში	სეზონ ში
ტვინში	ტვინ ში
ქართლის	ქართლ ის
შემაჯამებელი	შემა ჯამ ებელი
გააქტიურება	გა აქტიურ ება
დათარიღებული	და თარიღ ებული
საქსონია	სა ქსონ ია
ოქტომბრიდან	ოქტომბრ იდან
უკვდავებას	უ კვდავ ებას
ჯადოსნურ	ჯადოსნ ურ
სარეკონსტრუქციო	სა რეკონსტრუქც იო
ბრაზილიამ	ბრაზილ იამ
გარჩევას	გა რჩევ ას
სოფლების	სოფლ ების
მოყოლებული	მო ყოლ ებული
ოციანი	ოც იანი
სიმბოლოთი	სიმბო ლ ოთი
მარცხნიდან	მარცხ ნიდან
შიშველია	შიშველი ა
სექტემბრის	სექტემბრ ის
სამუშაოში	სამ უშაო ში
ადმინისტრაციულმა	ადმი ნისტრაციულ მა
პარკების	პარკ ების
პოზიციების	პოზიცი ების
დისციპლინები	დისციპლინ ები
კონსტანტინოპოლი	კონსტანტინოპოლ ი
ღელვის	ღელვ ის
სულებისთვის	სულ ებისთვის
იტალიისკენ	იტალი ისკენ
კლდიაშვილი	კლდი აშვილი
ნიმუშების	ნიმუშ ების
სულიწმინდის	სული წმინდ ის
ბატალიონის	ბატალიონ ის
სკუდეტოს	სკუდეტო ს
მაგალითისათვის	მაგა ლით ისათვის
ხვეული	ხვ ეული
სტალინგრადის	სტალინ გრადის
ანსამბლმა	ანსამბლ მა
ებრძოლათ	ე ბრძოლ ათ
ცნობარი	ცნობ არი
მცენარეებსა	მ ცენარე ებსა
საკითხისათვის	სა კითხ ისათვის
წარმოდგენები	წარმო დგენ ები
მოაქციეს	მო აქცი ეს
სანაპიროები	სანაპირ ო ები
ბუშის	ბუშ ის
უღლების	უღლ ების
გამოქვეყნებულა	გამო ქვეყნებ ულა
მოიცავს	მო იცავ ს
კირიბატის	კირიბ ატის
დიტრიხმა	დიტრიხ მა
ჯარების	ჯარ ების
იმპერიული	იმპერი ული
სატევარი	სა ტევ არი
ჩამოყალიბებით	ჩამო ყალიბ ებით
სულებისგან	სულ ებისგან
მაშტაბით	მა შტაბ ით
დაპატიმრებები	დაპატიმრებ ები
სააგენტოს	სა აგენტ ოს
ბრაზილიასთან	ბრაზილ იასთან
მიახლოებით	მი ახლო ებით
ვარაუდით	ვარაუდ ით
ახალშობილ	ა ხალშობილ
უბრძანებია	უ ბრძანებ ია
კასტელი	კა სტ ელი
უმრავლესობით	უმრა ვლესობ ით
წლებში	წ ლ ებში
დაყოფა	და ყოფ ა
ავალდებულებდა	ა ვალდებულებ და
კილომეტრს	კილომეტრ ს
ფრანკლინ	ფრანკლინ
ვიდეოებს	ვიდეო ებს
განსაზღვრავენ	გა ნსაზღვრ ავენ
ეფლობა	ე ფლობ ა
ჯვრისწერა	ჯვრი სწერ ა
შექმნილი	შე ქმნილ ი
მახასიათებლებს	მახასი ათებლ ებს
რაინის	რაინ ის
შესატყვისი	შესა ტყვ ისი
მიწებში	მიწ ებში
წლისთავთან	წლისთავ თან
სეზონთან	სეზონ თან
შეკითხვა	შე კითხვ ა
სტილსა	სტილ სა
მოჰყავდათ	მო ჰყავდათ
კრიტიკოსი	კრიტიკოს ი
იუნონას	იუნონ ას
იუნიორთა	ი უნი ორთა
ძალისხმევა	ძალისხმე ვ ა
ცვივა	ცვივ ა
თანადამფუძნებელი	თანადამ ფუძნ ებელი
დაიშალა	და იშალ ა
ჯეპრას	ჯე პრ ას
პიტერ	პიტერ
გრაფების	გრაფ ების
ლავრა	ლავრ ა
წამოდგა	წამო დგ ა
ჰიპოკრატეს	ჰიპო კრატ ეს
ანდერსონი	ა ნდერსონ ი
წარმოებდა	წარმოებ და
ოლაფი	ოლაფ ი
გამოუცდელი	გამოუ ცდ ელი
განუკურნებელი	განუ კურნ ებელი
ტრიბუნები	ტრიბუნ ები
პაროდიული	პაროდი ული
ბრალდებებს	ბრალდებ ებს
კომპანიებისთვის	კომპანი ებისთვის
სიყმაწვილე	სი ყმაწვილე
უყვებოდა	უყვ ებოდა
საბაჟოს	სა ბაჟ ოს
რგოლს	რგოლ ს
აუკრძალეს	აუ კრძალ ეს
განვითარების	განვითარ ების
აქაურ	აქა ურ
ლიტურგია	ლიტურგ ია
ქვიშაქვებით	ქვიშაქვ ებით
დასწრებია	და სწრებ ია
მართლმადიდებელი	მართლმა დიდებელ ი
ლომის	ლომ ის
კინოინდუსტრია	კინო ინდუსტრი ა
გარეთა	გა რ ეთა
იესოს	იეს ოს
რჩეულ	რჩეულ
ტერიტორიასაც	ტერიტორი ასაც
ფონდს	ფონდ ს
ლეგო	ლეგ ო
სასკეს	სა სკ ეს
სიმაღლებრივი	სი მაღლ ებრივი
სავოევოდო	სა ვოევოდ ო
ლაურეატი	ლაურეატ ი
სასულთნოს	სა სულთნ ოს
ინტერვალის	ი ნტერვალ ის
შემოღებული	შემო ღებ ული
მომავლისთვის	მო მავლ ისთვის
შეწირვა	შე წირვ ა
ჩიკაგო	ჩიკაგო
აღდგენილიყო	აღდგენ ილიყო
ტიტულიც	ტიტულ იც
გამუდმებულ	გა მუდმ ებულ
სრუტეები	სრუტე ები
პერიოდშივე	პერიოდ შივე
კახთა	კახ თა
დასაწყისი	დასა წყის ი
სტამბოლი	სტამბოლ ი
ოლიმპია	ოლიმპი ა
თაბაშირის	თაბაშირ ის
აყალიბებენ	ა ყალიბ ებენ
ვალინორში	ვალინორ ში
მჟავა	მ ჟავ ა
ფილმია	ფილმ ია
გეგმები	გეგმ ები
ჟიურის	ჟიურ ის
ბარძაყის	ბარ ძაყ ის
მოკლას	მოკლ ას
შეერია	შე ერ ია
ოქუმის	ოქ უმის
შობას	შობ ას
ამნისტია	ა მნისტ ია
ბერის	ბერ ის
მჟღავნდება	მჟღავნ დება
სახეობისთვის	სა ხეობ ისთვის
ხვრელია	ხვრელ ია
ბლოკ	ბლოკ
რაღა	რ აღა
განაგრძობენ	განა გრძ ობენ
გამოფენებში	გამო ფენ ებში
ამტკიცებდნენ	ა მტკიც ებდნენ
დამსახურებით	დამსახუ რებ ით
ჰიუ	ჰ იუ
კარლა	კარლ ა
ოლიგარქიული	ოლიგა რქ იული
მოსწორებულია	მო სწორ ებულია
მეოთხედში	მე ოთხედ ში
გავლენიან	გა ვლენ იან
კაპიტულაციას	კაპიტულა ცი ას
სარდაფი	სა რდაფ ი
ინგლისელი	ინგლისელ ი
ნათელ	ნათელ
აკავშირებდა	ა კავშირ ებდა
აგებულების	აგებულ ების
პალეოლოგოსის	პალეო ლოგ ოსის
დიალექტი	დიალექტ ი
გინეკოლოგიური	გინ ეკოლოგიურ ი
კაპიტანია	კაპიტან ია
მათემატიკამ	მათემა ტიკ ამ
მდგომარეობისა	მ დგომარეობ ისა
შვილიშვილს	შვილიშვილ ს
წარმატების	წარმატებ ის
უცვლის	უ ცვლ ის
დასახმარებლად	დასა ხმარ ებლად
გარდაცვლილს	გარდა ცვლილ ს
ოკრუგის	ოკრუგ ის
მკვდარ	მკვდარ
დარჩებოდა	დარჩ ებოდა
ბოლშევიკური	ბოლშევი კ ური
პორტუგალიის	პორტუგალ იის
იშტვან	იშტ ვან
ოტელი	ოტელ ი
ჩხალთის	ჩხა ლთ ის
ანდრონიკაშვილის	ა ნდრონიკაშვილ ის
საკრავიერი	სა კრავ იერი
წინამძღვარს	წინამ ძღვარ ს
სამნიტები	სა მნიტ ები
თათრებს	თათრ ებს
მღელვარე	მ ღელვარ ე
ორგანიზმებზე	ორგანიზმ ებზე
მაგისტრალზე	მაგისტრა ლ ზე
აყვანილი	ა ყვანილ ი
გააოცა	გაა ოც ა
სასურველი	სა სურველ ი
ჯინი	ჯინ ი
შს	შს
სახელმწიფოთაშორისი	სა ხელმწიფო თაშორისი
უწოდებს	უწოდ ებს
მარინეს	მარინ ეს
ნეიტრონის	ნეიტრონ ის
გაბრტყელებული	გა ბრტყელ ებული
ტელეარხმა	ტელეარხ მა
ეკიპაჟმა	ე კიპაჟ მა
პროცესების	პროცეს ების
ვიქტორიანული	ვიქტორი ანული
აზნაურს	ა ზნაურ ს
მბრუნავი	მ ბრუნ ავი
კევინ	კევინ
აკისრია	ა კისრ ია
ანტუანის	ა ნტუან ის
ბრიტანეთსა	ბრიტანეთ სა
ვერცხლით	ვერცხლ ით
წარმოდგენილნი	წარმო დგენილ ნი
ხრამის	ხრამ ის
ჩატანებულია	ჩა ტან ებულია
ეკლესიით	ე კლესი ით
ქვაბები	ქვაბ ები
სრულებითაც	სრულებ ითაც
დანებების	და ნებ ების
ოფიცერს	ოფიცერ ს
ხრესილის	ხრესილ ის
ჯოანა	ჯო ან ა
კლინიკურად	კლინიკ ურად
მლნ	მლნ
მალისა	მა ლ ისა
იკითხებოდა	ი კითხ ებოდა
ოცდამეცხრე	ოცდამე ცხრ ე
ააშენა	ა აშენ ა
დაბომბვის	და ბომბვ ის
მამაკაცია	მამა კ აცია
ვილაპარაკეთ	ვი ლაპარაკ ეთ
ბედავდა	ბედ ავდა
მინანქრის	მინანქ რ ის
ბანაკს	ბანაკ ს
ექსპედიციებს	ექსპედიცი ებს
ძელებით	ძელ ებით
იზაბელა	იზაბელა
დღიანი	დღ იანი
ბაზები	ბაზ ები
ნათების	ნათ ების
გადაწყვეტილების	გადა წყვეტილებ ის
ნორმები	ნორმ ები
პროცესებს	პროცეს ებს
დედამიწასთან	დედა მიწ ასთან
ფერმერები	ფერმერ ები
თვალწინ	თვალ წინ
ფილოლოგია	ფილოლოგ ია
მითხრა	მი თხრ ა
კამილუსმა	კამილუს მა
რენამოს	რენ ამ ოს
იარაღით	იარაღ ით
სცემენ	სცემ ენ
ბელონას	ბე ლონ ას
ელიზაბეთი	ე ლიზაბეთ ი
უკიდურესი	უ კიდურ ესი
საკითხებთან	სა კითხ ებთან
დოკუმენტებით	დოკუმენტებ ით
პენის	პ ენის
სამლოცველო	სა მლოცველ ო
როსონერი	როსონერ ი
რელიეფური	რელიეფ ური
ბენდს	ბენდ ს
ექსპლოატაციის	ექს პლოატ აციის
ვაი	ვა ი
მოხვედრა	მო ხვედრ ა
უდიდებულესობის	უ დიდებულესობ ის
გრძნობას	გრძნობ ას
ლოცვა	ლოცვ ა
ღამე	ღამ ე
ლოდებით	ლოდ ებით
ნინოშვილის	ნინო შვილ ის
ტური	ტ ური
ადიდე	ა დიდე
განსაკუთრებულობა	განსაკუთრებუ ლ ობა
ლოუს	ლ ოუს
დამხობილ	და მხობ ილ
გუდვილი	გუდ ვილი
ჯერა	ჯერ ა
ისტორიოგრაფიაში	ი სტორიოგრაფ იაში
კოლუმბიელი	კოლუმბ იელი
ობიექტური	ობიექტ ური
ცხოვრებისათვის	ცხოვრებ ისათვის
გამოჩენისას	გამო ჩენ ისას
მარჯნის	მარჯნ ის
გაზრდამ	გა ზრდ ამ
თესლი	თესლ ი
იზოტოპის	იზოტოპ ის
პროვინციებს	პროვინცი ებს
სივილ	სი ვილ
შემცველ	შე მცველ
დაეცემა	დაე ცემ ა
იტევს	ი ტევ ს
თედორე	თე დორ ე
დასავლეთისკენ	დასა ვლეთ ისკენ
სექცია	სექცი ა
პრინციპულად	პრინციპ ულად
შეემატნენ	შე ემატ ნენ
მოხარული	მო ხარ ული
მეზღვაურების	მეზღვაუ რ ების
დაფების	დაფ ების
ტერმინატორის	ტერმინ ატორის
მოღვაწეობამ	მო ღვაწეობ ამ
მოდის	მო დ ის
აღგზნება	აღ გზნებ ა
გაჩეხვის	გაჩე ხვ ის
რონალდო	რონალ დ ო
გრინვუდი	გრინ ვუდ ი
ალაჰი	ალაჰ ი
ქართველოლოგიის	ქართველ ოლოგიის
მეძებარი	მე ძებ არი
დააზარალა	დაა ზარალ ა
რეიტინგული	რეიტინგ ული
ტიბეტის	ტიბეტ ის
ელჩობა	ელჩ ობა
ვაქცინის	ვაქცინ ის
თუთიყუშის	თუთიყ უშ ის
რომეოს	რომე ოს
ვულკანია	ვულკან ია
სიმპლონის	სიმ პლ ონის
ამანში	ა მან ში
მოგებაც	მო გებ აც
ორგანიზმებით	ორგანიზმ ებით
ლენინი	ლენინ ი
გამომცემელმა	გამომცემ ელ მა
ენფილდზე	ენ ფილდ ზე
ზონასთან	ზონ ასთან
მოვლენად	მო ვლენ ად
ვადამდე	ვად ამდე
სიგრძივი	სი გრძივ ი
სისხლი	სისხლ ი
ფილოსოფიასთან	ფილოსოფი ასთან
გაჭირვებული	გაჭირვე ბულ ი
დამატებას	და მატ ებას
ნახევარსფეროზე	ნახევარ სფერო ზე
ყმა	ყ მა
გაბრიელის	გა ბრიელ ის
მოხატა	მო ხატ ა
სხვადასხვანაირია	სხვადა სხვანაირ ია
მეგობრულად	მე გობრ ულად
შეჭრილიყო	შე ჭრილ იყო
დაამონტაჟა	დაამო ნტაჟ ა
ტუპაკ	ტუპაკ
მაიკლ	მაიკლ
აღდგომის	აღდგომ ის
შეეყარა	შეე ყარ ა
გაჩერებული	გა ჩერ ებული
მიაკითხა	მია კითხ ა
მათრახი	მათრახ ი
დარეჯანი	და რეჯ ანი
აუტანელი	ა უტან ელი
ასვლისას	ას ვლ ისას
სუზანა	სუზან ა
აკრიტიკებს	ა კრიტიკ ებს
გარსიას	გარს იას
ზრუნვას	ზრუნვ ას
მონარქიული	მო ნარქი ული
სიმღერაც	სიმღერ აც
შემდგომი	შე მდგომ ი
იცოდე	იცოდ ე
თხემურ	თხემ ურ
მარსელ	მარ ს ელ
რომელთან	რომელ თან
უწესო	უ წეს ო
რაინდებს	რაინდ ებს
სახელები	სახელ ები
სათნოებას	სა თნო ებას
პანორამული	პანორა მული
იკისრა	ი კისრ ა
ფაშისტურ	ფაშისტ ურ
კლდეს	კლდე ს
გამრავლება	გა მრავლ ება
რელიქტური	რე ლიქ ტური
რუმინულ	რუმი ნ ულ
სხდომას	სხდომ ას
ჩემპიონად	ჩემპიონ ად
თანამეგობრობის	თანა მეგობრობ ის
ფენებს	ფენ ებს
ხახულის	ხახ ულის
კარიერაც	კარიერ აც
თანრიგში	თან რიგ ში
დაბოლოებას	და ბოლო ებას
გადაწერილი	გადა წერილ ი
შეიკრიბნენ	შე იკრიბ ნენ
მომხდარი	მომხდა რ ი
ლარს	ლარს
ღირებულებით	ღირებულებ ით
ოჯახებში	ოჯახ ებში
კათოლიკურმა	კათოლიკ ურმა
რგოლები	რგოლ ები
შეეცვალათ	შეე ცვალ ათ
პილასტრით	პილასტრ ით
მომღერალთა	მო მღერალ თა
რაკეტების	რაკეტ ების
რობინის	რობინ ის
ტომ	ტომ
ბელგრადის	ბელგრად ის
ამხანაგური	ამხანა გური
მუსულმანებს	მუსულმა ნებ ს
წამის	წამ ის
სეპარატისტულ	სეპარატ ისტულ
აბრაამის	ა ბრაამ ის
თრი	თრ ი
ვერსიად	ვერსი ად
კრეისერი	კრეისერ ი
რადიაქტიური	რადი აქტიურ ი
საიმპერიო	სა იმპერი ო
გამოიტანეს	გამო იტან ეს
ფარა	ფარ ა
ასურეთის	ასურეთ ის
არაუმეტეს	არაუ მეტეს
განსაცდელი	გა ნსაცდელ ი
ყბა	ყბ ა
კახეთსა	კახეთ სა
მთავარანგელოზთა	მთავარანგელოზ თა
აღმასრულებელმა	აღმა სრულებელ მა
მონათლა	მო ნათლ ა
იგეგმება	ი გეგმ ება
ქორწინებაში	ქორწინ ებაში
ბოთლებში	ბოთლ ებში
განედი	განედ ი
ტილზიტის	ტილზიტ ის
მოედნები	მოედნ ები
დაღესტანში	დაღეს ტან ში
წლებმა	წლ ებმა
ადგილებშიც	ადგილ ებშიც
ცოდვის	ცოდვ ის
