გამოსხივება	გამოსხივ ებ ა
იდეოლოგია	იდე ოლოგი ა
წმიდანს	წმიდ ან ს
საყლაპავი	სა ყლაპ ავი
ფრანცისკო	ფრანცი სკ ო
წყევლის	წყევლ ის
თრაინ	თ რაინ
მისალმების	მი სალმ ების
ნოვიცკი	ნოვიც კ ი
წაყენებული	წა ყენებ ული
სამკაულებს	სამ კაულ ებს
ცვლილებათა	ცვლ ილებ ათა
თავად	თა ვად
შეთანხმდა	შე თანხმ და
ჟორჟი	ჟორ ჟ ი
პოლმა	პოლ მა
კარლს	კარ ლ ს
ურთიერთობაზე	ურთიერთ ობ აზე
შთამომავალს	შთამო მავალ ს
სერვერიდან	სერ ვერ იდან
თინათინი	თინათ ინ ი
მაიკროსოფტმა	მაიკროსო ფტ მა
დაკანონდა	და კანონ და
ანგელოზმა	ანგელოზ მა
ფუს	ფუ ს
წუთით	წუ თ ით
პაციენტები	პაცი ენტ ები
პირად	პირ ად
ჯონის	ჯო ნ ის
ქვაც	ქვ აც
ბესტი	ბ ესტ ი
სულიერ	სულ იერ
წამოწეული	წამო წეულ ი
დიდებულები	დიდ ებულ ები
ისტორიამ	ისტორი ამ
რეზონანსი	რეზონ ანს ი
ფრონტონის	ფრონ ტონ ის
ვარშავა	ვარ შავ ა
სანდრა	სა ნდრ ა
ასპირანტი	ას პირ ანტი
ინვალიდის	ინვალ იდ ის
ამოღებულ	ამო ღებ ულ
გავდა	გა ვ და
პარკისა	პარკ ისა
სართავი	სა რთავ ი
მშენებარე	მ შენებ არე
ფოტონის	ფო ტონ ის
წესი	წეს ი
ხოტბა	ხოტ ბა
ციკლონების	ციკლო ნ ების
ამინდში	ამ ინდ ში
წყლისთვის	წყლ ისთვის
კანტონების	კან ტონ ების
აზნაურების	ა ზნაურ ების
გოლიათი	გოლ იათ ი
აუხსნელი	აუ ხსნ ელი
კენტის	კენტ ის
ვარსკვლავთკარიბჭე	ვარსკვლავთ კარიბჭ ე
ბოშების	ბ ოშ ების
ტიურინგის	ტიურ ინგ ის
გურჯი	გურ ჯ ი
ჩემპიონობისათვის	ჩემპიონ ობის ათვის
კერნის	კერ ნის
დათოსაც	და თო საც
ბირჟის	ბირჟ ის
ოცდამერვე	ოცდა მე რვე
არსენის	არ სენ ის
ბრუნვა	ბრუნ ვ ა
კვარტეტი	კვარ ტეტი
წამოწყება	წამო წყებ ა
ტიტველი	ტიტვ ელ ი
პროცესი	პროცეს ი
აყვავების	ა ყვავებ ის
გუსტავი	გუსტ ავ ი
სტაბილური	სტაბილურ ი
ცენტურიონი	ცენტ ურიონი
ბამბის	ბამბ ის
ვირს	ვი რ ს
მდგომარეობაშია	მდგომარე ობ აშია
ღრუში	ღრუ ში
ბრძენმა	ბრძ ენ მა
ტონაზე	ტონ აზე
კარზეც	კ არ ზეც
ფოტოსინთეზის	ფოტო სინთეზ ის
ღვთაებრივ	ღვთა ებ რივ
სპარტა	სპ არტ ა
დაბინძურებულ	დაბინძურ ებ ულ
იაპ	ია პ
კვარტლები	კვარ ტლ ები
ენერგიით	ენ ერგი ით
სისხლისსამართლებრივი	სისხლისსა მართლებრივ ი
იუდეველებმა	იუდე ველ ებმა
დადგინდეს	და დგინ დეს
ნუსხურსა	ნუს ხურ სა
მყინვარი	მყინვარ ი
ცდები	ცდ ები
გველების	გველ ების
შენების	შე ნ ების
დავითნი	დავით ნი
ჩირი	ჩირ ი
სატვირთო	სა ტვირთ ო
ამაში	ამ აში
ბრაუნი	ბრაუნ ი
მიუსაჯა	მიუ საჯ ა
ეთიკა	ეთ იკ ა
ბინ	ბინ
ტერასა	ტერ ას ა
ველური	ველ ური
სისტემატიკის	სისტემ ატიკ ის
ასკეტური	ას კეტ ური
ზომამ	ზომ ამ
თანაგუნდელები	თანაგუნ დელ ები
უშაქრო	უ შა ქრო
მიიჩნიეს	მიიჩნ ი ეს
მუსიკასა	მუსიკ ასა
ბარდა	ბარდ ა
თეთრკანიანები	თეთრკა ნიან ები
ლეიბლებზე	ლეი ბლ ებზე
აინტერესებდათ	ა ინტერესებ დათ
თებერვლისთვის	თებერ ვლ ისთვის
სისტემებთან	სისტემ ებთან
შეეთავაზებინა	შეე თავაზებ ინა
ბადალი	ბად ალი
გასაყიდი	გასა ყიდ ი
მთაგრეხილის	მთა გრეხილ ის
გააშენა	გა აშენ ა
მახარაძეს	მახარ აძ ეს
მეტალიკამ	მეტა ლიკ ამ
დააზუსტა	დაა ზუსტ ა
სექსუალურ	სექსუალ ურ
ესმა	ესმ ა
კლუბები	კლ უბ ები
მზრუნველობის	მზრუნველ ობ ის
თავდასხმის	თავდა სხმ ის
შერჩენილია	შე რჩენილ ია
იწყეს	იწყ ეს
სერია	სე რი ა
სათათბირო	სათათბი რო
მტკვარი	მტკ ვარ ი
მეტალების	მე ტალ ების
გამოც	გამო ც
ოსტატი	ოს ტატ ი
საყრდენად	საყრდენ ად
გაჩერდნენ	გა ჩერ დნენ
ზენიტის	ზენ იტ ის
საკარმიდამო	საკარმი დამ ო
ხერხემლიანი	ხერხემ ლიან ი
მოსახლეზე	მო სახლე ზე
შეხედულებას	შეხედულ ებ ას
ჰარლემში	ჰარ ლემ ში
კალაპოტის	კალა პოტ ის
მინერალ	მინე რალ
ფასადის	ფას ად ის
უფლებამოსილი	უფლებ ამოსილ ი
სახლზე	სა ხლ ზე
სიმაგრე	სიმაგრე
შენობასთან	შენ ობ ასთან
გადმოჰყურებს	გადმო ჰყურ ებს
კრამიტი	კრა მიტ ი
მცხეთას	მც ხეთ ას
ჰემი	ჰემ ი
გორილები	გო რილ ები
რონი	რონ ი
ნომინაციაში	ნომინ აცი აში
გაგიჟებულია	გა გიჟ ებულია
კინემატოგრაფიული	კინემატო გრაფ იული
იემენის	იე მენ ის
ემოსა	ემო ს ა
ბავშვს	ბავშვ ს
მოაწყვეს	მო აწყ ვეს
ერიტრეის	ერი ტრე ის
დაავადებანი	დაავა დებ ანი
ეკიპაჟის	ეკიპ აჟ ის
კურსიდან	კურ ს იდან
გამომადგა	გამომა დგ ა
საჭირბოროტო	საჭირ ბოროტ ო
ავანგარდულ	ავან გარდ ულ
ფეხში	ფეხ ში
მალდინიმ	მალ დინ იმ
მემამულეთა	მე მამულ ეთა
პარაზიტებია	პარა ზიტ ებია
პროექტებზე	პროექტ ებზე
ტექსტები	ტექსტ ები
რომანოზ	რომ ან ოზ
ფინეთმა	ფინ ეთ მა
ჰუსიტური	ჰუს იტ ური
გრანდიოზული	გრანდიო ზულ ი
კარგმა	კარგ მა
მასათა	მას ათა
გაატანა	გაა ტან ა
სპეციფიური	სპეცი ფი ური
უხდება	უ ხდ ება
უპირობოდ	უ პირობ ოდ
ბოლქვიანი	ბოლქვი ანი
ტანკზე	ტან კ ზე
გაუქმებული	გაუქმ ებ ული
პროლოგი	პრო ლოგ ი
მანქანაზე	მანქან აზე
ანონიმი	ა ნონიმ ი
გაზრდას	გა ზრდ ას
მასშტაბური	მას შტაბ ური
ცვლაში	ცვლ აში
რეპრესიები	რე პრესი ები
ვერა	ვერ ა
ვერასოდეს	ვერ ასოდ ეს
ერისთავად	ერისთავ ად
გაზრდილია	გა ზრდილ ია
კვადრატულია	კვადრ ატ ულია
იარსებებს	ი არსებ ებს
ცივილიზაციის	ცივილ იზაცი ის
მაისს	მა ის ს
სინგლად	სი ნგლ ად
შერიგება	შე რიგებ ა
კუბაზე	კუბ აზე
მეკობრეების	მეკობრ ე ების
ქვეშევრდომები	ქვეშე ვრდომ ები
თოვლით	თო ვლ ით
მამაც	მამაც
დეტალებს	დე ტალ ებს
გაირკვეს	გა ირკვ ეს
ლიზინგი	ლიზ ინგ ი
ნიკოლაი	ნი კოლ აი
პირი	პირ ი
დაყვეს	და ყვ ეს
ტრანსფერი	ტრანსფერ ი
ბიუროკრატიული	ბიურო კრატი ული
ესთეტიკას	ესთეტ იკ ას
მატჩში	მატ ჩ ში
მოიყარეს	მოი ყარ ეს
საშუალოზე	სა შუალ ოზე
ხარიჯიტები	ხარიჯი ტ ები
გოგონაა	გო გონ აა
დაკავებულები	დაკავ ებულ ები
ველად	ველ ად
ზეპირსიტყვიერების	ზეპირ სიტყვიერ ების
პოლიციური	პოლიცი ური
სასწორი	სა სწორ ი
მონო	მ ონ ო
ნიკოლსკოეს	ნი კოლ სკოეს
გუბერნია	გუბერნი ა
დიპლომატიური	დიპლომა ტ იური
პოლემიკა	პოლემ იკ ა
დაბოლოს	და ბოლოს
მონსტრები	მონ სტრ ები
ნუმიზმატიკის	ნუმიზმ ატიკ ის
კარდინალ	კარდინ ალ
მეთვალყურეობით	მეთვალყურ ეობ ით
მიწას	მ იწ ას
აღადგენენ	აღ ადგენ ენ
ჩაცმულობის	ჩაცმ ულობ ის
გადასასვლელად	გადა სასვლელ ად
კუხეთის	კუ ხეთ ის
ქურუმები	ქურ უმ ები
ტერიტორიაც	ტერი ტორი აც
კრუხობს	კრუ ხობ ს
გორი	გორ ი
სეზონში	სე ზონ ში
ტვინში	ტ ვინ ში
ქართლის	ქარ თლ ის
შემაჯამებელი	შემა ჯამ ებელი
გააქტიურება	გა აქტიურ ება
დათარიღებული	და თარიღებ ული
საქსონია	სა ქსონ ია
ოქტომბრიდან	ოქტომ ბრ იდან
უკვდავებას	უ კვდავ ებას
ჯადოსნურ	ჯად ოსნ ურ
სარეკონსტრუქციო	სა რეკონსტრუქც იო
ბრაზილიამ	ბრაზ ილი ამ
გარჩევას	გა რჩევ ას
სოფლების	სოფლ ების
მოყოლებული	მო ყოლებ ული
ოციანი	ოც იანი
სიმბოლოთი	სიმ ბოლო თი
მარცხნიდან	მარცხ ნ იდან
შიშველია	შიშველ ია
სექტემბრის	სექტ ემბრ ის
სამუშაოში	სა მუშაო ში
ადმინისტრაციულმა	ადმინისტრ აცი ულმა
პარკების	პარკ ების
პოზიციების	პოზიცი ების
დისციპლინები	დისციპლინ ები
კონსტანტინოპოლი	კონსტანტინო პოლ ი
ღელვის	ღელვ ის
სულებისთვის	სულ ებისთვის
იტალიისკენ	იტა ლი ისკენ
კლდიაშვილი	კლდ იაშვილ ი
ნიმუშების	ნიმუშ ების
სულიწმინდის	სული წმინდ ის
ბატალიონის	ბატა ლიონ ის
სკუდეტოს	სკუდე ტო ს
მაგალითისათვის	მა გალით ისათვის
ხვეული	ხვეულ ი
სტალინგრადის	სტა ლინ გრადის
ანსამბლმა	ანსამ ბლ მა
ებრძოლათ	ე ბრძოლ ათ
ცნობარი	ცნობ არი
მცენარეებსა	მცენარე ებ სა
საკითხისათვის	სა კითხ ისათვის
წარმოდგენები	წარმო დგენ ები
მოაქციეს	მო აქცი ეს
სანაპიროები	სანაპირ ო ები
ბუშის	ბუ შ ის
უღლების	უღლ ების
გამოქვეყნებულა	გამოქვეყნ ებულ ა
მოიცავს	მო იცავ ს
კირიბატის	კირი ბატ ის
დიტრიხმა	დიტ რიხ მა
ჯარების	ჯარ ების
იმპერიული	იმპერი ული
სატევარი	სა ტევ არი
ჩამოყალიბებით	ჩამო ყალიბებ ით
სულებისგან	სულ ებისგან
მაშტაბით	მა შტაბ ით
დაპატიმრებები	და პატიმრებ ები
სააგენტოს	სააგენ ტო ს
ბრაზილიასთან	ბრაზ ილი ასთან
მიახლოებით	მი ახლოებ ით
ვარაუდით	ვარაუდ ით
ახალშობილ	ახალ შობილ
უბრძანებია	უ ბრძანებ ია
კასტელი	კასტ ელ ი
უმრავლესობით	უმრავლეს ობ ით
წლებში	წლ ებ ში
დაყოფა	და ყოფ ა
ავალდებულებდა	ა ვალდებულ ებდა
კილომეტრს	კილო მეტრ ს
ფრანკლინ	ფრან კლინ
ვიდეოებს	ვიდე ო ებს
განსაზღვრავენ	გან საზღვრ ავენ
ეფლობა	ეფ ლობ ა
ჯვრისწერა	ჯვრის წერ ა
შექმნილი	შე ქმნილ ი
მახასიათებლებს	მა ხასიათებლ ებს
რაინის	რა ინ ის
შესატყვისი	შესა ტყვის ი
მიწებში	მიწ ებ ში
წლისთავთან	წლის თავ თან
სეზონთან	სე ზონ თან
შეკითხვა	შე კითხვ ა
სტილსა	ს ტილ სა
მოჰყავდათ	მო ჰყავდათ
კრიტიკოსი	კრიტიკ ოს ი
იუნონას	იუნ ონ ას
იუნიორთა	იუ ნიორ თა
ძალისხმევა	ძალისხმ ევ ა
ცვივა	ცვ ივ ა
თანადამფუძნებელი	თანადა მფუძნებელ ი
დაიშალა	და იშალ ა
ჯეპრას	ჯე პრ ას
პიტერ	პიტერ
გრაფების	გრაფ ების
ლავრა	ლავრ ა
წამოდგა	წამო დგ ა
ჰიპოკრატეს	ჰიპოკრატ ე ს
ანდერსონი	ანდერ სონ ი
წარმოებდა	წარმოებ და
ოლაფი	ოლ აფ ი
გამოუცდელი	გამოუც დელ ი
განუკურნებელი	განუკურნ ებელ ი
ტრიბუნები	ტრიბუ ნ ები
პაროდიული	პარო დი ული
ბრალდებებს	ბრალ დებ ებს
კომპანიებისთვის	კომპ ანი ებისთვის
სიყმაწვილე	სი ყმაწვილ ე
უყვებოდა	უ ყვ ებოდა
საბაჟოს	საბ აჟო ს
რგოლს	რ გოლ ს
აუკრძალეს	აუ კრძალ ეს
განვითარების	გან ვითარებ ის
აქაურ	აქ ა ურ
ლიტურგია	ლი ტურგი ა
ქვიშაქვებით	ქვიშ აქვ ებით
დასწრებია	და სწრებ ია
მართლმადიდებელი	მართლმადიდ ებელ ი
ლომის	ლ ომ ის
კინოინდუსტრია	კინოინდუ სტრ ია
გარეთა	გარეთ ა
იესოს	ი ეს ოს
რჩეულ	რჩეულ
ტერიტორიასაც	ტერი ტორი ასაც
ფონდს	ფონ დ ს
ლეგო	ლეგ ო
სასკეს	სა სკ ეს
სიმაღლებრივი	სი მაღლ ებრივი
სავოევოდო	სა ვოევოდ ო
ლაურეატი	ლაურე ატი
სასულთნოს	სასულ თნო ს
ინტერვალის	ინტერ ვალ ის
შემოღებული	შემო ღებ ული
მომავლისთვის	მო მავლ ისთვის
შეწირვა	შე წირვ ა
ჩიკაგო	ჩიკა გო
აღდგენილიყო	აღ დგენილ იყო
ტიტულიც	ტი ტულ იც
გამუდმებულ	გამუდმ ებულ
სრუტეები	სრუტ ე ები
პერიოდშივე	პერიოდ შივე
კახთა	კა ხ თა
დასაწყისი	დასა წყის ი
სტამბოლი	სტამბ ოლ ი
ოლიმპია	ოლიმპ ია
თაბაშირის	თა ბაშირ ის
აყალიბებენ	ა ყალიბებ ენ
ვალინორში	ვალი ნორ ში
მჟავა	მჟავ ა
ფილმია	ფილმ ია
გეგმები	გეგმ ები
ჟიურის	ჟი ურ ის
ბარძაყის	ბარძ აყ ის
მოკლას	მო კლ ას
შეერია	შე ერ ია
ოქუმის	ოქ უმ ის
შობას	შო ბ ას
ამნისტია	ამნ ისტი ა
ბერის	ბერ ის
მჟღავნდება	მჟღავნ დება
სახეობისთვის	სახეობ ისთვის
ხვრელია	ხვ რელ ია
ბლოკ	ბლოკ
რაღა	რა ღა
განაგრძობენ	განაგრძ ობ ენ
გამოფენებში	გამო ფენ ებში
ამტკიცებდნენ	ა მტკიცებ დნენ
დამსახურებით	და მსახურებ ით
ჰიუ	ჰ იუ
კარლა	კარ ლ ა
ოლიგარქიული	ოლ იგარქი ული
მოსწორებულია	მო სწორებ ულია
მეოთხედში	მეოთხ ედ ში
გავლენიან	გა ვლენ იან
კაპიტულაციას	კაპიტ ულაცი ას
სარდაფი	სარდ აფ ი
ინგლისელი	ინგლის ელ ი
ნათელ	ნა თელ
აკავშირებდა	ა კავშირებ და
აგებულების	აგ ებულებ ის
პალეოლოგოსის	პალეო ლოგოს ის
დიალექტი	დიალ ექტ ი
გინეკოლოგიური	გინეკ ოლოგიურ ი
კაპიტანია	კაპიტ ან ია
მათემატიკამ	მა თემატიკ ამ
მდგომარეობისა	მდგომარე ობ ისა
შვილიშვილს	შვილ იშვილ ს
წარმატების	წარ მატებ ის
უცვლის	უ ცვლ ის
დასახმარებლად	დასა ხმარებ ლად
გარდაცვლილს	გარდა ცვლილ ს
ოკრუგის	ოკრუ გ ის
მკვდარ	მკვდარ
დარჩებოდა	და რჩ ებოდა
ბოლშევიკური	ბოლშე ვიკ ური
პორტუგალიის	პორტუ გალი ის
იშტვან	ი შტ ვან
ოტელი	ოტ ელ ი
ჩხალთის	ჩხალ თ ის
ანდრონიკაშვილის	ანდრონიკ აშვილ ის
საკრავიერი	სა კრავ იერი
წინამძღვარს	წინამ ძღვარ ს
სამნიტები	სამნ იტ ები
თათრებს	თა თრ ებს
მღელვარე	მ ღელვარ ე
ორგანიზმებზე	ორგანიზმ ებ ზე
მაგისტრალზე	მა გისტრალ ზე
აყვანილი	ა ყვანილ ი
გააოცა	გაა ოც ა
სასურველი	სა სურველ ი
ჯინი	ჯინ ი
შს	შს
სახელმწიფოთაშორისი	სახელმწიფ ო თაშორისი
უწოდებს	უ წოდ ებს
მარინეს	მარ ინ ეს
ნეიტრონის	ნეი ტრონ ის
გაბრტყელებული	გა ბრტყელებ ული
ტელეარხმა	ტელე არხ მა
ეკიპაჟმა	ეკიპ აჟ მა
პროცესების	პროცეს ების
ვიქტორიანული	ვიქტორ იან ული
აზნაურს	ა ზნაურ ს
მბრუნავი	მ ბრუნ ავი
კევინ	კე ვინ
აკისრია	ა კისრ ია
ანტუანის	ანტუ ან ის
ბრიტანეთსა	ბრიტა ნეთ სა
ვერცხლით	ვერც ხლ ით
წარმოდგენილნი	წარმო დგენილ ნი
ხრამის	ხრ ამ ის
ჩატანებულია	ჩა ტანებ ულია
ეკლესიით	ეკლესი ით
ქვაბები	ქვა ბ ები
სრულებითაც	სრულებ ითაც
დანებების	და ნებ ების
ოფიცერს	ოფიც ერ ს
ხრესილის	ხრესი ლ ის
ჯოანა	ჯო ან ა
კლინიკურად	კლი ნიკ ურად
მლნ	მლ ნ
მალისა	მალ ისა
იკითხებოდა	ი კითხ ებოდა
ოცდამეცხრე	ოცდა მე ცხრე
ააშენა	ა აშენ ა
დაბომბვის	დაბომბ ვ ის
მამაკაცია	მამა კაც ია
ვილაპარაკეთ	ვი ლაპარაკ ეთ
ბედავდა	ბედ ავდა
მინანქრის	მინა ნქ რის
ბანაკს	ბანაკ ს
ექსპედიციებს	ე ქსპედიცი ებს
ძელებით	ძ ელ ებით
იზაბელა	იზა ბელ ა
დღიანი	დღ იანი
ბაზები	ბაზ ები
ნათების	ნათებ ის
გადაწყვეტილების	გადაწყვეტ ილებ ის
ნორმები	ნორმ ები
პროცესებს	პროცეს ებს
დედამიწასთან	დედა მიწ ასთან
ფერმერები	ფერ მერ ები
თვალწინ	თ ვალ წინ
ფილოლოგია	ფილ ოლოგი ა
მითხრა	მი თხრ ა
კამილუსმა	კამი ლუს მა
რენამოს	რენ ამოს
იარაღით	იარაღ ით
სცემენ	სცემ ენ
ბელონას	ბელ ონ ას
ელიზაბეთი	ელიზა ბეთ ი
უკიდურესი	უკიდურ ეს ი
საკითხებთან	სა კითხ ებთან
დოკუმენტებით	დოკუ მენტ ებით
პენის	პენ ის
სამლოცველო	სამლოცველ ო
როსონერი	როს ონერ ი
რელიეფური	რელიეფ ური
ბენდს	ბენ დ ს
ექსპლოატაციის	ექსპლოა ტაცი ის
ვაი	ვა ი
მოხვედრა	მო ხვედრ ა
უდიდებულესობის	უდიდ ებულ ესობის
გრძნობას	გრძნობ ას
ლოცვა	ლო ცვ ა
ღამე	ღამ ე
ლოდებით	ლო დ ებით
ნინოშვილის	ნინო შვილ ის
ტური	ტურ ი
ადიდე	ადი დე
განსაკუთრებულობა	განსაკუთრ ებულ ობა
ლოუს	ლოუ ს
დამხობილ	დამ ხობ ილ
გუდვილი	გუდ ვილ ი
ჯერა	ჯერ ა
ისტორიოგრაფიაში	ისტორი ოგრაფი აში
კოლუმბიელი	კოლუმბ ი ელი
ობიექტური	ობი ექტ ური
ცხოვრებისათვის	ცხოვრებ ისათვის
გამოჩენისას	გამო ჩენ ისას
მარჯნის	მარჯ ნ ის
გაზრდამ	გა ზრდ ამ
თესლი	თესლ ი
იზოტოპის	იზო ტოპ ის
პროვინციებს	პროვინ ცი ებს
სივილ	სი ვილ
შემცველ	შე მცველ
დაეცემა	და ეცემ ა
იტევს	ი ტევ ს
თედორე	თე დორ ე
დასავლეთისკენ	და სავლეთ ისკენ
სექცია	სე ქცი ა
პრინციპულად	პრინცი პ ულად
შეემატნენ	შეე მატ ნენ
მოხარული	მო ხარულ ი
მეზღვაურების	მეზღვა ურ ების
დაფების	და ფ ების
ტერმინატორის	ტერ მინ ატორის
მოღვაწეობამ	მოღვაწ ეობ ამ
მოდის	მო დ ის
აღგზნება	აღ გზნებ ა
გაჩეხვის	გაჩე ხვ ის
რონალდო	რონალ დ ო
გრინვუდი	გრინვუ დ ი
ალაჰი	ალა ჰ ი
ქართველოლოგიის	ქართველ ოლოგი ის
მეძებარი	მეძე ბარ ი
დააზარალა	დაა ზარალ ა
რეიტინგული	რეიტინგ ული
ტიბეტის	ტიბეტ ის
ელჩობა	ელჩო ბ ა
ვაქცინის	ვაქ ცინ ის
თუთიყუშის	თუთ იყუ შის
რომეოს	რო მე ოს
ვულკანია	ვულკან ია
სიმპლონის	სიმპ ლონ ის
ამანში	ა მან ში
მოგებაც	მო გებ აც
ორგანიზმებით	ორგანიზმ ებით
ლენინი	ლე ნინ ი
გამომცემელმა	გამომცემ ელ მა
ენფილდზე	ენ ფილდ ზე
ზონასთან	ზონ ასთან
მოვლენად	მო ვლენ ად
ვადამდე	ვად ამდე
სიგრძივი	სი გრძ ივი
სისხლი	სისხლ ი
ფილოსოფიასთან	ფილ ოსოფი ასთან
გაჭირვებული	გაჭირ ვებ ული
დამატებას	და მატებ ას
ნახევარსფეროზე	ნახევარ სფერო ზე
ყმა	ყმ ა
გაბრიელის	გაბრი ელ ის
მოხატა	მო ხატ ა
სხვადასხვანაირია	სხვადა სხვანაირ ია
მეგობრულად	მეგობრ ულად
შეჭრილიყო	შე ჭრილ იყო
დაამონტაჟა	დაა მონტაჟ ა
ტუპაკ	ტუ პაკ
მაიკლ	მა იკლ
აღდგომის	აღ დგომ ის
შეეყარა	შეე ყარა
გაჩერებული	გა ჩერებ ული
მიაკითხა	მია კითხ ა
მათრახი	მა თ რახი
დარეჯანი	და რეჯან ი
აუტანელი	აუ ტან ელი
ასვლისას	ა სვლ ისას
სუზანა	სუ ზან ა
აკრიტიკებს	ა კრიტიკებ ს
გარსიას	გარ ს იას
ზრუნვას	ზრუნ ვ ას
მონარქიული	მონ არქი ული
სიმღერაც	სი მღერ აც
შემდგომი	შე მდგომ ი
იცოდე	იც ოდ ე
თხემურ	თხ ემ ურ
მარსელ	მარს ელ
რომელთან	რომ ელ თან
უწესო	უ წეს ო
რაინდებს	რაი ნდ ებს
სახელები	სა ხელ ები
სათნოებას	სათნო ებ ას
პანორამული	პანორ ამ ული
იკისრა	ი კისრ ა
ფაშისტურ	ფაშ ისტ ურ
კლდეს	კლ დე ს
გამრავლება	გა მრავლებ ა
რელიქტური	რელი ქტ ური
რუმინულ	რუმინ ულ
სხდომას	სხ დომ ას
ჩემპიონად	ჩემპიონ ად
თანამეგობრობის	თანამეგობრ ობ ის
ფენებს	ფენ ებ ს
ხახულის	ხა ხ ულის
კარიერაც	კარ იერ აც
თანრიგში	თან რიგ ში
დაბოლოებას	დაბოლო ებ ას
გადაწერილი	გადა წერილ ი
შეიკრიბნენ	შე იკრიბ ნენ
მომხდარი	მო მხდარ ი
ლარს	ლარ ს
ღირებულებით	ღირ ებულებ ით
ოჯახებში	ოჯახ ებში
კათოლიკურმა	კათოლ იკ ურმა
რგოლები	რ გოლ ები
შეეცვალათ	შეე ცვალ ათ
პილასტრით	პილ ასტრ ით
მომღერალთა	მომღერ ალ თა
რაკეტების	რა კეტ ების
რობინის	რო ბინ ის
ტომ	ტომ
ბელგრადის	ბელ გრად ის
ამხანაგური	ამხან აგ ური
მუსულმანებს	მუსულმა ნ ებს
წამის	წამ ის
სეპარატისტულ	სეპარატ ისტ ულ
აბრაამის	აბრა ამ ის
თრი	თრ ი
ვერსიად	ვერსი ად
კრეისერი	კრეის ერ ი
რადიაქტიური	რადი აქტიურ ი
საიმპერიო	სა იმპერი ო
