გამოსხივება	გამო სხივებ ა
იდეოლოგია	იდე ოლოგი ა
წმიდანს	წმიდ ან ს
საყლაპავი	სა ყლაპა ვი
ფრანცისკო	ფრანცი სკ ო
წყევლის	წყევლ ის
თრაინ	თ რაინ
მისალმების	მი სალმ ების
ნოვიცკი	ნოვიც კ ი
წაყენებული	წა ყენებ ული
სამკაულებს	სა მკაულ ებს
ცვლილებათა	ცვლი ლებ ათა
თავად	თავად
შეთანხმდა	შე თანხმ და
ჟორჟი	ჟორ ჟ ი
პოლმა	პოლ მა
კარლს	კარ ლ ს
ურთიერთობაზე	ურთიერთ ობ აზე
შთამომავალს	შთამო მავალ ს
სერვერიდან	სერვ ერ იდან
თინათინი	თინათ ინ ი
მაიკროსოფტმა	მაიკროსოფ ტ მა
დაკანონდა	დაკანონ დ ა
ანგელოზმა	ანგელოზ მა
ფუს	ფუ ს
წუთით	წუ თ ით
პაციენტები	პაცი ენტ ები
პირად	პირ ად
ჯონის	ჯო ნ ის
ქვაც	ქვ აც
ბესტი	ბ ესტ ი
სულიერ	სულიერ
წამოწეული	წამო წეულ ი
დიდებულები	დიდ ებულ ები
ისტორიამ	ისტორი ამ
რეზონანსი	რეზონ ანს ი
ფრონტონის	ფრონ ტონ ის
ვარშავა	ვარ შავ ა
სანდრა	სა ნდ რა
ასპირანტი	ა სპირ ანტი
ინვალიდის	ინვალ იდ ის
ამოღებულ	ამო ღებ ულ
გავდა	გა ვ და
პარკისა	პარ კ ისა
სართავი	სა რთავ ი
მშენებარე	მ შენებ არე
ფოტონის	ფო ტონ ის
წესი	წეს ი
ხოტბა	ხოტ ბა
ციკლონების	ციკლ ონ ების
ამინდში	ამ ინდ ში
წყლისთვის	წყლ ისთვის
კანტონების	კან ტონ ების
აზნაურების	ა ზნაურ ების
გოლიათი	გოლ იათი
აუხსნელი	აუ ხსნ ელი
კენტის	კ ენტ ის
ვარსკვლავთკარიბჭე	ვარსკვლავთ კარიბჭ ე
ბოშების	ბო შ ების
ტიურინგის	ტიურ ინგ ის
გურჯი	გურ ჯი
ჩემპიონობისათვის	ჩემპიონ ობ ისათვის
კერნის	კერ ნის
დათოსაც	დათ ო საც
ბირჟის	ბირჟ ის
ოცდამერვე	ოცდა მე რვე
არსენის	არს ენ ის
ბრუნვა	ბრუნ ვ ა
კვარტეტი	კვარ ტეტი
წამოწყება	წამო წყებ ა
ტიტველი	ტიტ ველ ი
პროცესი	პროცე ს ი
აყვავების	აყვავ ებ ის
გუსტავი	გუსტ ავ ი
სტაბილური	სტაბილურ ი
ცენტურიონი	ცენტური ონ ი
ბამბის	ბა მბ ის
ვირს	ვ ირ ს
მდგომარეობაშია	მდგომარე ობ აშია
ღრუში	ღრ უ ში
ბრძენმა	ბრძ ენ მა
ტონაზე	ტონ აზე
კარზეც	კარ ზეც
ფოტოსინთეზის	ფოტო სინთეზ ის
ღვთაებრივ	ღვთა ებ რივ
სპარტა	სპ არტ ა
დაბინძურებულ	დაბინძურ ებ ულ
იაპ	ი აპ
კვარტლები	კვარ ტლ ები
ენერგიით	ენერგ ი ით
სისხლისსამართლებრივი	სისხლისსა მართლებრივ ი
იუდეველებმა	იუდევ ელ ებმა
დადგინდეს	და დგინ დეს
ნუსხურსა	ნუს ხურ სა
მყინვარი	მყინვარ ი
ცდები	ც დებ ი
გველების	გვ ელ ების
შენების	შენ ების
დავითნი	და ვით ნი
ჩირი	ჩი რ ი
სატვირთო	სა ტვირთ ო
ამაში	ამ აში
ბრაუნი	ბრა უნ ი
მიუსაჯა	მიუ საჯ ა
ეთიკა	ეთ იკ ა
ბინ	ბინ
ტერასა	ტერ ას ა
ველური	ველ ური
სისტემატიკის	სისტემ ატიკ ის
ასკეტური	ას კეტ ური
ზომამ	ზომ ამ
თანაგუნდელები	თანაგუ ნდელ ები
უშაქრო	უშა ქრო
მიიჩნიეს	მიიჩ ნი ეს
მუსიკასა	მუსიკ ასა
ბარდა	ბარ და
თეთრკანიანები	თეთრ კანიან ები
ლეიბლებზე	ლეი ბლ ებზე
აინტერესებდათ	ა ინტერესებ დათ
თებერვლისთვის	თებერ ვლ ისთვის
სისტემებთან	სისტემ ებთან
შეეთავაზებინა	შეე თავაზ ებინა
ბადალი	ბადა ლ ი
გასაყიდი	გასა ყიდ ი
მთაგრეხილის	მთა გრეხილი ს
გააშენა	გა აშენ ა
მახარაძეს	მახა რაძ ეს
მეტალიკამ	მეტალ იკ ამ
დააზუსტა	დაა ზუსტ ა
სექსუალურ	სექსუალ ურ
ესმა	ეს მა
კლუბები	კლ უბ ები
მზრუნველობის	მზრუნ ველობ ის
თავდასხმის	თავდას ხმ ის
შერჩენილია	შე რჩენილ ია
იწყეს	იწყ ეს
სერია	ს ერი ა
სათათბირო	სა თათბირ ო
მტკვარი	მტკ ვარ ი
მეტალების	მე ტალ ების
გამოც	გამო ც
ოსტატი	ოს ტატ ი
საყრდენად	სა ყრდენ ად
გაჩერდნენ	გა ჩერ დნენ
ზენიტის	ზენ იტ ის
საკარმიდამო	სა კარ მიდამო
ხერხემლიანი	ხერხემლ იან ი
მოსახლეზე	მო სახლე ზე
შეხედულებას	შეხედ ულებ ას
ჰარლემში	ჰარ ლემ ში
კალაპოტის	კალ აპოტ ის
მინერალ	მინე რალ
ფასადის	ფას ად ის
უფლებამოსილი	უფლებამო სილ ი
სახლზე	სახლ ზე
სიმაგრე	სიმაგრე
შენობასთან	შენ ობ ასთან
გადმოჰყურებს	გადმო ჰყურ ებს
კრამიტი	კრა მიტ ი
მცხეთას	მც ხეთ ას
ჰემი	ჰე მ ი
გორილები	გორი ლ ები
რონი	რო ნი
ნომინაციაში	ნომინ აცი აში
გაგიჟებულია	გა გიჟ ებულია
კინემატოგრაფიული	კინემატ ოგრაფ იული
იემენის	იე მენ ის
ემოსა	ე მოს ა
ბავშვს	ბავშვ ს
მოაწყვეს	მო აწყ ვეს
ერიტრეის	ერი ტრე ის
დაავადებანი	დაავად ებ ანი
ეკიპაჟის	ეკიპ აჟ ის
კურსიდან	კურს იდან
გამომადგა	გამომ ადგ ა
საჭირბოროტო	სა ჭირბოროტ ო
ავანგარდულ	ავან გარდ ულ
ფეხში	ფეხ ში
მალდინიმ	მალ დინი მ
მემამულეთა	მე მამულ ეთა
პარაზიტებია	პარა ზიტ ებია
პროექტებზე	პროექტ ებზე
ტექსტები	ტექსტ ები
რომანოზ	რომ ან ოზ
ფინეთმა	ფინ ეთ მა
ჰუსიტური	ჰუს იტ ური
გრანდიოზული	გრანდი ოზულ ი
კარგმა	კარგ მა
მასათა	მას ათ ა
გაატანა	გა ატან ა
სპეციფიური	სპეცი ფი ური
უხდება	უ ხდებ ა
უპირობოდ	უ პირობ ოდ
ბოლქვიანი	ბოლ ქვ იანი
ტანკზე	ტან კ ზე
გაუქმებული	გაუქმ ებ ული
პროლოგი	პრო ლოგ ი
მანქანაზე	მანქან აზე
ანონიმი	ან ონიმ ი
გაზრდას	გა ზრდ ას
მასშტაბური	მას შტაბ ური
ცვლაში	ცვლ აში
რეპრესიები	რე პრესი ები
ვერა	ვერ ა
ვერასოდეს	ვერ ას ოდეს
ერისთავად	ერისთავ ად
გაზრდილია	გა ზრდილ ია
კვადრატულია	კვადრ ატ ულია
იარსებებს	ი არსებ ებს
ცივილიზაციის	ცივილიზ აცი ის
მაისს	მა ის ს
სინგლად	სინ გლ ად
შერიგება	შე რიგებ ა
კუბაზე	კუბ აზე
მეკობრეების	მეკობ რე ების
ქვეშევრდომები	ქვეშე ვრდომ ები
თოვლით	თო ვლ ით
მამაც	მა მაც
დეტალებს	დეტ ალ ებს
გაირკვეს	გა ირკვ ეს
ლიზინგი	ლიზ ინგ ი
ნიკოლაი	ნი კოლ აი
პირი	პირ ი
დაყვეს	და ყვ ეს
ტრანსფერი	ტრანსფერ ი
ბიუროკრატიული	ბიურო კრატი ული
ესთეტიკას	ესთეტი კ ას
მატჩში	მატ ჩ ში
მოიყარეს	მოი ყარ ეს
საშუალოზე	საშუა ლო ზე
ხარიჯიტები	ხარიჯი ტ ები
გოგონაა	გოგ ონ აა
დაკავებულები	დაკავ ებულ ები
ველად	ველ ად
ზეპირსიტყვიერების	ზეპირსი ტყვიერ ების
პოლიციური	პოლიცი ური
სასწორი	სა სწორ ი
მონო	მო ნო
ნიკოლსკოეს	ნი კოლ სკოეს
გუბერნია	გუბერნი ა
დიპლომატიური	დიპლომ ატ იური
პოლემიკა	პოლ ემი კა
დაბოლოს	და ბოლო ს
მონსტრები	მონ სტრ ები
ნუმიზმატიკის	ნუმიზმ ატიკ ის
კარდინალ	კარდინ ალ
მეთვალყურეობით	მეთვალყურ ეობ ით
მიწას	მიწ ას
აღადგენენ	აღ ადგენ ენ
ჩაცმულობის	ჩაცმ ულობ ის
გადასასვლელად	გადა სასვლელ ად
კუხეთის	კუ ხეთ ის
ქურუმები	ქურ უმ ები
ტერიტორიაც	ტერიტორი აც
კრუხობს	კრუ ხობ ს
გორი	გორ ი
სეზონში	სე ზონ ში
ტვინში	ტ ვინ ში
ქართლის	ქართ ლ ის
შემაჯამებელი	შემა ჯამ ებელი
გააქტიურება	გა აქტიურ ება
დათარიღებული	და თარიღებ ული
საქსონია	სა ქსონ ია
ოქტომბრიდან	ოქტომ ბრ იდან
უკვდავებას	უ კვდავ ებას
ჯადოსნურ	ჯადოს ნ ურ
სარეკონსტრუქციო	სარეკო ნსტრუქცი ო
ბრაზილიამ	ბრაზ ილი ამ
გარჩევას	გა რჩევ ას
სოფლების	სოფლ ებ ის
მოყოლებული	მო ყოლ ებული
ოციანი	ოც იან ი
სიმბოლოთი	სიმ ბოლო თი
მარცხნიდან	მარცხ ნი დან
შიშველია	ში შველ ია
სექტემბრის	სექტ ემბრ ის
სამუშაოში	სა მუშაო ში
ადმინისტრაციულმა	ადმინისტ რაცი ულმა
პარკების	პარ კ ების
პოზიციების	პოზიცი ების
დისციპლინები	დისციპლინ ები
კონსტანტინოპოლი	კონსტანტინო პოლ ი
ღელვის	ღელვ ის
სულებისთვის	სულ ებ ისთვის
იტალიისკენ	იტა ლი ისკენ
კლდიაშვილი	კლდ იაშვილი
ნიმუშების	ნიმუშ ების
სულიწმინდის	სული წმინდ ის
ბატალიონის	ბატალ იონ ის
სკუდეტოს	სკუდე ტო ს
მაგალითისათვის	მა გალით ისათვის
ხვეული	ხვეულ ი
სტალინგრადის	სტა ლინ გრადის
ანსამბლმა	ანსამ ბლ მა
ებრძოლათ	ე ბრძოლ ათ
ცნობარი	ცნობ არი
მცენარეებსა	მცენარეებ სა
საკითხისათვის	სა კითხ ისათვის
წარმოდგენები	წარმო დგენ ები
მოაქციეს	მო აქცი ეს
სანაპიროები	სა ნაპირო ები
ბუშის	ბუ შ ის
უღლების	უღლ ების
გამოქვეყნებულა	გამოქვეყნ ებულ ა
მოიცავს	მო იცავ ს
კირიბატის	კირიბ ატ ის
დიტრიხმა	დიტ რიხ მა
ჯარების	ჯარ ების
იმპერიული	იმპერი ული
სატევარი	სა ტევ არი
ჩამოყალიბებით	ჩამო ყალიბებ ით
სულებისგან	სულ ებ ისგან
მაშტაბით	მა შტაბ ით
დაპატიმრებები	და პატიმრებ ები
სააგენტოს	სააგენ ტო ს
ბრაზილიასთან	ბრაზ ილი ასთან
მიახლოებით	მი ახლოებ ით
ვარაუდით	ვარაუდ ით
ახალშობილ	ახალ შობილ
უბრძანებია	უ ბრძანებ ია
კასტელი	კასტ ელ ი
უმრავლესობით	უმრავლ ესობ ით
წლებში	წლ ებ ში
დაყოფა	და ყოფ ა
ავალდებულებდა	ა ვალდებულ ებდა
კილომეტრს	კილო მეტრ ს
ფრანკლინ	ფრან კლინ
ვიდეოებს	ვიდეო ებს
განსაზღვრავენ	განსა ზღვრავ ენ
ეფლობა	ეფ ლობ ა
ჯვრისწერა	ჯვრის წერ ა
შექმნილი	შე ქმნილ ი
მახასიათებლებს	მა ხასიათებლ ებს
რაინის	რაინ ის
შესატყვისი	შე სატყვის ი
მიწებში	მიწ ებ ში
წლისთავთან	წლის თავ თან
სეზონთან	სე ზონ თან
შეკითხვა	შე კითხვ ა
სტილსა	სტი ლ სა
მოჰყავდათ	მო ჰყავ დათ
კრიტიკოსი	კრიტიკ ოს ი
იუნონას	იუნ ონ ას
იუნიორთა	იუნ ი ორთა
ძალისხმევა	ძალისხმ ევ ა
ცვივა	ცვი ვ ა
თანადამფუძნებელი	თანა დამფუძნებელ ი
დაიშალა	და იშალა
ჯეპრას	ჯე პრ ას
პიტერ	პი ტერ
გრაფების	გრაფ ების
ლავრა	ლა ვრ ა
წამოდგა	წამო დგ ა
ჰიპოკრატეს	ჰიპო კრატ ეს
ანდერსონი	ანდერ სონ ი
წარმოებდა	წარმოებ და
ოლაფი	ოლა ფ ი
გამოუცდელი	გამოუც დელ ი
განუკურნებელი	განუ კურნ ებელი
ტრიბუნები	ტრიბუ ნ ები
პაროდიული	პაროდ ი ული
ბრალდებებს	ბრალდებ ებს
კომპანიებისთვის	კომპანი ებისთვის
სიყმაწვილე	სიყმაწვილ ე
უყვებოდა	უყვ ებოდა
საბაჟოს	საბა ჟ ოს
რგოლს	რ გოლ ს
აუკრძალეს	აუ კრძალ ეს
განვითარების	გან ვითარებ ის
აქაურ	ა ქა ურ
ლიტურგია	ლიტურ გი ა
ქვიშაქვებით	ქვიშა ქვ ებით
დასწრებია	და სწრებ ია
მართლმადიდებელი	მართლმადიდ ებელ ი
ლომის	ლ ომ ის
კინოინდუსტრია	კინოინდუ სტრ ია
გარეთა	გარეთ ა
იესოს	ი ეს ოს
რჩეულ	რჩეულ
ტერიტორიასაც	ტერიტორი ასაც
ფონდს	ფონ დ ს
ლეგო	ლეგ ო
სასკეს	სა სკ ეს
სიმაღლებრივი	სი მაღლებ რივი
სავოევოდო	სა ვოევოდ ო
ლაურეატი	ლაურე ატი
სასულთნოს	სა სულთნო ს
ინტერვალის	ინტერ ვალ ის
შემოღებული	შემო ღებ ული
მომავლისთვის	მო მავლ ისთვის
შეწირვა	შე წირვ ა
ჩიკაგო	ჩიკა გო
აღდგენილიყო	აღ დგენილ იყო
ტიტულიც	ტიტ ულ იც
გამუდმებულ	გამუდმ ებულ
სრუტეები	სრუტ ე ები
პერიოდშივე	პერიოდ შივე
კახთა	კა ხ თა
დასაწყისი	დასა წყ ისი
სტამბოლი	სტამბ ოლ ი
ოლიმპია	ოლიმპ ი ა
თაბაშირის	თა ბაშირ ის
აყალიბებენ	ა ყალიბებ ენ
ვალინორში	ვალი ნორ ში
მჟავა	მჟავ ა
ფილმია	ფილმ ია
გეგმები	გეგმ ები
ჟიურის	ჟ იურ ის
ბარძაყის	ბარძ აყ ის
მოკლას	მო კლ ას
შეერია	შე ერ ია
ოქუმის	ოქ უმ ის
შობას	შობ ას
ამნისტია	ამნი სტი ა
ბერის	ბერ ის
მჟღავნდება	მჟღავნ დება
სახეობისთვის	სახეობ ისთვის
ხვრელია	ხვრ ელ ია
ბლოკ	ბლოკ
რაღა	რა ღ ა
განაგრძობენ	განაგრძ ობ ენ
გამოფენებში	გამო ფენ ებში
ამტკიცებდნენ	ა მტკიცებ დნენ
დამსახურებით	და მსახურებ ით
ჰიუ	ჰი უ
კარლა	კარ ლ ა
ოლიგარქიული	ოლიგ არქი ული
მოსწორებულია	მოსწორ ებულ ია
მეოთხედში	მეოთ ხედ ში
გავლენიან	გა ვლენ იან
კაპიტულაციას	კაპიტ ულაცი ას
სარდაფი	სარდ აფ ი
ინგლისელი	ინგლისე ლ ი
ნათელ	ნა თელ
აკავშირებდა	ა კავშირებ და
აგებულების	აგ ებულებ ის
პალეოლოგოსის	პალეოლოგ ოს ის
დიალექტი	დიალექტ ი
გინეკოლოგიური	გინეკ ოლოგიურ ი
კაპიტანია	კაპიტ ან ია
მათემატიკამ	მა თემატიკ ამ
მდგომარეობისა	მდგომარე ობ ისა
შვილიშვილს	შვილ იშვილ ს
წარმატების	წარ მატებ ის
უცვლის	უ ცვლ ის
დასახმარებლად	დასა ხმარ ებლად
გარდაცვლილს	გარდა ცვლილ ს
ოკრუგის	ოკრ უგ ის
მკვდარ	მკვდარ
დარჩებოდა	და რჩ ებოდა
ბოლშევიკური	ბოლშე ვიკ ური
პორტუგალიის	პორტუ გალი ის
იშტვან	ი შტ ვან
ოტელი	ოტ ელ ი
ჩხალთის	ჩ ხალთ ის
ანდრონიკაშვილის	ანდრონიკ აშვილ ის
საკრავიერი	სა კრავ იერი
წინამძღვარს	წინამ ძღვარ ს
სამნიტები	სამნ იტ ები
თათრებს	თა თრ ებს
მღელვარე	მღელვ არ ე
ორგანიზმებზე	ორგანიზმ ებზე
მაგისტრალზე	მა გისტრალ ზე
აყვანილი	ა ყვანილ ი
გააოცა	გაა ოც ა
სასურველი	სა სურველ ი
ჯინი	ჯინ ი
შს	შს
სახელმწიფოთაშორისი	სახელმწიფ ო თაშორისი
უწოდებს	უ წოდებ ს
მარინეს	მარ ინ ეს
ნეიტრონის	ნეიტრ ონ ის
გაბრტყელებული	გა ბრტყელებ ული
ტელეარხმა	ტელე არხ მა
ეკიპაჟმა	ეკიპ აჟ მა
პროცესების	პროცეს ებ ის
ვიქტორიანული	ვიქტორიან ულ ი
აზნაურს	ა ზნაურ ს
მბრუნავი	მ ბრუნავ ი
კევინ	კე ვინ
აკისრია	ა კისრ ია
ანტუანის	ანტუ ან ის
ბრიტანეთსა	ბრიტან ეთ სა
ვერცხლით	ვერ ცხლ ით
წარმოდგენილნი	წარმო დგენილ ნი
ხრამის	ხრ ამ ის
ჩატანებულია	ჩატან ებ ულია
ეკლესიით	ეკლესი ით
ქვაბები	ქვა ბ ები
სრულებითაც	სრულებ ითაც
დანებების	და ნებ ების
ოფიცერს	ოფიც ერ ს
ხრესილის	ხრე სილ ის
ჯოანა	ჯო ან ა
კლინიკურად	კლი ნიკ ურად
მლნ	მ ლნ
მალისა	მალ ისა
იკითხებოდა	ი კითხ ებოდა
ოცდამეცხრე	ოცდა მე ცხრე
ააშენა	აა შენ ა
დაბომბვის	დაბომბ ვ ის
მამაკაცია	მამა კაც ია
ვილაპარაკეთ	ვი ლაპარაკ ეთ
ბედავდა	ბედა ვ და
მინანქრის	მინა ნქ რის
ბანაკს	ბანაკ ს
ექსპედიციებს	ექსპედიცი ებს
ძელებით	ძ ელ ებით
იზაბელა	იზა ბელა
დღიანი	დღ იანი
ბაზები	ბაზ ები
ნათების	ნა თ ების
გადაწყვეტილების	გადაწყვეტილ ებ ის
ნორმები	ნორმ ები
პროცესებს	პროცე ს ებს
დედამიწასთან	დედა მიწ ასთან
ფერმერები	ფერ მერ ები
თვალწინ	თვალ წინ
ფილოლოგია	ფილ ოლოგი ა
მითხრა	მი თხრ ა
კამილუსმა	კამილ უს მა
რენამოს	რენ ამ ოს
იარაღით	იარაღ ით
სცემენ	სცემ ენ
ბელონას	ბელ ონ ას
ელიზაბეთი	ელიზაბ ეთ ი
უკიდურესი	უკიდურ ეს ი
საკითხებთან	სა კითხ ებთან
დოკუმენტებით	დოკუ მენტ ებით
პენის	პენ ის
სამლოცველო	სამლოც ველო
როსონერი	როსონ ერ ი
რელიეფური	რელიეფ ური
ბენდს	ბე ნდ ს
ექსპლოატაციის	ექსპლო ატ აციის
ვაი	ვა ი
მოხვედრა	მო ხვედრ ა
უდიდებულესობის	უდიდებულ ესობ ის
გრძნობას	გრძნობ ას
ლოცვა	ლოც ვ ა
ღამე	ღამ ე
ლოდებით	ლ ოდ ებით
ნინოშვილის	ნინო შვილ ის
ტური	ტურ ი
ადიდე	ადი დე
განსაკუთრებულობა	განსაკუთრ ებულ ობა
ლოუს	ლოუ ს
დამხობილ	დამხ ობ ილ
გუდვილი	გუდ ვილ ი
ჯერა	ჯერ ა
ისტორიოგრაფიაში	ისტორი ოგრაფი აში
კოლუმბიელი	კოლუმ ბი ელი
ობიექტური	ობ იექტ ური
ცხოვრებისათვის	ცხოვრებ ისათვის
გამოჩენისას	გამო ჩენ ისას
მარჯნის	მარ ჯნ ის
გაზრდამ	გა ზრდ ამ
თესლი	თეს ლ ი
იზოტოპის	იზო ტოპ ის
პროვინციებს	პროვინ ცი ებს
სივილ	სი ვი ლ
შემცველ	შე მცველ
დაეცემა	და ეცემ ა
იტევს	ი ტევ ს
თედორე	თ ედო რე
დასავლეთისკენ	და სავლეთ ისკენ
სექცია	ს ექცი ა
პრინციპულად	პრინ ციპ ულად
შეემატნენ	შე ემატ ნენ
მოხარული	მო ხარ ული
მეზღვაურების	მეზღვა ურ ების
დაფების	და ფ ების
ტერმინატორის	ტერმი ნატორ ის
მოღვაწეობამ	მოღვაწ ეობ ამ
მოდის	მო დ ის
აღგზნება	აღ გზნებ ა
გაჩეხვის	გაჩე ხვ ის
რონალდო	რონალდ ო
გრინვუდი	გრინვ უდ ი
ალაჰი	ალა ჰ ი
ქართველოლოგიის	ქართველ ოლოგი ის
მეძებარი	მე ძებ არი
დააზარალა	დაა ზარალ ა
რეიტინგული	რეიტინგ ული
ტიბეტის	ტი ბეტ ის
ელჩობა	ელ ჩ ობა
ვაქცინის	ვაქცი ნ ის
თუთიყუშის	თუთი ყუ შის
რომეოს	რომე ო ს
ვულკანია	ვულკან ია
სიმპლონის	სიმ პლონ ის
ამანში	ამ ან ში
მოგებაც	მო გებ აც
ორგანიზმებით	ორგანიზმ ებით
ლენინი	ლენ ინ ი
გამომცემელმა	გამომცემ ელ მა
ენფილდზე	ენ ფილდ ზე
ზონასთან	ზონ ასთან
მოვლენად	მო ვლენ ად
ვადამდე	ვად ამდე
სიგრძივი	სი გრძ ივი
სისხლი	სისხლ ი
ფილოსოფიასთან	ფილოსოფ ი ასთან
გაჭირვებული	გაჭირვ ებ ული
დამატებას	და მატებ ას
ნახევარსფეროზე	ნახევარ სფერო ზე
ყმა	ყმ ა
გაბრიელის	გაბრი ელ ის
მოხატა	მო ხატ ა
სხვადასხვანაირია	სხვადა სხვანაირ ია
მეგობრულად	მეგობრ ულად
შეჭრილიყო	შე ჭრილ იყო
დაამონტაჟა	დაამო ნტაჟ ა
ტუპაკ	ტუპა კ
მაიკლ	მა იკლ
აღდგომის	აღ დგომ ის
შეეყარა	შე ეყარ ა
გაჩერებული	გა ჩერებულ ი
მიაკითხა	მია კითხ ა
მათრახი	მა თ რახი
დარეჯანი	დარე ჯან ი
აუტანელი	აუ ტან ელი
ასვლისას	ა სვლ ისას
სუზანა	სუ ზან ა
აკრიტიკებს	ა კრიტიკებ ს
გარსიას	გარ ს იას
ზრუნვას	ზრუნ ვ ას
მონარქიული	მონ არქი ული
სიმღერაც	სი მღერ აც
შემდგომი	შე მდგომ ი
იცოდე	იც ოდ ე
თხემურ	თხ ემ ურ
მარსელ	მარ სელ
რომელთან	რომ ელ თან
უწესო	უ წეს ო
რაინდებს	რაი ნდ ებს
სახელები	სახელ ები
სათნოებას	სათნო ებ ას
პანორამული	პანორ ამ ული
იკისრა	იკის რ ა
ფაშისტურ	ფაშისტ ურ
კლდეს	კლდე ს
გამრავლება	გამრავლ ებ ა
რელიქტური	რელი ქტ ური
რუმინულ	რუმინ ულ
სხდომას	სხ დომ ას
ჩემპიონად	ჩემპიონ ად
თანამეგობრობის	თანა მეგობრობ ის
ფენებს	ფენ ებს
ხახულის	ხა ხ ულის
კარიერაც	კარ იერ აც
თანრიგში	თან რიგ ში
დაბოლოებას	დაბოლ ოებ ას
გადაწერილი	გადა წერილ ი
შეიკრიბნენ	შე იკრიბ ნენ
მომხდარი	მო მხდარ ი
ლარს	ლარ ს
ღირებულებით	ღირებულ ებით
ოჯახებში	ოჯახ ებში
კათოლიკურმა	კათოლ იკ ურმა
რგოლები	რ გოლ ები
შეეცვალათ	შეე ცვალ ათ
პილასტრით	პილ ასტრ ით
მომღერალთა	მომღერ ალ თა
რაკეტების	რა კეტ ების
რობინის	რო ბინ ის
ტომ	ტომ
ბელგრადის	ბელგრად ის
ამხანაგური	ამხან აგ ური
მუსულმანებს	მუსულ მან ებს
წამის	წამ ის
სეპარატისტულ	სეპარატ ისტ ულ
აბრაამის	აბრა ამ ის
თრი	თრ ი
ვერსიად	ვერ სი ად
კრეისერი	კრე ისერ ი
რადიაქტიური	რადი აქტიურ ი
