გამოსხივება	გამო სხივებ ა
იდეოლოგია	იდე ოლოგი ა
წმიდანს	წმიდ ან ს
საყლაპავი	სა ყლაპ ავი
ფრანცისკო	ფრანცისკ ო
წყევლის	წყ ევლ ის
თრაინ	თ რ აინ
მისალმების	მი სალმ ების
ნოვიცკი	ნოვიც კ ი
წაყენებული	წა ყენებ ული
სამკაულებს	სამკაულ ებს
ცვლილებათა	ცვლ ილებ ათა
თავად	თავ ად
შეთანხმდა	შე თანხმ და
ჟორჟი	ჟორ ჟ ი
პოლმა	პოლ მა
კარლს	კარ ლ ს
ურთიერთობაზე	ურთიერთ ობ აზე
შთამომავალს	შთამო მავალ ს
სერვერიდან	სერ ვერ იდან
თინათინი	თინათ ინ ი
მაიკროსოფტმა	მაიკროსო ფტ მა
დაკანონდა	და კანონ და
ანგელოზმა	ანგელოზ მა
ფუს	ფუ ს
წუთით	წუ თ ით
პაციენტები	პაცი ენტ ები
პირად	პირ ად
ჯონის	ჯ ონ ის
ქვაც	ქვ აც
ბესტი	ბ ესტ ი
სულიერ	სულიერ
წამოწეული	წამო წეულ ი
დიდებულები	დიდ ებულ ები
ისტორიამ	ისტორი ამ
რეზონანსი	რეზონ ან სი
ფრონტონის	ფრონ ტონ ის
ვარშავა	ვარ შავ ა
სანდრა	სან დრ ა
ასპირანტი	ას პირ ანტი
ინვალიდის	ინვალი დ ის
ამოღებულ	ამო ღებ ულ
გავდა	გავ და
პარკისა	პარკ ისა
სართავი	სა რთავ ი
მშენებარე	მ შენებ არე
ფოტონის	ფოტო ნ ის
წესი	წეს ი
ხოტბა	ხოტბ ა
ციკლონების	ციკლონ ების
ამინდში	ა მინდ ში
წყლისთვის	წყლის თვის
კანტონების	კან ტონ ების
აზნაურების	ა ზნაურ ების
გოლიათი	გოლ იათი
აუხსნელი	აუ ხსნ ელი
კენტის	კ ენტ ის
ვარსკვლავთკარიბჭე	ვარსკვლავთ კარიბჭ ე
ბოშების	ბო შ ების
ტიურინგის	ტიურ ინგ ის
გურჯი	გურ ჯ ი
ჩემპიონობისათვის	ჩემპიო ნობ ისათვის
კერნის	კ ერნ ის
დათოსაც	და თო საც
ბირჟის	ბირჟ ის
ოცდამერვე	ოცდა მე რვე
არსენის	არს ენ ის
ბრუნვა	ბრუნ ვ ა
კვარტეტი	კვარ ტეტი
წამოწყება	წამო წყებ ა
ტიტველი	ტი ტვ ელი
პროცესი	პროცეს ი
აყვავების	აყვავ ებ ის
გუსტავი	გუსტ ავ ი
სტაბილური	სტაბილურ ი
ცენტურიონი	ცენტურ იონ ი
ბამბის	ბ ამბ ის
ვირს	ვირ ს
მდგომარეობაშია	მდგომარე ობ აშია
ღრუში	ღ რუ ში
ბრძენმა	ბრძ ენ მა
ტონაზე	ტონ აზე
კარზეც	კარ ზეც
ფოტოსინთეზის	ფოტო სინთეზის
ღვთაებრივ	ღვთა ებ რივ
სპარტა	ს პარტ ა
დაბინძურებულ	დაბინძურ ებ ულ
იაპ	ი აპ
კვარტლები	კვარ ტლ ები
ენერგიით	ენერგ ი ით
სისხლისსამართლებრივი	სისხლისსა მართლებრივ ი
იუდეველებმა	იუდევ ელ ებმა
დადგინდეს	და დგინ დეს
ნუსხურსა	ნუს ხურ სა
მყინვარი	მყინვარ ი
ცდები	ც დებ ი
გველების	გვ ელ ების
შენების	შე ნ ების
დავითნი	და ვით ნი
ჩირი	ჩირ ი
სატვირთო	სა ტვირთ ო
ამაში	ამ აში
ბრაუნი	ბრა უნ ი
მიუსაჯა	მიუ საჯ ა
ეთიკა	ეთ იკ ა
ბინ	ბინ
ტერასა	ტერ ას ა
ველური	ველ ურ ი
სისტემატიკის	სისტე მატიკ ის
ასკეტური	ას კეტ ური
ზომამ	ზომ ამ
თანაგუნდელები	თანაგუნ დელ ები
უშაქრო	უ შაქრ ო
მიიჩნიეს	მიი ჩნი ეს
მუსიკასა	მუსიკ ასა
ბარდა	ბარ და
თეთრკანიანები	თეთრ კანიან ები
ლეიბლებზე	ლეი ბლ ებზე
აინტერესებდათ	ა ინტერესებ დათ
თებერვლისთვის	თებერ ვლ ისთვის
სისტემებთან	სისტემ ებთან
შეეთავაზებინა	შეე თავაზებ ინა
ბადალი	ბად ალი
გასაყიდი	გასა ყიდ ი
მთაგრეხილის	მთა გრეხილ ის
გააშენა	გა აშენ ა
მახარაძეს	მახარ აძ ეს
მეტალიკამ	მეტა ლიკ ამ
დააზუსტა	დაა ზუსტ ა
სექსუალურ	სექს უალურ
ესმა	ეს მ ა
კლუბები	კლუბ ები
მზრუნველობის	მზრუნველ ობ ის
თავდასხმის	თავდა სხმ ის
შერჩენილია	შე რჩენილ ია
იწყეს	იწყ ეს
სერია	სე რი ა
სათათბირო	სა თათბირ ო
მტკვარი	მტკ ვარ ი
მეტალების	მეტ ალ ების
გამოც	გამო ც
ოსტატი	ოსტატ ი
საყრდენად	სა ყრდენ ად
გაჩერდნენ	გა ჩერ დნენ
ზენიტის	ზენიტ ის
საკარმიდამო	საკარმი დამ ო
ხერხემლიანი	ხერხემ ლიან ი
მოსახლეზე	მო სახლე ზე
შეხედულებას	შეხედულ ებ ას
ჰარლემში	ჰარ ლემ ში
კალაპოტის	კალა პოტ ის
მინერალ	მინერა ლ
ფასადის	ფას ად ის
უფლებამოსილი	უფლებ ამოსილ ი
სახლზე	სახლ ზე
სიმაგრე	სიმაგრე
შენობასთან	შე ნობ ასთან
გადმოჰყურებს	გადმო ჰყურ ებს
კრამიტი	კრამი ტ ი
მცხეთას	მც ხეთ ას
ჰემი	ჰემ ი
გორილები	გორ ილ ები
რონი	რონ ი
ნომინაციაში	ნომინაცი აში
გაგიჟებულია	გა გიჟ ებულია
კინემატოგრაფიული	კინემატ ოგრაფი ული
იემენის	იე მენ ის
ემოსა	ე მო სა
ბავშვს	ბავშვ ს
მოაწყვეს	მო აწყ ვეს
ერიტრეის	ერი ტრე ის
დაავადებანი	დაავა დებ ანი
ეკიპაჟის	ეკიპ აჟ ის
კურსიდან	კურს იდან
გამომადგა	გამომა დგ ა
საჭირბოროტო	სა ჭირ ბოროტო
ავანგარდულ	ა ვანგარდ ულ
ფეხში	ფეხ ში
მალდინიმ	მა ლდინი მ
მემამულეთა	მე მამულ ეთა
პარაზიტებია	პარა ზიტ ებია
პროექტებზე	პროექტ ებზე
ტექსტები	ტექსტ ები
რომანოზ	რო მან ოზ
ფინეთმა	ფინე თ მა
ჰუსიტური	ჰუს იტ ური
გრანდიოზული	გრანდ იოზულ ი
კარგმა	კარგ მა
მასათა	მა ს ათა
გაატანა	გაა ტან ა
სპეციფიური	სპეცი ფი ური
უხდება	უ ხდ ება
უპირობოდ	უპირ ობ ოდ
ბოლქვიანი	ბოლ ქვ იანი
ტანკზე	ტან კ ზე
გაუქმებული	გაუქმ ებ ული
პროლოგი	პრო ლოგ ი
მანქანაზე	მანქან აზე
ანონიმი	ა ნონიმ ი
გაზრდას	გა ზრდ ას
მასშტაბური	მასშტაბ ური
ცვლაში	ცვლ აში
რეპრესიები	რე პრესი ები
ვერა	ვერ ა
ვერასოდეს	ვერ ას ოდეს
ერისთავად	ერის თავ ად
გაზრდილია	გა ზრდილ ია
კვადრატულია	კვადრ ატ ულია
იარსებებს	ი არსებ ებს
ცივილიზაციის	ცივილ იზაცი ის
მაისს	მა ის ს
სინგლად	სინ გლ ად
შერიგება	შე რიგებ ა
კუბაზე	კუბ აზე
მეკობრეების	მეკობრ ე ების
ქვეშევრდომები	ქვეშევრ დომ ები
თოვლით	თო ვლ ით
მამაც	მამ ა ც
დეტალებს	დე ტალ ებს
გაირკვეს	გა ირკვ ეს
ლიზინგი	ლიზ ინგ ი
ნიკოლაი	ნი კოლ აი
პირი	პირ ი
დაყვეს	და ყვ ეს
ტრანსფერი	ტრანს ფერ ი
ბიუროკრატიული	ბიურ ოკრატიულ ი
ესთეტიკას	ესთეტ იკ ას
მატჩში	მატ ჩ ში
მოიყარეს	მოი ყარ ეს
საშუალოზე	სა შუალ ოზე
ხარიჯიტები	ხარიჯ იტ ები
გოგონაა	გო გონ აა
დაკავებულები	დაკავ ებულ ები
ველად	ველ ად
ზეპირსიტყვიერების	ზეპირ სიტყვიერ ების
პოლიციური	პოლი ცი ური
სასწორი	სა სწორ ი
მონო	მონ ო
ნიკოლსკოეს	ნი კოლ სკოეს
გუბერნია	გუბერნი ა
დიპლომატიური	დიპლო მატ იური
პოლემიკა	პოლემ იკ ა
დაბოლოს	და ბოლო ს
მონსტრები	მონს ტრ ები
ნუმიზმატიკის	ნუმიზ მატიკ ის
კარდინალ	კარდინ ალ
მეთვალყურეობით	მეთვალყურე ობ ით
მიწას	მი წ ას
აღადგენენ	აღ ადგენ ენ
ჩაცმულობის	ჩაცმ ულობ ის
გადასასვლელად	გადა სასვლელ ად
კუხეთის	კ უხ ეთის
ქურუმები	ქურ უმ ები
ტერიტორიაც	ტერი ტორი აც
კრუხობს	კრუხ ობ ს
გორი	გო რ ი
სეზონში	სე ზონ ში
ტვინში	ტვი ნ ში
ქართლის	ქარ თლ ის
შემაჯამებელი	შემა ჯამ ებელი
გააქტიურება	გა აქტიურ ება
დათარიღებული	დათარიღ ებულ ი
საქსონია	სა ქსონ ია
ოქტომბრიდან	ოქტომ ბრ იდან
უკვდავებას	უ კვდავ ებას
ჯადოსნურ	ჯადოს ნ ურ
სარეკონსტრუქციო	სარე კონსტრუქცი ო
ბრაზილიამ	ბრაზ ილი ამ
გარჩევას	გა რჩევ ას
სოფლების	სოფლ ებ ის
მოყოლებული	მო ყოლ ებული
ოციანი	ოც იანი
სიმბოლოთი	სიმ ბოლო თი
მარცხნიდან	მარცხ ნ იდან
შიშველია	შიშველ ია
სექტემბრის	სექტ ემბრ ის
სამუშაოში	სა მუშაო ში
ადმინისტრაციულმა	ადმინისტრ აცი ულმა
პარკების	პარკ ების
პოზიციების	პოზიცი ების
დისციპლინები	დისციპლინ ები
კონსტანტინოპოლი	კონსტანტი ნოპოლ ი
ღელვის	ღელვ ის
სულებისთვის	ს ულ ებისთვის
იტალიისკენ	იტა ლი ისკენ
კლდიაშვილი	კლდია შვილი
ნიმუშების	ნიმუშ ების
სულიწმინდის	სული წმინდ ის
ბატალიონის	ბატა ლიონ ის
სკუდეტოს	სკუდე ტო ს
მაგალითისათვის	მაგა ლით ისათვის
ხვეული	ხვე ული
სტალინგრადის	სტა ლინ გრადის
ანსამბლმა	ანსამ ბლ მა
ებრძოლათ	ე ბრძოლ ათ
ცნობარი	ცნობ არი
მცენარეებსა	მცენარე ებ სა
საკითხისათვის	სა კითხ ისათვის
წარმოდგენები	წარმო დგენ ები
მოაქციეს	მო აქცი ეს
სანაპიროები	სანაპირ ო ები
ბუშის	ბ უშ ის
უღლების	უღ ლ ების
გამოქვეყნებულა	გამოქვეყნ ებულ ა
მოიცავს	მო იცავ ს
კირიბატის	კირი ბატ ის
დიტრიხმა	დიტ რიხ მა
ჯარების	ჯარ ების
იმპერიული	იმპერი ული
სატევარი	სა ტევ არი
ჩამოყალიბებით	ჩამო ყალიბებ ით
სულებისგან	სულ ებისგან
მაშტაბით	მა შტაბ ით
დაპატიმრებები	და პატიმრებ ები
სააგენტოს	სააგენ ტო ს
ბრაზილიასთან	ბრაზ ილი ასთან
მიახლოებით	მი ახლოებ ით
ვარაუდით	ვარაუდ ით
ახალშობილ	ახალ შობილ
უბრძანებია	უ ბრძანებ ია
კასტელი	კას ტელ ი
უმრავლესობით	უმრავლ ესობ ით
წლებში	წ ლებ ში
დაყოფა	და ყოფ ა
ავალდებულებდა	ა ვალდებულ ებდა
კილომეტრს	კილო მეტრ ს
ფრანკლინ	ფრან კლინ
ვიდეოებს	ვიდეო ებს
განსაზღვრავენ	განსაზღვრ ავ ენ
ეფლობა	ე ფლ ობა
ჯვრისწერა	ჯვრის წერ ა
შექმნილი	შე ქმნილ ი
მახასიათებლებს	მახასიათ ებლ ებს
რაინის	რაი ნ ის
შესატყვისი	შე სატყვის ი
მიწებში	მიწ ებ ში
წლისთავთან	წ ლისთავ თან
სეზონთან	სე ზონ თან
შეკითხვა	შე კითხვ ა
სტილსა	სტ ილ სა
მოჰყავდათ	მო ჰყავდათ
კრიტიკოსი	კრიტიკოს ი
იუნონას	იუნ ონ ას
იუნიორთა	ი უნ იორთა
ძალისხმევა	ძალისხმ ევ ა
ცვივა	ცვი ვ ა
თანადამფუძნებელი	თანადა მფუძნებელ ი
დაიშალა	და იშალ ა
ჯეპრას	ჯე პრ ას
პიტერ	პიტერ
გრაფების	გრაფ ების
ლავრა	ლა ვრ ა
წამოდგა	წამო დგ ა
ჰიპოკრატეს	ჰიპოკრატ ე ს
ანდერსონი	ანდერ სონ ი
წარმოებდა	წარმო ებ და
ოლაფი	ოლა ფ ი
გამოუცდელი	გამოუცდ ელ ი
განუკურნებელი	განუ კურნებელ ი
ტრიბუნები	ტრიბუ ნ ები
პაროდიული	პარ ოდი ული
ბრალდებებს	ბრალ დებ ებს
კომპანიებისთვის	კომპანი ებისთვის
სიყმაწვილე	სი ყმაწვილ ე
უყვებოდა	უ ყვ ებოდა
საბაჟოს	საბა ჟ ოს
რგოლს	რ გოლ ს
აუკრძალეს	აუ კრძალ ეს
განვითარების	გან ვითარებ ის
აქაურ	ა ქაურ
ლიტურგია	ლი ტურგი ა
ქვიშაქვებით	ქვიშ აქვ ებით
დასწრებია	და სწრებ ია
მართლმადიდებელი	მართლ მადიდებელ ი
ლომის	ლ ომ ის
კინოინდუსტრია	კინოინდუ სტრ ია
გარეთა	გარეთ ა
იესოს	ი ეს ოს
რჩეულ	რჩეულ
ტერიტორიასაც	ტერი ტორი ასაც
ფონდს	ფონ დ ს
ლეგო	ლეგ ო
სასკეს	სა სკ ეს
სიმაღლებრივი	სი მაღლ ებრივი
სავოევოდო	სა ვოევოდ ო
ლაურეატი	ლაურე ატი
სასულთნოს	სა სულთნ ოს
ინტერვალის	ინტერ ვალ ის
შემოღებული	შემო ღებ ული
მომავლისთვის	მო მავლ ისთვის
შეწირვა	შე წირვ ა
ჩიკაგო	ჩიკა გო
აღდგენილიყო	აღ დგენილ იყო
ტიტულიც	ტი ტულ იც
გამუდმებულ	გამუდმ ებულ
სრუტეები	სრუ ტე ები
პერიოდშივე	პერი ოდ შივე
კახთა	კა ხ თა
დასაწყისი	დასა წყის ი
სტამბოლი	სტამ ბოლ ი
ოლიმპია	ოლიმპ ი ა
თაბაშირის	თაბაში რ ის
აყალიბებენ	ა ყალიბებ ენ
ვალინორში	ვალი ნორ ში
მჟავა	მჟავ ა
ფილმია	ფილმ ია
გეგმები	გეგმ ები
ჟიურის	ჟ იურ ის
ბარძაყის	ბარ ძაყის
მოკლას	მო კლას
შეერია	შე ერი ა
ოქუმის	ოქ უმ ის
შობას	შობ ას
ამნისტია	ამნი სტი ა
ბერის	ბერ ის
მჟღავნდება	მჟღავნ დება
სახეობისთვის	სახეობ ისთვის
ხვრელია	ხვრ ელ ია
ბლოკ	ბლოკ
რაღა	რ აღა
განაგრძობენ	განაგრძ ობ ენ
გამოფენებში	გამო ფენ ებში
ამტკიცებდნენ	ა მტკიცებ დნენ
დამსახურებით	და მსახურებ ით
ჰიუ	ჰ იუ
კარლა	კარ ლ ა
ოლიგარქიული	ოლიგ არქი ული
მოსწორებულია	მოსწორ ებულ ია
მეოთხედში	მეოთ ხედ ში
გავლენიან	გა ვლენ იან
კაპიტულაციას	კაპიტ ულაცი ას
სარდაფი	სარდ აფ ი
ინგლისელი	ინგლის ელ ი
ნათელ	ნა თელ
აკავშირებდა	ა კავშირებ და
აგებულების	აგ ებულებ ის
პალეოლოგოსის	პალეო ლოგ ოსის
დიალექტი	დიალ ექტ ი
გინეკოლოგიური	გინეკ ოლოგი ური
კაპიტანია	კაპიტ ან ია
მათემატიკამ	მათე მატიკ ამ
მდგომარეობისა	მდგომარე ობ ისა
შვილიშვილს	შვილი შვილ ს
წარმატების	წარ მატებ ის
უცვლის	უ ცვლ ის
დასახმარებლად	დასა ხმარებ ლად
გარდაცვლილს	გარდა ცვლილ ს
ოკრუგის	ოკრ უგ ის
მკვდარ	მკვდარ
დარჩებოდა	და რჩ ებოდა
ბოლშევიკური	ბოლშე ვიკ ური
პორტუგალიის	პორტუგა ლი ის
იშტვან	ი შტ ვან
ოტელი	ოტ ელ ი
ჩხალთის	ჩ ხალთ ის
ანდრონიკაშვილის	ანდრონიკ აშვილ ის
საკრავიერი	სა კრავ იერი
წინამძღვარს	წინამ ძღვარ ს
სამნიტები	სამ ნიტ ები
თათრებს	თა თრ ებს
მღელვარე	მღელვ არ ე
ორგანიზმებზე	ორგანიზმ ებ ზე
მაგისტრალზე	მა გისტრალ ზე
აყვანილი	ა ყვანილ ი
გააოცა	გაა ოც ა
სასურველი	სა სურველ ი
ჯინი	ჯინ ი
შს	შს
სახელმწიფოთაშორისი	სახელმწიფ ო თაშორისი
უწოდებს	უ წოდებ ს
მარინეს	მა რინ ეს
ნეიტრონის	ნეიტრ ონ ის
გაბრტყელებული	გა ბრტყელებულ ი
ტელეარხმა	ტელე არხ მა
ეკიპაჟმა	ეკიპ აჟ მა
პროცესების	პროცეს ებ ის
ვიქტორიანული	ვიქტორიან ულ ი
აზნაურს	ა ზნაურ ს
მბრუნავი	მ ბრუნ ავი
კევინ	კე ვინ
აკისრია	ა კისრ ია
ანტუანის	ანტუ ან ის
ბრიტანეთსა	ბრიტან ეთ სა
ვერცხლით	ვერ ცხლ ით
წარმოდგენილნი	წარმო დგენილ ნი
ხრამის	ხრ ამ ის
ჩატანებულია	ჩატან ებ ულია
ეკლესიით	ე კლესი ით
ქვაბები	ქვა ბ ები
სრულებითაც	სრულებ ითაც
დანებების	და ნებ ების
ოფიცერს	ოფიც ერ ს
ხრესილის	ხრეს ილ ის
ჯოანა	ჯო ან ა
კლინიკურად	კლი ნიკ ურად
მლნ	მ ლ ნ
მალისა	მალ ისა
იკითხებოდა	ი კითხ ებოდა
ოცდამეცხრე	ოცდა მე ცხრე
ააშენა	აა შენ ა
დაბომბვის	დაბომბ ვ ის
მამაკაცია	მამა კაც ია
ვილაპარაკეთ	ვი ლაპარაკ ეთ
ბედავდა	ბე დავ და
მინანქრის	მინან ქ რის
ბანაკს	ბანაკ ს
ექსპედიციებს	ე ქსპედიცი ებს
ძელებით	ძ ელ ებით
იზაბელა	იზა ბელ ა
დღიანი	დღ იანი
ბაზები	ბაზ ები
ნათების	ნათებ ის
გადაწყვეტილების	გადაწყვეტ ილებ ის
ნორმები	ნორმ ები
პროცესებს	პროცეს ებ ს
დედამიწასთან	დედა მიწ ასთან
ფერმერები	ფერ მერ ები
თვალწინ	თვალ წინ
ფილოლოგია	ფილ ოლოგი ა
მითხრა	მი თხრ ა
კამილუსმა	კამილ უს მა
რენამოს	რენ ამოს
იარაღით	იარაღ ით
სცემენ	სცემ ენ
ბელონას	ბელ ონ ას
ელიზაბეთი	ელიზა ბეთ ი
უკიდურესი	უკიდურ ეს ი
საკითხებთან	სა კითხ ებთან
დოკუმენტებით	დოკუ მენტ ებით
პენის	პენ ის
სამლოცველო	სამლოცველ ო
როსონერი	როს ონერ ი
რელიეფური	რელიეფ ური
ბენდს	ბენ დ ს
ექსპლოატაციის	ექსპლოა ტაცი ის
ვაი	ვა ი
მოხვედრა	მო ხვედრ ა
უდიდებულესობის	უდიდებულ ესობ ის
გრძნობას	გრძნობ ას
ლოცვა	ლო ცვ ა
ღამე	ღამ ე
ლოდებით	ლო დ ებით
ნინოშვილის	ნინო შვილ ის
ტური	ტურ ი
ადიდე	ა დი დე
განსაკუთრებულობა	განსაკუთრ ებულ ობა
ლოუს	ლოუ ს
დამხობილ	და მხობ ილ
გუდვილი	გუდ ვილ ი
ჯერა	ჯერ ა
ისტორიოგრაფიაში	ისტორი ოგრაფი აში
კოლუმბიელი	კოლუმბ ი ელი
ობიექტური	ო ბიექტ ური
ცხოვრებისათვის	ცხოვრებ ისათვის
გამოჩენისას	გამო ჩენ ისას
მარჯნის	მარჯ ნ ის
გაზრდამ	გა ზრდ ამ
თესლი	თესლ ი
იზოტოპის	იზო ტოპ ის
პროვინციებს	პროვინ ცი ებს
სივილ	სი ვილ
შემცველ	შე მცველ
დაეცემა	დაეცემ ა
იტევს	ი ტევ ს
თედორე	თ ედო რე
დასავლეთისკენ	და სავლეთ ისკენ
სექცია	სე ქცი ა
პრინციპულად	პრინცი პ ულად
შეემატნენ	შეე მატ ნენ
მოხარული	მო ხარ ული
მეზღვაურების	მეზღვ აურ ების
დაფების	და ფ ების
ტერმინატორის	ტერმინა ტორი ს
მოღვაწეობამ	მოღვაწ ეობ ამ
მოდის	მო დ ის
აღგზნება	აღ გზნებ ა
გაჩეხვის	გაჩე ხვ ის
რონალდო	რონ ალდ ო
გრინვუდი	გრინ ვუდ ი
ალაჰი	ალა ჰ ი
ქართველოლოგიის	ქართველ ოლოგი ის
მეძებარი	მეძე ბარ ი
დააზარალა	დაა ზარალ ა
რეიტინგული	რეიტინგ ული
ტიბეტის	ტი ბეტ ის
ელჩობა	ელ ჩ ობა
ვაქცინის	ვაქ ცინ ის
თუთიყუშის	თუთიყ უშ ის
რომეოს	რომ ეოს
ვულკანია	ვულკან ია
სიმპლონის	სიმპ ლონ ის
ამანში	ა მან ში
მოგებაც	მო გებ აც
ორგანიზმებით	ორგანიზმ ებ ით
ლენინი	ლენ ინ ი
გამომცემელმა	გამომცემ ელ მა
ენფილდზე	ენ ფილდ ზე
ზონასთან	ზონ ასთან
მოვლენად	მო ვლენ ად
ვადამდე	ვად ამდე
სიგრძივი	სი გრძ ივი
სისხლი	სისხლ ი
ფილოსოფიასთან	ფილოსოფ ი ასთან
გაჭირვებული	გაჭირ ვებ ული
დამატებას	და მატებ ას
ნახევარსფეროზე	ნახევარ სფერო ზე
ყმა	ყმ ა
გაბრიელის	გაბრი ელ ის
მოხატა	მო ხატ ა
სხვადასხვანაირია	სხვადა სხვანაირ ია
მეგობრულად	მეგობრ ულ ად
შეჭრილიყო	შე ჭრილ იყო
დაამონტაჟა	დაამო ნტაჟ ა
ტუპაკ	ტუ პაკ
მაიკლ	მა იკლ
აღდგომის	აღ დგომ ის
შეეყარა	შე ეყარ ა
გაჩერებული	გა ჩერებ ული
მიაკითხა	მია კითხ ა
მათრახი	მა თ რახი
დარეჯანი	დარე ჯან ი
აუტანელი	აუ ტან ელი
ასვლისას	ა სვლ ისას
სუზანა	სუ ზან ა
აკრიტიკებს	ა კრიტიკებ ს
გარსიას	გარ ს იას
ზრუნვას	ზრუნ ვ ას
მონარქიული	მონ არქი ული
სიმღერაც	სი მღერ აც
შემდგომი	შე მდგომ ი
იცოდე	იც ოდ ე
თხემურ	თხ ემ ურ
მარსელ	მარ სელ
რომელთან	რომ ელ თან
უწესო	უ წეს ო
რაინდებს	რაი ნდ ებს
სახელები	სახელებ ი
სათნოებას	სათნო ებ ას
პანორამული	პანო რამ ული
იკისრა	ი კისრ ა
ფაშისტურ	ფაშისტ ურ
კლდეს	კლ დე ს
გამრავლება	გამრავლ ებ ა
რელიქტური	რე ლიქ ტური
რუმინულ	რუმინ ულ
სხდომას	სხ დომ ას
ჩემპიონად	ჩემპიო ნ ად
თანამეგობრობის	თანამეგობრ ობ ის
ფენებს	ფენ ებს
ხახულის	ხა ხ ულის
კარიერაც	კარ იერ აც
თანრიგში	თან რიგ ში
დაბოლოებას	დაბოლო ებ ას
გადაწერილი	გადა წერილ ი
შეიკრიბნენ	შე იკრიბ ნენ
მომხდარი	მო მხდარ ი
ლარს	ლა რ ს
ღირებულებით	ღირ ებულებ ით
ოჯახებში	ოჯახ ებში
კათოლიკურმა	კათოლი კ ურმა
რგოლები	რ გოლ ები
შეეცვალათ	შეე ცვალ ათ
პილასტრით	პილა სტრ ით
მომღერალთა	მომღერ ალ თა
რაკეტების	რა კეტ ების
რობინის	რო ბინ ის
ტომ	ტომ
ბელგრადის	ბელ გრად ის
ამხანაგური	ამხან აგ ური
მუსულმანებს	მუსულ მან ებს
წამის	წამ ის
სეპარატისტულ	სეპარატ ისტ ულ
აბრაამის	აბრა ამ ის
თრი	თ რ ი
ვერსიად	ვერსი ად
კრეისერი	კრეი სერ ი
რადიაქტიური	რადი აქტიურ ი
