გამოსხივება	გამოსხივ ება
თრაინ	თ რაინ
მისალმების	მისალმ ების
ნოვიცკი	ნოვიც კი
წაყენებული	წა ყენებული
სამკაულებს	სამკაუ ლებს
ცვლილებათა	ცვლილებ ათა
თავად	თავად
შეთანხმდა	შეთანხმ და
ჟორჟი	ჟორჟ ი
პოლმა	პოლ მა
კარლს	კარლ ს
ურთიერთობაზე	ურთიერთობ აზე
შთამომავალს	შთა მომავალ ს
სერვერიდან	სერვერ იდან
თინათინი	თინათ ინი
მაიკროსოფტმა	მაიკროსოფ ტმა
დაკანონდა	და კანონ და
ანგელოზმა	ანგელოზ მა
ფუს	ფუ ს
წუთით	წუთ ით
პაციენტები	პაციენ ტები
პირად	პირად
ჯონის	ჯონ ის
ქვაც	ქვ აც
ბესტი	ბესტ ი
სულიერ	სულიერ
წამოწეული	წამ ოწეული
დიდებულები	დიდებულ ები
ისტორიამ	ისტორი ამ
რეზონანსი	რეზონანს ი
ფრონტონის	ფრონტ ონის
ვარშავა	ვარშავ ა
სანდრა	სან დრა
ასპირანტი	ასპირანტ ი
ინვალიდის	ინვალიდ ის
ამოღებულ	ამოღებ ულ
გავდა	გ ავდა
პარკისა	პარკ ისა
სართავი	სარ თავი
მშენებარე	მშენებ არე
ფოტონის	ფოტო ნის
წესი	წეს ი
ხოტბა	ხოტ ბა
ციკლონების	ციკლონ ების
ამინდში	ამინდ ში
წყლისთვის	წყლ ისთვის
კანტონების	კანტონ ების
აზნაურების	აზნაურ ების
გოლიათი	გოლ იათი
აუხსნელი	აუხსნ ელი
კენტის	კენტ ის
ვარსკვლავთკარიბჭე	ვარსკვლავ თკარიბჭე
ბოშების	ბოშ ების
ტიურინგის	ტი ურინგის
გურჯი	გურჯ ი
ჩემპიონობისათვის	ჩემპიონ ობისათვის
კერნის	კერ ნის
დათოსაც	დათ ოსაც
ბირჟის	ბირჟ ის
ოცდამერვე	ოცდამე რვე
არსენის	არსენ ის
ბრუნვა	ბრუნ ვა
კვარტეტი	კვარტ ეტი
წამოწყება	წამოწყებ ა
ტიტველი	ტიტ ველი
პროცესი	პროცეს ი
აყვავების	აყვავ ების
გუსტავი	გუსტავ ი
სტაბილური	სტაბილურ ი
ცენტურიონი	ცენტ ურიონი
ბამბის	ბამბ ის
ვირს	ვირ ს
მდგომარეობაშია	მდგომარე ობაშია
ღრუში	ღრუ ში
ბრძენმა	ბრძენ მა
ტონაზე	ტონ აზე
კარზეც	კარ ზეც
ფოტოსინთეზის	ფოტო სინთეზ ის
ღვთაებრივ	ღვთაებ რივ
სპარტა	სპარტ ა
დაბინძურებულ	დაბინძურ ებულ
იაპ	ი აპ
კვარტლები	კვარტ ლები
ენერგიით	ენერგი ით
სისხლისსამართლებრივი	სისხლის სამართლებრი ვი
იუდეველებმა	იუდევე ლებმა
დადგინდეს	დადგინ დეს
ნუსხურსა	ნუსხურ სა
მყინვარი	მყინვარ ი
ცდები	ცდ ები
გველების	გველ ების
შენების	შენ ების
დავითნი	დავით ნი
ჩირი	ჩირ ი
სატვირთო	სატვირთ ო
ამაში	ამ აში
ბრაუნი	ბრაუნ ი
მიუსაჯა	მიუსაჯ ა
ეთიკა	ეთიკ ა
ბინ	ბინ
ტერასა	ტერას ა
ველური	ველ ური
სისტემატიკის	სისტემატ იკის
ასკეტური	ას კეტური
ზომამ	ზომ ამ
თანაგუნდელები	თანა გუნდ ელები
უშაქრო	უ შაქ რო
მიიჩნიეს	მიიჩნი ეს
მუსიკასა	მუსიკ ასა
ბარდა	ბარ და
თეთრკანიანები	თეთრკანი ანები
ლეიბლებზე	ლეიბლ ებზე
აინტერესებდათ	აინტერეს ებდათ
თებერვლისთვის	თებერვლ ისთვის
სისტემებთან	სისტემ ებთან
შეეთავაზებინა	შეე თავაზებინა
ბადალი	ბად ალი
გასაყიდი	გასაყიდ ი
მთაგრეხილის	მთა გრეხილი ს
გააშენა	გააშენ ა
მახარაძეს	მა ხარ აძეს
მეტალიკამ	მეტალ იკამ
დააზუსტა	დაა ზუსტა
სექსუალურ	სექსუალ ურ
ესმა	ეს მა
კლუბები	კლუბ ები
მზრუნველობის	მზრუნვ ელობის
თავდასხმის	თავდასხმ ის
შერჩენილია	შერჩენ ილია
იწყეს	იწყ ეს
სერია	სერი ა
სათათბირო	სათათბი რო
მტკვარი	მტკვარ ი
მეტალების	მეტალ ების
გამოც	გამო ც
ოსტატი	ოსტატ ი
საყრდენად	საყრდე ნად
გაჩერდნენ	გაჩერ დნენ
ზენიტის	ზენიტ ის
საკარმიდამო	სა კარ მიდამო
ხერხემლიანი	ხერხემლიან ი
მოსახლეზე	მოსახლე ზე
შეხედულებას	შეხედულ ებას
ჰარლემში	ჰარლემ ში
კალაპოტის	კალაპოტ ის
მინერალ	მინერალ
ფასადის	ფასად ის
უფლებამოსილი	უფლებამოსილ ი
სახლზე	სახლ ზე
სიმაგრე	სიმაგრე
შენობასთან	შენობ ასთან
გადმოჰყურებს	გადმო ჰყურებს
კრამიტი	კრამი ტი
მცხეთას	მცხეთ ას
ჰემი	ჰემ ი
გორილები	გორილ ები
რონი	რო ნი
ნომინაციაში	ნომინ აციაში
გაგიჟებულია	გაგიჟ ებულია
კინემატოგრაფიული	კინემატოგრაფ იული
იემენის	ი ემენის
ემოსა	ე მოსა
ბავშვს	ბავშვ ს
მოაწყვეს	მოაწყ ვეს
ერიტრეის	ერიტრე ის
დაავადებანი	დაავადებ ანი
ეკიპაჟის	ეკიპაჟ ის
კურსიდან	კურს იდან
გამომადგა	გამო მადგა
საჭირბოროტო	საჭირ ბოროტ ო
ავანგარდულ	ავანგარდ ულ
ფეხში	ფეხ ში
მალდინიმ	მალდინი მ
მემამულეთა	მემამულ ეთა
პარაზიტებია	პარაზი ტებია
პროექტებზე	პროექტ ებზე
ტექსტები	ტექსტ ები
რომანოზ	რომან ოზ
ფინეთმა	ფინ ეთმა
ჰუსიტური	ჰუსი ტური
გრანდიოზული	გრანდი ოზული
კარგმა	კარგ მა
მასათა	მასა თა
გაატანა	გაა ტანა
სპეციფიური	სპეციფიურ ი
უხდება	უხ დება
უპირობოდ	უპირობ ოდ
ბოლქვიანი	ბოლქვ იანი
ტანკზე	ტანკ ზე
გაუქმებული	გაუქმ ებული
პროლოგი	პროლოგი
მანქანაზე	მანქან აზე
ანონიმი	ანონიმ ი
გაზრდას	გაზრდ ას
მასშტაბური	მასშტაბ ური
ცვლაში	ცვლ აში
რეპრესიები	რეპრესი ები
ვერა	ვერ ა
ვერასოდეს	ვერა სოდეს
ერისთავად	ერისთავ ად
გაზრდილია	გაზრდ ილია
კვადრატულია	კვადრატ ულია
იარსებებს	ი არსებ ებს
ცივილიზაციის	ცივილიზაცი ის
მაისს	მაის ს
სინგლად	სინგლ ად
შერიგება	შერიგ ება
კუბაზე	კუბ აზე
მეკობრეების	მეკობრე ების
ქვეშევრდომები	ქვეშევრდომ ები
თოვლით	თოვლ ით
მამაც	მამ აც
დეტალებს	დეტალ ებს
გაირკვეს	გაირკვ ეს
ლიზინგი	ლიზ ინგი
ნიკოლაი	ნიკოლ აი
პირი	პირ ი
დაყვეს	და ყვეს
ტრანსფერი	ტრანსფერ ი
ბიუროკრატიული	ბიურ ოკრატიული
ესთეტიკას	ესთეტიკა ს
მატჩში	მატჩ ში
მოიყარეს	მოი ყარეს
საშუალოზე	საშუალ ოზე
ხარიჯიტები	ხარიჯი ტები
გოგონაა	გოგონ აა
დაკავებულები	დაკავ ებულები
ველად	ველ ად
ზეპირსიტყვიერების	ზეპირსიტყვ იერების
პოლიციური	პოლი ციური
სასწორი	სასწორ ი
მონო	მონ ო
ნიკოლსკოეს	ნიკოლ სკოეს
გუბერნია	გუბერნი ა
დიპლომატიური	დიპლომატი ური
პოლემიკა	პოლ ემიკა
დაბოლოს	დაბოლო ს
მონსტრები	მონსტრ ები
ნუმიზმატიკის	ნუმიზმა ტიკის
კარდინალ	კარდინ ალ
მეთვალყურეობით	მეთვალყურ ეობით
მიწას	მიწ ას
აღადგენენ	აღადგენ ენ
ჩაცმულობის	ჩაცმულ ობის
გადასასვლელად	გადასასვლე ლად
კუხეთის	კუ ხეთის
ქურუმები	ქურუმ ები
ტერიტორიაც	ტერიტორი აც
კრუხობს	კრუხობ ს
გორი	გორ ი
სეზონში	სეზონ ში
ტვინში	ტვინ ში
ქართლის	ქართლ ის
შემაჯამებელი	შე მაჯამებელი
გააქტიურება	გააქტიურ ება
დათარიღებული	დათარიღ ებული
საქსონია	საქსონ ია
ოქტომბრიდან	ოქტომბრ იდან
უკვდავებას	უკვდავ ებას
ჯადოსნურ	ჯადოსნ ურ
სარეკონსტრუქციო	სა რეკონსტრუქცი ო
ბრაზილიამ	ბრაზილი ამ
გარჩევას	გარჩევ ას
სოფლების	სოფლ ების
მოყოლებული	მოყოლ ებული
ოციანი	ოც იანი
სიმბოლოთი	სიმბოლო თი
მარცხნიდან	მარცხ ნიდან
შიშველია	შიშველ ია
სექტემბრის	სექტემბრ ის
სამუშაოში	სამუშაო ში
ადმინისტრაციულმა	ადმინისტრ აციულმა
პარკების	პარკ ების
პოზიციების	პოზიცი ების
დისციპლინები	დისციპლინებ ი
კონსტანტინოპოლი	კონსტანტინ ოპოლი
ღელვის	ღელვ ის
სულებისთვის	სულ ებისთვის
იტალიისკენ	იტალი ისკენ
კლდიაშვილი	კლდ იაშვილი
ნიმუშების	ნიმუშ ების
სულიწმინდის	სულ იწმინდის
ბატალიონის	ბატალი ონის
სკუდეტოს	სკუდე ტოს
მაგალითისათვის	მაგალით ისათვის
ხვეული	ხვ ეული
სტალინგრადის	სტალინ გრადის
ანსამბლმა	ანსამბ ლმა
ებრძოლათ	ე ბრძოლ ათ
ცნობარი	ცნობ არი
მცენარეებსა	მცენარე ებსა
საკითხისათვის	საკითხ ისათვის
წარმოდგენები	წარმოდგენ ები
მოაქციეს	მოაქცი ეს
სანაპიროები	სანაპირო ები
ბუშის	ბუშ ის
უღლების	უ ღლების
გამოქვეყნებულა	გამოქვეყნებ ულა
მოიცავს	მოიცავ ს
კირიბატის	კირი ბატის
დიტრიხმა	დიტრი ხმა
ჯარების	ჯარ ების
იმპერიული	იმპერი ული
სატევარი	სატევ არი
ჩამოყალიბებით	ჩამოყალიბ ებით
სულებისგან	სულ ებისგან
მაშტაბით	მაშტაბ ით
დაპატიმრებები	დაპატიმრ ებები
სააგენტოს	სააგენტ ოს
ბრაზილიასთან	ბრაზილი ასთან
მიახლოებით	მიახლოებ ით
ვარაუდით	ვარაუდ ით
ახალშობილ	ახალშობ ილ
უბრძანებია	უბრძან ებია
კასტელი	კასტ ელი
უმრავლესობით	უმრავლესობ ით
წლებში	წლებ ში
დაყოფა	დაყოფ ა
ავალდებულებდა	ა ვალდებულებ და
კილომეტრს	კილომეტრ ს
ფრანკლინ	ფრანკლინ
ვიდეოებს	ვიდეო ებს
განსაზღვრავენ	განსაზღვრ ავენ
ეფლობა	ე ფლობ ა
ჯვრისწერა	ჯვრის წერა
შექმნილი	შექმნ ილი
მახასიათებლებს	მახასიათ ებლებს
რაინის	რაინ ის
შესატყვისი	შესატყვის ი
მიწებში	მიწ ებში
წლისთავთან	წლისთავ თან
სეზონთან	სეზონ თან
შეკითხვა	შეკითხვ ა
სტილსა	სტილ სა
მოჰყავდათ	მოჰყავ დათ
კრიტიკოსი	კრიტიკოს ი
იუნონას	იუნონა ს
იუნიორთა	იუნი ორთა
ძალისხმევა	ძალისხმე ვა
ცვივა	ცვ ივა
თანადამფუძნებელი	თანა დამფუძნებელ ი
დაიშალა	დაი შალა
ჯეპრას	ჯე პრას
პიტერ	პიტერ
გრაფების	გრაფ ების
ლავრა	ლავრ ა
წამოდგა	წამო დგა
ჰიპოკრატეს	ჰიპოკრატ ეს
ანდერსონი	ანდერსონ ი
წარმოებდა	წარმოებ და
ოლაფი	ოლ აფი
გამოუცდელი	გამოუცდ ელი
განუკურნებელი	განუკურნ ებელი
ტრიბუნები	ტრიბუნ ები
პაროდიული	პაროდი ული
ბრალდებებს	ბრალდებებ ს
კომპანიებისთვის	კომპანი ებისთვის
სიყმაწვილე	სიყმაწვილე
უყვებოდა	უყვ ებოდა
საბაჟოს	საბაჟო ს
რგოლს	რგოლ ს
აუკრძალეს	აუკრძალ ეს
განვითარების	განვითარებ ის
აქაურ	აქა ურ
ლიტურგია	ლიტურგი ა
ქვიშაქვებით	ქვიშაქვ ებით
დასწრებია	დასწრ ებია
მართლმადიდებელი	მართლმადიდ ებელი
ლომის	ლომ ის
კინოინდუსტრია	კინო ინდუსტრი ა
გარეთა	გარეთ ა
იესოს	იეს ოს
რჩეულ	რჩეულ
ტერიტორიასაც	ტერიტორი ასაც
ფონდს	ფონდ ს
ლეგო	ლეგ ო
სასკეს	სასკ ეს
სიმაღლებრივი	სიმაღლ ებრივი
სავოევოდო	სავოევოდ ო
ლაურეატი	ლაურეატ ი
სასულთნოს	სასულთნო ს
ინტერვალის	ინტერვალ ის
შემოღებული	შემოღებ ული
მომავლისთვის	მომავლ ისთვის
შეწირვა	შეწირ ვა
ჩიკაგო	ჩიკაგო
აღდგენილიყო	აღდგენ ილიყო
ტიტულიც	ტიტულ იც
გამუდმებულ	გამუდმ ებულ
სრუტეები	სრუტე ები
პერიოდშივე	პერიოდ შივე
კახთა	კახ თა
დასაწყისი	დასაწყ ისი
სტამბოლი	სტამბო ლი
ოლიმპია	ოლიმპი ა
თაბაშირის	თაბაში რის
აყალიბებენ	აყალიბ ებენ
ვალინორში	ვალინორ ში
მჟავა	მჟავ ა
ფილმია	ფილმ ია
გეგმები	გეგმ ები
ჟიურის	ჟიური ს
ბარძაყის	ბარ ძაყის
მოკლას	მოკლ ას
შეერია	შეე რია
ოქუმის	ოქ უმის
შობას	შობ ას
ამნისტია	ამნისტი ა
ბერის	ბერ ის
მჟღავნდება	მჟღავნ დება
სახეობისთვის	სახეობ ისთვის
ხვრელია	ხვრელ ია
ბლოკ	ბლოკ
რაღა	რ აღა
განაგრძობენ	განაგრძ ობენ
გამოფენებში	გამოფენ ებში
ამტკიცებდნენ	ამტკიცებ დნენ
დამსახურებით	დამსახურ ებით
ჰიუ	ჰიუ
კარლა	კარლ ა
ოლიგარქიული	ო ლიგ არქიული
მოსწორებულია	მოსწორებული ა
მეოთხედში	მეოთხედ ში
გავლენიან	გავლენ იან
კაპიტულაციას	კაპიტულა ციას
სარდაფი	სარდაფ ი
ინგლისელი	ინგლის ელი
ნათელ	ნათელ
აკავშირებდა	აკავშირ ებდა
აგებულების	აგებულებ ის
პალეოლოგოსის	პალეო ლოგო სის
დიალექტი	დიალექ ტი
გინეკოლოგიური	გინ ეკოლოგი ური
კაპიტანია	კაპიტან ია
მათემატიკამ	მათემატ იკამ
მდგომარეობისა	მდგომარე ობისა
შვილიშვილს	შვილიშვილ ს
წარმატების	წარმატებ ის
უცვლის	უცვლ ის
დასახმარებლად	დასა ხმარებლად
გარდაცვლილს	გარდაცვლილ ს
ოკრუგის	ოკრუ გის
მკვდარ	მკვდარ
დარჩებოდა	დარჩ ებოდა
ბოლშევიკური	ბოლშევიკ ური
პორტუგალიის	პორტუგალ იის
იშტვან	ი შტ ვან
ოტელი	ოტ ელი
ჩხალთის	ჩხ ალთის
ანდრონიკაშვილის	ანდრონიკ აშვილის
საკრავიერი	საკრავ იერი
წინამძღვარს	წინამძღვ არს
სამნიტები	სამნიტ ები
თათრებს	თათრ ებს
მღელვარე	მღელვ არე
ორგანიზმებზე	ორგანიზ მებზე
მაგისტრალზე	მაგისტრა ლზე
აყვანილი	აყვან ილი
გააოცა	გაა ოც ა
სასურველი	სასურვ ელი
ჯინი	ჯინ ი
შს	შს
სახელმწიფოთაშორისი	სახელმწიფ ოთაშორისი
უწოდებს	უწოდ ებს
მარინეს	მარინ ეს
ნეიტრონის	ნეიტრონ ის
გაბრტყელებული	გა ბრტყელ ებული
ტელეარხმა	ტელეარხ მა
ეკიპაჟმა	ეკიპაჟ მა
პროცესების	პროცეს ების
ვიქტორიანული	ვიქტორი ანული
აზნაურს	აზნაურ ს
მბრუნავი	მ ბრუნ ავი
კევინ	კევინ
აკისრია	აკისრ ია
ანტუანის	ანტუა ნის
ბრიტანეთსა	ბრიტან ეთსა
ვერცხლით	ვერცხლ ით
წარმოდგენილნი	წარმოდგენ ილნი
ხრამის	ხრ ამის
ჩატანებულია	ჩატან ებულია
ეკლესიით	ეკლესი ით
ქვაბები	ქვაბ ები
სრულებითაც	სრულებ ითაც
დანებების	დანებ ების
ოფიცერს	ოფიცერ ს
ხრესილის	ხრეს ილის
ჯოანა	ჯო ანა
კლინიკურად	კლინიკ ურად
მლნ	მლ ნ
მალისა	მალ ისა
იკითხებოდა	იკითხ ებოდა
ოცდამეცხრე	ოცდამე ცხრე
ააშენა	ააშენ ა
დაბომბვის	დაბომბ ვის
მამაკაცია	მამაკაც ია
ვილაპარაკეთ	ვილაპარაკ ეთ
ბედავდა	ბედ ავდა
მინანქრის	მინანქ რის
ბანაკს	ბანაკ ს
ექსპედიციებს	ექსპედიცი ებს
ძელებით	ძელ ებით
იზაბელა	იზაბელ ა
დღიანი	დღ იანი
ბაზები	ბაზ ები
ნათების	ნათ ების
გადაწყვეტილების	გადაწყვეტ ილების
ნორმები	ნორმ ები
პროცესებს	პროცეს ებს
დედამიწასთან	დედამიწ ასთან
ფერმერები	ფერმერ ები
თვალწინ	თვალ წინ
ფილოლოგია	ფილოლოგი ა
მითხრა	მით ხრა
კამილუსმა	კამილუს მა
რენამოს	რენ ამოს
იარაღით	იარაღ ით
სცემენ	სცემ ენ
ბელონას	ბელ ონას
ელიზაბეთი	ელიზაბე თი
უკიდურესი	უკიდურეს ი
საკითხებთან	საკითხ ებთან
დოკუმენტებით	დოკუმენტ ებით
პენის	პენ ის
სამლოცველო	სამლოცვ ელო
როსონერი	როსონე რი
რელიეფური	რელიეფ ური
ბენდს	ბენდ ს
ექსპლოატაციის	ექსპ ლო ატაციის
ვაი	ვა ი
მოხვედრა	მოხვედრ ა
უდიდებულესობის	უ დიდებულ ესობის
გრძნობას	გრძნობ ას
ლოცვა	ლოცვ ა
ღამე	ღამე
ლოდებით	ლოდ ებით
ნინოშვილის	ნინო შვილის
ტური	ტურ ი
ადიდე	ადიდ ე
განსაკუთრებულობა	განსაკუთრე ბულობა
ლოუს	ლო უს
დამხობილ	დამხობ ილ
გუდვილი	გუდ ვილი
ჯერა	ჯერ ა
ისტორიოგრაფიაში	ისტორიოგრაფ იაში
კოლუმბიელი	კოლუმბი ელი
ობიექტური	ობიექტ ური
ცხოვრებისათვის	ცხოვრებ ისათვის
გამოჩენისას	გამოჩენ ისას
მარჯნის	მარჯნ ის
გაზრდამ	გაზრდ ამ
თესლი	თესლ ი
იზოტოპის	იზოტოპ ის
პროვინციებს	პროვინცი ებს
სივილ	სი ვილ
შემცველ	შემცველ
დაეცემა	დაე ცემა
იტევს	იტევ ს
თედორე	თე დორე
დასავლეთისკენ	დასავლეთ ისკენ
სექცია	სექცი ა
პრინციპულად	პრინციპ ულად
შეემატნენ	შეემატ ნენ
მოხარული	მოხარ ული
მეზღვაურების	მეზღვა ურების
დაფების	დაფ ების
ტერმინატორის	ტერმინ ატორის
მოღვაწეობამ	მოღვაწეობ ამ
მოდის	მოდ ის
აღგზნება	აღ გზნება
გაჩეხვის	გა ჩეხ ვის
რონალდო	რონალდ ო
გრინვუდი	გრინვუდ ი
ალაჰი	ალაჰ ი
ქართველოლოგიის	ქართველ ოლოგიის
მეძებარი	მეძ ებარი
დააზარალა	დაა ზარალა
რეიტინგული	რეიტინგ ული
ტიბეტის	ტიბეტ ის
ელჩობა	ელჩ ობა
ვაქცინის	ვაქცი ნის
თუთიყუშის	თუთი ყუშის
რომეოს	რომე ოს
ვულკანია	ვულკან ია
სიმპლონის	სიმპ ლონის
ამანში	ამ ანში
მოგებაც	მოგ ებაც
ორგანიზმებით	ორგანიზ მებით
ლენინი	ლენინ ი
გამომცემელმა	გამომცემ ელმა
ენფილდზე	ენ ფილდზე
ზონასთან	ზონ ასთან
მოვლენად	მოვლენ ად
ვადამდე	ვად ამდე
სიგრძივი	სიგრძ ივი
სისხლი	სისხლ ი
ფილოსოფიასთან	ფილოსოფი ასთან
გაჭირვებული	გაჭირვებ ული
დამატებას	დამატ ებას
ნახევარსფეროზე	ნახევარსფერო ზე
ყმა	ყ მა
გაბრიელის	გაბრიელ ის
მოხატა	მოხატ ა
სხვადასხვანაირია	სხვადასხვა ნაირია
მეგობრულად	მეგობრ ულად
შეჭრილიყო	შეჭრ ილიყო
დაამონტაჟა	დაამონტაჟ ა
ტუპაკ	ტუპაკ
მაიკლ	მაიკლ
აღდგომის	აღდგომ ის
შეეყარა	შეე ყარა
გაჩერებული	გაჩერ ებული
მიაკითხა	მია კითხა
მათრახი	მათ რახი
დარეჯანი	და რეჯ ანი
აუტანელი	აუ ტან ელი
ასვლისას	ასვლ ისას
სუზანა	სუზან ა
აკრიტიკებს	აკრიტიკ ებს
გარსიას	გარს იას
ზრუნვას	ზრუნვ ას
მონარქიული	მონარქ იული
სიმღერაც	სიმღერ აც
შემდგომი	შემდგომ ი
იცოდე	იცოდე
თხემურ	თხემ ურ
მარსელ	მარს ელ
რომელთან	რომელ თან
უწესო	უწეს ო
რაინდებს	რაინდ ებს
სახელები	სახელ ები
სათნოებას	სათნოებ ას
პანორამული	პანორამ ული
იკისრა	იკისრ ა
ფაშისტურ	ფაშის ტურ
კლდეს	კლდე ს
გამრავლება	გამრავლ ება
რელიქტური	რე ლიქტური
რუმინულ	რუმინ ულ
სხდომას	სხდომ ას
ჩემპიონად	ჩემპიონ ად
თანამეგობრობის	თანამეგობრ ობის
ფენებს	ფენ ებს
ხახულის	ხახ ულის
კარიერაც	კარიერ აც
თანრიგში	თან რიგ ში
დაბოლოებას	დაბოლო ებას
გადაწერილი	გადაწერ ილი
შეიკრიბნენ	შე იკრიბ ნენ
მომხდარი	მომხდარ ი
ლარს	ლარ ს
ღირებულებით	ღირებულებ ით
ოჯახებში	ოჯახ ებში
კათოლიკურმა	კათოლიკ ურმა
რგოლები	რგოლ ები
შეეცვალათ	შეეცვალ ათ
პილასტრით	პილასტრ ით
მომღერალთა	მომღერ ალთა
რაკეტების	რაკეტ ების
რობინის	რობინ ის
ტომ	ტომ
ბელგრადის	ბელგრად ის
ამხანაგური	ამხანა გური
მუსულმანებს	მუსულმან ებს
წამის	წამ ის
სეპარატისტულ	სეპარატისტულ
აბრაამის	აბრაამ ის
თრი	თრ ი
ვერსიად	ვერსი ად
კრეისერი	კრეის ერი
რადიაქტიური	რადი აქტიური
საიმპერიო	სა იმპერი ო
გამოიტანეს	გამო იტანეს
ფარა	ფარ ა
ასურეთის	ასურ ეთის
არაუმეტეს	არა უმეტეს
განსაცდელი	განსაცდელ ი
ყბა	ყბ ა
კახეთსა	კახ ეთსა
მთავარანგელოზთა	მთავარანგელოზ თა
აღმასრულებელმა	აღმასრულ ებელმა
მონათლა	მონათლ ა
იგეგმება	იგეგმ ება
ქორწინებაში	ქორწინებ აში
ბოთლებში	ბოთ ლებში
განედი	განედ ი
ტილზიტის	ტილ ზიტის
მოედნები	მოედ ნები
დაღესტანში	დაღესტ ანში
წლებმა	წლებ მა
ადგილებშიც	ადგილ ებშიც
ცოდვის	ცოდვ ის
ენაცვლება	ენაცვლ ება
იაპონელების	იაპონელ ების
მოსდევდა	მოსდევ და
აორთქლების	აორთქლებ ის
არქიტრავული	არქიტრა ვული
ინფორმაციული	ინფორმაცი ული
დამსახურებისათვის	დამსახურ ებისათვის
თიანეთის	თიან ეთის
რეისების	რეის ების
ინსტიტუტმა	ინსტიტუტ მა
მოითხოვდა	მოითხოვ და
კბილებში	კბილ ებში
ლენტეხის	ლენ ტეხის
დოლარით	დოლარ ით
დიალოგები	დიალოგ ები
ირანელებს	ირანელ ებს
მარტი	მარტ ი
პატრიარქალური	პატრიარქ ალური
ხმალი	ხმ ალი
ახალბედას	ახალბედ ას
მარკეტინგი	მარკეტინგ ი
შეადგენდეს	შეადგენ დეს
უსქესო	უ სქეს ო
პრინციპების	პრინციპ ების
სურვილისამებრ	სურვილ ისამებრ
ჰაბსბურგების	ჰაბსბურგ ების
