აღებაც	აღებ აც
პრეზიდენტებს	პრეზიდენტ ებს
აკვირდებოდა	აკვირდ ებოდა
უზრუნველყოს	უზრუნველყ ოს
ფტორიდი	ფტორი დი
შედეგებს	შედეგ ებს
არსებობენ	არსებობ ენ
ადამიანს	ადამიან ს
კანონების	კანონ ების
განხორციელება	გა ნხორციელებ ა
ინფიცირებული	ინფიცირებ ული
წინამძღვარმა	წინამძღვ არმა
მიკროტალღური	მიკროტალღ ური
რეფერენდუმში	რეფერენდუმ ში
შეადგენდეს	შე ადგენ დეს
წთ	წთ
ნიჭიერი	ნიჭიერ ი
ჰამლეტი	ჰამლეტ ი
მოცემულია	მო ცემულ ია
სახეობებით	სახეობ ებით
სეიმი	სეიმ ი
განაცხადი	განაცხად ი
იუგოსლავია	იუგოსლავი ა
სტანისლავის	სტანისლავ ის
შეყვარებულები	შე ყვარებულ ები
მოსამართლედ	მო სამართლ ედ
კვალს	კვალ ს
ფრინველია	ფრინველ ია
ერთპიროვნული	ერთ პიროვნულ ი
გამოჩნდნენ	გამო ჩნდ ნენ
ობიექტებია	ობიექტ ები ა
ტაივანი	ტაივან ი
სერის	სერი ს
მიზეზს	მი ზეზ ს
ბურგუნდიელის	ბურგუნდი ელის
ათწლეულებში	ათწლეულ ებში
ცენზი	ცენზ ი
დარტყმას	დარტყმ ას
შემადგნლობა	შე მ ადგნლობა
აკუსტიკური	ა კუსტიკ ური
ბიუროში	ბიურო ში
ცოლის	ცოლ ის
ყარაბაღი	ყარაბაღ ი
საალყო	სა ალყ ო
ბრიტანეთისგან	ბრიტანეთ ისგან
თურქულად	თურქ ულად
ნაგები	ნაგებ ი
ევროპის	ევროპ ის
ქალზე	ქალ ზე
სათავადოს	სა თავად ოს
თაღში	თაღ ში
ჰყვარებია	ჰყვარებ ია
გაიწელა	გა ი წელ ა
მომდინარეობს	მო მდინარეობ ს
წარჩინებული	წარჩინებულ ი
ამაღლდა	ამაღლ და
მაგარ	მაგარ
ტოპოგრაფიულ	ტოპოგრაფი ულ
მკვიდრმა	მკვიდრ მა
მწვერვალისკენ	მწვერვალ ის კენ
ეფექტით	ეფექტ ით
მოქმედებამ	მო ქმედებ ამ
ჯანმრთელობისა	ჯანმრთელობ ისა
არისტოკრატის	არისტოკრატ ის
მანაგუა	მანაგუ ა
ილაის	ილა ის
პირველმა	პირველ მა
მოსახლის	მო სახლ ის
მოდელმა	მოდელ მა
სვამს	სვამ ს
ხერარდო	ხერარდ ო
შესატყვისად	შე სატყვის ად
მექანიკურ	მე ქანიკ ურ
მეტიუ	მეტ იუ
მთავრობების	მთავრობ ების
გარჩევა	გა რჩევ ა
ლოდი	ლოდ ი
სიმრავლეთა	სიმრავლ ეთა
სიუჟეტურად	სიუჟეტ ურად
ეთიკის	ეთიკ ის
ზოლისაგან	ზოლ ისაგან
არღუნის	არღუნ ის
ეთერზეთოვანი	ეთერ ზეთოვანი
მონიტორი	მო ნიტორ ი
კომიქსებში	კომიქს ებში
მაიკოპის	მა ი კოპ ის
ტიფის	ტიფ ის
ალტერნატივას	ალტერნატივ ას
პაუზის	პაუზ ის
გამოიყვანენ	გა მოიყვან ენ
დაწერეს	დაწერ ეს
ჩინით	ჩინ ით
საკუთრებისა	საკუთრებ ისა
ჩაღრმავებულ	ჩაღრმავებულ
ჩჟან	ჩჟ ან
ახორციელებდა	ახორციელებ და
მეცხვარული	მე ცხვარ ული
სათვისტომოს	სათვისტომ ოს
დამპყრობლები	და მპყრობლ ები
მგონია	მგონ ია
კმაყოფილი	კმაყოფილ ი
ხარჯებით	ხარჯ ებით
გაბონის	გა ბონ ის
პატარა	პატარ ა
განივზოლიანი	განივ ზოლიანი
სიამოვნებით	სიამოვნ ებით
განსაკუთრებულობა	განსაკუთრებ ულობა
გამაგრებულ	გა მაგრებულ
ლადენის	ლადენ ის
კერტის	კერტის
დაზავდნენ	და ზავ დნენ
კლუბებმა	კლუბ ებმა
ინდიელებთან	ინდიელ ებთან
შეჰპირდა	შე ჰპირდ ა
ას	ას
სიმშრალის	სი მშრალ ის
რჩევა	რჩევ ა
სერიაც	სერი აც
დანარჩენებმა	და ნარჩენ ებმა
სპექტრი	სპექტრ ი
მღვდელმა	მღვდელ მა
აღადგინოს	აღადგინ ოს
აგენტები	აგენტ ები
აბდულ	აბდულ
ვერტმფრენის	ვერტმფრენ ის
ფასადზე	ფასად ზე
სტომატოლოგიური	სტომატ ოლოგი ური
ლაბაძის	ლაბაძ ის
რუთ	რუთ
გადაეცემოდა	გა და ეცემ ოდა
სამისიონერო	სა მი სიონერ ო
წარმოთქმას	წარმოთქმ ას
კატეგორიები	კატეგორი ები
შვედური	შვედურ ი
უცხოა	უცხო ა
ფავორიტად	ფავორიტ ად
გააუქმეს	გა აუქმ ეს
გასათვალისწინებელია	გა სა თვალისწინებ ელ ი ა
პროცენტულად	პროცენტ ულად
ცხოვრების	ცხოვრებ ის
კომპანიისთვის	კომპანი ისთვის
ქართველ	ქართველ
ეკუთვნიან	ეკუთვნ იან
სახეობრივი	სახეობ რივი
დათმეს	და თმ ეს
ნოველათა	ნოველ ათა
მოსამართლემ	მო სამართლ ემ
იგულისხმებოდა	ი გულისხმ ებოდა
გარდასახვა	გა რდასახვ ა
ღეროს	ღერო ს
ჩადენსისის	ჩადენ ს ის ის
კლასიცისტური	კლასიც ისტური
წერს	წერ ს
აღზარდა	აღზარდ ა
ილტოს	ილ ტოს
იუვემ	იუვე მ
ვცხოვრობთ	ვ ცხოვრობ თ
ფიზიოლოგია	ფიზიოლოგი ა
მართალი	მართალ ი
ტრანსილვანიაში	ტრანსილვანი აში
ნინული	ნინ ული
რაიონებია	რაიონებ ია
გაბატონდნენ	გა ბატონ დნენ
ვულკანების	ვულკან ების
ფლობს	ფლობ ს
ვაშინგტონ	ვაშინგტონ
თურქმენეთის	თურქმენეთ ის
ხედვა	ხედვ ა
რჩება	რჩ ება
მილანს	მილან ს
ხეობებით	ხეობებ ით
დაე	დაე
საგუბერნატოროდან	სა გუბერნატორ ოდან
ქვეყანამ	ქვეყან ამ
მილიონს	მილიონ ს
სიმულატორი	სიმ ულატორი
ცხადყო	ცხად ყო
კლდოვან	კლდოვან
მეტამორფული	მე ტამორფ ული
კვლევისა	კვლევ ისა
თხზავდა	თხზ ავდა
კვადრატში	კვადრატ ში
მოსამზადებლად	მო სამზად ებლად
შთაბეჭდილება	შთაბეჭდილებ ა
მოწმობენ	მოწმობ ენ
ბოლესლავ	ბოლესლავ
ხელში	ხელ ში
ჩარჩოებში	ჩარჩო ებში
შესწორებული	შე სწორებ ული
თანამშრომლობამ	თანამშრომლობ ამ
გამოც	გამო ც
მამიდაშვილმა	მა მი და შვილ მა
ასაკისა	ასაკ ისა
ანსამბლს	ანსამბლ ს
დასდევს	და სდევ ს
გაზი	გაზ ი
ქმნილება	ქმნილებ ა
საკითხის	საკითხ ის
მეამბოხეებმა	მეამბოხე ებმა
ნაყოფია	ნაყოფ ია
თუმანიშვილის	თუმანიშვილ ის
სიწმინდეს	სიწმინდ ეს
დისერტაცია	დისერტაცი ა
იცვლებიან	იცვლ ებიან
ჩინელ	ჩინელ
გლობუსის	გლობუს ის
ეტლს	ეტლ ს
დაქირავების	და ქირავებ ის
მოახსენა	მო ახსენ ა
იმპერატორი	იმპერატორ ი
მოკრძალებულად	მო კრძალებულ ად
სუაჰილის	სუაჰილ ის
ქალაქებიდან	ქალაქებ იდან
ჯიშის	ჯიშ ის
კულინარიული	კულინარი ული
მიიტაცა	მი იტაც ა
კარაქის	კარაქ ის
მედიცინა	მედიცინ ა
პავლემ	პავლ ემ
მცემ	მ ცემ
მკვეთრი	მკვეთრ ი
მიღებისას	მიღებ ისას
ამშვენებდა	ა მშვენებ და
ბორუსია	ბო რუს ია
მრავლობითი	მრავლობით ი
მხარეა	მხარე ა
ბოიართა	ბოიარ თა
ბრაიანის	ბრაიან ის
ძალაუფლებისა	ძალაუფლებ ისა
კმაყოფილია	კმაყოფილ ია
სანაოსნოა	სა ნაოსნო ა
ფიზიკისა	ფიზიკ ისა
სიერა	სი ერ ა
ნიუკასლ	ნიუკასლ
იმედის	იმედ ის
შენახვა	შე ნახვ ა
მეიერსი	მე იერ სი
სახითაც	სახ ითაც
სოკოებს	სოკო ებს
შუამდე	შუ ამდე
რღვევა	რღვევ ა
მწყემსვა	მწყემს ვა
გადმოხტა	გადმო ხტა
ჯონსმა	ჯონს მა
ალექსანდრ	ალექსანდრ
ძროხა	ძროხ ა
არიდება	არიდ ება
შეინიშნებოდა	შე ინიშნ ებოდა
დანესტიანების	და ნესტიან ების
ბასიანი	ბასიან ი
ფარფლი	ფარფლ ი
მესვეურები	მე სვეურ ები
თემურ	თემურ
წამყვანმა	წამყვან მა
მემამულეთა	მემამულე თა
განსამტკიცებლად	განსა მტკიცებლად
გაემზადა	გა ემზად ა
გადახრას	გა დახრ ას
ინდონეზიას	ინდონეზი ას
გრეილსის	გრეილ ს ის
ელოდა	ელოდ ა
ვალი	ვალ ი
ჯამბაზები	ჯამ ბაზ ები
გამომცემლობა	გამო მცემლობ ა
ვოს	ვო ს
წვა	წვ ა
მისი	მის ი
შემოიყვანა	შე მოიყვან ა
ვადამდელ	ვად ამდელ
ანალურ	ანალ ურ
დაემთავრებინა	და ე მთავრებ ინა
შავკანიანი	შავკანიან ი
სამკურნალოდ	სა მკურნალ ოდ
თითს	თით ს
ლაითი	ლა ითი
დათვლის	და თვლ ის
სინდრომს	სინდრომ ს
ვირსალაძე	ვირ სალაძე
ტექნიკისა	ტექნიკ ის ა
მწარმოებელთა	მწარმოებელ თა
ფოთლების	ფოთლებ ის
ფოსტერის	ფოსტ ერის
მალფოის	მალფო ის
მენაპირე	მე ნაპირ ე
კონა	კონ ა
უკნიდან	უ კნ იდან
სარძევე	სა რძე ვე
დაიმზირება	და ი მზირ ება
შეავსო	შე ავს ო
მისია	მისი ა
ოსმალებს	ოსმალ ებს
შემოიღეს	შემოიღ ეს
ეროტიული	ეროტი ული
გარე	გარე
უზენაესი	უზენაეს ი
გამოკეტა	გა მო კეტ ა
უილისი	უილ ის ი
მიემართა	მი ემართ ა
ესწრაფოდა	ე სწრაფ ოდა
რეიტინგში	რეიტინგ ში
დაცემა	დაცემ ა
უცვლელი	უცვლელ ი
პტოლემეს	პტოლემე ს
არქიპელაგს	არქიპელაგ ს
სოკოების	სოკო ების
პლანტაციის	პლანტაცი ის
ვარჯიში	ვარჯიშ ი
ადაპტაციას	ა და პტაცი ას
ოსლოს	ოსლო ს
დევნილობაში	დევნილ ობაში
დიდიე	დიდ იე
ვუდი	ვუდ ი
მიუთითა	მი უთით ა
ხელმწიფეს	ხელმწიფ ეს
ჰოფმანის	ჰოფმან ის
დეპოს	დეპ ოს
გერმანიკული	გერმანი კული
ნამუშევრებში	ნამუშევრ ებში
ჩაიკოვსკის	ჩაიკოვსკ ის
შეაჩერა	შე აჩერ ა
მარცვლოვანი	მარცვლ ოვანი
მორთულ	მორთულ
მისული	მი სულ ი
უჭირდათ	უჭირ დათ
კიშინიოვის	კიშ ინიოვის
ორკესტრისათვის	ორკესტრ ის ათვის
წაგებით	წაგებ ით
ჯეიმზმა	ჯეიმზ მა
ასლით	ასლ ით
ტყვეობას	ტყვეობ ას
ნადირობაზე	ნადირობ აზე
ორგანიზაციამ	ორგანიზაცი ამ
მკვლელს	მკვლელ ს
უწყობს	უწყობ ს
შვილისთვის	შვილ ის თვის
გადაკვეთას	გა დაკვეთ ას
განურჩევლად	გან ურჩევ ლად
მებრძოლი	მებრძოლ ი
გარეშეც	გარეშე ც
ჩემპიონატში	ჩემპიონატ ში
მსხვერპლნი	მსხვერპლ ნი
მსახიობებს	მ სახიობ ებს
სივრცითი	სივრც ითი
ოციანი	ოც იანი
ქარტია	ქარტი ა
ყინულს	ყინულ ს
მოუხმო	მო უხმ ო
სისხლძარღვების	სისხლძარღვ ების
ინდექსით	ინდექს ით
პსვ	პ სვ
უპირისპირდება	უპირისპირდ ება
ცნობიდან	ცნობ იდან
შემოდგომაზე	შემოდგომ აზე
ნარვის	ნა რვ ის
აჩვენეს	აჩვენ ეს
პრიზები	პრიზ ები
წარმატებებს	წარმატებ ებს
შემოგვრჩა	შე მოგვრჩ ა
მარგი	მა რგ ი
გვირგვინები	გვირგვინ ები
ბავშვებისა	ბავშვებ ისა
ოგადენი	ოგადენ ი
ნიმუშებს	ნიმუშ ებს
წინსვლას	წინსვლ ას
სტარმა	სტარ მა
დინასტიის	დინასტი ის
ზომის	ზომ ის
სამართლიანია	სა მართლიანი ა
დარიგება	და რიგებ ა
წესზე	წეს ზე
ბუდიზმის	ბუდიზმ ის
ინჟინრებს	ინჟინრ ებს
წარმოიქმნება	წარმოიქმნ ება
ყიფშიძე	ყიფშ იძე
გვიანდელი	გვიანდელ ი
სამკერვალო	სამკერ ვალო
წარსულში	წარსულ ში
ბიოლოგი	ბიოლოგი
ოქტომბრისათვის	ოქტომბრ ის ათვის
დენვერის	დენვერ ის
კარიმ	კარ იმ
ფიგურირებს	ფიგურირებ ს
შედედების	შე დედ ების
შოპენი	შოპენ ი
თაჩდაუნი	თაჩდაუნ ი
შესწორება	შე სწორებ ა
მანჰეტენი	მა ნჰეტენ ი
მიმოხილვა	მი მოხილვ ა
უღრანი	უღ რანი
დემოგრაფიულ	დემოგრაფი ულ
მიტროპოლიტის	მი ტროპოლიტ ის
მხედრები	მხედრ ები
ბოლოვდებოდა	ბოლოვდებ ოდა
მეთოდეს	მეთოდ ეს
მოთხრობამ	მო თხრობ ამ
წარმოქმნისა	წარმოქმნ ისა
ფოცხოვის	ფოცხოვ ის
წრიდან	წრ იდან
ესხმოდნენ	ესხმ ოდნენ
ეწყობა	ეწყ ობა
ერთეულ	ერთეულ
კახეთს	კახეთ ს
მოსე	მო ს ე
შეკეთება	შე კეთებ ა
ანდერძის	ა ნდერძ ის
ნასახლარი	ნა სახლარ ი
ეშვება	ეშვ ება
ძაბრის	ძაბრ ის
ვოლდემორმა	ვოლდემორ მა
ულვეუსი	ულვეუს ი
ავიაციამ	ავიაცი ამ
ივლის	ივლის
დავიდ	და ვიდ
გადაადგილებისას	გა და ადგილებ ისას
ძეგლს	ძეგლ ს
იუსტიციის	იუსტიცი ის
არქიტრავული	არქიტრავ ული
აივერსონის	აივერსონ ის
ხარისხში	ხარისხ ში
თიბისი	თიბის ი
თხოვა	თხოვ ა
რაკეტებით	რაკეტ ებით
რეიუნიონის	რეიუნიონ ის
სტავროპოლის	სტავროპოლ ის
ბრიტანეთში	ბრიტანეთ ში
დამსახურებისათვის	და მსახურებ ის ათვის
სილუეტს	სილუეტ ს
კრავს	კრავ ს
აშლენდის	აშლენდ ის
გაძარცვა	გა ძარცვ ა
მაჰმადიანთა	მა ჰმადიან თა
შიფრაციის	შიფრ აციის
გაერთიანებული	გაერთიანებ ული
განთავსებულია	განთავსებულ ია
საგაზეთო	სა გა ზეთ ო
ლანდშაფტის	ლანდშაფტ ის
ხელმძღვანელებს	ხელმძღვანელ ებს
წყაროთი	წყაროთ ი
საკონტრაქტო	სა კონტრაქტ ო
სალომე	სა ლომ ე
დამალვის	და მალვ ის
ბატონობისგან	ბატონობ ისგან
ბარსელონამ	ბარსელონ ამ
მიედინებიან	მი ედინ ებიან
ზამთარს	ზამთარ ს
წინასწარმეტყველური	წინასწარმეტყველ ური
მატერიის	მატერი ის
გაუშვა	გა უშვ ა
სარგებლობის	სარგებლ ობის
ულავ	ულ ავ
სიყვარულითა	სიყვარულ ით ა
სინგლებმა	სინგლ ებმა
ერთეულებად	ერთეულ ებად
ფუძემდებლის	ფუძემდებლ ის
ქცევების	ქცევ ების
აერთიანებდნენ	აერთიან ებდნენ
აპირებ	ა პირ ებ
ბარსა	ბარ სა
სუონსის	სუონ ს ის
საავტომობილო	სა ავტომობილ ო
ბრალდებები	ბრალდებ ები
კუნთებს	კუნთ ებს
ნერონმა	ნერონ მა
ინტერესთა	ინტერეს თა
გადაცემები	გა დაცემ ები
უყურადღებობის	უ ყურადღებ ობის
კითხვებზე	კითხვ ებზე
სენეგალის	სენეგალ ის
პირველებმა	პირველ ებმა
შესვენების	შე სვენებ ის
კატალოგი	კატალოგ ი
თვითმპყრობელობის	თვით მპყრობელ ობის
სტუდიამ	სტუდი ამ
იგნორირებული	იგნორირებ ული
მორისეტს	მო რისეტ ს
ჰემმა	ჰემ მა
შეერთებოდნენ	შე ერთ ებოდნენ
კვლევათა	კვლევ ათა
აჯანყებებს	აჯანყებ ებს
კვართის	კვართ ის
სალამურა	სალამურ ა
სრულყოფა	სრულყოფ ა
ხაზზეა	ხაზ ზე ა
დამპყრობლების	და მპყრობლ ების
ბათილად	ბათილ ად
უამბო	უ ამბ ო
ოდნავი	ოდნავ ი
განიხილა	განიხილ ა
შერბილდა	შე რბილ და
სახელობის	სახელობ ის
ასტრონომი	ასტრონომ ი
ზურგის	ზურგ ის
რაბინის	რაბინ ის
სასახლეთა	სასახლ ეთა
გათხოვების	გა თხოვ ების
ბოკასას	ბოკასა ს
ამირამ	ამირ ამ
მარიამის	მარიამ ის
განაწილებაზე	გა ნაწილებ აზე
თვიანი	თვ იანი
ვებგვერდის	ვებგვერდ ის
მიურატი	მიურატ ი
აკადემიკოსის	ა კადემიკოს ის
დაბალია	და ბალ ია
სპასალარი	სპასალარ ი
სახელწოდებები	სა ხელწოდებ ები
დაამტკიცოს	და ამტკიც ოს
მესინაში	მესინ აში
სადისერტაციო	სა დისერტაცი ო
აფხაზ	აფხაზ
კინო	კინო
პოლიციაში	პოლიცი აში
ფრიდრიხის	ფრიდრიხ ის
თესლის	თესლ ის
ატოლი	ატოლ ი
ისტორიკოსებმა	ისტორიკოს ებმა
დაკვირვებით	და კვირვებ ით
ნარუტო	ნარუტო
გამოყენების	გა მოყენებ ის
გორგიჯანიძე	გორგიჯანიძ ე
დაფუძნებით	და ფუძნებ ით
სკორსეზეს	სკორსეზ ეს
მაკედონია	მაკედონ ია
აფსარის	აფსარ ის
რუბლის	რუბლი ს
ზოლი	ზოლ ი
ევროატლანტიკურ	ევრო ატლანტიკ ურ
შეფასებაში	შეფასებ აში
გასტროლებით	გა სტროლებ ით
საკრავების	საკრავ ების
ფრანგულში	ფრანგულ ში
აჯანყებისა	აჯანყებ ისა
შრომა	შრომ ა
დეკორაციულ	დეკორაცი ულ
აყენებდა	აყენებ და
ვანდა	ვანდ ა
პორტუგალიელი	პორტუგალიელ ი
აღმსარებელი	აღმსარებ ელი
რევოლუციურად	რევოლუცი ურად
ექადიის	ექადი ის
გამოიგონა	გამო იგონ ა
მედიჩის	მედიჩ ის
ჩანაწერებისა	ჩანაწერებ ისა
სემინარის	სემინარი ს
წარმოიქმნა	წარმოიქმნ ა
სასიამოვნოა	სა სიამოვნ ოა
თავისებურებების	თავისებურებ ების
რეპორტიორი	რე პორტიორი
ატმოსფეროზე	ატმოსფერო ზე
ხედავდა	ხედავ და
მუსიკალური	მუსიკალურ ი
ითავსებს	ითავს ებს
მტკივნეულია	მ ტკივნეულ ია
კლასები	კლას ები
შოუებზე	შოუ ებზე
მანძილი	მანძილ ი
რეგიონებიდან	რეგიონებ იდან
ჩამოართვეს	ჩამოართვ ეს
პრუტის	პრუტ ის
კოლხური	კოლხ ური
ხარვეზების	ხარვეზ ების
ორმხრივ	ორმხრივ
ყავა	ყავ ა
შემოტევას	შემოტევ ას
შექმნიდა	შექმნ იდა
ალფონს	ალფონს
დიმა	დი მა
ეფრონის	ე ფრონ ის
შესრულდა	შე სრულდ ა
პრაღაში	პრაღ აში
ენერგეტიკაში	ე ნერგეტიკ აში
მოხდის	მო ხდ ის
ახლით	ახლ ით
რეესტრში	რეესტრ ში
ჩაიწეროს	ჩაიწერ ოს
ბრძოლისა	ბრძოლ ისა
ერთეულის	ერთეულ ის
ბუდისტები	ბუდისტ ები
წარმოქმნიან	წარმოქმნ იან
ირწმუნეს	ირწმუნ ეს
დანაკარგის	და ნაკარგ ის
შეიქმნება	შე იქმნ ება
ნომერ	ნომერ
ლაზერული	ლაზერ ული
ნოტები	ნოტ ები
ფორუმები	ფორუმ ები
გადმოიტანეს	გა დმოიტან ეს
მოეთხოვა	მო ეთხოვ ა
აფსიდს	აფსიდ ს
სიმღერებისგან	სიმღერ ების გან
სტუდენტებისთვის	სტუდენტ ების თვის
შენარჩუნებაზე	შე ნარჩუნებ აზე
ერთგვარად	ერთგვარ ად
წყლის	წყლ ის
ხმელეთიდან	ხმელეთ იდან
მილიონიანი	მილიონ იანი
გარდაცვლილა	გა რდაცვლილ ა
პალესტინელი	პალესტინ ელი
დინამო	დინამო
იკავებენ	იკავ ებენ
მადრიდის	მადრიდ ის
საზოგადოებისაგან	სა ზოგადოებ ისაგან
ჰიპოფიზის	ჰიპოფიზ ის
იცოდე	იცოდ ე
მუშკეტერი	მ უშკეტერ ი
ოკეანეებს	ოკეანე ებს
დაიცვა	და იცვ ა
გონივრული	გონივრულ ი
მეტალების	მეტალ ების
არასაკმარისად	არასაკმარის ად
გადაწყვეტილებით	გა და წყვეტილებ ით
დაიჭირა	დაიჭირ ა
სინ	სინ
ჯაზის	ჯაზ ის
