გამოსხივება	გამო სხივ ება
საყლაპავი	სა ყლაპ ა ვი
ფრანცისკო	ფრანც ის კო
წყევლის	წყევლ ის
თრაინ	თ რაინ
მისალმების	მისალმ ების
ნოვიცკი	ნოვიცკ ი
წაყენებული	წა ყენებ ული
სამკაულებს	სა მკაულ ებს
ცვლილებათა	ცვლილ ებათა
თავად	თავ ა დ
შეთანხმდა	შე თანხმ და
ჟორჟი	ჟორჟ ი
პოლმა	პოლ მა
კარლს	კარლ ს
ურთიერთობაზე	ურთიერთობ აზე
შთამომავალს	შთამო მავალ ს
სერვერიდან	სერვ ერი დან
თინათინი	თინათინ ი
მაიკროსოფტმა	მაიკროსოფტ მა
დაკანონდა	და კანონ და
ანგელოზმა	ა ნგელოზ მა
ფუს	ფუ ს
წუთით	წუთ ით
პაციენტები	პაციენტ ები
პირად	პირად
ჯონის	ჯონ ის
ქვაც	ქვ აც
ბესტი	ბ ეს ტი
სულიერ	ს ული ერ
წამოწეული	წამო წეული
დიდებულები	დიდ ებულ ები
ისტორიამ	ის ტორია მ
რეზონანსი	რეზონანს ი
ფრონტონის	ფრონტ ონის
ვარშავა	ვარ შავ ა
სანდრა	ს ა ნდრა
ასპირანტი	ას პირ ანტი
ინვალიდის	ინვალიდ ის
ამოღებულ	ამოღ ებულ
გავდა	გავ და
პარკისა	პარკ ის ა
სართავი	სა რთავ ი
მშენებარე	მ შენებ არე
ფოტონის	ფოტო ნის
წესი	წეს ი
ხოტბა	ხოტ ბა
ციკლონების	ციკლ ონ ების
ამინდში	ა მინდ ში
წყლისთვის	წყლ ის თვის
კანტონების	კანტონ ების
აზნაურების	აზნაურ ების
გოლიათი	გოლ ი ა თ ი
აუხსნელი	ა უხსნ ელი
კენტის	კ ენტი ს
ვარსკვლავთკარიბჭე	ვარსკვლავ თ კარიბჭ ე
ბოშების	ბოშ ების
ტიურინგის	ტი ური ნგის
გურჯი	გურჯ ი
ჩემპიონობისათვის	ჩემპიო ნ ობისათვი ს
კერნის	კერ ნის
დათოსაც	დათ ოს აც
ბირჟის	ბირჟ ის
ოცდამერვე	ოცდა მერვე
არსენის	არსენ ის
ბრუნვა	ბრუნ ვა
კვარტეტი	კვარტ ეტი
წამოწყება	წამო წყებ ა
ტიტველი	ტიტ ველი
პროცესი	პროცე სი
აყვავების	ა ყვავ ების
გუსტავი	გუსტავ ი
სტაბილური	სტაბი ლური
ცენტურიონი	ცენ ტური ონ ი
ბამბის	ბამ ბის
ვირს	ვირ ს
მდგომარეობაშია	მდგომ ა რე ობა ში ა
ღრუში	ღრუ ში
ბრძენმა	ბრძენ მა
ტონაზე	ტონ ა ზე
კარზეც	კარ ზეც
ფოტოსინთეზის	ფოტო სი ნთეზ ის
ღვთაებრივ	ღვთა ებრივ
სპარტა	სპარტ ა
დაბინძურებულ	და ბინძ ურ ებულ
იაპ	ია პ
კვარტლები	კვარტ ლები
ენერგიით	ენერგ ი ით
სისხლისსამართლებრივი	სისხლ ის სა მართლ ებრივი
იუდეველებმა	ი უდევ ელ ებმა
დადგინდეს	და დგინ დე ს
ნუსხურსა	ნუსხურ სა
მყინვარი	მყინვარ ი
ცდები	ცდ ები
გველების	გველ ების
შენების	შენ ების
დავითნი	დავით ნი
ჩირი	ჩირი
სატვირთო	სა ტვირთ ო
ამაში	ამ აში
ბრაუნი	ბრაუნ ი
მიუსაჯა	მიუსაჯ ა
ეთიკა	ეთი კ ა
ბინ	ბინ
ტერასა	ტერას ა
ველური	ველ ური
სისტემატიკის	ს ის ტემატ იკის
ასკეტური	ას კე ტური
ზომამ	ზომ ა მ
თანაგუნდელები	თანა გუნდ ელ ები
უშაქრო	უ შაქ რო
მიიჩნიეს	მიიჩნი ეს
მუსიკასა	მუსიკ ას ა
ბარდა	ბარ და
თეთრკანიანები	თეთრ კან იან ები
ლეიბლებზე	ლეიბლ ებზე
აინტერესებდათ	ა ინტერეს ებდა თ
თებერვლისთვის	თებერვლ ის თვის
სისტემებთან	სი სტემ ებთან
შეეთავაზებინა	შეე თავაზ ებინა
ბადალი	ბად ალ ი
გასაყიდი	გასა ყიდ ი
მთაგრეხილის	მთა გრეხილი ს
გააშენა	გა აშენ ა
მახარაძეს	მახარაძ ეს
მეტალიკამ	მეტალ ი კამ
დააზუსტა	დაა ზუსტ ა
სექსუალურ	სექსუალ ურ
ესმა	ეს მა
კლუბები	კლუბ ები
მზრუნველობის	მ ზრუნვ ელ ობის
თავდასხმის	თავდასხ მის
შერჩენილია	შე რჩენილ ია
იწყეს	იწყეს
სერია	სერი ა
სათათბირო	სა თათბი რო
მტკვარი	მტკვარ ი
მეტალების	მეტალ ების
გამოც	გამო ც
ოსტატი	ოსტატ ი
საყრდენად	სა ყრდენ ად
გაჩერდნენ	გაჩერ დნენ
ზენიტის	ზენიტ ის
საკარმიდამო	ს ა კარ მი დამო
ხერხემლიანი	ხერ ხემლიან ი
მოსახლეზე	მო ს ახლე ზე
შეხედულებას	შე ხედულ ებას
ჰარლემში	ჰარლემ ში
კალაპოტის	კალაპოტ ის
მინერალ	მინერალ
ფასადის	ფასად ის
უფლებამოსილი	უფლ ება მოსილ ი
სახლზე	სახლ ზე
სიმაგრე	სიმაგრ ე
შენობასთან	შენობ ასთან
გადმოჰყურებს	გადმო ჰყურებს
კრამიტი	კრამიტ ი
მცხეთას	მცხე თ ას
ჰემი	ჰემ ი
გორილები	გორი ლები
რონი	რ ონი
ნომინაციაში	ნომინ აცია ში
გაგიჟებულია	გა გიჟ ებული ა
კინემატოგრაფიული	კინემატო გრაფი ული
იემენის	ი ემ ენის
ემოსა	ე მოსა
ბავშვს	ბავშვ ს
მოაწყვეს	მო ა წყვე ს
ერიტრეის	ერიტრე ის
დაავადებანი	და ავადებ ანი
ეკიპაჟის	ეკიპაჟ ის
კურსიდან	კურ ს იდან
გამომადგა	გამო მა დგა
საჭირბოროტო	საჭირ ბოროტ ო
ავანგარდულ	ავანგარდ ულ
ფეხში	ფეხ ში
მალდინიმ	მალ დინი მ
მემამულეთა	მე მამულ ეთა
პარაზიტებია	პარაზიტ ები ა
პროექტებზე	პროექტ ებზე
ტექსტები	ტექსტ ები
რომანოზ	რომან ოზ
ფინეთმა	ფინეთ მა
ჰუსიტური	ჰუსიტ ურ ი
გრანდიოზული	გრანდიო ზ ული
კარგმა	კარგ მა
მასათა	მ ა ს ა თა
გაატანა	გა ა ტანა
სპეციფიური	სპეცი ფ იური
უხდება	უხდ ება
უპირობოდ	უ პირობ ოდ
ბოლქვიანი	ბოლქვ იანი
ტანკზე	ტანკ ზე
გაუქმებული	გაუქმ ებული
პროლოგი	პრ ოლოგი
მანქანაზე	მა ნქან ა ზე
ანონიმი	ანონიმ ი
გაზრდას	გაზრდ ას
მასშტაბური	მა სშტაბ ური
ცვლაში	ცვლა ში
რეპრესიები	რე პრეს ი ები
ვერა	ვერ ა
ვერასოდეს	ვერ ას ოდეს
ერისთავად	ერის თა ვად
გაზრდილია	გაზრდ ილია
კვადრატულია	კვადრა ტული ა
იარსებებს	ი არსებ ებს
ცივილიზაციის	ცივილიზა ციის
მაისს	მა ის ს
სინგლად	ს ინგლ ად
შერიგება	შე რიგ ება
კუბაზე	კუბ აზე
მეკობრეების	მეკობრ ე ების
ქვეშევრდომები	ქვე შე ვრდომ ები
თოვლით	თოვლ ით
მამაც	მამაც
დეტალებს	დეტალ ებს
გაირკვეს	გა ი რკვე ს
ლიზინგი	ლიზ ინგ ი
ნიკოლაი	ნიკოლ ა ი
პირი	პირ ი
დაყვეს	და ყვეს
ტრანსფერი	ტრანს ფერი
ბიუროკრატიული	ბიურო კრა ტიული
ესთეტიკას	ესთეტ ი კა ს
მატჩში	მატჩ ში
მოიყარეს	მო ი ყარეს
საშუალოზე	სა შუალ ო ზე
ხარიჯიტები	ხარ იჯიტ ები
გოგონაა	გოგონ ა ა
დაკავებულები	დაკავ ებულ ები
ველად	ველად
ზეპირსიტყვიერების	ზე პირ სიტყვ იერ ების
პოლიციური	პოლიცი ური
სასწორი	სა სწორ ი
მონო	მონ ო
ნიკოლსკოეს	ნიკოლ სკოეს
გუბერნია	გუბერნი ა
დიპლომატიური	დიპლომატ იური
პოლემიკა	პოლ ემ იკა
დაბოლოს	და ბოლოს
მონსტრები	მო ნსტრ ები
ნუმიზმატიკის	ნუმიზ მა ტიკის
კარდინალ	კარდინა ლ
მეთვალყურეობით	მეთვალ ყურე ობით
მიწას	მიწა ს
აღადგენენ	აღ ადგენ ენ
ჩაცმულობის	ჩაცმ ულ ობის
გადასასვლელად	გადა სა სვლელ ად
კუხეთის	კუხ ეთის
ქურუმები	ქურუმ ები
ტერიტორიაც	ტერიტორი აც
კრუხობს	კრუხ ობს
გორი	გორი
სეზონში	სეზონ ში
ტვინში	ტვინ ში
ქართლის	ქართლ ის
შემაჯამებელი	შე მ ა ჯამ ებელი
გააქტიურება	გაა ქტიურ ება
დათარიღებული	და თარიღ ებული
საქსონია	საქსო ნია
ოქტომბრიდან	ო ქტომბრ იდან
უკვდავებას	უკვდავ ებას
ჯადოსნურ	ჯადო ს ნურ
სარეკონსტრუქციო	ს არე კონსტრუქც იო
ბრაზილიამ	ბრაზ ილი ა მ
გარჩევას	გა რჩევ ას
სოფლების	სოფლ ების
მოყოლებული	მო ყოლ ებული
ოციანი	ოც იანი
სიმბოლოთი	სიმ ბოლო თ ი
მარცხნიდან	მარცხ ნ იდან
შიშველია	ში შველ ია
სექტემბრის	სექტ ემბრ ის
სამუშაოში	სა მუშაო ში
ადმინისტრაციულმა	ადმი ნისტრ აციულ მა
პარკების	პარკ ების
პოზიციების	პოზიცი ები ს
დისციპლინები	დისციპლი ნები
კონსტანტინოპოლი	კონსტანტინოპო ლი
ღელვის	ღელვ ის
სულებისთვის	სულ ების თვის
იტალიისკენ	იტალი ისკენ
კლდიაშვილი	კლდ ი აშვილი
ნიმუშების	ნიმუშ ების
სულიწმინდის	ს ული წმინდ ის
ბატალიონის	ბატალი ონის
სკუდეტოს	ს კუდეტო ს
მაგალითისათვის	მა გალით ისა თვის
ხვეული	ხვე ული
სტალინგრადის	სტალინ გრად ის
ანსამბლმა	ანსამბ ლ მა
ებრძოლათ	ე ბრძოლ ათ
ცნობარი	ცნობ არი
მცენარეებსა	მცენარე ებს ა
საკითხისათვის	სა კითხ ის ა თვის
წარმოდგენები	წარმო დგენ ები
მოაქციეს	მო აქცი ეს
სანაპიროები	სა ნაპირო ები
ბუშის	ბუშ ის
უღლების	უღ ლების
გამოქვეყნებულა	გამო ქვეყნებ ულ ა
მოიცავს	მო იცავს
კირიბატის	კირი ბატ ის
დიტრიხმა	დიტრიხ მა
ჯარების	ჯარ ების
იმპერიული	იმპერი ული
სატევარი	ს ა ტევა რი
ჩამოყალიბებით	ჩამო ყალიბებ ით
სულებისგან	სულ ების გან
მაშტაბით	მა შტაბ ით
დაპატიმრებები	და პატიმრ ებები
სააგენტოს	სა აგენტ ოს
ბრაზილიასთან	ბრაზ ილი ასთან
მიახლოებით	მი ახლო ებით
ვარაუდით	ვარაუ დ ით
ახალშობილ	ახალ შობილ
უბრძანებია	უბრძან ები ა
კასტელი	კასტ ელი
უმრავლესობით	უმრავლეს ობით
წლებში	წლებ ში
დაყოფა	და ყოფა
ავალდებულებდა	ა ვალდებულ ებდა
კილომეტრს	კილო მეტრ ს
ფრანკლინ	ფრან კლინ
ვიდეოებს	ვიდეო ებს
განსაზღვრავენ	გა ნსაზღვრა ვენ
ეფლობა	ე ფლობ ა
ჯვრისწერა	ჯვრ ის წერა
შექმნილი	შე ქმნილ ი
მახასიათებლებს	მა ხასიათ ებლ ებს
რაინის	რაინ ის
შესატყვისი	შესა ტყვის ი
მიწებში	მიწ ებში
წლისთავთან	წლის თავ თან
სეზონთან	სეზონ თან
შეკითხვა	შე კითხვ ა
სტილსა	სტილ ს ა
მოჰყავდათ	მო ჰყავდათ
კრიტიკოსი	კრიტიკ ოს ი
იუნონას	იუნონა ს
იუნიორთა	ი უნი ორთა
ძალისხმევა	ძალი სხმევ ა
ცვივა	ცვივა
თანადამფუძნებელი	თან ადამ ფუძნ ებელი
დაიშალა	და იშალა
ჯეპრას	ჯე პრ ას
პიტერ	პიტერ
გრაფების	გრაფ ების
ლავრა	ლავრ ა
წამოდგა	წამ ოდ გა
ჰიპოკრატეს	ჰიპო კრატე ს
ანდერსონი	ანდერ სონი
წარმოებდა	წარმო ებდა
ოლაფი	ოლაფი
გამოუცდელი	გამოუ ცდელი
განუკურნებელი	განუ კურნ ებელი
ტრიბუნები	ტრიბუ ნები
პაროდიული	პარ ოდ ი ული
ბრალდებებს	ბრალდებ ებს
კომპანიებისთვის	კომპ ანი ების თვის
სიყმაწვილე	სი ყმაწვილე
უყვებოდა	უ ყვებო და
საბაჟოს	საბაჟ ოს
რგოლს	რგოლ ს
აუკრძალეს	ა უ კრძალ ეს
განვითარების	გან ვითარებ ის
აქაურ	აქა ურ
ლიტურგია	ლი ტურგი ა
ქვიშაქვებით	ქვიშაქ ვ ებით
დასწრებია	დასწრ ები ა
მართლმადიდებელი	მართ ლმა დიდებელი
ლომის	ლომ ის
კინოინდუსტრია	კინო ინდუსტ რია
გარეთა	გარეთ ა
იესოს	ი ეს ოს
რჩეულ	რჩეულ
ტერიტორიასაც	ტერიტორი ასაც
ფონდს	ფონდ ს
ლეგო	ლეგ ო
სასკეს	ს ასკეს
სიმაღლებრივი	სი მაღლ ებრივი
სავოევოდო	სა ვოევო დო
ლაურეატი	ლაურეატ ი
სასულთნოს	სა სულთნ ოს
ინტერვალის	ინტერვალ ის
შემოღებული	შემო ღებულ ი
მომავლისთვის	მო მავლ ის თვის
შეწირვა	შე წირვ ა
ჩიკაგო	ჩიკაგ ო
აღდგენილიყო	აღ დგენილი ყო
ტიტულიც	ტიტულ იც
გამუდმებულ	გა მუდმ ებულ
სრუტეები	სრუტე ები
პერიოდშივე	პერიოდ ში ვე
კახთა	კახ თა
დასაწყისი	და საწყ ის ი
სტამბოლი	ს ტამბო ლ ი
ოლიმპია	ოლიმპ ი ა
თაბაშირის	თაბაშირ ის
აყალიბებენ	ა ყალიბებ ენ
ვალინორში	ვალინორ ში
მჟავა	მჟავ ა
ფილმია	ფილმ ი ა
გეგმები	გეგმ ები
ჟიურის	ჟი ურის
ბარძაყის	ბარძაყ ის
მოკლას	მო კლას
შეერია	შე ერი ა
ოქუმის	ო ქ უმის
შობას	შობა ს
ამნისტია	ამნისტ ია
ბერის	ბერის
მჟღავნდება	მ ჟღავნ დება
სახეობისთვის	სახეობ ის თვის
ხვრელია	ხვრელ ი ა
ბლოკ	ბლოკ
რაღა	რ აღ ა
განაგრძობენ	განა გრძ ობენ
გამოფენებში	გამო ფენ ებში
ამტკიცებდნენ	ა მტკიც ებდნენ
დამსახურებით	დამ სახურ ებით
ჰიუ	ჰიუ
კარლა	კარლ ა
ოლიგარქიული	ო ლიგ არქი ული
მოსწორებულია	მო სწორ ებული ა
მეოთხედში	მე ოთხედ ში
გავლენიან	გა ვლენ იან
კაპიტულაციას	კაპიტ ულ აცია ს
სარდაფი	სა რდაფ ი
ინგლისელი	ინგლ ის ელი
ნათელ	ნათელ
აკავშირებდა	ა კავშირ ებდა
აგებულების	აგებ ულ ების
პალეოლოგოსის	პალეო ლოგ ოსის
დიალექტი	დ იალექტ ი
გინეკოლოგიური	გინ ე კო ლოგიურ ი
კაპიტანია	კაპიტ ანია
მათემატიკამ	მა თემატიკ ამ
მდგომარეობისა	მ დგომარეობ ის ა
შვილიშვილს	შვილიშვილ ს
წარმატების	წარმატ ების
უცვლის	უ ცვლის
დასახმარებლად	დასა ხმარებ ლად
გარდაცვლილს	გარდა ცვლილ ს
ოკრუგის	ოკრუგი ს
მკვდარ	მკვდარ
დარჩებოდა	დარჩ ებოდა
ბოლშევიკური	ბოლშევიკ ური
პორტუგალიის	პორტუგალი ის
იშტვან	ი შტ ვან
ოტელი	ოტ ელი
ჩხალთის	ჩხალთ ის
ანდრონიკაშვილის	ანდრო ნიკ აშვილი ს
საკრავიერი	სა კრავ იერი
წინამძღვარს	წინამ ძღვ არს
სამნიტები	სა მნიტ ები
თათრებს	თათრ ებს
მღელვარე	მ ღელვა რე
ორგანიზმებზე	ო რგანიზმებ ზე
მაგისტრალზე	მა გისტრა ლზე
აყვანილი	ა ყვანილი
გააოცა	გაა ოც ა
სასურველი	სა ს ურველ ი
ჯინი	ჯი ნი
შს	შს
სახელმწიფოთაშორისი	სა ხელმწიფ ოთ ა შორ ის ი
უწოდებს	უწოდ ებს
მარინეს	მარი ნეს
ნეიტრონის	ნეიტრონ ის
გაბრტყელებული	გა ბრტყელ ებული
ტელეარხმა	ტელე არხ მა
ეკიპაჟმა	ეკიპაჟ მა
პროცესების	პროცე ს ების
ვიქტორიანული	ვიქტორ იან ული
აზნაურს	აზნაურ ს
მბრუნავი	მ ბრუნ ავი
კევინ	კე ვინ
აკისრია	აკისრ ია
ანტუანის	ანტუან ის
ბრიტანეთსა	ბრიტა ნეთ სა
ვერცხლით	ვერცხლ ით
წარმოდგენილნი	წარმო დგენილ ნი
ხრამის	ხრა მის
ჩატანებულია	ჩა ტან ებული ა
ეკლესიით	ეკლეს ი ით
ქვაბები	ქვაბ ები
სრულებითაც	სრულებ ითაც
დანებების	დან ებებ ის
ოფიცერს	ოფიც ერს
ხრესილის	ხრ ეს ილ ის
ჯოანა	ჯო ა ნა
კლინიკურად	კლინ იკურად
მლნ	მლნ
მალისა	მალ ისა
იკითხებოდა	ი კითხ ებოდა
ოცდამეცხრე	ოცდა მეცხრე
ააშენა	ა აშენ ა
დაბომბვის	და ბომბვ ის
მამაკაცია	მა მა კაც ი ა
ვილაპარაკეთ	ვი ლაპარაკე თ
ბედავდა	ბედ ავდა
მინანქრის	მინანქ რის
ბანაკს	ბანაკ ს
ექსპედიციებს	ექ სპედიცი ებს
ძელებით	ძელ ებით
იზაბელა	იზაბელა
დღიანი	დღ იანი
ბაზები	ბაზ ები
ნათების	ნათ ების
გადაწყვეტილების	გადა წყვეტ ი ლების
ნორმები	ნორმ ები
პროცესებს	პროცე ს ებს
დედამიწასთან	დედა მიწ ასთან
ფერმერები	ფერმერ ები
თვალწინ	თვალ წინ
ფილოლოგია	ფილ ოლოგი ა
მითხრა	მი თხრ ა
კამილუსმა	კამილუს მა
რენამოს	რე ნა მოს
იარაღით	იარაღ ით
სცემენ	სცემენ
ბელონას	ბელო ნა ს
ელიზაბეთი	ელიზაბ ეთი
უკიდურესი	უკიდურე სი
საკითხებთან	სა კითხ ებთან
დოკუმენტებით	დოკუმენ ტ ებით
პენის	პენი ს
სამლოცველო	სამ ლოცველ ო
როსონერი	როსონერი
რელიეფური	რელიეფ ური
ბენდს	ბენდ ს
ექსპლოატაციის	ექსპ ლოატ აციის
ვაი	ვაი
მოხვედრა	მო ხვედრ ა
უდიდებულესობის	უდიდ ებულ ესობ ის
გრძნობას	გრძნობ ას
ლოცვა	ლოცვ ა
ღამე	ღამე
ლოდებით	ლოდ ებით
ნინოშვილის	ნინო შვილ ის
ტური	ტური
ადიდე	ად იდე
განსაკუთრებულობა	გა ნსაკუთრებ ულობა
ლოუს	ლოუ ს
დამხობილ	და მხო ბილ
გუდვილი	გუდ ვილი
ჯერა	ჯერ ა
ისტორიოგრაფიაში	ის ტორი ოგრაფი ა ში
კოლუმბიელი	კოლუმბი ელი
ობიექტური	ო ბიექტ ური
ცხოვრებისათვის	ცხოვრებ ისა თვის
გამოჩენისას	გამო ჩენ ის ას
მარჯნის	მარჯ ნის
გაზრდამ	გაზრდ ა მ
თესლი	თესლ ი
იზოტოპის	ი ზოტოპ ის
პროვინციებს	პ როვინციებ ს
სივილ	ს ი ვილ
შემცველ	შე მცველ
დაეცემა	და ე ცემა
იტევს	ი ტევ ს
თედორე	თ ედო რე
დასავლეთისკენ	დასა ვლეთ ისკენ
სექცია	სექცი ა
პრინციპულად	პრინციპ ულად
შეემატნენ	შეე მატ ნენ
მოხარული	მო ხარ ული
მეზღვაურების	მეზ ღვაურ ების
დაფების	დაფ ების
ტერმინატორის	ტერმინ ატორი ს
მოღვაწეობამ	მო ღვაწეობ ამ
მოდის	მო დის
აღგზნება	აღ გზ ნება
გაჩეხვის	გა ჩეხ ვის
რონალდო	რონალ დო
გრინვუდი	გრინვუდ ი
ალაჰი	ალაჰი
ქართველოლოგიის	ქართველ ოლოგი ის
მეძებარი	მ ეძებ არი
დააზარალა	დაა ზარალ ა
რეიტინგული	რეიტინგ ული
ტიბეტის	ტიბეტ ის
ელჩობა	ელჩ ობა
ვაქცინის	ვაქცინ ის
თუთიყუშის	თუთი ყუ ში ს
რომეოს	რომეო ს
ვულკანია	ვულკა ნი ა
სიმპლონის	სიმპ ლ ონის
ამანში	ა მან ში
მოგებაც	მო გ ებაც
ორგანიზმებით	ო რგანიზმებ ით
ლენინი	ლენინ ი
გამომცემელმა	გამო მ ცემ ელმა
ენფილდზე	ენ ფილ დ ზე
ზონასთან	ზონ ასთან
მოვლენად	მო ვლენ ად
ვადამდე	ვა დ ამდე
სიგრძივი	სი გრძივ ი
სისხლი	სისხლ ი
ფილოსოფიასთან	ფილოსო ფია სთან
გაჭირვებული	გა ჭირვ ებული
დამატებას	დამატ ებას
ნახევარსფეროზე	ნა ხევარსფერ ო ზე
ყმა	ყმ ა
გაბრიელის	გა ბრიელ ის
მოხატა	მოხატ ა
სხვადასხვანაირია	ს ხვადასხვ ა ნაირ ია
მეგობრულად	მე გობრ ულად
შეჭრილიყო	შე ჭრილი ყო
დაამონტაჟა	და ამო ნტაჟ ა
ტუპაკ	ტუპაკ
მაიკლ	მაიკლ
აღდგომის	აღ დგომ ის
შეეყარა	შეე ყარა
გაჩერებული	გაჩერ ებული
მიაკითხა	მი ა კითხა
მათრახი	მა თრახ ი
დარეჯანი	და რე ჯან ი
აუტანელი	აუტა ნელი
ასვლისას	ა სვლის ას
სუზანა	სუზან ა
აკრიტიკებს	ა კრიტიკ ებს
გარსიას	გარს ი ას
ზრუნვას	ზრუნვ ას
მონარქიული	მო ნარქი ული
სიმღერაც	ს ი მღერა ც
შემდგომი	შე მდგომ ი
იცოდე	იცოდე
თხემურ	თხემ ურ
მარსელ	მარს ელ
რომელთან	რომელ თან
უწესო	უ წეს ო
რაინდებს	რაინდ ებს
სახელები	სახელ ები
სათნოებას	ს ათნო ებას
პანორამული	პანორამ ული
იკისრა	იკის რა
ფაშისტურ	ფაშისტ ურ
კლდეს	კლდე ს
გამრავლება	გა მრავლ ება
რელიქტური	რელიქ ტურ ი
რუმინულ	რუმინ ულ
სხდომას	სხდომ ას
ჩემპიონად	ჩემპიო ნად
თანამეგობრობის	თანა მე გობრობ ის
ფენებს	ფენ ებს
ხახულის	ხახ ული ს
კარიერაც	კარიერ აც
თანრიგში	თან რიგ ში
დაბოლოებას	და ბოლო ებას
გადაწერილი	გადა წერილი
შეიკრიბნენ	შე იკრიბ ნენ
მომხდარი	მომ ხდარ ი
ლარს	ლარს
ღირებულებით	ღირ ებულ ებით
ოჯახებში	ოჯახ ებში
კათოლიკურმა	კათოლი კურ მა
რგოლები	რგოლ ები
შეეცვალათ	შე ეცვალა თ
პილასტრით	პილასტრ ით
მომღერალთა	მო მღერ ა ლთა
რაკეტების	რაკეტ ების
რობინის	რობინ ის
ტომ	ტომ
ბელგრადის	ბელგრად ის
ამხანაგური	ამხან ა გური
მუსულმანებს	მუს ულმა ნებს
წამის	წამ ის
სეპარატისტულ	ს ეპარატ ის ტულ
აბრაამის	აბრაამ ის
თრი	თრი
ვერსიად	ვერსი ად
კრეისერი	კრეისერ ი
რადიაქტიური	რადი ა ქტიურ ი
საიმპერიო	ს ა იმპერი ო
გამოიტანეს	გამო ი ტან ეს
ფარა	ფარ ა
ასურეთის	ა სურ ეთის
არაუმეტეს	არა უმეტეს
განსაცდელი	გან სა ცდელი
ყბა	ყბა
კახეთსა	კახ ეთს ა
მთავარანგელოზთა	მთავარ ა ნგელოზ თა
აღმასრულებელმა	აღმა სრულებელ მა
მონათლა	მო ნათლ ა
იგეგმება	ი გეგმ ება
ქორწინებაში	ქორწინ ებაში
ბოთლებში	ბოთლ ებში
განედი	გან ედი
ტილზიტის	ტილზიტ ის
