გამოსხივება	გამო სხივ ება
წმიდანს	წმიდ ანს
საყლაპავი	სა ყლაპა ვი
ფრანცისკო	ფრანცი სკო
წყევლის	წყ ევლ ის
თრაინ	თ რაინ
მისალმების	მისალმ ების
ნოვიცკი	ნოვიცკი
წაყენებული	წა ყენებ ული
სამკაულებს	სა მკაულ ებს
ცვლილებათა	ცვლილ ება თა
თავად	თავად
შეთანხმდა	შე თანხმ და
ჟორჟი	ჟორჟ ი
პოლმა	პოლ მა
კარლს	კარლ ს
ურთიერთობაზე	უ რთიერთობ აზე
შთამომავალს	შთა მო მავალ ს
სერვერიდან	სერვერ იდან
თინათინი	თინათინ ი
მაიკროსოფტმა	მაიკ როსოფ ტ მა
დაკანონდა	და კანონ და
ანგელოზმა	ანგელოზ მა
ფუს	ფუს
წუთით	წუთ ით
პაციენტები	პაცი ენტ ები
პირად	პირ ად
ჯონის	ჯონ ის
ქვაც	ქვ აც
ბესტი	ბესტ ი
სულიერ	სულ იერ
წამოწეული	წამო წეული
დიდებულები	დიდებულ ები
ისტორიამ	ის ტორი ამ
რეზონანსი	რეზონანსი
ფრონტონის	ფრონტ ონის
ვარშავა	ვარშავა
სანდრა	სა ნდრა
ასპირანტი	ა სპირ ანტი
ინვალიდის	ინ ვალი დის
ამოღებულ	ამ ო ღებულ
გავდა	გავ და
პარკისა	პარკ ის ა
სართავი	სა რთავ ი
მშენებარე	მშენე ბარე
ფოტონის	ფოტო ნის
წესი	წეს ი
ხოტბა	ხოტ ბა
ციკლონების	ციკლონ ების
ამინდში	ა მინდ ში
წყლისთვის	წყლ ისთვის
კანტონების	კანტონ ების
აზნაურების	ა ზნაურ ების
გოლიათი	გოლ იათ ი
აუხსნელი	ა უხსნ ელი
კენტის	კენტ ის
ვარსკვლავთკარიბჭე	ვარსკვლავ თ კარიბჭე
ბოშების	ბოშ ების
ტიურინგის	ტი ური ნგის
გურჯი	გურჯი
ჩემპიონობისათვის	ჩემპიონ ობისათვ ის
კერნის	კერ ნის
დათოსაც	დათ ო საც
ბირჟის	ბირჟ ის
ოცდამერვე	ოცდა მერვე
არსენის	არსენ ის
ბრუნვა	ბრუნ ვა
კვარტეტი	კვარტ ეტი
წამოწყება	წამოწყ ება
ტიტველი	ტიტ ველი
პროცესი	პროცეს ი
აყვავების	ა ყვავ ების
გუსტავი	გუსტავ ი
სტაბილური	სტაბი ლური
ცენტურიონი	ც ენ ტური ონი
ბამბის	ბამბ ის
ვირს	ვირ ს
მდგომარეობაშია	მ დგომარეობ აში ა
ღრუში	ღრუ ში
ბრძენმა	ბრძენ მა
ტონაზე	ტონ აზე
კარზეც	კარ ზეც
ფოტოსინთეზის	ფოტო სი ნთეზ ის
ღვთაებრივ	ღვთ ა ებრივ
სპარტა	სპარტ ა
დაბინძურებულ	და ბინძ ურ ებულ
იაპ	ია პ
კვარტლები	კვარტ ლები
ენერგიით	ენერგ ი ით
სისხლისსამართლებრივი	სისხლ ის სა მართლ ებრივ ი
იუდეველებმა	იუდევე ლებმა
დადგინდეს	და დგინ დეს
ნუსხურსა	ნუსხურ სა
მყინვარი	მყინვა რი
ცდები	ცდები
გველების	გველ ების
შენების	შენ ების
დავითნი	დავ ით ნი
ჩირი	ჩი რი
სატვირთო	სა ტვირთ ო
ამაში	ამ აში
ბრაუნი	ბრაუნ ი
მიუსაჯა	მიუ სა ჯა
ეთიკა	ეთი კა
ბინ	ბინ
ტერასა	ტერას ა
ველური	ველ ური
სისტემატიკის	სისტე მა ტიკის
ასკეტური	ა ს კე ტური
ზომამ	ზომ ამ
თანაგუნდელები	თანაგუნ დ ელები
უშაქრო	უ შაქრ ო
მიიჩნიეს	მიიჩნ ი ეს
მუსიკასა	მუსიკ ა სა
ბარდა	ბარ და
თეთრკანიანები	თეთრ კანიან ები
ლეიბლებზე	ლეიბლ ებზე
აინტერესებდათ	ა ინტერ ეს ებ დათ
თებერვლისთვის	თებერ ვლ ისთვის
სისტემებთან	სისტე მ ებთან
შეეთავაზებინა	შეე თავაზ ებინა
ბადალი	ბად ალი
გასაყიდი	გასა ყიდ ი
მთაგრეხილის	მთა გრეხილ ის
გააშენა	გა აშენ ა
მახარაძეს	მახარ აძე ს
მეტალიკამ	მეტალ იკა მ
დააზუსტა	და ა ზუსტ ა
სექსუალურ	სექსუალ ურ
ესმა	ეს მა
კლუბები	კლუბ ები
მზრუნველობის	მზრუნ ველობ ის
თავდასხმის	თავდა სხმ ის
შერჩენილია	შე რჩენილ ი ა
იწყეს	ი წყ ეს
სერია	სერი ა
სათათბირო	სა თათბირ ო
მტკვარი	მ ტკვარ ი
მეტალების	მეტალ ების
გამოც	გამო ც
ოსტატი	ოსტატ ი
საყრდენად	სა ყრდენ ად
გაჩერდნენ	გაჩერ დნენ
ზენიტის	ზენიტ ის
საკარმიდამო	სა კარ მი და მო
ხერხემლიანი	ხერხემ ლიანი
მოსახლეზე	მო სახლე ზე
შეხედულებას	შე ხედულებ ას
ჰარლემში	ჰარლემ ში
კალაპოტის	კალაპოტ ის
მინერალ	მინერალ
ფასადის	ფას ად ის
უფლებამოსილი	უფლებ ა მოსილ ი
სახლზე	სახლ ზე
სიმაგრე	სიმაგრ ე
შენობასთან	შენობ ასთან
გადმოჰყურებს	გადმო ჰ ყურებ ს
კრამიტი	კრამიტ ი
მცხეთას	მცხეთ ას
ჰემი	ჰემ ი
გორილები	გორი ლები
რონი	რონი
ნომინაციაში	ნომინ აცია ში
გაგიჟებულია	გა გიჟ ებული ა
კინემატოგრაფიული	კინემატ ოგრაფი ული
იემენის	ი ემ ენის
ემოსა	ე მოსა
ბავშვს	ბავშვ ს
მოაწყვეს	მო აწყ ვეს
ერიტრეის	ერიტრე ის
დაავადებანი	და ავად ება ნ ი
ეკიპაჟის	ე კიპაჟ ის
კურსიდან	კურს იდან
გამომადგა	გამო მა დგა
საჭირბოროტო	სა ჭირ ბოროტ ო
ავანგარდულ	ავან გარდ ულ
ფეხში	ფეხ ში
მალდინიმ	მალდინი მ
მემამულეთა	მ ემამულე თა
პარაზიტებია	პარა ზიტ ებია
პროექტებზე	პროექტ ებზე
ტექსტები	ტექსტ ები
რომანოზ	რომან ოზ
ფინეთმა	ფინეთ მა
ჰუსიტური	ჰუსიტ ური
გრანდიოზული	გრან დი ოზულ ი
კარგმა	კარგ მა
მასათა	მა სა თა
გაატანა	გა ა ტანა
სპეციფიური	სპეციფ ი ური
უხდება	უხდ ება
უპირობოდ	უ პირობ ოდ
ბოლქვიანი	ბოლქვ იანი
ტანკზე	ტანკ ზე
გაუქმებული	გა უქმ ებული
პროლოგი	პრ ოლოგი
მანქანაზე	მანქან აზე
ანონიმი	ანონიმ ი
გაზრდას	გაზრდ ას
მასშტაბური	მა ს შტაბ ური
ცვლაში	ცვლა ში
რეპრესიები	რეპრესი ები
ვერა	ვერა
ვერასოდეს	ვერა ს ოდეს
ერისთავად	ერის თავად
გაზრდილია	გაზრდ ილია
კვადრატულია	კვადრა ტული ა
იარსებებს	ი არსებ ებს
ცივილიზაციის	ცივილ იზაცი ის
მაისს	მა ის ს
სინგლად	სინგლ ად
შერიგება	შე რიგებ ა
კუბაზე	კუბ ა ზე
მეკობრეების	მეკობრ ე ების
ქვეშევრდომები	ქვეშ ე ვრდომ ები
თოვლით	თოვლ ით
მამაც	მამაც
დეტალებს	დეტალ ებს
გაირკვეს	გა ირკვ ეს
ლიზინგი	ლიზ ინგი
ნიკოლაი	ნიკოლ ა ი
პირი	პირ ი
დაყვეს	და ყვეს
ტრანსფერი	ტრანს ფერი
ბიუროკრატიული	ბიურო კრატ ი ული
ესთეტიკას	ესთეტ ი კას
მატჩში	მატჩ ში
მოიყარეს	მო ი ყარეს
საშუალოზე	სა შუალო ზე
ხარიჯიტები	ხარ ი ჯი ტები
გოგონაა	გოგონ ა ა
დაკავებულები	და კავებ ულ ები
ველად	ველად
ზეპირსიტყვიერების	ზე პირ ს იტყვიერ ების
პოლიციური	პოლიც იური
სასწორი	სა სწორ ი
მონო	მონ ო
ნიკოლსკოეს	ნიკოლ ს კო ეს
გუბერნია	გუბერნ ია
დიპლომატიური	დიპლო მა ტი ური
პოლემიკა	პოლ ემ იკა
დაბოლოს	და ბოლო ს
მონსტრები	მ ონსტრ ები
ნუმიზმატიკის	ნუ მიზმატიკ ის
კარდინალ	კარ დინალ
მეთვალყურეობით	მე თვალ ყურე ობით
მიწას	მიწა ს
აღადგენენ	აღ ადგენ ენ
ჩაცმულობის	ჩაცმ ულ ობის
გადასასვლელად	გადა სა სვლელ ად
კუხეთის	კუხ ეთის
ქურუმები	ქურუ მ ები
ტერიტორიაც	ტერიტორი აც
კრუხობს	კრუხობ ს
გორი	გორი
სეზონში	სეზონ ში
ტვინში	ტვინ ში
ქართლის	ქართლ ის
შემაჯამებელი	შემ ა ჯამ ებელი
გააქტიურება	გა აქტიურ ება
დათარიღებული	და თარიღ ებული
საქსონია	სა ქსონ ია
ოქტომბრიდან	ო ქტომბრ იდან
უკვდავებას	უკვდავ ებას
ჯადოსნურ	ჯადოსნ ურ
სარეკონსტრუქციო	სა რეკონსტ რუქცი ო
ბრაზილიამ	ბრაზილ იამ
გარჩევას	გა რჩევ ას
სოფლების	სოფლ ების
მოყოლებული	მო ყოლ ებული
ოციანი	ოც იანი
სიმბოლოთი	სიმბო ლო თი
მარცხნიდან	მარცხ ნ იდან
შიშველია	ში შველ ია
სექტემბრის	სექტემ ბრის
სამუშაოში	სა მუშაო ში
ადმინისტრაციულმა	ადმი ნისტრ აციულ მა
პარკების	პარკ ების
პოზიციების	პოზიცი ების
დისციპლინები	დისციპლი ნები
კონსტანტინოპოლი	კონსტანტ ი ნოპოლ ი
ღელვის	ღელვ ის
სულებისთვის	სულ ების თვის
იტალიისკენ	იტალი ისკენ
კლდიაშვილი	კლდ ია შვილი
ნიმუშების	ნიმუშ ების
სულიწმინდის	ს ული წმინდ ის
ბატალიონის	ბატ ალი ონის
სკუდეტოს	სკუდეტო ს
მაგალითისათვის	მა გალით ისათვ ის
ხვეული	ხვეულ ი
სტალინგრადის	სტალინ გრად ის
ანსამბლმა	ა ნსამბლ მა
ებრძოლათ	ე ბრძოლა თ
ცნობარი	ცნო ბარი
მცენარეებსა	მცენარ ე ებს ა
საკითხისათვის	სა კითხ ისა თვის
წარმოდგენები	წარმო დგენ ები
მოაქციეს	მო აქცი ეს
სანაპიროები	სანაპირო ები
ბუშის	ბუშ ი ს
უღლების	უღლ ების
გამოქვეყნებულა	გამო ქვეყნებ ულ ა
მოიცავს	მოიცავ ს
კირიბატის	კირი ბა ტის
დიტრიხმა	დიტრიხ მა
ჯარების	ჯარ ების
იმპერიული	იმპერ იული
სატევარი	სატევ არი
ჩამოყალიბებით	ჩამოყალიბებ ით
სულებისგან	სულ ების გან
მაშტაბით	მა შტაბ ით
დაპატიმრებები	დ აპატიმრ ებები
სააგენტოს	სა აგენტ ოს
ბრაზილიასთან	ბრაზილ ი ასთან
მიახლოებით	მი ახლო ებით
ვარაუდით	ვარაუდ ით
ახალშობილ	ახალ შობილ
უბრძანებია	უ ბრძან ები ა
კასტელი	კასტ ელი
უმრავლესობით	უმრავლესო ბით
წლებში	წლ ებში
დაყოფა	და ყოფა
ავალდებულებდა	ა ვალდებულ ებდა
კილომეტრს	კილო მეტრ ს
ფრანკლინ	ფრანკ ლინ
ვიდეოებს	ვიდეო ებს
განსაზღვრავენ	გა ნსაზღვრ ავენ
ეფლობა	ე ფლობ ა
ჯვრისწერა	ჯვრის წერა
შექმნილი	შექმნ ი ლი
მახასიათებლებს	მა ხასიათ ებლ ებს
რაინის	რაინ ის
შესატყვისი	შესა ტყვი ს ი
მიწებში	მიწ ებში
წლისთავთან	წლის თავ თან
სეზონთან	სეზონ თან
შეკითხვა	შე კითხვ ა
სტილსა	სტილ სა
მოჰყავდათ	მო ჰყავდათ
კრიტიკოსი	კრიტიკოს ი
იუნონას	იუნონა ს
იუნიორთა	ი უნი ორთა
ძალისხმევა	ძალისხ მე ვა
ცვივა	ც ვი ვა
თანადამფუძნებელი	თანა დამ ფუძნებ ელი
დაიშალა	და იშალა
ჯეპრას	ჯე პრ ას
პიტერ	პიტერ
გრაფების	გრაფ ების
ლავრა	ლავრ ა
წამოდგა	წამო დგა
ჰიპოკრატეს	ჰიპ ოკრატე ს
ანდერსონი	ანდერ სონი
წარმოებდა	წარმოებ და
ოლაფი	ო ლა ფი
გამოუცდელი	გამო უცდელ ი
განუკურნებელი	განუ კურნ ებელი
ტრიბუნები	ტრიბუ ნები
პაროდიული	პარ ოდ იული
ბრალდებებს	ბრალდ ებებს
კომპანიებისთვის	კომპან ი ების თვის
სიყმაწვილე	სი ყმაწვილ ე
უყვებოდა	უყვ ებოდა
საბაჟოს	სა ბა ჟო ს
რგოლს	რგოლ ს
აუკრძალეს	ა უ კრძალ ეს
განვითარების	გან ვითარ ების
აქაურ	აქა ურ
ლიტურგია	ლიტურგი ა
ქვიშაქვებით	ქვიშაქვ ებით
დასწრებია	დასწრ ები ა
მართლმადიდებელი	მართლ მა დიდ ებელი
ლომის	ლომ ის
კინოინდუსტრია	კინო ინდუსტრ ია
გარეთა	გარე თა
იესოს	ი ეს ოს
რჩეულ	რჩეულ
ტერიტორიასაც	ტერიტორი ასაც
ფონდს	ფონდ ს
ლეგო	ლეგო
სასკეს	ს ასკეს
სიმაღლებრივი	ს ი მაღლე ბ რივი
სავოევოდო	სა ვოევო დო
ლაურეატი	ლაურეატ ი
სასულთნოს	სა ს ულთნ ოს
ინტერვალის	ინტერ ვალ ის
შემოღებული	შემო ღებულ ი
მომავლისთვის	მო მავლ ისთვის
შეწირვა	შე წირვ ა
ჩიკაგო	ჩიკაგ ო
აღდგენილიყო	აღდგენილი ყო
ტიტულიც	ტიტულ იც
გამუდმებულ	გა მუდმებ ულ
სრუტეები	სრუტე ები
პერიოდშივე	პერიოდ ში ვე
კახთა	კახ თა
დასაწყისი	დასა წყის ი
სტამბოლი	სტამბოლ ი
ოლიმპია	ოლიმპ ია
თაბაშირის	თა ბაში რი ს
აყალიბებენ	ა ყალიბ ებენ
ვალინორში	ვალი ნორ ში
მჟავა	მჟავ ა
ფილმია	ფილმ ია
გეგმები	გეგმ ები
ჟიურის	ჟიურ ის
ბარძაყის	ბარძაყ ის
მოკლას	მო კლას
შეერია	შე ერი ა
ოქუმის	ოქ უმის
შობას	შობა ს
ამნისტია	ამნისტი ა
ბერის	ბერი ს
მჟღავნდება	მჟღავ ნ დება
სახეობისთვის	სახეობ ის თვის
ხვრელია	ხვრელ ია
ბლოკ	ბლოკ
რაღა	რაღა
განაგრძობენ	განა გრძ ობენ
გამოფენებში	გამო ფენ ებში
ამტკიცებდნენ	ა მტკიც ებდნენ
დამსახურებით	და მსახურ ებით
ჰიუ	ჰ იუ
კარლა	კარლ ა
ოლიგარქიული	ოლიგ არქი ული
მოსწორებულია	მო სწორ ებული ა
მეოთხედში	მე ოთხედ ში
გავლენიან	გა ვლენ იან
კაპიტულაციას	კაპიტ ულაცი ას
სარდაფი	სარდაფ ი
ინგლისელი	ინგლის ელი
ნათელ	ნათელ
აკავშირებდა	ა კავშირ ებდა
აგებულების	ა გებულ ების
პალეოლოგოსის	პალეო ლოგო ს ის
დიალექტი	დიალექ ტი
გინეკოლოგიური	გინ ეკოლოგიურ ი
კაპიტანია	კაპიტ ა ნია
მათემატიკამ	მა თემატიკ ამ
მდგომარეობისა	მ დგომარეობ ის ა
შვილიშვილს	შვილი შვილ ს
წარმატების	წარმატებ ის
უცვლის	უცვლ ის
დასახმარებლად	დასა ხმარ ებლად
გარდაცვლილს	გარდა ცვლილ ს
ოკრუგის	ოკრუგი ს
მკვდარ	მკვდარ
დარჩებოდა	დარჩ ებოდა
ბოლშევიკური	ბოლშევიკ ური
პორტუგალიის	პორტუგალ ი ის
იშტვან	იშტვან
ოტელი	ოტ ელი
ჩხალთის	ჩხ ალთ ის
ანდრონიკაშვილის	ანდრო ნიკა შვილი ს
საკრავიერი	სა კრავ იერი
წინამძღვარს	წინამ ძღვარ ს
სამნიტები	ს ამნიტ ები
თათრებს	თათრ ებს
მღელვარე	მღელვარ ე
ორგანიზმებზე	ორგანიზ მ ებზე
მაგისტრალზე	მა გისტრ ა ლზე
აყვანილი	ა ყვანილ ი
გააოცა	გაა ოც ა
სასურველი	სა სურველ ი
ჯინი	ჯინ ი
შს	შს
სახელმწიფოთაშორისი	სა ხელმწიფო თაშორ ის ი
უწოდებს	უწოდ ებს
მარინეს	მარი ნეს
ნეიტრონის	ნეიტრ ონის
გაბრტყელებული	გა ბრტყე ლ ებული
ტელეარხმა	ტელეარხ მა
ეკიპაჟმა	ე კიპაჟ მა
პროცესების	პროცეს ების
ვიქტორიანული	ვიქტო რიან ული
აზნაურს	ა ზნაურ ს
მბრუნავი	მ ბრუნ ავი
კევინ	კევინ
აკისრია	აკისრ ია
ანტუანის	ანტუან ის
ბრიტანეთსა	ბრიტან ეთსა
ვერცხლით	ვერცხლ ით
წარმოდგენილნი	წარმო დგენილ ნი
ხრამის	ხრა მ ის
ჩატანებულია	ჩა ტან ებული ა
ეკლესიით	ეკლეს ი ით
ქვაბები	ქვაბ ები
სრულებითაც	სრულებ ითაც
დანებების	დან ებები ს
ოფიცერს	ოფიც ერს
ხრესილის	ხრესი ლის
ჯოანა	ჯო ანა
კლინიკურად	კლინ იკურ ად
მლნ	მლნ
მალისა	მა ლი სა
იკითხებოდა	ი კითხ ებოდა
ოცდამეცხრე	ოცდა მეცხრე
ააშენა	ა აშენ ა
დაბომბვის	და ბომბვ ის
მამაკაცია	მამა კ აცია
ვილაპარაკეთ	ვი ლაპარა კეთ
ბედავდა	ბედ ავდა
მინანქრის	მინანქ რის
ბანაკს	ბანაკ ს
ექსპედიციებს	ე ქსპედიც ი ებს
ძელებით	ძელ ებით
იზაბელა	იზაბელ ა
დღიანი	დღიანი
ბაზები	ბაზ ები
ნათების	ნათ ების
გადაწყვეტილების	გადა წყვეტილ ების
ნორმები	ნორმ ები
პროცესებს	პროცეს ებს
დედამიწასთან	დედა მიწა სთან
ფერმერები	ფერ მერ ები
თვალწინ	თვალ წინ
ფილოლოგია	ფილოლოგი ა
მითხრა	მით ხრა
კამილუსმა	კამილ უსმა
რენამოს	რე ნა მოს
იარაღით	იარაღ ით
სცემენ	სცემ ენ
ბელონას	ბელ ონ ას
ელიზაბეთი	ელი ზაბეთ ი
უკიდურესი	უ კიდურ ეს ი
საკითხებთან	სა კითხ ებთან
დოკუმენტებით	დოკუმენტ ებით
პენის	პე ნის
სამლოცველო	სა მ ლოცვ ე ლო
როსონერი	როსონ ერი
რელიეფური	რელიეფ ური
ბენდს	ბენდ ს
ექსპლოატაციის	ექსპ ლო ა ტაცი ის
ვაი	ვა ი
მოხვედრა	მო ხვედრ ა
უდიდებულესობის	უ დიდებულ ეს ობის
გრძნობას	გრძნობ ას
ლოცვა	ლოცვ ა
ღამე	ღამე
ლოდებით	ლოდ ებით
ნინოშვილის	ნინო შვილი ს
ტური	ტური
ადიდე	ად იდე
განსაკუთრებულობა	გან სა კუთრ ებულ ობა
ლოუს	ლოუს
დამხობილ	დამხ ობილ
გუდვილი	გუდ ვილი
ჯერა	ჯერ ა
ისტორიოგრაფიაში	ის ტორი ოგრაფი აში
კოლუმბიელი	კოლუმბ ი ელი
ობიექტური	ობიექტ ური
ცხოვრებისათვის	ცხოვრებ ისათვ ის
გამოჩენისას	გამო ჩენ ის ას
მარჯნის	მარჯ ნის
გაზრდამ	გაზრდ ამ
თესლი	თესლ ი
იზოტოპის	ი ზოტოპ ის
პროვინციებს	პროვინცი ებს
სივილ	სი ვილ
შემცველ	შემ ცველ
დაეცემა	დაე ცემა
იტევს	ი ტევ ს
თედორე	თედო რე
დასავლეთისკენ	და სავლეთ ისკენ
სექცია	სექცი ა
პრინციპულად	პრინციპულ ად
შეემატნენ	შე ემატ ნენ
მოხარული	მო ხარულ ი
მეზღვაურების	მე ზღვა ურ ების
დაფების	დაფ ების
ტერმინატორის	ტერმინ ატორი ს
მოღვაწეობამ	მო ღვაწ ე ობამ
მოდის	მო დის
აღგზნება	აღ გზ ნება
გაჩეხვის	გა ჩეხ ვის
რონალდო	რონალდ ო
გრინვუდი	გრინვუდ ი
ალაჰი	ალაჰი
ქართველოლოგიის	ქართველ ოლოგი ის
მეძებარი	მ ეძებ არი
დააზარალა	და ა ზარალ ა
რეიტინგული	რე იტინგ ული
ტიბეტის	ტიბეტ ის
ელჩობა	ელჩ ობა
ვაქცინის	ვაქცინ ის
თუთიყუშის	თუთიყუშ ის
რომეოს	რომეო ს
ვულკანია	ვულკან ია
სიმპლონის	სიმპ ლ ონის
ამანში	ამ ანში
მოგებაც	მოგ ებაც
ორგანიზმებით	ორგანიზ მ ებით
ლენინი	ლენინ ი
გამომცემელმა	გამო მცემ ელმა
ენფილდზე	ენ ფილდ ზე
ზონასთან	ზონ ასთან
მოვლენად	მო ვლენ ად
ვადამდე	ვად ამდე
სიგრძივი	სი გრძივ ი
სისხლი	სისხლ ი
ფილოსოფიასთან	ფილოსოფი ასთან
გაჭირვებული	გა ჭირვ ებულ ი
დამატებას	დამატ ებას
ნახევარსფეროზე	ნა ხევარ სფერო ზე
ყმა	ყ მა
გაბრიელის	გა ბრიელ ის
მოხატა	მო ხატ ა
სხვადასხვანაირია	სხვადა სხვა ნაირი ა
მეგობრულად	მე გობრ ულად
შეჭრილიყო	შე ჭრილ იყო
დაამონტაჟა	დაა მო ნტაჟ ა
ტუპაკ	ტუპაკ
მაიკლ	მაიკლ
აღდგომის	აღ დგომ ის
შეეყარა	შეე ყარა
გაჩერებული	გაჩერ ებული
მიაკითხა	მი ა კითხ ა
მათრახი	მა თრახი
დარეჯანი	და რე ჯან ი
აუტანელი	ა უტან ელი
ასვლისას	ა სვლის ას
სუზანა	ს უზან ა
აკრიტიკებს	ა კრიტიკ ებს
გარსიას	გარს ი ას
ზრუნვას	ზრუნვ ას
მონარქიული	მონარქ იული
სიმღერაც	სი მღერ აც
შემდგომი	შემ დგომ ი
იცოდე	იცოდე
თხემურ	თხემ ურ
მარსელ	მარსელ
რომელთან	რომელ თან
უწესო	უ წეს ო
რაინდებს	რაინდ ებს
სახელები	სახელ ები
სათნოებას	სათნო ება ს
პანორამული	პანორამ ული
იკისრა	იკისრა
ფაშისტურ	ფაშის ტურ
კლდეს	კლდე ს
გამრავლება	გა მრავლ ება
რელიქტური	რ ელი ქ ტური
რუმინულ	რუმინ ულ
სხდომას	სხდომ ას
ჩემპიონად	ჩემპიონ ად
თანამეგობრობის	თანა მე გობრობ ის
ფენებს	ფენ ებს
ხახულის	ხახ ული ს
კარიერაც	კარიერ აც
თანრიგში	თან რიგ ში
დაბოლოებას	და ბოლო ებას
გადაწერილი	გადა წერილ ი
შეიკრიბნენ	შე იკრიბ ნენ
მომხდარი	მო მხდარ ი
ლარს	ლარს
ღირებულებით	ღ ირებულ ებით
ოჯახებში	ოჯახ ებში
კათოლიკურმა	კათოლიკ ურმა
რგოლები	რგოლ ები
შეეცვალათ	შეე ცვალ ათ
პილასტრით	პილასტრ ით
მომღერალთა	მო მღერალ თა
რაკეტების	რაკეტ ების
რობინის	რობინ ის
ტომ	ტომ
ბელგრადის	ბელ გრად ის
ამხანაგური	ამხანა გური
მუსულმანებს	მუსულ მან ებს
წამის	წამ ის
სეპარატისტულ	სეპ არატისტ ულ
აბრაამის	ა ბრაამ ის
თრი	თრი
ვერსიად	ვერსი ად
კრეისერი	კრეისერ ი
რადიაქტიური	რადი აქტი ური
საიმპერიო	სა იმპერ იო
გამოიტანეს	გამო იტანეს
ფარა	ფარ ა
ასურეთის	ას ურ ეთის
არაუმეტეს	არა უმეტ ეს
განსაცდელი	გა ნსაცდელ ი
ყბა	ყბ ა
კახეთსა	კახეთ სა
მთავარანგელოზთა	მთავარ ანგელოზ თა
აღმასრულებელმა	აღმა სრულ ებელმა
მონათლა	მო ნათლ ა
იგეგმება	ი გეგმ ება
ქორწინებაში	ქორწინ ება ში
ბოთლებში	ბოთლ ებში
განედი	გან ედი
ტილზიტის	ტ ილ ზიტ ის
მოედნები	მოედნ ები
დაღესტანში	და ღესტ ანში
წლებმა	წლებ მა
