გამოსხივება	გამო სხივებ ა
დღესასწაულებს	დღესასწაულ ებს
იდეოლოგია	იდე ოლოგი ა
წმიდანს	წმიდ ან ს
საყლაპავი	სა ყლაპ ავი
ფრანცისკო	ფრან ცისკ ო
წყევლის	წყევლ ის
თრაინ	თრ აინ
მისალმების	მი სალმ ების
ნოვიცკი	ნოვიც კ ი
წაყენებული	წა ყენებ ული
სამკაულებს	სამკაულ ებს
ცვლილებათა	ცვლილ ებ ათა
თავად	თავად
შეთანხმდა	შე თანხმ და
ჟორჟი	ჟორ ჟ ი
პოლმა	პოლ მა
კარლს	კარ ლ ს
ურთიერთობაზე	ურთიერთ ობ აზე
შთამომავალს	შთამო მავალ ს
სერვერიდან	სერ ვერ იდან
თინათინი	თინათი ნ ი
მაიკროსოფტმა	მაიკროსოფ ტ მა
დაკანონდა	და კანონ და
ანგელოზმა	ანგელოზ მა
ფუს	ფუ ს
წუთით	წუ თ ით
პაციენტები	პა ციენტ ები
პირად	პირ ად
ჯონის	ჯო ნ ის
ქვაც	ქვ აც
ბესტი	ბ ესტ ი
სულიერ	სულ იერ
წამოწეული	წამო წეულ ი
დიდებულები	დი დებულ ები
ისტორიამ	ისტორი ამ
რეზონანსი	რეზონ ან სი
ფრონტონის	ფრონ ტონ ის
ვარშავა	ვარ შავ ა
სანდრა	სა ნდრ ა
ასპირანტი	ას პირ ანტი
ინვალიდის	ინვალ იდ ის
ამოღებულ	ამო ღებ ულ
გავდა	გა ვ და
პარკისა	პარკ ისა
სართავი	სა რთავ ი
მშენებარე	მ შენებ არე
ფოტონის	ფოტო ნ ის
წესი	წეს ი
ხოტბა	ხოტ ბ ა
ციკლონების	ციკლონ ების
ამინდში	ა მინდ ში
წყლისთვის	წყლის თვის
კანტონების	კან ტონ ების
აზნაურების	აზნა ურ ების
გოლიათი	გოლ იათი
აუხსნელი	ა უხსნ ელი
კენტის	კენ ტ ის
ვარსკვლავთკარიბჭე	ვარსკვლავთ კარიბჭ ე
ბოშების	ბო შ ების
ტიურინგის	ტიურ ინგ ის
გურჯი	გურ ჯი
ჩემპიონობისათვის	ჩემპიონ ობ ისათვის
კერნის	კერ ნ ის
დათოსაც	და თო საც
ბირჟის	ბირ ჟ ის
ოცდამერვე	ოცდა მე რვე
არსენის	არს ენ ის
ბრუნვა	ბრუნ ვ ა
კვარტეტი	კვარ ტეტ ი
წამოწყება	წამო წყებ ა
ტიტველი	ტიტვე ლ ი
პროცესი	პროცე ს ი
აყვავების	აყვა ვებ ის
გუსტავი	გუსტა ვ ი
სტაბილური	სტაბილ ურ ი
ცენტურიონი	ცენტური ონ ი
ბამბის	ბა მბ ის
ვირს	ვი რ ს
მდგომარეობაშია	მდგომარე ობ აშია
ღრუში	ღრუ ში
ბრძენმა	ბრ ძენ მა
ტონაზე	ტონ აზე
კარზეც	კარ ზეც
ფოტოსინთეზის	ფოტო სინთეზ ის
ღვთაებრივ	ღვთა ებ რივ
სპარტა	ს პარტ ა
დაბინძურებულ	და ბინძურ ებულ
იაპ	ი აპ
კვარტლები	კვარტ ლ ები
ენერგიით	ენ ერგი ით
სისხლისსამართლებრივი	სისხლისსა მართლებრივ ი
იუდეველებმა	იუდე ველ ებმა
დადგინდეს	და დგინ დეს
ნუსხურსა	ნუს ხურ სა
მყინვარი	მყინვარ ი
ცდები	ც დებ ი
გველების	გვ ელ ების
შენების	შე ნებ ის
დავითნი	და ვით ნი
ჩირი	ჩი რ ი
სატვირთო	სა ტვირთ ო
ამაში	ა მ აში
ბრაუნი	ბრა უნ ი
მიუსაჯა	მიუ საჯ ა
ეთიკა	ეთ იკ ა
ბინ	ბინ
ტერასა	ტერ ას ა
ველური	ველ ური
სისტემატიკის	სისტემ ატიკ ის
ასკეტური	ას კეტ ური
ზომამ	ზომ ამ
თანაგუნდელები	თანაგუნდ ელ ები
უშაქრო	უ შა ქრო
მიიჩნიეს	მიი ჩნი ეს
მუსიკასა	მუს იკ ასა
ბარდა	ბ არდ ა
თეთრკანიანები	თეთრ კანიან ები
ლეიბლებზე	ლეი ბლ ებზე
აინტერესებდათ	ა ინტერესებ დათ
თებერვლისთვის	თებერ ვლ ისთვის
სისტემებთან	სისტემ ებ თან
შეეთავაზებინა	შეე თავაზებ ინა
ბადალი	ბად ალ ი
გასაყიდი	გასა ყიდ ი
მთაგრეხილის	მთა გრეხილ ის
გააშენა	გა აშენ ა
მახარაძეს	მახარ აძ ეს
მეტალიკამ	მეტა ლიკ ამ
დააზუსტა	დაა ზუსტ ა
სექსუალურ	ს ექსუალ ურ
ესმა	ეს მა
კლუბები	კლუბ ები
მზრუნველობის	მზრუნველ ობ ის
თავდასხმის	თავდა სხმ ის
შერჩენილია	შე რჩენილ ია
იწყეს	იწყ ეს
სერია	ს ერი ა
სათათბირო	სა თათბირ ო
მტკვარი	მტკ ვარ ი
მეტალების	მე ტალ ების
გამოც	გამო ც
ოსტატი	ოსტატ ი
საყრდენად	სა ყრდენ ად
გაჩერდნენ	გა ჩერ დნენ
ზენიტის	ზენ იტ ის
საკარმიდამო	საკარმი დამ ო
ხერხემლიანი	ხერხემლ იან ი
მოსახლეზე	მო სახლე ზე
შეხედულებას	შეხედ ულებ ას
ჰარლემში	ჰარ ლემ ში
კალაპოტის	კალა პოტ ის
მინერალ	მინერა ლ
ფასადის	ფას ად ის
უფლებამოსილი	უფლებ ამოსილ ი
სახლზე	სახლ ზე
სიმაგრე	სი მაგრე
შენობასთან	შენ ობ ასთან
გადმოჰყურებს	გადმო ჰყურ ებს
კრამიტი	კრამი ტ ი
მცხეთას	მც ხეთ ას
ჰემი	ჰემ ი
გორილები	გორ ილ ები
რონი	რ ონ ი
ნომინაციაში	ნომინაცი აში
გაგიჟებულია	გა გიჟ ებულია
კინემატოგრაფიული	კინემატ ოგრაფი ული
იემენის	იემ ენ ის
ემოსა	ემ ოს ა
ბავშვს	ბავშვ ს
მოაწყვეს	მო აწყ ვეს
ერიტრეის	ერი ტრე ის
დაავადებანი	დაავად ებ ანი
ეკიპაჟის	ეკიპ აჟ ის
კურსიდან	კურს იდან
გამომადგა	გამომა დგ ა
საჭირბოროტო	სა ჭირ ბოროტო
ავანგარდულ	ავანგ არდ ულ
ფეხში	ფეხ ში
მალდინიმ	მალ დინ იმ
მემამულეთა	მე მამულ ეთა
პარაზიტებია	პარა ზიტ ებია
პროექტებზე	პროექტ ებზე
ტექსტები	ტექსტ ები
რომანოზ	რომ ან ოზ
ფინეთმა	ფინ ეთ მა
ჰუსიტური	ჰუსი ტ ური
გრანდიოზული	გრანდ იოზულ ი
კარგმა	კარგ მა
მასათა	მა სა თა
გაატანა	გაა ტან ა
სპეციფიური	სპეცი ფი ური
უხდება	უ ხდებ ა
უპირობოდ	უ პირობ ოდ
ბოლქვიანი	ბოლქვ იანი
ტანკზე	ტან კ ზე
გაუქმებული	გაუ ქმებ ული
პროლოგი	პრო ლოგ ი
მანქანაზე	მანქან აზე
ანონიმი	ან ონიმ ი
გაზრდას	გა ზრდ ას
მასშტაბური	მას შტაბ ური
ცვლაში	ცვლ აში
რეპრესიები	რე პრესი ები
ვერა	ვერ ა
ვერასოდეს	ვერ ასოდეს
ერისთავად	ერისთავ ად
გაზრდილია	გა ზრდილ ია
კვადრატულია	კვადრ ატ ულია
იარსებებს	ი არსებ ებს
ცივილიზაციის	ცივილიზ აცი ის
მაისს	მა ის ს
სინგლად	სინგ ლ ად
შერიგება	შე რიგებ ა
კუბაზე	კუბ აზე
მეკობრეების	მეკობ რე ების
ქვეშევრდომები	ქვეშე ვრდომ ები
თოვლით	თო ვლ ით
მამაც	მა მაც
დეტალებს	დე ტალ ებს
გაირკვეს	გა ირკვ ეს
ლიზინგი	ლიზ ინგ ი
ნიკოლაი	ნიკ ოლ აი
პირი	პირ ი
დაყვეს	და ყვ ეს
ტრანსფერი	ტრანს ფერ ი
ბიუროკრატიული	ბიურ ოკრატი ული
ესთეტიკას	ესთეტ იკ ას
მატჩში	მატ ჩ ში
მოიყარეს	მოი ყარ ეს
საშუალოზე	სა შუალო ზე
ხარიჯიტები	ხარიჯი ტ ები
გოგონაა	გოგ ონ აა
დაკავებულები	დაკავ ებულ ები
ველად	ველ ად
ზეპირსიტყვიერების	ზეპირსიტყვ იერ ების
პოლიციური	პოლიცი ური
სასწორი	სა სწორ ი
მონო	მო ნ ო
ნიკოლსკოეს	ნიკ ოლ სკოეს
გუბერნია	გუბერნი ა
დიპლომატიური	დიპლომ ატი ური
პოლემიკა	პოლ ემ იკა
დაბოლოს	და ბოლო ს
მონსტრები	მონ სტრ ები
ნუმიზმატიკის	ნუმიზმ ატიკ ის
კარდინალ	კარდინა ლ
მეთვალყურეობით	მეთვალყურ ეობ ით
მიწას	მიწ ას
აღადგენენ	აღ ადგენ ენ
ჩაცმულობის	ჩაცმ ულობ ის
გადასასვლელად	გადა სასვლელ ად
კუხეთის	კუ ხეთ ის
ქურუმები	ქურ უმ ები
ტერიტორიაც	ტერიტორი აც
კრუხობს	კრუხ ობ ს
გორი	გორ ი
სეზონში	სე ზონ ში
ტვინში	ტ ვინ ში
ქართლის	ქარ თლ ის
შემაჯამებელი	შემა ჯამებ ელი
გააქტიურება	გაა ქტიურ ება
დათარიღებული	და თარიღებ ული
საქსონია	სა ქსონ ია
ოქტომბრიდან	ოქტომ ბრ იდან
უკვდავებას	უ კვდავ ებას
ჯადოსნურ	ჯადოს ნ ურ
სარეკონსტრუქციო	სა რეკონსტრუქცი ო
ბრაზილიამ	ბრაზ ილი ამ
გარჩევას	გა რჩევ ას
სოფლების	სოფლ ებ ის
მოყოლებული	მო ყოლებ ული
ოციანი	ოც იანი
სიმბოლოთი	სიმბოლ ო თი
მარცხნიდან	მარცხ ნ იდან
შიშველია	შიშველ ია
სექტემბრის	სექტ ემბრ ის
სამუშაოში	სა მუშაო ში
ადმინისტრაციულმა	ადმინისტრ აცი ულმა
პარკების	პარკ ების
პოზიციების	პოზიცი ების
დისციპლინები	დისციპლინ ები
კონსტანტინოპოლი	კონსტანტი ნოპოლ ი
ღელვის	ღელვ ის
სულებისთვის	სულ ებისთვის
იტალიისკენ	იტალი ისკენ
კლდიაშვილი	კლდი აშვილი
ნიმუშების	ნიმუშ ების
სულიწმინდის	სული წმინდ ის
ბატალიონის	ბატა ლიონ ის
სკუდეტოს	სკუდ ეტ ოს
მაგალითისათვის	მა გალით ისათვის
ხვეული	ხვე ული
სტალინგრადის	სტა ლინ გრადის
ანსამბლმა	ანსამ ბლ მა
ებრძოლათ	ე ბრძოლ ათ
ცნობარი	ცნობ არ ი
მცენარეებსა	მცენარე ებ სა
საკითხისათვის	სა კითხ ისათვის
წარმოდგენები	წარმო დგენ ები
მოაქციეს	მო აქცი ეს
სანაპიროები	სანაპირ ო ები
ბუშის	ბუ შ ის
უღლების	უღლ ების
გამოქვეყნებულა	გამო ქვეყნებულ ა
მოიცავს	მო იცავ ს
კირიბატის	კირი ბატ ის
დიტრიხმა	დიტრი ხ მა
ჯარების	ჯარ ების
იმპერიული	იმპერი ული
სატევარი	სა ტე ვარი
ჩამოყალიბებით	ჩამო ყალიბებ ით
სულებისგან	ს ულ ებისგან
მაშტაბით	მა შტაბ ით
დაპატიმრებები	და პატიმრებ ები
სააგენტოს	სააგენ ტო ს
ბრაზილიასთან	ბრაზ ილი ასთან
მიახლოებით	მი ახლოებ ით
ვარაუდით	ვარაუდ ით
ახალშობილ	ახალ შობილ
უბრძანებია	უ ბრძან ებია
კასტელი	კას ტელ ი
უმრავლესობით	უმრავლეს ობ ით
წლებში	წლ ებ ში
დაყოფა	და ყოფ ა
ავალდებულებდა	ა ვალდებულებ და
კილომეტრს	კილო მეტრ ს
ფრანკლინ	ფრან კლინ
ვიდეოებს	ვიდ ეო ებს
განსაზღვრავენ	გან საზღვრ ავენ
ეფლობა	ეფლ ობ ა
ჯვრისწერა	ჯვრის წერ ა
შექმნილი	შე ქმნილ ი
მახასიათებლებს	მახასიათ ებლ ებს
რაინის	რა ინ ის
შესატყვისი	შესა ტყვის ი
მიწებში	მიწ ებ ში
წლისთავთან	წლის თავ თან
სეზონთან	სე ზონ თან
შეკითხვა	შე კითხვ ა
სტილსა	სტი ლ სა
მოჰყავდათ	მო ჰყავდათ
კრიტიკოსი	კრიტიკოს ი
იუნონას	იუნ ონ ას
იუნიორთა	იუნი ორ თა
ძალისხმევა	ძალისხმ ევ ა
ცვივა	ცვ ივ ა
თანადამფუძნებელი	თანადა მფუძნებელ ი
დაიშალა	და იშალა
ჯეპრას	ჯე პრ ას
პიტერ	პიტერ
გრაფების	გრაფ ების
ლავრა	ლა ვრ ა
წამოდგა	წამო დგ ა
ჰიპოკრატეს	ჰიპ ოკრატ ეს
ანდერსონი	ანდერ სონ ი
წარმოებდა	წარმოებ და
ოლაფი	ოლ აფ ი
გამოუცდელი	გამოუცდ ელ ი
განუკურნებელი	გან უკურნებელ ი
ტრიბუნები	ტრიბუ ნ ები
პაროდიული	პაროდ ი ული
ბრალდებებს	ბრალდებ ებს
კომპანიებისთვის	კომპანი ებისთვის
სიყმაწვილე	სი ყმაწვილ ე
უყვებოდა	უ ყვებ ოდა
საბაჟოს	საბაჟ ო ს
რგოლს	რ გოლ ს
აუკრძალეს	აუ კრძალ ეს
განვითარების	გან ვითარებ ის
აქაურ	აქ ა ურ
ლიტურგია	ლი ტურგი ა
ქვიშაქვებით	ქვიშ აქვ ებით
დასწრებია	და სწრებ ია
მართლმადიდებელი	მართლ მადიდებელ ი
ლომის	ლომ ის
კინოინდუსტრია	კინოინდუს ტრ ია
გარეთა	გა რეთ ა
იესოს	ი ეს ოს
რჩეულ	რჩეულ
ტერიტორიასაც	ტერიტორი ასაც
ფონდს	ფონ დ ს
ლეგო	ლეგ ო
სასკეს	სა სკ ეს
სიმაღლებრივი	სი მაღლ ებრივი
სავოევოდო	სა ვოევოდ ო
ლაურეატი	ლა ურეატ ი
სასულთნოს	სასულ თნო ს
ინტერვალის	ინტერ ვალ ის
შემოღებული	შემო ღებ ული
მომავლისთვის	მო მავლ ისთვის
შეწირვა	შე წირვ ა
ჩიკაგო	ჩიკა გ ო
აღდგენილიყო	აღ დგენილ იყო
ტიტულიც	ტი ტულ იც
გამუდმებულ	გამუდმ ებ ულ
სრუტეები	სრუ ტე ები
პერიოდშივე	პერიოდ შივე
კახთა	კა ხ თა
დასაწყისი	დასა წყ ისი
სტამბოლი	სტამბ ოლ ი
ოლიმპია	ოლიმპ ი ა
თაბაშირის	თა ბაშირ ის
აყალიბებენ	ა ყალიბებ ენ
ვალინორში	ვალინ ორ ში
მჟავა	მჟავ ა
ფილმია	ფილმ ია
გეგმები	გეგმ ები
ჟიურის	ჟი ურ ის
ბარძაყის	ბარძა ყ ის
მოკლას	მო კლას
შეერია	შე ერი ა
ოქუმის	ოქ უმ ის
შობას	შობ ას
ამნისტია	ამნი სტი ა
ბერის	ბერ ის
მჟღავნდება	მჟღავნ დება
სახეობისთვის	სახეობ ისთვის
ხვრელია	ხვრე ლ ია
ბლოკ	ბლოკ
რაღა	რ აღ ა
განაგრძობენ	განაგრძ ობ ენ
გამოფენებში	გამო ფენ ებში
ამტკიცებდნენ	ა მტკიცებ დნენ
დამსახურებით	დამსა ხურებ ით
ჰიუ	ჰ იუ
კარლა	კარ ლ ა
ოლიგარქიული	ოლიგ არქი ული
მოსწორებულია	მო სწორებ ულია
მეოთხედში	მეოთხ ედ ში
გავლენიან	გა ვლენ იან
კაპიტულაციას	კაპიტულ აცი ას
სარდაფი	სარდ აფ ი
ინგლისელი	ინგლის ელ ი
ნათელ	ნა თელ
აკავშირებდა	ა კავშირებ და
აგებულების	აგ ებულებ ის
პალეოლოგოსის	პალე ოლოგ ოსის
დიალექტი	დია ლექტ ი
გინეკოლოგიური	გინეკ ოლოგიურ ი
კაპიტანია	კაპიტ ან ია
მათემატიკამ	მა თემატიკ ამ
მდგომარეობისა	მდგომარე ობ ისა
შვილიშვილს	შვილ იშვილ ს
წარმატების	წარ მატებ ის
უცვლის	უ ცვლ ის
დასახმარებლად	დასა ხმარებ ლად
გარდაცვლილს	გარდა ცვლილ ს
ოკრუგის	ოკრ უგ ის
მკვდარ	მკვდარ
დარჩებოდა	და რჩ ებოდა
ბოლშევიკური	ბოლშევ იკ ური
პორტუგალიის	პორტუ გალი ის
იშტვან	ი შტ ვან
ოტელი	ოტ ელ ი
ჩხალთის	ჩხ ალთ ის
ანდრონიკაშვილის	ანდრონიკ აშვილ ის
საკრავიერი	სა კრავ იერი
წინამძღვარს	წინამ ძღვარ ს
სამნიტები	სამნი ტ ები
თათრებს	თა თრ ებს
მღელვარე	მღელვ არ ე
ორგანიზმებზე	ორგანიზმ ებ ზე
მაგისტრალზე	მა გისტრალ ზე
აყვანილი	ა ყვანილ ი
გააოცა	გაა ოც ა
სასურველი	სა სურველ ი
ჯინი	ჯინ ი
შს	შს
სახელმწიფოთაშორისი	სა ხელმწიფო თაშორისი
უწოდებს	უ წოდებ ს
მარინეს	მარ ინ ეს
ნეიტრონის	ნეიტრ ონ ის
გაბრტყელებული	გა ბრტყელებ ული
ტელეარხმა	ტელეარ ხ მა
ეკიპაჟმა	ეკიპ აჟ მა
პროცესების	პროცე ს ების
ვიქტორიანული	ვიქ ტორ იანული
აზნაურს	აზნა ურ ს
მბრუნავი	მ ბრუნ ავი
კევინ	კე ვინ
აკისრია	ა კისრ ია
ანტუანის	ანტუ ან ის
ბრიტანეთსა	ბრიტან ეთ სა
ვერცხლით	ვერცხ ლ ით
წარმოდგენილნი	წარმო დგენილ ნი
ხრამის	ხ რამ ის
ჩატანებულია	ჩა ტანებულ ია
ეკლესიით	ე კლესი ით
ქვაბები	ქვა ბ ები
სრულებითაც	სრულებ ითაც
დანებების	დან ებ ების
ოფიცერს	ოფიც ერ ს
ხრესილის	ხრე სილ ის
ჯოანა	ჯო ან ა
კლინიკურად	კლი ნიკ ურად
მლნ	მ ლნ
მალისა	მა ლის ა
იკითხებოდა	ი კითხ ებოდა
ოცდამეცხრე	ოცდა მე ცხრე
ააშენა	ა აშენ ა
დაბომბვის	დაბომბ ვ ის
მამაკაცია	მამა კაც ია
ვილაპარაკეთ	ვი ლაპარაკ ეთ
ბედავდა	ბედ ავდა
მინანქრის	მინან ქ რის
ბანაკს	ბანაკ ს
ექსპედიციებს	ექსპედიცი ებს
ძელებით	ძ ელ ებით
იზაბელა	იზა ბელ ა
დღიანი	დღიან ი
ბაზები	ბაზ ები
ნათების	ნათებ ის
გადაწყვეტილების	გადაწყვეტ ილებ ის
ნორმები	ნორმ ები
პროცესებს	პროცე ს ებს
დედამიწასთან	დედა მიწ ასთან
ფერმერები	ფერ მერ ები
თვალწინ	თვალ წინ
ფილოლოგია	ფილ ოლოგი ა
მითხრა	მი თხრ ა
კამილუსმა	კამილ უს მა
რენამოს	რე ნ ამოს
იარაღით	იარაღ ით
სცემენ	სცემ ენ
ბელონას	ბე ლონ ას
ელიზაბეთი	ელიზაბ ეთ ი
უკიდურესი	უკიდ ურ ესი
საკითხებთან	სა კითხ ებთან
დოკუმენტებით	დოკუ მენტ ებით
პენის	პენ ის
სამლოცველო	სამლოც ველო
როსონერი	როს ონერ ი
რელიეფური	რელიეფ ური
ბენდს	ბენ დ ს
ექსპლოატაციის	ექსპლოა ტაცი ის
ვაი	ვ ა ი
მოხვედრა	მო ხვედრ ა
უდიდებულესობის	უდიდებულეს ობ ის
გრძნობას	გრძნობ ას
ლოცვა	ლო ცვ ა
ღამე	ღამ ე
ლოდებით	ლო დ ებით
ნინოშვილის	ნინო შვილ ის
ტური	ტ ური
ადიდე	ა დ იდე
განსაკუთრებულობა	განსაკუთრ ებულ ობა
ლოუს	ლოუ ს
დამხობილ	და მხობ ილ
გუდვილი	გუდ ვილ ი
ჯერა	ჯერ ა
ისტორიოგრაფიაში	ისტორი ოგრაფი აში
კოლუმბიელი	კოლუმ ბი ელი
ობიექტური	ობ იექტ ური
ცხოვრებისათვის	ცხოვრებ ისათვის
გამოჩენისას	გამო ჩენ ისას
მარჯნის	მარჯ ნ ის
გაზრდამ	გა ზრდ ამ
თესლი	თესლ ი
იზოტოპის	იზო ტოპ ის
პროვინციებს	პროვინ ცი ებს
სივილ	სი ვილ
შემცველ	შე მცველ
დაეცემა	დაე ცემ ა
იტევს	ი ტევ ს
თედორე	თე დო რე
დასავლეთისკენ	და სავლეთ ისკენ
სექცია	სე ქცი ა
პრინციპულად	პრინც იპ ულად
შეემატნენ	შეე მატ ნენ
მოხარული	მო ხარ ული
მეზღვაურების	მეზღვ აურ ების
დაფების	და ფ ების
ტერმინატორის	ტერმინ ატორ ის
მოღვაწეობამ	მოღვაწ ეობ ამ
მოდის	მ ოდ ის
აღგზნება	აღ გზნებ ა
გაჩეხვის	გაჩე ხვ ის
რონალდო	რონ ალდ ო
გრინვუდი	გრინვ უდ ი
ალაჰი	ალა ჰ ი
ქართველოლოგიის	ქართველ ოლოგი ის
მეძებარი	მე ძ ებარი
დააზარალა	დაა ზარალ ა
რეიტინგული	რეიტინგ ული
ტიბეტის	ტი ბეტ ის
ელჩობა	ელ ჩ ობა
ვაქცინის	ვაქცი ნ ის
თუთიყუშის	თუთიყუ შ ის
რომეოს	რომ ე ოს
ვულკანია	ვულკან ია
სიმპლონის	სიმპ ლონ ის
ამანში	ამ ან ში
მოგებაც	მო გებ აც
ორგანიზმებით	ორგანიზ მ ებით
ლენინი	ლენ ინ ი
გამომცემელმა	გამომცემ ელ მა
ენფილდზე	ენ ფილდ ზე
ზონასთან	ზონ ასთან
მოვლენად	მო ვლენ ად
ვადამდე	ვ ად ამდე
სიგრძივი	სი გრძ ივი
სისხლი	სისხლ ი
ფილოსოფიასთან	ფილ ოსოფი ასთან
გაჭირვებული	გაჭირ ვებ ული
დამატებას	და მატებ ას
ნახევარსფეროზე	ნახევარ სფერ ოზე
ყმა	ყ მ ა
გაბრიელის	გაბრი ელ ის
მოხატა	მო ხატ ა
სხვადასხვანაირია	სხვადა სხვანაირ ია
მეგობრულად	მეგობრ ულ ად
შეჭრილიყო	შე ჭრილ იყო
დაამონტაჟა	დაამო ნტაჟ ა
ტუპაკ	ტუპ აკ
მაიკლ	მა იკლ
აღდგომის	აღ დგომ ის
შეეყარა	შე ეყარ ა
გაჩერებული	გა ჩერებ ული
მიაკითხა	მია კითხ ა
მათრახი	მა თ რახი
დარეჯანი	დარე ჯან ი
აუტანელი	აუ ტან ელი
ასვლისას	ა სვლ ისას
სუზანა	სუ ზან ა
აკრიტიკებს	ა კრიტიკებ ს
გარსიას	გარ ს იას
ზრუნვას	ზრუნ ვ ას
მონარქიული	მონ არქი ული
სიმღერაც	სი მღერ აც
შემდგომი	შე მდგომ ი
იცოდე	იცოდ ე
თხემურ	თხ ემ ურ
მარსელ	მარ სელ
რომელთან	რომ ელ თან
უწესო	უ წეს ო
რაინდებს	რაი ნდ ებს
სახელები	სახ ელ ები
სათნოებას	სათნო ებ ას
პანორამული	პანორ ამ ული
იკისრა	ი კისრ ა
ფაშისტურ	ფაშისტ ურ
კლდეს	კლ დე ს
გამრავლება	გა მრავლებ ა
რელიქტური	რელი ქტ ური
რუმინულ	რუმ ინ ულ
სხდომას	სხ დომ ას
ჩემპიონად	ჩემპიონ ად
თანამეგობრობის	თანა მეგობრობ ის
ფენებს	ფენ ებს
ხახულის	ხა ხ ულის
კარიერაც	კარიერ აც
თანრიგში	თან რიგ ში
დაბოლოებას	და ბოლოებ ას
გადაწერილი	გადა წერილ ი
შეიკრიბნენ	შე იკრიბ ნენ
მომხდარი	მო მხდარ ი
ლარს	ლ არს
ღირებულებით	ღირ ებულებ ით
ოჯახებში	ო ჯახებ ში
კათოლიკურმა	კათოლ იკ ურმა
რგოლები	რ გოლ ები
შეეცვალათ	შეე ცვალ ათ
პილასტრით	პილ ასტრ ით
მომღერალთა	მომღერ ალ თა
რაკეტების	რა კეტ ების
რობინის	რობ ინ ის
ტომ	ტომ
ბელგრადის	ბელ გრად ის
ამხანაგური	ამხან აგ ური
მუსულმანებს	მუსულმა ნ ებს
წამის	წამ ის
სეპარატისტულ	სეპარატ ისტ ულ
აბრაამის	აბრა ამ ის
თრი	თრ ი
ვერსიად	ვერ სი ად
კრეისერი	კრეის ერ ი
