აღებაც	აღებ აც
აკვირდებოდა	აკვირდებ ოდა
უზრუნველყოს	უ ზრუნველყ ოს
ფტორიდი	ფტორი დი
შედეგებს	შედეგ ებს
არსებობენ	არსებობ ენ
ადამიანს	ადამიან ს
კანონების	კანონ ების
განხორციელება	გა ნხორციელებ ა
ინფიცირებული	ინფიცირებ ული
წინამძღვარმა	წინამძღვარ მა
მიკროტალღური	მიკროტალღ ური
რეფერენდუმში	რეფერენდუმ ში
შეადგენდეს	შეადგენ დეს
წთ	წთ
ნიჭიერი	ნიჭიერ ი
ჰამლეტი	ჰამლეტ ი
მოცემულია	მო ცემულ ია
სახეობებით	სახეობ ებით
სეიმი	სეიმ ი
განაცხადი	განაცხად ი
იუგოსლავია	იუგოსლავი ა
სტანისლავის	სტანისლავ ის
შეყვარებულები	შე ყვარებულ ები
მოსამართლედ	მო სამართლე დ
კვალს	კვალ ს
ფრინველია	ფრინველ ია
ერთპიროვნული	ერთ პიროვნულ ი
გამოჩნდნენ	გამო ჩნდ ნენ
ობიექტებია	ობიექტ ები ა
ტაივანი	ტაივან ი
სერის	სერ ის
მიზეზს	მი ზეზ ს
ბურგუნდიელის	ბურგუნდი ელის
ათწლეულებში	ა თწლეულ ებში
ცენზი	ცენზ ი
დარტყმას	დარტყმ ას
შემადგნლობა	შე მ ადგნლობ ა
აკუსტიკური	ა კუსტიკ ური
ბიუროში	ბიურო ში
ცოლის	ცოლ ის
ყარაბაღი	ყარაბაღ ი
საალყო	სა ალყ ო
ბრიტანეთისგან	ბრიტანეთ ისგან
თურქულად	თურქ ულად
ნაგები	ნაგებ ი
ევროპის	ევროპ ის
ქალზე	ქალ ზე
სათავადოს	სა თავად ოს
თაღში	თაღ ში
ჰყვარებია	ჰყ ვარებია
გაიწელა	გა ი წელ ა
მომდინარეობს	მო მდინარეობ ს
წარჩინებული	წარჩინებულ ი
ამაღლდა	ამაღლ და
მაგარ	მაგარ
ტოპოგრაფიულ	ტოპოგრაფი ულ
მკვიდრმა	მკვიდრ მა
მწვერვალისკენ	მწვერვალ ის კენ
ეფექტით	ეფექტ ით
მოქმედებამ	მოქმედებ ამ
ჯანმრთელობისა	ჯანმრთელობ ისა
არისტოკრატის	არისტოკრატი ს
მანაგუა	მანაგუ ა
ილაის	ილა ის
პირველმა	პირველ მა
მოსახლის	მო სახლ ის
მოდელმა	მოდელ მა
სვამს	სვამ ს
ხერარდო	ხერ არდ ო
შესატყვისად	შე სატყვის ად
მექანიკურ	მე ქანიკ ურ
მეტიუ	მეტ იუ
მთავრობების	მთავრობ ების
გარჩევა	გა რჩევ ა
ლოდი	ლოდი
სიმრავლეთა	სიმრავლ ეთა
სიუჟეტურად	სიუჟეტ ურად
ეთიკის	ეთიკ ის
ზოლისაგან	ზოლ ისაგან
არღუნის	არღუნ ის
ეთერზეთოვანი	ეთერ ზეთოვანი
მონიტორი	მო ნიტორ ი
კომიქსებში	კომიქს ებში
მაიკოპის	მა ი კოპ ის
ტიფის	ტიფ ის
ალტერნატივას	ალტერნატივ ას
პაუზის	პაუზ ის
გამოიყვანენ	გა მოიყვან ენ
დაწერეს	და წერ ეს
ჩინით	ჩინ ით
საკუთრებისა	საკუთრებ ისა
ჩაღრმავებულ	ჩაღრმავებ ულ
ჩჟან	ჩჟ ან
ახორციელებდა	ა ხორციელებ და
მეცხვარული	მე ცხვარ ული
სათვისტომოს	სა თვისტომ ოს
დამპყრობლები	და მპყრობლ ები
მგონია	მ გონ ია
კმაყოფილი	კმაყოფილ ი
ხარჯებით	ხარჯ ებით
გაბონის	გა ბონ ის
პატარა	პატარ ა
განივზოლიანი	განივ ზოლიანი
სიამოვნებით	სი ამოვნებ ით
განსაკუთრებულობა	განსაკუთრებულ ობა
გამაგრებულ	გა მაგრ ებულ
ლადენის	ლადენ ის
კერტის	კერტი ს
დაზავდნენ	და ზავ დნენ
კლუბებმა	კლუბ ებმა
ინდიელებთან	ინდიელ ებთან
შეჰპირდა	შე ჰპირ და
ას	ას
სიმშრალის	სი მშრალ ის
რჩევა	რჩევ ა
სერიაც	სერი აც
დანარჩენებმა	და ნარჩენ ებმა
სპექტრი	სპექტრ ი
მღვდელმა	მღვდელ მა
აღადგინოს	აღადგინ ოს
აგენტები	აგენტ ები
აბდულ	აბდულ
ვერტმფრენის	ვერტმფრენ ის
ფასადზე	ფასად ზე
სტომატოლოგიური	სტომატ ოლოგი ური
ლაბაძის	ლაბაძ ის
რუთ	რუთ
გადაეცემოდა	გა და ეცემ ოდა
სამისიონერო	სა მისიონერ ო
წარმოთქმას	წარმოთქმ ას
კატეგორიები	კატეგორი ები
შვედური	შვედ ური
უცხოა	უცხო ა
ფავორიტად	ფავორიტ ად
გააუქმეს	გა აუქმ ეს
გასათვალისწინებელია	გა სა თვალისწინ ებელი ა
პროცენტულად	პროცენტ ულად
ცხოვრების	ცხოვრებ ის
კომპანიისთვის	კომპანი ისთვის
ქართველ	ქართველ
ეკუთვნიან	ეკუთვნ იან
სახეობრივი	სახეობ რივი
დათმეს	და თმ ეს
ნოველათა	ნოველ ათა
მოსამართლემ	მო სამართლ ემ
იგულისხმებოდა	ი გულისხმ ებოდა
გარდასახვა	გა რდასახვ ა
ღეროს	ღერო ს
ჩადენსისის	ჩადენ ს ის ის
კლასიცისტური	კლას იცისტური
წერს	წერ ს
აღზარდა	აღზარდ ა
ილტოს	ილ ტოს
იუვემ	იუვე მ
ვცხოვრობთ	ვ ცხოვრობ თ
ფიზიოლოგია	ფიზიოლოგი ა
მართალი	მართალ ი
ტრანსილვანიაში	ტრანსილვან ი აში
ნინული	ნინ ული
რაიონებია	რაიონებ ია
გაბატონდნენ	გა ბატონ დნენ
ვულკანების	ვულკან ების
ფლობს	ფლობ ს
ვაშინგტონ	ვაშინგტონ
თურქმენეთის	თურქმენეთ ის
ხედვა	ხედვ ა
რჩება	რჩებ ა
მილანს	მილან ს
ხეობებით	ხეობ ებით
დაე	და ე
საგუბერნატოროდან	სა გუბერნატორ ოდან
ქვეყანამ	ქვეყანა მ
მილიონს	მილიონ ს
სიმულატორი	სიმულატორ ი
ცხადყო	ცხად ყო
კლდოვან	კლდოვან
მეტამორფული	მე ტამორფ ული
კვლევისა	კვლევ ისა
თხზავდა	თხზ ავდა
კვადრატში	კვადრატ ში
მოსამზადებლად	მო სა მზადებ ლად
შთაბეჭდილება	შთაბეჭდილებ ა
მოწმობენ	მოწმობ ენ
ბოლესლავ	ბოლესლავ
ხელში	ხელ ში
ჩარჩოებში	ჩარჩო ებში
შესწორებული	შე სწორებ ული
თანამშრომლობამ	თანამშრომლობ ამ
გამოც	გამო ც
მამიდაშვილმა	მა მი და შვილ მა
ასაკისა	ასაკ ისა
ანსამბლს	ანსამბლ ს
დასდევს	და სდევ ს
გაზი	გაზ ი
ქმნილება	ქმნილებ ა
საკითხის	საკითხ ის
მეამბოხეებმა	მე ამბოხე ებმა
ნაყოფია	ნა ყოფ ია
თუმანიშვილის	თუმანიშვილ ის
სიწმინდეს	სიწმინდ ეს
დისერტაცია	დისერტაც ია
იცვლებიან	იცვლ ებიან
ჩინელ	ჩინელ
გლობუსის	გლობუს ის
ეტლს	ეტლ ს
დაქირავების	და ქირავებ ის
მოახსენა	მო ახსენ ა
იმპერატორი	იმპერატორ ი
მოკრძალებულად	მო კრძალებულ ად
სუაჰილის	სუაჰილ ის
ქალაქებიდან	ქალაქებ იდან
ჯიშის	ჯიშ ის
კულინარიული	კულინარი ული
მიიტაცა	მი იტაც ა
კარაქის	კარაქ ის
მედიცინა	მე დიცინ ა
პავლემ	პავლ ემ
მცემ	მცემ
მკვეთრი	მკვეთრ ი
მიღებისას	მიღებ ის ას
ამშვენებდა	ა მშვენებ და
ბორუსია	ბორუს ია
მრავლობითი	მრავლობით ი
მხარეა	მხარე ა
ბოიართა	ბო იართა
ბრაიანის	ბრაიან ის
ძალაუფლებისა	ძალაუფლებ ისა
კმაყოფილია	კმაყოფილ ია
სანაოსნოა	სა ნაოსნო ა
ფიზიკისა	ფიზიკ ისა
სიერა	სიერ ა
ნიუკასლ	ნიუკასლ
იმედის	იმედ ის
შენახვა	შე ნახვ ა
მეიერსი	მე იერ სი
სახითაც	სახ ითაც
სოკოებს	სოკო ებს
შუამდე	შუ ამდე
რღვევა	რღვევ ა
მწყემსვა	მწყემს ვა
გადმოხტა	გა დმოხტ ა
ჯონსმა	ჯონს მა
ალექსანდრ	ალექსანდრ
ძროხა	ძროხ ა
არიდება	არიდებ ა
შეინიშნებოდა	შე ინიშნ ებოდა
დანესტიანების	და ნესტიან ების
ბასიანი	ბასიან ი
ფარფლი	ფარფლ ი
მესვეურები	მე სვეურ ები
თემურ	თემურ
წამყვანმა	წამყვან მა
მემამულეთა	მემამულეთა
განსამტკიცებლად	განსა მტკიცებ ლად
გაემზადა	გა ემზად ა
გადახრას	გადახრ ას
ინდონეზიას	ინდონეზი ას
გრეილსის	გრეილს ის
ელოდა	ელოდ ა
ვალი	ვალ ი
ჯამბაზები	ჯამ ბაზ ები
გამომცემლობა	გამო მცემლობ ა
ვოს	ვ ოს
წვა	წვ ა
მისი	მის ი
შემოიყვანა	შე მოიყვან ა
ვადამდელ	ვად ამდელ
ანალურ	ან ალურ
დაემთავრებინა	და ე მთავრ ებინა
შავკანიანი	შავკანიან ი
სამკურნალოდ	სა მკურნალ ოდ
თითს	თით ს
ლაითი	ლაით ი
დათვლის	და თვლ ის
სინდრომს	სინდრომ ს
ვირსალაძე	ვირ სალაძე
ტექნიკისა	ტექნიკ ისა
მწარმოებელთა	მწარმოებელ თა
ფოთლების	ფოთლებ ის
ფოსტერის	ფოსტ ერ ის
მალფოის	მალფო ის
მენაპირე	მე ნაპირ ე
კონა	კონ ა
უკნიდან	უკნ იდან
სარძევე	სა რძე ვე
დაიმზირება	და ი მზირ ება
შეავსო	შე ავს ო
მისია	მისი ა
ოსმალებს	ოსმალ ებს
შემოიღეს	შემოიღ ეს
ეროტიული	ეროტი ული
გარე	გარე
უზენაესი	უზენაეს ი
გამოკეტა	გამო კეტ ა
უილისი	უილ ის ი
მიემართა	მი ემართ ა
ესწრაფოდა	ე სწრაფ ოდა
რეიტინგში	რეიტინგ ში
დაცემა	და ცემ ა
უცვლელი	უცვლელ ი
პტოლემეს	პტოლემე ს
არქიპელაგს	არქიპელაგ ს
სოკოების	სოკო ების
პლანტაციის	პლანტაცი ის
ვარჯიში	ვარჯიშ ი
ადაპტაციას	ა და პტაცი ას
ოსლოს	ოსლო ს
დევნილობაში	დევნილ ობა ში
დიდიე	დიდ იე
ვუდი	ვუდ ი
მიუთითა	მი უ თით ა
ხელმწიფეს	ხელმწიფ ეს
ჰოფმანის	ჰოფმან ის
დეპოს	დეპ ოს
გერმანიკული	გერმანი კული
ნამუშევრებში	ნა მუშევრებ ში
ჩაიკოვსკის	ჩაიკოვსკ ის
შეაჩერა	შე აჩერ ა
მარცვლოვანი	მარცვლ ოვანი
მორთულ	მორთულ
მისული	მი ს ული
უჭირდათ	უჭირ დათ
კიშინიოვის	კიშ ინიოვის
ორკესტრისათვის	ორკესტრ ისა თვის
წაგებით	წაგებ ით
ჯეიმზმა	ჯეიმზ მა
ასლით	ასლ ით
ტყვეობას	ტყვეობ ას
ნადირობაზე	ნადირობ აზე
ორგანიზაციამ	ორგანიზაცი ამ
მკვლელს	მკვლელ ს
უწყობს	უწყობ ს
შვილისთვის	შვილ ისთვის
გადაკვეთას	გადაკვეთ ას
განურჩევლად	გა ნუ რჩევლად
მებრძოლი	მებრძოლ ი
გარეშეც	გარეშე ც
ჩემპიონატში	ჩემპიონატ ში
მსხვერპლნი	მსხვერპლ ნი
მსახიობებს	მსახიობ ებს
სივრცითი	სივრც ითი
ოციანი	ოც იანი
ქარტია	ქარტი ა
ყინულს	ყინულ ს
მოუხმო	მო უხმ ო
სისხლძარღვების	სისხლძარღვ ების
ინდექსით	ინდექს ით
პსვ	პ სვ
უპირისპირდება	უპირისპირდებ ა
ცნობიდან	ცნობ იდან
შემოდგომაზე	შემოდგომ აზე
ნარვის	ნა რვ ის
აჩვენეს	ა ჩვენ ეს
პრიზები	პრიზ ები
წარმატებებს	წარმატებ ებს
შემოგვრჩა	შე მოგვრ ჩა
მარგი	მარ გი
გვირგვინები	გვირგვინ ები
ბავშვებისა	ბავშვებ ისა
ოგადენი	ოგადენ ი
ნიმუშებს	ნიმუშებ ს
წინსვლას	წინსვლ ას
სტარმა	სტარ მა
დინასტიის	დინასტი ის
ზომის	ზომ ის
სამართლიანია	სამართლიან ია
დარიგება	და რიგებ ა
წესზე	წეს ზე
ბუდიზმის	ბუდიზმ ის
ინჟინრებს	ინჟინრ ებს
წარმოიქმნება	წარმოიქმნ ება
ყიფშიძე	ყიფშ იძე
გვიანდელი	გვიანდელ ი
სამკერვალო	სა მ კერვალ ო
წარსულში	წარსულ ში
ბიოლოგი	ბიოლოგი
ოქტომბრისათვის	ოქტომბრ ისათვის
დენვერის	დენვერ ის
კარიმ	კარ იმ
ფიგურირებს	ფიგურირებ ს
შედედების	შე დედ ების
შოპენი	შოპენ ი
თაჩდაუნი	თაჩდაუნ ი
შესწორება	შე სწორებ ა
მანჰეტენი	მა ნჰეტენ ი
მიმოხილვა	მი მოხილვ ა
უღრანი	უღ რანი
დემოგრაფიულ	დემოგრაფი ულ
მიტროპოლიტის	მი ტროპოლიტ ის
მხედრები	მხედრებ ი
ბოლოვდებოდა	ბოლოვდებ ო და
მეთოდეს	მეთოდ ეს
მოთხრობამ	მოთხრობ ამ
წარმოქმნისა	წარმოქმნ ისა
ფოცხოვის	ფოცხოვ ის
წრიდან	წრ იდან
ესხმოდნენ	ესხმ ოდნენ
ეწყობა	ეწყობ ა
ერთეულ	ერთეულ
კახეთს	კახეთ ს
მოსე	მო ს ე
შეკეთება	შე კეთებ ა
ანდერძის	ანდერძ ის
ნასახლარი	ნა სახლარ ი
ეშვება	ე შვებ ა
ძაბრის	ძაბრ ის
ვოლდემორმა	ვოლდემორ მა
ულვეუსი	ულვეუს ი
ავიაციამ	ავიაცი ამ
ივლის	ივლ ის
დავიდ	და ვიდ
გადაადგილებისას	გადაადგილებ ისას
ძეგლს	ძეგლ ს
იუსტიციის	იუსტიცი ის
არქიტრავული	არქიტრავ ული
აივერსონის	აივერსონ ის
ხარისხში	ხარისხ ში
თიბისი	თიბის ი
თხოვა	თხოვ ა
რაკეტებით	რაკეტ ებით
რეიუნიონის	რეიუნიონ ის
სტავროპოლის	სტავროპოლ ის
ბრიტანეთში	ბრიტანეთ ში
დამსახურებისათვის	და მსახურებ ისათვის
სილუეტს	სილუეტ ს
კრავს	კრავ ს
აშლენდის	აშლენდ ის
გაძარცვა	გა ძარცვ ა
მაჰმადიანთა	მაჰმადიან თა
შიფრაციის	შიფრაცი ის
გაერთიანებული	გა ერთიანებულ ი
განთავსებულია	განთავსებ ულია
საგაზეთო	სა გაზეთ ო
ლანდშაფტის	ლანდშაფტ ის
ხელმძღვანელებს	ხელმძღვანელ ებს
წყაროთი	წყაროთ ი
საკონტრაქტო	სა კონტრაქტ ო
სალომე	სალომე
დამალვის	და მალვ ის
ბატონობისგან	ბატონობ ისგან
ბარსელონამ	ბარსელონ ამ
მიედინებიან	მი ედინებ იან
ზამთარს	ზამთარ ს
წინასწარმეტყველური	წინასწარმეტყველ ური
მატერიის	მატერი ის
გაუშვა	გა უშვ ა
სარგებლობის	სა რგებლობ ის
ულავ	უ ლავ
სიყვარულითა	სი ყვარულ ით ა
სინგლებმა	სინგლ ებმა
ერთეულებად	ერთეულ ებად
ფუძემდებლის	ფუძემდებლ ის
ქცევების	ქცევ ების
აერთიანებდნენ	ა ერთიანებ დნენ
აპირებ	ა პირებ
ბარსა	ბარსა
სუონსის	სუონ ს ის
საავტომობილო	სა ავტომობილ ო
ბრალდებები	ბრალდებ ები
კუნთებს	კუნთ ებს
ნერონმა	ნერონ მა
ინტერესთა	ინტერეს თა
გადაცემები	გადაცემ ები
უყურადღებობის	უ ყურადღებ ობის
კითხვებზე	კითხვ ებზე
სენეგალის	სენეგალ ის
პირველებმა	პირველ ებმა
შესვენების	შე სვენებ ის
კატალოგი	კატალოგ ი
თვითმპყრობელობის	თვით მპყრობ ელობ ის
სტუდიამ	სტუდი ამ
იგნორირებული	იგნორირებ ული
მორისეტს	მორისეტ ს
ჰემმა	ჰემ მა
შეერთებოდნენ	შეერთ ებოდნენ
კვლევათა	კვლევ ათა
აჯანყებებს	აჯანყებ ებს
კვართის	კვართ ის
სალამურა	სა ლამურ ა
სრულყოფა	სრულყოფ ა
ხაზზეა	ხაზ ზე ა
დამპყრობლების	და მპყრობლ ების
ბათილად	ბათი ლად
უამბო	უ ამბო
ოდნავი	ოდნავ ი
განიხილა	გა ნიხილ ა
შერბილდა	შე რბილ და
სახელობის	სახელობ ის
ასტრონომი	ასტრონომ ი
ზურგის	ზურგ ის
რაბინის	რაბინ ის
სასახლეთა	სასახლე თა
გათხოვების	გა თხოვ ების
ბოკასას	ბოკას ას
ამირამ	ამირ ამ
მარიამის	მარიამ ის
განაწილებაზე	გა ნაწილებ აზე
თვიანი	თვ იანი
ვებგვერდის	ვებგვერდ ის
მიურატი	მი ურატ ი
აკადემიკოსის	აკადემიკოს ის
დაბალია	და ბალ ია
სპასალარი	სპასალარ ი
სახელწოდებები	სა ხელწოდებ ები
დაამტკიცოს	და ამტკიც ოს
მესინაში	მე სინ აში
სადისერტაციო	სა დისერტაც ი ო
აფხაზ	აფხაზ
კინო	კინ ო
პოლიციაში	პოლიცი აში
ფრიდრიხის	ფრიდრიხ ის
თესლის	თესლ ის
ატოლი	ატოლ ი
ისტორიკოსებმა	ისტორიკოს ებმა
დაკვირვებით	დაკვირვებ ით
ნარუტო	ნარუტო
გამოყენების	გამო ყენებ ის
გორგიჯანიძე	გორგიჯანიძ ე
დაფუძნებით	და ფუძნებ ით
სკორსეზეს	სკორსე ზე ს
მაკედონია	მაკედონ ია
აფსარის	აფსარ ის
რუბლის	რუბლი ს
ზოლი	ზოლ ი
ევროატლანტიკურ	ევრო ატლანტ იკურ
შეფასებაში	შე ფასებ აში
გასტროლებით	გა სტროლებ ით
საკრავების	საკრავ ების
ფრანგულში	ფრანგულ ში
აჯანყებისა	აჯანყებ ისა
შრომა	შრომ ა
დეკორაციულ	დეკორაცი ულ
აყენებდა	ა ყენებ და
ვანდა	ვანდ ა
პორტუგალიელი	პორტუგალიელ ი
აღმსარებელი	აღმსარ ებელი
რევოლუციურად	რევოლუცი ურად
ექადიის	ე ქადი ის
გამოიგონა	გამო იგონ ა
მედიჩის	მედიჩ ის
ჩანაწერებისა	ჩანაწერებ ისა
სემინარის	სემინარი ს
წარმოიქმნა	წარმოიქმნ ა
სასიამოვნოა	სა სიამოვნო ა
თავისებურებების	თავისებურებ ების
რეპორტიორი	რე პორტიორი
ატმოსფეროზე	ატმოსფერ ო ზე
ხედავდა	ხედავ და
მუსიკალური	მუსიკალურ ი
ითავსებს	ითავს ებს
მტკივნეულია	მტკივნეულ ია
კლასები	კლას ები
შოუებზე	შოუ ებზე
მანძილი	მანძილ ი
რეგიონებიდან	რეგიონებ იდან
ჩამოართვეს	ჩამოართვ ეს
პრუტის	პრუტ ის
კოლხური	კოლხ ური
ხარვეზების	ხარვეზ ების
ორმხრივ	ორმხრივ
ყავა	ყავ ა
შემოტევას	შემოტევ ას
შექმნიდა	შე ქმნი და
ალფონს	ალფონს
დიმა	დი მა
ეფრონის	ე ფრონ ის
შესრულდა	შე სრულდ ა
პრაღაში	პრაღ აში
ენერგეტიკაში	ენერგეტიკ აში
მოხდის	მო ხდ ის
ახლით	ახლ ით
რეესტრში	რეესტრ ში
ჩაიწეროს	ჩაიწერ ო ს
ბრძოლისა	ბრძოლ ისა
ერთეულის	ერთეულ ის
ბუდისტები	ბუდისტ ები
წარმოქმნიან	წარმოქმნ იან
ირწმუნეს	ირწმუნ ეს
დანაკარგის	და ნაკარგ ის
შეიქმნება	შე იქმნ ება
ნომერ	ნომერ
ლაზერული	ლაზერ ული
ნოტები	ნოტ ები
ფორუმები	ფორუმ ები
გადმოიტანეს	გა დმოიტან ეს
მოეთხოვა	მო ეთხოვ ა
აფსიდს	აფსიდ ს
სიმღერებისგან	სიმღერებ ისგან
სტუდენტებისთვის	სტუდენტ ების თვის
შენარჩუნებაზე	შე ნარჩუნებ აზე
ერთგვარად	ერთგვარ ად
წყლის	წყლ ის
ხმელეთიდან	ხმელეთ იდან
მილიონიანი	მილიონ იანი
გარდაცვლილა	გა რდაცვლილ ა
პალესტინელი	პალესტინ ელი
დინამო	დინამო
იკავებენ	იკავ ებენ
მადრიდის	მადრიდ ის
საზოგადოებისაგან	სა ზოგადოებ ისაგან
ჰიპოფიზის	ჰიპოფიზ ის
იცოდე	იცოდ ე
მუშკეტერი	მუშკეტერ ი
ოკეანეებს	ოკეანე ებს
დაიცვა	და იცვ ა
გონივრული	გონივრულ ი
მეტალების	მეტალ ების
არასაკმარისად	არასაკმარის ად
გადაწყვეტილებით	გა და წყვეტილებ ით
დაიჭირა	და იჭირ ა
სინ	სინ
ჯაზის	ჯაზ ის
