აღებაც	აღებ აც
ივლისს	ივლის ს
თანამედროვეთა	თანამედროვ ეთა
პრეზიდენტებს	პრეზიდენტ ებს
აკვირდებოდა	აკვირდ ებ ო და
უზრუნველყოს	უ ზრუნველყ ო ს
ფტორიდი	ფტორ იდ ი
შედეგებს	შედეგ ებს
არსებობენ	არსებ ო ბენ
ადამიანს	ადამიან ს
კანონების	კანონ ების
განხორციელება	განხორციელ ება
ინფიცირებული	ინფიც ირებ ული
წინამძღვარმა	წინამ ძღვარ მა
მიკროტალღური	მიკრო ტალღ ური
რეფერენდუმში	რეფერენდუმ ში
შეადგენდეს	შეადგენ დე ს
წთ	წთ
ნიჭიერი	ნიჭიერ ი
ჰამლეტი	ჰამლეტ ი
მოცემულია	მო ცემულ ია
სახეობებით	სახეობ ებ ით
სეიმი	სეიმ ი
განაცხადი	გა ნა ცხად ი
იუგოსლავია	იუგოსლავ ია
სტანისლავის	სტანისლავ ის
შეყვარებულები	შე ყვარებულ ები
მოსამართლედ	მო სა მართლ ედ
კვალს	კვალ ს
ფრინველია	ფრინველ ი ა
ერთპიროვნული	ერთპიროვნ ული
გამოჩნდნენ	გამო ჩნდ ნენ
ობიექტებია	ობიექტ ები ა
ტაივანი	ტაივან ი
სერის	სერ ის
მიზეზს	მიზეზ ს
ბურგუნდიელის	ბურგუნდი ელ ის
ათწლეულებში	ათწლეულ ებ ში
ცენზი	ცენზ ი
დარტყმას	დარტყმ ას
შემადგნლობა	შე მა დგნლ ობ ა
აკუსტიკური	აკუსტიკ ური
ბიუროში	ბიურო ში
ცოლის	ცოლ ის
ყარაბაღი	ყარაბაღ ი
საალყო	სა ალყ ო
ბრიტანეთისგან	ბრიტანეთ ის გან
თურქულად	თურქ ულად
ნაგები	ნაგ ები
ევროპის	ევროპ ის
ქალზე	ქალ ზე
სათავადოს	სა თავად ო ს
თაღში	თაღ ში
ჰყვარებია	ჰ ყვარ ები ა
გაიწელა	გა იწელ ა
მომდინარეობს	მო მდინარეობ ს
წარჩინებული	წარჩინებულ ი
ამაღლდა	ა მაღლ და
მაგარ	მაგარ
ტოპოგრაფიულ	ტოპოგრაფ ი ულ
მკვიდრმა	მკვიდრ მა
მწვერვალისკენ	მწვერვალ ის კენ
ეფექტით	ეფექტ ით
მოქმედებამ	მოქმედებ ამ
ჯანმრთელობისა	ჯანმრთელობ ისა
არისტოკრატის	არისტოკრატ ის
მანაგუა	მანაგუ ა
ილაის	ილა ის
პირველმა	პირველ მა
მოსახლის	მო სახლ ის
მოდელმა	მოდელ მა
სვამს	სვამ ს
ხერარდო	ხერ არდო
შესატყვისად	შე სატყვის ად
მექანიკურ	მე ქანიკ ურ
მეტიუ	მეტ ი უ
მთავრობების	მთავრობ ების
გარჩევა	გა რჩევ ა
ლოდი	ლოდ ი
სიმრავლეთა	სიმრავლ ეთა
სიუჟეტურად	სიუჟეტ ურ ად
ეთიკის	ეთიკ ის
ზოლისაგან	ზოლ ისა გან
არღუნის	არღუნ ის
ეთერზეთოვანი	ეთერზეთ ოვან ი
მონიტორი	მონიტორ ი
კომიქსებში	კომიქს ებ ში
მაიკოპის	მა ი კოპ ის
ტიფის	ტიფ ის
ალტერნატივას	ალტერნატივ ას
პაუზის	პაუზ ის
გამოიყვანენ	გა მოიყვან ენ
დაწერეს	და წერ ეს
ჩინით	ჩინ ით
საკუთრებისა	საკუთრ ების ა
ჩაღრმავებულ	ჩაღრმავებულ
ჩჟან	ჩჟ ან
ახორციელებდა	ახორციელ ებდა
მეცხვარული	მე ცხვარ ული
სათვისტომოს	სა თვისტომ ო ს
დამპყრობლები	და მპყრობლ ები
მგონია	მგონ ია
კმაყოფილი	კმაყოფილ ი
ხარჯებით	ხარჯ ებ ით
გაბონის	გა ბონ ის
პატარა	პატარ ა
განივზოლიანი	განივზოლ იან ი
სიამოვნებით	სიამოვნ ებ ით
განსაკუთრებულობა	გა ნსაკუთრებულ ობ ა
გამაგრებულ	გა მაგრ ებულ
ლადენის	ლადენ ის
კერტის	კერტ ის
დაზავდნენ	და ზავ დნენ
კლუბებმა	კლუბ ებ მა
ინდიელებთან	ინდიელ ებთან
შეჰპირდა	შე ჰპირდ ა
ას	ას
სიმშრალის	სი მშრალ ის
რჩევა	რჩევ ა
სერიაც	სერი აც
დანარჩენებმა	და ნარჩენ ებ მა
სპექტრი	სპექტრ ი
მღვდელმა	მღვდელ მა
აღადგინოს	აღადგინ ო ს
აგენტები	აგენტ ები
აბდულ	აბდ ულ
ვერტმფრენის	ვერტმფრენ ის
ფასადზე	ფასად ზე
სტომატოლოგიური	სტომატ ოლოგი ური
ლაბაძის	ლაბ აძ ის
რუთ	რუ თ
გადაეცემოდა	გა და ეცემ ო და
სამისიონერო	სა მი სიონერ ო
წარმოთქმას	წარმოთქმ ას
კატეგორიები	კატეგორი ები
შვედური	შვედ ური
უცხოა	უცხო ა
ფავორიტად	ფავორიტ ად
გააუქმეს	გა ა უქმ ეს
გასათვალისწინებელია	გა სა თვალისწინ ებელ ია
პროცენტულად	პროცენტ ულად
ცხოვრების	ცხოვრებ ის
კომპანიისთვის	კომპანი ის თვის
ქართველ	ქართველ
ეკუთვნიან	ეკუთვნ იან
სახეობრივი	სახეობ რივი
დათმეს	და თმ ეს
ნოველათა	ნოველ ა თა
მოსამართლემ	მო სა მართლ ემ
იგულისხმებოდა	ი გულისხმ ებ ო და
გარდასახვა	გარ და სახვ ა
ღეროს	ღერ ო ს
ჩადენსისის	ჩადენ ს ის ის
კლასიცისტური	კლასიც ისტ ური
წერს	წერ ს
აღზარდა	აღ ზარდ ა
ილტოს	ილტ ო ს
იუვემ	იუვ ემ
ვცხოვრობთ	ვ ცხოვრობ თ
ფიზიოლოგია	ფიზიოლოგი ა
მართალი	მართალ ი
ტრანსილვანიაში	ტრანსილვან ი აში
ნინული	ნინ ული
რაიონებია	რაიონ ები ა
გაბატონდნენ	გაბატონ დნენ
ვულკანების	ვულკან ების
ფლობს	ფლ ობ ს
ვაშინგტონ	ვაშინგტონ
თურქმენეთის	თურქმენეთ ის
ხედვა	ხედვ ა
რჩება	რჩ ება
მილანს	მილან ს
ხეობებით	ხეობ ებ ით
დაე	და ე
საგუბერნატოროდან	სა გუბერნატორ ო დან
ქვეყანამ	ქვეყან ამ
მილიონს	მილიონ ს
სიმულატორი	სიმულ ატორ ი
ცხადყო	ცხად ყო
კლდოვან	კლდოვან
მეტამორფული	მეტამორფ ული
კვლევისა	კვლევ ის ა
თხზავდა	თხზ ავ და
კვადრატში	კვადრატ ში
მოსამზადებლად	მო სა მზად ებლ ად
შთაბეჭდილება	შთაბეჭდილ ება
მოწმობენ	მოწმ ო ბენ
ბოლესლავ	ბოლესლავ
ხელში	ხელ ში
ჩარჩოებში	ჩარჩო ებ ში
შესწორებული	შე სწორ ებ ული
თანამშრომლობამ	თანამშრომლობ ამ
გამოც	გამო ც
მამიდაშვილმა	მა მი და შვილ მა
ასაკისა	ასაკ ის ა
ანსამბლს	ანსამბლ ს
დასდევს	და სდევ ს
გაზი	გაზ ი
ქმნილება	ქმნილებ ა
საკითხის	საკითხ ის
მეამბოხეებმა	მე ამბოხ ეებ მა
ნაყოფია	ნაყოფ ია
თუმანიშვილის	თუმან იშვილ ის
სიწმინდეს	სიწმინდ ეს
დისერტაცია	დისერტაცი ა
იცვლებიან	იცვლ ები ა ნ
ჩინელ	ჩინელ
გლობუსის	გლობუს ის
ეტლს	ეტლ ს
დაქირავების	და ქირავ ების
მოახსენა	მო ახსენ ა
იმპერატორი	ი მპერატორ ი
მოკრძალებულად	მოკრძალებულ ად
სუაჰილის	სუაჰილ ის
ქალაქებიდან	ქალაქ ებ იდან
ჯიშის	ჯიშ ის
კულინარიული	კულინარ ი ული
მიიტაცა	მი იტაც ა
კარაქის	კარაქ ის
მედიცინა	მედიცინ ა
პავლემ	პავლ ემ
მცემ	მცემ
მკვეთრი	მკვეთრ ი
მიღებისას	მიღებ ის ას
ამშვენებდა	ა მშვენ ებდა
ბორუსია	ბორუს ი ა
მრავლობითი	მრავლ ობითი
მხარეა	მხარე ა
ბოიართა	ბოიარ თა
ბრაიანის	ბრაიან ის
ძალაუფლებისა	ძალაუფლებ ისა
კმაყოფილია	კმაყოფილ ია
სანაოსნოა	სა ნაოსნ ო ა
ფიზიკისა	ფიზიკ ის ა
სიერა	სი ერ ა
ნიუკასლ	ნიუკასლ
იმედის	იმედ ის
შენახვა	შე ნახვ ა
მეიერსი	მე იერს ი
სახითაც	სახ ით აც
სოკოებს	სოკო ებს
შუამდე	შუ ამდე
რღვევა	რღვევ ა
მწყემსვა	მწყემს ვა
გადმოხტა	გა დ მო ხტ ა
ჯონსმა	ჯონს მა
ალექსანდრ	ა ლექსანდრ
ძროხა	ძროხ ა
არიდება	არიდ ება
შეინიშნებოდა	შე ინიშნ ებ ო და
დანესტიანების	და ნესტიან ების
ბასიანი	ბასიან ი
ფარფლი	ფარფლ ი
მესვეურები	მე სვეურ ები
თემურ	თემ ურ
წამყვანმა	წამყვან მა
მემამულეთა	მე მამულ ეთა
განსამტკიცებლად	გან სა მტკიცებ ლად
გაემზადა	გა ემზად ა
გადახრას	გა დახრ ას
ინდონეზიას	ინდონეზ ია ს
გრეილსის	გრეილს ის
ელოდა	ელოდ ა
ვალი	ვალ ი
ჯამბაზები	ჯამბაზ ები
გამომცემლობა	გამო მცემლობ ა
ვოს	ვ ო ს
წვა	წ ვა
მისი	მი ს ი
შემოიყვანა	შე მოიყვან ა
ვადამდელ	ვად ამდელ
ანალურ	ანალ ურ
დაემთავრებინა	და ე მთავრ ები ნა
შავკანიანი	შავკანიან ი
სამკურნალოდ	სა მკურნალ ოდ
თითს	თით ს
ლაითი	ლა ით ი
დათვლის	და თვლ ის
სინდრომს	სინდრომ ს
ვირსალაძე	ვირსალ ა ძე
ტექნიკისა	ტექნიკ ისა
მწარმოებელთა	მწარმოებელ თა
ფოთლების	ფოთლ ების
ფოსტერის	ფოსტ ერ ის
მალფოის	მალფო ის
მენაპირე	მე ნაპირ ე
კონა	კონ ა
უკნიდან	უ კნ იდან
სარძევე	სა რძე ვე
დაიმზირება	დაი მზირ ება
შეავსო	შე ავს ო
მისია	მის ია
ოსმალებს	ოსმალ ებს
შემოიღეს	შემოიღ ეს
ეროტიული	ეროტ ი ული
გარე	გარე
უზენაესი	უზენაეს ი
გამოკეტა	გამო კეტ ა
უილისი	უილ ის ი
მიემართა	მი ემართ ა
ესწრაფოდა	ე სწრაფ ო და
რეიტინგში	რეიტინგ ში
დაცემა	დაცემ ა
უცვლელი	უცვლელ ი
პტოლემეს	პტოლემ ეს
არქიპელაგს	არქიპელაგ ს
სოკოების	სოკო ების
პლანტაციის	პლანტაცი ის
ვარჯიში	ვარჯიშ ი
ადაპტაციას	ადაპტაცი ას
ოსლოს	ოსლო ს
დევნილობაში	დევნილ ობ აში
დიდიე	დიდ ი ე
ვუდი	ვუდ ი
მიუთითა	მი უთით ა
ხელმწიფეს	ხელმწიფ ეს
ჰოფმანის	ჰოფმან ის
დეპოს	დეპ ო ს
გერმანიკული	გერმანიკ ული
ნამუშევრებში	ნა მუშევ რ ებ ში
ჩაიკოვსკის	ჩა იკოვსკ ის
შეაჩერა	შეაჩერ ა
მარცვლოვანი	მარცვლოვან ი
მორთულ	მორთულ
მისული	მის ული
უჭირდათ	უჭირ და თ
კიშინიოვის	კიშინიოვ ის
ორკესტრისათვის	ორკესტრ ი სათვის
წაგებით	წაგებ ით
ჯეიმზმა	ჯეიმზ მა
ასლით	ასლ ით
ტყვეობას	ტყვეობ ას
ნადირობაზე	ნადირობ ა ზე
ორგანიზაციამ	ორგანიზაცი ამ
მკვლელს	მკვლელ ს
უწყობს	უწყ ობ ს
შვილისთვის	შვილ ის თვის
გადაკვეთას	გა და კვეთ ას
განურჩევლად	გან უ რჩევ ლად
მებრძოლი	მებრძოლ ი
გარეშეც	გარეშე ც
ჩემპიონატში	ჩემპიონატ ში
მსხვერპლნი	მსხვერპლ ნი
მსახიობებს	მ სახიობ ებს
სივრცითი	სივრც ით ი
ოციანი	ოც იან ი
ქარტია	ქარტი ა
ყინულს	ყინულ ს
მოუხმო	მო უხმ ო
სისხლძარღვების	სი სხლძარღვ ების
ინდექსით	ინდექს ით
პსვ	პ სვ
უპირისპირდება	უპირისპირდ ება
ცნობიდან	ცნობ იდან
შემოდგომაზე	შემოდგომ ა ზე
ნარვის	ნა რვ ის
აჩვენეს	აჩვენ ეს
პრიზები	პრიზ ები
წარმატებებს	წარმატებ ებს
შემოგვრჩა	შემო გვ რჩ ა
მარგი	მარგ ი
გვირგვინები	გვირგვინ ები
ბავშვებისა	ბავშვ ების ა
ოგადენი	ოგადენ ი
ნიმუშებს	ნიმუშ ებს
წინსვლას	წინსვლ ას
სტარმა	სტარ მა
დინასტიის	დინასტი ის
ზომის	ზომ ის
სამართლიანია	სამართლიან ია
დარიგება	და რიგებ ა
წესზე	წეს ზე
ბუდიზმის	ბუდიზმ ის
ინჟინრებს	ინჟინრ ებს
წარმოიქმნება	წარმოიქმნ ება
ყიფშიძე	ყიფ ში ძ ე
გვიანდელი	გვიანდ ელ ი
სამკერვალო	სა მ კერვალ ო
წარსულში	წარსულ ში
ბიოლოგი	ბიოლოგი
ოქტომბრისათვის	ოქტომბრ ი სათვის
დენვერის	დენვერ ის
კარიმ	კარ იმ
ფიგურირებს	ფიგურირ ებს
შედედების	შე დედ ების
შოპენი	შოპენ ი
თაჩდაუნი	თა ჩ და უნ ი
შესწორება	შე სწორ ება
მანჰეტენი	მა ნჰეტენ ი
მიმოხილვა	მი მო ხილვ ა
უღრანი	უღრან ი
დემოგრაფიულ	დემოგრაფ ი ულ
მიტროპოლიტის	მი ტროპოლიტ ის
მხედრები	მხედრ ები
ბოლოვდებოდა	ბოლოვ დებოდა
მეთოდეს	მეთოდ ეს
მოთხრობამ	მო თხრობ ამ
წარმოქმნისა	წარმოქმნ ისა
ფოცხოვის	ფოცხოვ ის
წრიდან	წრ იდან
ესხმოდნენ	ესხმ ოდნენ
ეწყობა	ეწყ ობ ა
ერთეულ	ერთეულ
კახეთს	კახეთ ს
მოსე	მოს ე
შეკეთება	შე კეთებ ა
ანდერძის	ანდერძ ის
ნასახლარი	ნა სახლ არი
ეშვება	ეშვ ება
ძაბრის	ძაბრ ის
ვოლდემორმა	ვოლდემორ მა
ულვეუსი	ულვეუს ი
ავიაციამ	ავიაცი ამ
ივლის	ივლის
დავიდ	და ვიდ
გადაადგილებისას	გა და ადგილ ების ას
ძეგლს	ძეგლ ს
იუსტიციის	იუსტიცი ის
არქიტრავული	არქიტრავ ული
აივერსონის	აივერსონ ის
ხარისხში	ხარისხ ში
თიბისი	თიბ ის ი
თხოვა	თხოვ ა
რაკეტებით	რაკეტ ებ ით
რეიუნიონის	რეიუნ ი ონ ის
სტავროპოლის	სტავრ ო პოლ ის
ბრიტანეთში	ბრიტანეთ ში
დამსახურებისათვის	და მსახურებ ი სათვის
სილუეტს	სილუეტ ს
კრავს	კრავ ს
აშლენდის	აშ ლენდ ის
გაძარცვა	გა ძარცვ ა
მაჰმადიანთა	მაჰმად იანთა
შიფრაციის	შიფრაცი ის
გაერთიანებული	გა ერთიანებ ული
განთავსებულია	განთავს ებულ ია
საგაზეთო	სა გაზეთ ო
ლანდშაფტის	ლანდშაფტ ის
ხელმძღვანელებს	ხელმძღვანელ ებს
წყაროთი	წყარო თი
საკონტრაქტო	სა კონტრაქტ ო
სალომე	სალომე
დამალვის	დამალვ ის
ბატონობისგან	ბატონობ ის გან
ბარსელონამ	ბარსელონ ამ
მიედინებიან	მი ედინებ იან
ზამთარს	ზამთარ ს
წინასწარმეტყველური	წინა სწარმეტყველ ური
მატერიის	მატერი ის
გაუშვა	გა უშვ ა
სარგებლობის	სა რგებლ ობ ის
ულავ	ულავ
სიყვარულითა	სიყვარულ ით ა
სინგლებმა	სინგლ ებ მა
ერთეულებად	ერთეულ ება დ
ფუძემდებლის	ფუძემდებლ ის
ქცევების	ქცევ ების
აერთიანებდნენ	ა ერთიანებ დნენ
აპირებ	აპირებ
ბარსა	ბ ა რ სა
სუონსის	სუონ ს ის
საავტომობილო	სა ავტომობილ ო
ბრალდებები	ბრალდებ ები
კუნთებს	კუნთ ებს
ნერონმა	ნერონ მა
ინტერესთა	ინტერეს თა
გადაცემები	გადაცემ ები
უყურადღებობის	უ ყურადღებ ობ ის
კითხვებზე	კითხვ ებ ზე
სენეგალის	სენეგალ ის
პირველებმა	პირველ ებ მა
შესვენების	შე სვენებ ის
კატალოგი	კატალოგ ი
თვითმპყრობელობის	თვით მპყრობელ ობ ის
სტუდიამ	სტუდი ამ
იგნორირებული	იგნორ ირებ ული
მორისეტს	მო რისეტ ს
ჰემმა	ჰემ მა
შეერთებოდნენ	შეერთ ებ ოდნენ
კვლევათა	კვლევ ა თა
აჯანყებებს	აჯანყებ ებს
კვართის	კვართ ის
სალამურა	სა ლამურ ა
სრულყოფა	სრულყოფ ა
ხაზზეა	ხაზ ზე ა
დამპყრობლების	და მპყრობლ ების
ბათილად	ბათილ ად
უამბო	უ ამბ ო
ოდნავი	ოდნავ ი
განიხილა	განიხილ ა
შერბილდა	შე რბილ და
სახელობის	სახელ ობ ის
ასტრონომი	ასტრონომ ი
ზურგის	ზურგ ის
რაბინის	რაბინ ის
სასახლეთა	სა სახლე თა
გათხოვების	გათხოვ ების
ბოკასას	ბოკას ას
ამირამ	ამირ ამ
მარიამის	მარიამ ის
განაწილებაზე	გა ნაწილებ ა ზე
თვიანი	თვიან ი
ვებგვერდის	ვებგვერდ ის
მიურატი	მიურატ ი
აკადემიკოსის	აკადემიკოს ის
დაბალია	დაბალ ია
სპასალარი	სპასალარ ი
სახელწოდებები	სა ხელწოდებ ები
დაამტკიცოს	და ამტკიც ო ს
მესინაში	მე სინ ა ში
სადისერტაციო	სა დისერტაცი ო
აფხაზ	აფხაზ
კინო	კინო
პოლიციაში	პოლიცი აში
ფრიდრიხის	ფრიდრიხ ის
თესლის	თესლ ის
ატოლი	ატოლ ი
ისტორიკოსებმა	ი სტორიკოს ებ მა
დაკვირვებით	დაკვირვებ ით
ნარუტო	ნარუტ ო
გამოყენების	გამო ყენებ ის
გორგიჯანიძე	გორგიჯანიძ ე
დაფუძნებით	დაფუძნ ებ ით
სკორსეზეს	სკორსეზ ეს
მაკედონია	მაკედონ ია
აფსარის	აფსარ ის
რუბლის	რუბლი ს
ზოლი	ზოლ ი
ევროატლანტიკურ	ევრო ატლანტ ი კურ
შეფასებაში	შეფას ება ში
გასტროლებით	გა სტროლებ ით
საკრავების	საკრავ ების
ფრანგულში	ფრანგულ ში
აჯანყებისა	აჯანყებ ისა
შრომა	შრომ ა
დეკორაციულ	დეკორაცი ულ
აყენებდა	აყენ ებდა
ვანდა	ვანდ ა
პორტუგალიელი	პორტუგალიელ ი
აღმსარებელი	აღმსარ ებელ ი
რევოლუციურად	რევოლუცი ურ ად
ექადიის	ექადი ის
გამოიგონა	გამო იგონ ა
მედიჩის	მედიჩ ის
ჩანაწერებისა	ჩანაწერ ების ა
სემინარის	სემინარ ის
წარმოიქმნა	წარმოიქმნ ა
სასიამოვნოა	სა სიამოვნ ო ა
თავისებურებების	თავისებურებ ების
რეპორტიორი	რეპორტ ი ორ ი
ატმოსფეროზე	ატმოსფერ ო ზე
ხედავდა	ხედავ და
მუსიკალური	მუსიკალურ ი
ითავსებს	ითავს ებს
მტკივნეულია	მტკივნე ული ა
კლასები	კლას ები
შოუებზე	შოუ ებ ზე
მანძილი	მანძილ ი
რეგიონებიდან	რეგიონ ებ იდან
ჩამოართვეს	ჩამოართვ ეს
პრუტის	პრ უტ ის
კოლხური	კოლხ ური
ხარვეზების	ხარვეზ ების
ორმხრივ	ორმხრივ
ყავა	ყავ ა
შემოტევას	შემოტევ ას
შექმნიდა	შექმნ ი და
ალფონს	ალფონ ს
დიმა	დი მა
ეფრონის	ე ფრონ ის
შესრულდა	შესრულ და
პრაღაში	პრაღ აში
ენერგეტიკაში	ენერგეტიკ ა ში
მოხდის	მო ხდ ის
ახლით	ახლ ით
რეესტრში	რეესტრ ში
ჩაიწეროს	ჩაიწერ ო ს
ბრძოლისა	ბრძოლ ის ა
ერთეულის	ერთეულ ის
ბუდისტები	ბუდისტ ები
წარმოქმნიან	წარმოქმნ იან
ირწმუნეს	ირწმუნ ეს
დანაკარგის	და ნა კარგ ის
შეიქმნება	შე იქმნ ება
ნომერ	ნომერ
ლაზერული	ლაზერ ული
ნოტები	ნოტ ები
ფორუმები	ფორუმ ები
გადმოიტანეს	გა დ მო იტან ეს
მოეთხოვა	მო ეთხოვ ა
აფსიდს	აფსიდ ს
სიმღერებისგან	სიმღერ ების გან
სტუდენტებისთვის	სტუდენტ ების თვის
შენარჩუნებაზე	შე ნარჩუნ ება ზე
ერთგვარად	ერთგვარ ად
წყლის	წყლ ის
ხმელეთიდან	ხმელეთ იდან
მილიონიანი	მილიონ იან ი
გარდაცვლილა	გა რდაცვლილ ა
პალესტინელი	პალესტინ ელ ი
დინამო	დინამო
იკავებენ	იკავ ებენ
მადრიდის	მა დრიდ ის
