გამოსხივება	გამოსხივ ებ ა
იდეოლოგია	იდე ოლოგი ა
წმიდანს	წმიდ ან ს
საყლაპავი	სა ყლაპავ ი
ფრანცისკო	ფრანცი სკ ო
წყევლის	წყევლ ის
თრაინ	თრ აინ
მისალმების	მი სალმ ების
ნოვიცკი	ნოვიც კ ი
წაყენებული	წა ყენებ ული
სამკაულებს	სამკაულ ებს
ცვლილებათა	ცვლ ილებ ათა
თავად	თა ვად
შეთანხმდა	შე თანხმდ ა
ჟორჟი	ჟორ ჟ ი
პოლმა	პოლ მა
კარლს	კარ ლ ს
ურთიერთობაზე	ურთიერთ ობ აზე
შთამომავალს	შთამო მავალ ს
სერვერიდან	სერვ ერ იდან
თინათინი	თინათ ინ ი
მაიკროსოფტმა	მაიკროსო ფტ მა
დაკანონდა	და კანონ და
ანგელოზმა	ანგელოზ მა
ფუს	ფუ ს
წუთით	წ უთ ით
პაციენტები	პაცი ენტ ები
პირად	პირ ად
ჯონის	ჯო ნ ის
ქვაც	ქვ აც
ბესტი	ბე სტ ი
სულიერ	სული ერ
წამოწეული	წამო წეულ ი
დიდებულები	დიდ ებულ ები
ისტორიამ	ისტორი ამ
რეზონანსი	რეზონა ნსი
ფრონტონის	ფრონ ტონ ის
ვარშავა	ვარ შავ ა
სანდრა	სა ნდრ ა
ასპირანტი	ას პირანტი
ინვალიდის	ინვალი დ ის
ამოღებულ	ამო ღებ ულ
გავდა	გავ და
პარკისა	პარ კ ისა
სართავი	სა რთავ ი
მშენებარე	მ შენებ არე
ფოტონის	ფოტო ნ ის
წესი	წეს ი
ხოტბა	ხოტ ბ ა
ციკლონების	ციკლონ ების
ამინდში	ამი ნდ ში
წყლისთვის	წყლ ისთვის
კანტონების	კან ტონ ების
აზნაურების	აზნაურ ების
გოლიათი	გოლ იათ ი
აუხსნელი	აუ ხსნ ელი
კენტის	კენტ ის
ვარსკვლავთკარიბჭე	ვარსკვლავთ კარიბჭ ე
ბოშების	ბო შ ების
ტიურინგის	ტიურ ინგ ის
გურჯი	გურ ჯი
ჩემპიონობისათვის	ჩემპიონ ობ ისათვის
კერნის	კერ ნ ის
დათოსაც	დათ ო საც
ბირჟის	ბირჟ ის
ოცდამერვე	ოცდა მე რვე
არსენის	არ სენ ის
ბრუნვა	ბრუნ ვ ა
კვარტეტი	კვარ ტეტ ი
წამოწყება	წამო წყებ ა
ტიტველი	ტიტ ველ ი
პროცესი	პროცეს ი
აყვავების	ა ყვავ ების
გუსტავი	გუსტ ავ ი
სტაბილური	სტაბილურ ი
ცენტურიონი	ცენტურ იონ ი
ბამბის	ბ ამბ ის
ვირს	ვირ ს
მდგომარეობაშია	მდგომარე ობ აშია
ღრუში	ღ რუ ში
ბრძენმა	ბრ ძენ მა
ტონაზე	ტონ აზე
კარზეც	კარ ზეც
ფოტოსინთეზის	ფოტო სინთეზის
ღვთაებრივ	ღვთა ებ რივ
სპარტა	ს პარტ ა
დაბინძურებულ	დაბინძურ ებ ულ
იაპ	ი აპ
კვარტლები	კვარტ ლ ები
ენერგიით	ენერგ ი ით
სისხლისსამართლებრივი	სისხლისსა მართლებრივ ი
იუდეველებმა	იუდევ ელ ებმა
დადგინდეს	დადგინ დ ეს
ნუსხურსა	ნუს ხურ სა
მყინვარი	მ ყინვარ ი
ცდები	ცდ ები
გველების	გ ველ ების
შენების	შენებ ის
დავითნი	დავით ნი
ჩირი	ჩ ირ ი
სატვირთო	სა ტვირთ ო
ამაში	ამ აში
ბრაუნი	ბრა უნ ი
მიუსაჯა	მიუ საჯ ა
ეთიკა	ეთ იკ ა
ბინ	ბინ
ტერასა	ტერ ას ა
ველური	ველ ური
სისტემატიკის	სისტემ ატიკ ის
ასკეტური	ას კეტ ური
ზომამ	ზომ ამ
თანაგუნდელები	თანაგუ ნდელ ები
უშაქრო	უ შაქრ ო
მიიჩნიეს	მიი ჩნი ეს
მუსიკასა	მუს იკ ასა
ბარდა	ბარ და
თეთრკანიანები	თეთრ კანიან ები
ლეიბლებზე	ლეი ბლ ებზე
აინტერესებდათ	ა ინტერესებ დათ
თებერვლისთვის	თებერვ ლ ისთვის
სისტემებთან	სისტემ ებთან
შეეთავაზებინა	შეე თავაზებ ინა
ბადალი	ბად ალი
გასაყიდი	გასა ყიდ ი
მთაგრეხილის	მთა გრეხილ ის
გააშენა	გა აშენ ა
მახარაძეს	მახარ აძ ეს
მეტალიკამ	მეტა ლიკ ამ
დააზუსტა	დაა ზუსტ ა
სექსუალურ	სექსუალ ურ
ესმა	ეს მ ა
კლუბები	კლუბ ები
მზრუნველობის	მზრუნ ველობ ის
თავდასხმის	თავდა სხმ ის
შერჩენილია	შე რჩენილ ია
იწყეს	იწყ ეს
სერია	ს ერი ა
სათათბირო	სა თათბირ ო
მტკვარი	მტკ ვარ ი
მეტალების	მე ტალ ების
გამოც	გამო ც
ოსტატი	ოსტატ ი
საყრდენად	საყრდენ ად
გაჩერდნენ	გა ჩერ დნენ
ზენიტის	ზენიტ ის
საკარმიდამო	სა კარ მიდამო
ხერხემლიანი	ხერხემ ლიან ი
მოსახლეზე	მო სახლე ზე
შეხედულებას	შეხედ ულებ ას
ჰარლემში	ჰარ ლემ ში
კალაპოტის	კალ აპოტ ის
მინერალ	მინერა ლ
ფასადის	ფას ად ის
უფლებამოსილი	უფლებ ამოსილ ი
სახლზე	სახლ ზე
სიმაგრე	სიმაგრე
შენობასთან	შენ ობ ასთან
გადმოჰყურებს	გადმო ჰყურ ებს
კრამიტი	კრამი ტი
მცხეთას	მც ხეთ ას
ჰემი	ჰემ ი
გორილები	გორ ილ ები
რონი	რ ონ ი
ნომინაციაში	ნომინ აცი აში
გაგიჟებულია	გა გიჟ ებულია
კინემატოგრაფიული	კინემატ ოგრაფი ული
იემენის	იე მენ ის
ემოსა	ე მოს ა
ბავშვს	ბავშვ ს
მოაწყვეს	მო აწყ ვეს
ერიტრეის	ერი ტრე ის
დაავადებანი	დაავად ებ ანი
ეკიპაჟის	ეკიპ აჟ ის
კურსიდან	კურ ს იდან
გამომადგა	გამომა დგ ა
საჭირბოროტო	საჭირ ბოროტ ო
ავანგარდულ	ავანგ არდ ულ
ფეხში	ფეხ ში
მალდინიმ	მალ დინ იმ
მემამულეთა	მე მამულ ეთა
პარაზიტებია	პარა ზიტ ებია
პროექტებზე	პროექტ ებზე
ტექსტები	ტექსტ ები
რომანოზ	რო მან ოზ
ფინეთმა	ფინ ეთ მა
ჰუსიტური	ჰუს იტ ური
გრანდიოზული	გრანდ იოზულ ი
კარგმა	კარგ მა
მასათა	მა სა თა
გაატანა	გაა ტან ა
სპეციფიური	სპეცი ფი ური
უხდება	უ ხდ ება
უპირობოდ	უ პირობ ოდ
ბოლქვიანი	ბოლ ქვ იანი
ტანკზე	ტან კ ზე
გაუქმებული	გაუქმ ებ ული
პროლოგი	პრო ლოგ ი
მანქანაზე	მანქან აზე
ანონიმი	ან ონიმ ი
გაზრდას	გა ზრდ ას
მასშტაბური	მას შტაბ ური
ცვლაში	ცვლ აში
რეპრესიები	რე პრესი ები
ვერა	ვერ ა
ვერასოდეს	ვერ ასოდეს
ერისთავად	ერის თავ ად
გაზრდილია	გა ზრდილ ია
კვადრატულია	კვადრ ატ ულია
იარსებებს	ი არსებ ებს
ცივილიზაციის	ცივილ იზაცი ის
მაისს	მა ის ს
სინგლად	სინ გლ ად
შერიგება	შე რიგებ ა
კუბაზე	კუბ აზე
მეკობრეების	მეკო ბრე ების
ქვეშევრდომები	ქვეშე ვრდომ ები
თოვლით	თო ვლ ით
მამაც	მა მაც
დეტალებს	დე ტალ ებს
გაირკვეს	გა ირკვ ეს
ლიზინგი	ლიზ ინგ ი
ნიკოლაი	ნი კოლ აი
პირი	პირ ი
დაყვეს	და ყვ ეს
ტრანსფერი	ტრანსფერ ი
ბიუროკრატიული	ბიურ ოკრატიულ ი
ესთეტიკას	ესთ ეტიკ ას
მატჩში	მატ ჩ ში
მოიყარეს	მოი ყარ ეს
საშუალოზე	სა შუალო ზე
ხარიჯიტები	ხარიჯი ტ ები
გოგონაა	გო გონ აა
დაკავებულები	დაკავ ებულ ები
ველად	ველ ად
ზეპირსიტყვიერების	ზეპირსი ტყვიერ ების
პოლიციური	პოლიცი ური
სასწორი	ს ასწორ ი
მონო	მო ნ ო
ნიკოლსკოეს	ნი კოლ სკოეს
გუბერნია	გუბერნი ა
დიპლომატიური	დიპლომ ატი ური
პოლემიკა	პოლემ იკ ა
დაბოლოს	და ბოლო ს
მონსტრები	მ ონსტრ ები
ნუმიზმატიკის	ნუმიზმ ატიკ ის
კარდინალ	კარდინ ალ
მეთვალყურეობით	მეთვალყურ ეობ ით
მიწას	მ იწ ას
აღადგენენ	აღ ადგენ ენ
ჩაცმულობის	ჩაცმ ულობ ის
გადასასვლელად	გადა სასვლელ ად
კუხეთის	კ უხ ეთის
ქურუმები	ქურ უმ ები
ტერიტორიაც	ტერი ტორი აც
კრუხობს	კრუ ხობ ს
გორი	გორ ი
სეზონში	სე ზონ ში
ტვინში	ტ ვინ ში
ქართლის	ქართ ლ ის
შემაჯამებელი	შემა ჯამ ებელი
გააქტიურება	გა აქტიურ ება
დათარიღებული	დათარიღ ებულ ი
საქსონია	სა ქსონ ია
ოქტომბრიდან	ოქტომ ბრ იდან
უკვდავებას	უ კვდავ ებას
ჯადოსნურ	ჯადოს ნ ურ
სარეკონსტრუქციო	სა რეკონსტრუქცი ო
ბრაზილიამ	ბრაზ ილი ამ
გარჩევას	გა რჩევ ას
სოფლების	სოფლ ებ ის
მოყოლებული	მო ყოლ ებული
ოციანი	ოც იან ი
სიმბოლოთი	სიმ ბოლო თი
მარცხნიდან	მარცხ ნ იდან
შიშველია	შიშველ ია
სექტემბრის	სექტ ემბრ ის
სამუშაოში	სამუშა ო ში
ადმინისტრაციულმა	ადმინისტრ აცი ულმა
პარკების	პარ კ ების
პოზიციების	პოზიცი ებ ის
დისციპლინები	დისციპლინ ები
კონსტანტინოპოლი	კონსტანტინო პოლ ი
ღელვის	ღელვ ის
სულებისთვის	სულ ებისთვის
იტალიისკენ	იტალი ისკენ
კლდიაშვილი	კლდი აშვილ ი
ნიმუშების	ნიმუშ ების
სულიწმინდის	სული წმინდ ის
ბატალიონის	ბატა ლიონ ის
სკუდეტოს	სკუდე ტ ოს
მაგალითისათვის	მა გალით ისათვის
ხვეული	ხვეულ ი
სტალინგრადის	სტა ლინ გრადის
ანსამბლმა	ანსამ ბლ მა
ებრძოლათ	ე ბრძოლ ათ
ცნობარი	ცნობ არი
მცენარეებსა	მცენარე ებ სა
საკითხისათვის	სა კითხ ისათვის
წარმოდგენები	წარმო დგენ ები
მოაქციეს	მო აქცი ეს
სანაპიროები	სანაპირ ო ები
ბუშის	ბუ შ ის
უღლების	უღლ ების
გამოქვეყნებულა	გამოქვეყნ ებულ ა
მოიცავს	მო იცავ ს
კირიბატის	კირი ბატ ის
დიტრიხმა	დიტ რიხ მა
ჯარების	ჯარ ებ ის
იმპერიული	იმპერი ული
სატევარი	სა ტევ არი
ჩამოყალიბებით	ჩამო ყალიბებ ით
სულებისგან	სულ ებისგან
მაშტაბით	მა შტაბ ით
დაპატიმრებები	და პატიმრებ ები
სააგენტოს	საა გენტო ს
ბრაზილიასთან	ბრაზ ილი ასთან
მიახლოებით	მი ახლოებ ით
ვარაუდით	ვარაუდ ით
ახალშობილ	ახალ შობილ
უბრძანებია	უ ბრძან ებია
კასტელი	კასტ ელ ი
უმრავლესობით	უმრავლ ესობ ით
წლებში	წ ლებ ში
დაყოფა	და ყოფ ა
ავალდებულებდა	ა ვალდებულებ და
კილომეტრს	კილო მეტრ ს
ფრანკლინ	ფრან კლინ
ვიდეოებს	ვიდ ეო ებს
განსაზღვრავენ	გან საზღვრ ავენ
ეფლობა	ე ფლ ობა
ჯვრისწერა	ჯვრის წერ ა
შექმნილი	შე ქმნილ ი
მახასიათებლებს	მახასიათებ ლებ ს
რაინის	რა ინ ის
შესატყვისი	შესა ტყვ ისი
მიწებში	მიწ ებ ში
წლისთავთან	წლ ისთავ თან
სეზონთან	სე ზონ თან
შეკითხვა	შე კითხვ ა
სტილსა	სტილ სა
მოჰყავდათ	მო ჰყავდათ
კრიტიკოსი	კრი ტიკო სი
იუნონას	იუნ ონ ას
იუნიორთა	იუნ ი ორთა
ძალისხმევა	ძალისხმ ევ ა
ცვივა	ცვივ ა
თანადამფუძნებელი	თანადა მფუძნებელ ი
დაიშალა	და იშალ ა
ჯეპრას	ჯე პრ ას
პიტერ	პიტერ
გრაფების	გრაფ ების
ლავრა	ლავ რა
წამოდგა	წამო დგ ა
ჰიპოკრატეს	ჰიპო კრატე ს
ანდერსონი	ანდერ სონ ი
წარმოებდა	წარმოებ და
ოლაფი	ოლ აფ ი
გამოუცდელი	გამოუც დელ ი
განუკურნებელი	განუ კურნებელ ი
ტრიბუნები	ტრიბუ ნ ები
პაროდიული	პარ ოდ იული
ბრალდებებს	ბრალდებ ებს
კომპანიებისთვის	კომპ ანი ებისთვის
სიყმაწვილე	სი ყმაწვილ ე
უყვებოდა	უყვ ებოდა
საბაჟოს	სა ბაჟო ს
რგოლს	რ გოლ ს
აუკრძალეს	აუ კრძალ ეს
განვითარების	გან ვითარებ ის
აქაურ	ა ქა ურ
ლიტურგია	ლიტურ გი ა
ქვიშაქვებით	ქვიშ აქვ ებით
დასწრებია	და სწრებ ია
მართლმადიდებელი	მართლმადიდ ებელ ი
ლომის	ლო მ ის
კინოინდუსტრია	კინო ინდუსტრ ია
გარეთა	გარეთ ა
იესოს	იე ს ოს
რჩეულ	რჩეულ
ტერიტორიასაც	ტერი ტორი ასაც
ფონდს	ფონ დ ს
ლეგო	ლეგ ო
სასკეს	სა სკ ეს
სიმაღლებრივი	სი მაღლ ებრივი
სავოევოდო	სავოევო დო
ლაურეატი	ლაურე ატ ი
სასულთნოს	სასულ თნო ს
ინტერვალის	ინტერ ვალ ის
შემოღებული	შემო ღებ ული
მომავლისთვის	მო მავლ ისთვის
შეწირვა	შე წირვ ა
ჩიკაგო	ჩიკა გო
აღდგენილიყო	აღ დგენილ იყო
ტიტულიც	ტი ტულ იც
გამუდმებულ	გამუდმ ებ ულ
სრუტეები	სრუ ტე ები
პერიოდშივე	პერი ოდ შივე
კახთა	კ ახ თა
დასაწყისი	დასა წყის ი
სტამბოლი	სტამ ბოლ ი
ოლიმპია	ოლიმპ ი ა
თაბაშირის	თაბაშ ირ ის
აყალიბებენ	ა ყალიბებ ენ
ვალინორში	ვალინ ორ ში
მჟავა	მჟავ ა
ფილმია	ფილმ ია
გეგმები	გეგმ ები
ჟიურის	ჟ იურ ის
ბარძაყის	ბარძ აყ ის
მოკლას	მო კლ ას
შეერია	შე ერ ია
ოქუმის	ოქ უმ ის
შობას	შობ ას
ამნისტია	ამნი სტი ა
ბერის	ბერ ის
მჟღავნდება	მჟღავნ დება
სახეობისთვის	სახეობ ისთვის
ხვრელია	ხვრ ელ ია
ბლოკ	ბლოკ
რაღა	რაღ ა
განაგრძობენ	განაგრძ ობ ენ
გამოფენებში	გამო ფენ ებში
ამტკიცებდნენ	ა მტკიცებ დნენ
დამსახურებით	და მსახურებ ით
ჰიუ	ჰი უ
კარლა	კარ ლ ა
ოლიგარქიული	ო ლიგ არქიული
მოსწორებულია	მოსწორ ებულ ია
მეოთხედში	მეოთხ ედ ში
გავლენიან	გა ვლენ იან
კაპიტულაციას	კაპიტულ აცი ას
სარდაფი	სარდა ფ ი
ინგლისელი	ინგლის ელ ი
ნათელ	ნათე ლ
აკავშირებდა	ა კავშირებ და
აგებულების	აგ ებულებ ის
პალეოლოგოსის	პალეო ლოგ ოსის
დიალექტი	დია ლექტ ი
გინეკოლოგიური	გინეკ ოლოგიურ ი
კაპიტანია	კაპიტ ან ია
მათემატიკამ	მა თემატიკ ამ
მდგომარეობისა	მდგომარე ობ ისა
შვილიშვილს	შვილ იშვილ ს
წარმატების	წარ მატებ ის
უცვლის	უ ცვლ ის
დასახმარებლად	დასა ხმარ ებლად
გარდაცვლილს	გარდა ცვლილ ს
ოკრუგის	ოკრუ გ ის
მკვდარ	მკვდარ
დარჩებოდა	და რჩ ებოდა
ბოლშევიკური	ბოლ შევიკ ური
პორტუგალიის	პორტუგა ლ იის
იშტვან	ი შტ ვან
ოტელი	ოტ ელ ი
ჩხალთის	ჩხ ალთ ის
ანდრონიკაშვილის	ანდრონიკ აშვილ ის
საკრავიერი	სა კრავ იერი
წინამძღვარს	წინამ ძღვარ ს
სამნიტები	სამ ნიტ ები
თათრებს	თა თრ ებს
მღელვარე	მღელ ვარ ე
ორგანიზმებზე	ორგანიზმ ებ ზე
მაგისტრალზე	მაგისტრალ ზე
აყვანილი	ა ყვანილ ი
გააოცა	გაა ოც ა
სასურველი	სა სურველ ი
ჯინი	ჯინ ი
შს	შს
სახელმწიფოთაშორისი	სახელმწიფ ო თაშორისი
უწოდებს	უ წოდ ებს
მარინეს	მა რინ ეს
ნეიტრონის	ნეიტრ ონ ის
გაბრტყელებული	გა ბრტყელებ ული
ტელეარხმა	ტელე არხ მა
ეკიპაჟმა	ეკიპ აჟ მა
პროცესების	პროცეს ებ ის
ვიქტორიანული	ვი ქტორი ანული
აზნაურს	აზნაურ ს
მბრუნავი	მ ბრუნავ ი
კევინ	კე ვინ
აკისრია	ა კისრ ია
ანტუანის	ანტუ ან ის
ბრიტანეთსა	ბრიტან ეთ სა
ვერცხლით	ვერცხ ლ ით
წარმოდგენილნი	წარმო დგენილ ნი
ხრამის	ხრ ამ ის
ჩატანებულია	ჩა ტანებული ა
ეკლესიით	ეკლესი ით
ქვაბები	ქვა ბ ები
სრულებითაც	სრულებ ითაც
დანებების	დან ებ ების
ოფიცერს	ოფიც ერ ს
ხრესილის	ხრეს ილი ს
ჯოანა	ჯო ან ა
კლინიკურად	კლი ნიკ ურად
მლნ	მ ლნ
მალისა	მ ალ ისა
იკითხებოდა	ი კითხ ებოდა
ოცდამეცხრე	ოცდა მე ცხრე
ააშენა	ა აშენ ა
დაბომბვის	დაბომბ ვ ის
მამაკაცია	მამა კაც ია
ვილაპარაკეთ	ვი ლაპარაკ ეთ
ბედავდა	ბედ ავდა
მინანქრის	მინა ნქ რის
ბანაკს	ბანაკ ს
ექსპედიციებს	ექსპედიცი ებს
ძელებით	ძ ელ ებით
იზაბელა	ი ზაბელა
დღიანი	დღ იანი
ბაზები	ბაზ ები
ნათების	ნათებ ის
გადაწყვეტილების	გადაწყვეტილ ებ ის
ნორმები	ნორმ ები
პროცესებს	პროცეს ებს
დედამიწასთან	დედა მიწ ასთან
ფერმერები	ფერ მერ ები
თვალწინ	თვალ წინ
ფილოლოგია	ფილ ოლოგი ა
მითხრა	მი თხრ ა
კამილუსმა	კა მილუს მა
რენამოს	რენ ამოს
იარაღით	იარაღ ით
სცემენ	სცემ ენ
ბელონას	ბელ ონ ას
ელიზაბეთი	ელიზა ბეთ ი
უკიდურესი	უ კიდურ ესი
საკითხებთან	სა კითხ ებთან
დოკუმენტებით	დოკუ მენტ ებით
პენის	პენ ის
სამლოცველო	სა მლოცველ ო
როსონერი	როსონ ერ ი
რელიეფური	რელიეფ ური
ბენდს	ბენ დ ს
ექსპლოატაციის	ექსპლოატ აცი ის
ვაი	ვ ა ი
მოხვედრა	მო ხვედრ ა
უდიდებულესობის	უდიდებულ ესობ ის
გრძნობას	გრძნობ ას
ლოცვა	ლოცვ ა
ღამე	ღამ ე
ლოდებით	ლო დ ებით
ნინოშვილის	ნინო შვილ ის
ტური	ტუ რ ი
ადიდე	ა დი დე
განსაკუთრებულობა	განსაკუთრ ებულ ობა
ლოუს	ლო უ ს
დამხობილ	დამ ხობ ილ
გუდვილი	გუდ ვილ ი
ჯერა	ჯერ ა
ისტორიოგრაფიაში	ისტორი ოგრაფი აში
კოლუმბიელი	კოლუმ ბი ელი
ობიექტური	ობ იექტ ური
ცხოვრებისათვის	ცხოვრებ ისათვის
გამოჩენისას	გამო ჩენ ისას
მარჯნის	მარ ჯნ ის
გაზრდამ	გა ზრდ ამ
თესლი	თესლ ი
იზოტოპის	იზოტოპ ის
პროვინციებს	პროვინ ცი ებს
სივილ	სი ვილ
შემცველ	შე მცველ
დაეცემა	და ეცემ ა
იტევს	ი ტევ ს
თედორე	თ ედო რე
დასავლეთისკენ	და სავლეთ ისკენ
სექცია	სე ქცი ა
პრინციპულად	პრინც იპ ულად
შეემატნენ	შე ემატ ნენ
მოხარული	მო ხარ ული
მეზღვაურების	მეზღვა ურ ების
დაფების	დ აფ ების
ტერმინატორის	ტერმინა ტორი ს
მოღვაწეობამ	მოღვაწ ეობ ამ
მოდის	მო დ ის
აღგზნება	აღ გზნებ ა
გაჩეხვის	გაჩე ხვ ის
რონალდო	რ ონალდ ო
გრინვუდი	გრინ ვუდ ი
ალაჰი	ალა ჰ ი
ქართველოლოგიის	ქართველ ოლოგი ის
მეძებარი	მე ძებ არი
დააზარალა	დაა ზარალ ა
რეიტინგული	რეიტინგ ული
ტიბეტის	ტი ბეტ ის
ელჩობა	ელჩ ობ ა
ვაქცინის	ვაქცი ნ ის
თუთიყუშის	თუთიყ უ შის
რომეოს	რომ ე ოს
ვულკანია	ვულ კან ია
სიმპლონის	სიმპ ლონ ის
ამანში	ამ ან ში
მოგებაც	მო გებ აც
ორგანიზმებით	ორგანიზმ ებ ით
ლენინი	ლენ ინ ი
გამომცემელმა	გამომცემ ელ მა
ენფილდზე	ენ ფილდ ზე
ზონასთან	ზონ ასთან
მოვლენად	მო ვლენ ად
ვადამდე	ვად ამდე
სიგრძივი	სი გრძ ივი
სისხლი	სისხლ ი
ფილოსოფიასთან	ფილ ოსოფი ასთან
გაჭირვებული	გაჭირ ვებ ული
დამატებას	და მატებ ას
ნახევარსფეროზე	ნახევარ სფერო ზე
ყმა	ყმ ა
გაბრიელის	გა ბრიელ ის
მოხატა	მო ხატ ა
სხვადასხვანაირია	სხვადასხვა ნაირ ია
მეგობრულად	მეგობრ ულ ად
შეჭრილიყო	შე ჭრილ იყო
დაამონტაჟა	დაა მონტაჟ ა
ტუპაკ	ტუ პაკ
მაიკლ	მა იკლ
აღდგომის	აღ დგომ ის
შეეყარა	შე ეყარ ა
გაჩერებული	გაჩერ ებულ ი
მიაკითხა	მია კითხ ა
მათრახი	მა თ რახი
დარეჯანი	დარე ჯან ი
აუტანელი	აუტან ელ ი
ასვლისას	ა სვლ ისას
სუზანა	სუ ზან ა
აკრიტიკებს	აკრიტიკ ებ ს
გარსიას	გარ ს იას
ზრუნვას	ზრუნ ვ ას
მონარქიული	მონარქი ული
სიმღერაც	სი მღერ აც
შემდგომი	შე მდგომ ი
იცოდე	იცოდ ე
თხემურ	თხ ემ ურ
მარსელ	მარ სელ
რომელთან	რომ ელ თან
უწესო	უ წეს ო
რაინდებს	რა ინდ ებს
სახელები	სახელ ები
სათნოებას	სა თნო ებას
პანორამული	პანორ ამ ული
იკისრა	ი კისრ ა
ფაშისტურ	ფაშისტ ურ
კლდეს	კლდ ე ს
გამრავლება	გამრავლ ებ ა
რელიქტური	რელი ქტ ური
რუმინულ	რუმინ ულ
სხდომას	სხ დომ ას
ჩემპიონად	ჩემპიონ ად
თანამეგობრობის	თანა მეგობრობ ის
ფენებს	ფენ ებ ს
ხახულის	ხა ხ ულის
კარიერაც	კარ იერ აც
თანრიგში	თან რიგ ში
დაბოლოებას	დაბოლო ებ ას
გადაწერილი	გადა წერილ ი
შეიკრიბნენ	შე იკრიბ ნენ
მომხდარი	მო მხდარ ი
ლარს	ლარ ს
ღირებულებით	ღირ ებულებ ით
ოჯახებში	ოჯახ ებში
კათოლიკურმა	კათოლ იკ ურმა
რგოლები	რ გოლ ები
შეეცვალათ	შეე ცვალ ათ
პილასტრით	პილა სტრ ით
მომღერალთა	მომღერ ალ თა
რაკეტების	რა კეტ ების
რობინის	რობი ნ ის
ტომ	ტომ
ბელგრადის	ბელ გრად ის
ამხანაგური	ამხან აგ ური
მუსულმანებს	მუსულმა ნ ებს
წამის	წამ ის
სეპარატისტულ	სეპარატ ისტ ულ
აბრაამის	აბრა ამ ის
თრი	თრ ი
ვერსიად	ვერსი ად
კრეისერი	კრეი სერ ი
რადიაქტიური	რადი აქტიურ ი
