იტალიასთან	ი ტალი ასთან
რონდელი	რო ნდ ელი
კავკასიელ	კავკას ი ელ
ბაკის	ბა კ ის
ევოლუციაში	ევოლუცი აში
მოხუცი	მო ხუც ი
ლუარსაბ	ლუარს აბ
შარაძე	შ არ აძე
ფორმაა	ფორმ აა
სათანადოდ	სათან ად ოდ
ნიდერლანდში	ნი დერლანდ ში
ვეზუვის	ვეზ უვ ის
მწვერვალი	მ წვერვალ ი
ეშვება	ე შვებ ა
პოლონური	პოლონ ურ ი
გააფთრებული	გააფ თრ ებული
გაჩერებას	გა ჩერ ებას
დევიზი	დევ იზ ი
ასრულდა	ასრულ და
ნაძვის	ნა ძვ ის
ირლანდიელები	ირ ლანდი ელები
სათადარიგოთა	სათადარი გო თა
სულებთან	ს ულ ებთან
ცოლი	ცოლ ი
იწყებდნენ	ი წყებ დნენ
სიგანეში	სი განე ში
სეისმურ	სე ისმ ურ
ქალაქისათვის	ქალაქ ისათვის
ფესვები	ფესვ ები
ტელეარხების	ტელე არხ ების
აგნოსტიკოსი	აგნოსტი კ ოსი
ააფეთქეს	ა აფეთქ ეს
ანგარიშს	ანგარიშ ს
ოლივია	ოლ ივი ა
ატარებდა	ა ტარებ და
ანგარიშებში	ანგარიშ ებში
გავრცელებას	გავრცელებ ა ს
ბარიკადებზე	ბარი კად ებზე
შეენარჩუნებინათ	შეე ნარჩუნ ებინათ
აბსტრაქტულ	აბსტრ აქტ ულ
დაინახავს	და ინახ ავს
თეორიების	თე ორი ების
ტრიბუნების	ტრი ბუნ ების
დაუჯდა	დაუ ჯ და
რესპუბლიკელებს	რესპუბლი კელ ებს
ბიძაშვილზე	ბიძა შვილ ზე
გაზეთის	გა ზეთ ის
ფარულად	ფარ ულად
განრისხება	გან რისხ ება
პელეს	პელე ს
ერევანი	ერე ვან ი
მონად	მო ნ ად
ირკვევა	ი რკვევ ა
ფერწერას	ფერ წერ ას
რადიოს	რადი ო ს
ბაქოში	ბაქო ში
პარტიზანებს	პარტიზ ან ებს
ყიზილბაშების	ყ იზილბაშ ების
შენადნობის	შენადნობ ის
ეთიოპელი	ეთიოპ ელ ი
საპა	სა პ ა
ისრებით	ი სრ ებით
მთვარის	მთვ არ ის
პატივმოყვარე	პატივ მოყვარე
ბებიასთან	ბე ბი ასთან
მიღწევაში	მი ღწევ აში
პოლონეთმა	პოლონ ეთ მა
რეიგანის	რე იგან ის
არქონის	არქ ონ ის
სანქციები	სან ქცი ები
აცნობენ	ა ცნობ ენ
დაფუძნებულ	და ფუძნებ ულ
ბალთაზარ	ბალ თაზარ
ჰადესში	ჰა დეს ში
მეთხუთმეტე	მე თხუთმეტ ე
კულინარული	კულ ინ არული
ბენქსი	ბენ ქს ი
გასამგზავრებლად	გასა მგზავრ ებლად
ანგარიშების	ანგარიშ ების
ნახშირორჟანგის	ნახშირორ ჟანგ ის
რუსუდან	რუ სუდან
მიზანიც	მი ზან იც
დოვლათის	დო ვლათი ს
ერისთავ	ერის თავ
დიაკვნად	დიაკვ ნ ად
საკონსერვო	საკონ სერვ ო
ესპანურენოვან	ესპან ურ ენოვან
ამაღლებს	ა მაღლებ ს
ედიქტის	ედიქტ ის
უჯრედებზე	უჯრედ ებზე
ფრიზი	ფრი ზ ი
ტერფი	ტერ ფ ი
პიეტრო	პიე ტრო
ხელმძღვანელობით	ხელმძღვა ნელობ ით
მყინვარის	მ ყინვარ ის
წამოსული	წამო სულ ი
ვახტანგ	ვახ ტანგ
სისასტიკის	სისა სტიკ ის
შესაბამისი	შესაბა მის ი
აქტივობას	აქტივ ობ ას
პარმას	პარ მ ას
წვერიანი	წვერ იანი
უტრეხტის	უტრე ხტ ის
ხანგრძლივობაა	ხანგრძლივ ობაა
კემბრიჯში	კემბრი ჯ ში
აგილერას	ა გილერა ს
გადასვლისას	გადა სვლ ისას
საფუძვლის	სა ფუძვლ ის
ციკლონური	ციკლონ ური
ხაზის	ხაზ ის
მხარე	მ ხარ ე
ოფიცრები	ოფიც რ ები
მიმდევრებს	მიმდევრ ებს
გამოშვებულ	გამო შვებ ულ
მტაცებელია	მტაცებ ელ ია
ტბის	ტბ ის
რასელმა	რას ელმა
კიროს	კირ ოს
მედიას	მე დი ას
სოკოების	ს ოკო ების
შენელების	შენ ელების
კვერცხების	კვერ ცხ ების
ინდოევროპული	ინდოევრო პ ული
სტრატეგიულ	სტრა ტეგიულ
ჰქონდათ	ჰქონდ ათ
რამა	რ ა მა
დაუმორჩილა	დაუ მორჩილ ა
ამსახველ	ამ სახველ
სტრუქტურებს	სტრუქტურ ებს
სავანაში	სა ვან აში
ოქტომბერი	ოქტომ ბერ ი
სამმართველოს	სამმარ თველო ს
მიაღწიოს	მი აღწი ოს
ზრდასა	ზრდ ასა
ქელბაჯარის	ქელბა ჯარ ის
ეფექტით	ეფექტ ით
ნაყინი	ნა ყინ ი
სამუშაოს	სამუშა ო ს
გამოცემამდე	გამო ცემ ამდე
შრედინგერის	შრედინ გერი ს
ნორმის	ნორ მ ის
ვეზირის	ვე ზირ ის
გადმოხვიდე	გადმო ხვიდ ე
თეიმურაზ	თე იმურაზ
გამოთვლები	გამო თვლ ები
განმასხვავებელ	განმა სხვავებ ელ
დაადგება	დაა დგ ება
მაგნიტუდის	მაგნიტ უდ ის
პირას	პირ ას
პროექტია	პროექტ ია
იშვიათია	იშვიათ ია
გებელსმა	გებ ელს მა
ისხდნენ	ი სხ დნენ
დიმიტრი	დი მიტრი
ეფექტს	ეფექტ ს
მოსავლიანობა	მოსა ვლ იანობა
რადეს	რა დ ეს
ფარგლები	ფარგლებ ი
გადაკეთებულია	გადა კეთ ებულია
დაითხოვა	დაი თხოვ ა
რელიგიისა	რე ლიგი ისა
შრიფტით	შ რიფტ ით
დრამატულად	დრა მატულ ად
შეფასებული	შე ფასებ ული
ევროპელებს	ევრო პელ ებს
ჯავახეთი	ჯავახ ეთ ი
განდეგილი	გან დეგილ ი
თხემურ	თხ ემ ურ
კონტაქტში	კონტაქტ ში
მოთამაშედ	მო თამაშე დ
მაღალმთის	მაღალ მთ ის
დანიშნულმა	და ნიშნულ მა
პარაგვაი	პარა გვაი
სინგლში	სი ნგლ ში
სრულუფლებიანი	სრულ უფლებ იანი
მოჭრილ	მო ჭრილ
გადაქცეულია	გადა ქცე ულია
ასწიოს	ა სწი ოს
ჩადენსისის	ჩა დენ სისის
არხით	არ ხ ით
წესია	წეს ია
ვატიკანის	ვა ტიკან ის
ზოროასტრიზმის	ზორო ასტრ იზმის
ვაკანტური	ვ აკანტ ური
გამდინარე	გა მდინარე
ლაღი	ლა ღ ი
ცოდვათა	ცოდ ვ ათა
დასტურდება	დასტურ დება
სოფლებისა	სოფ ლებ ისა
შედეგი	შე დეგ ი
მტირალა	მ ტირალ ა
აეხსნა	ა ეხსნ ა
ოტავა	ოტ ავ ა
რქებს	რქ ებს
მოხალისედ	მო ხალისე დ
ხალიჩების	ხალი ჩ ების
კიდურწაისრული	კიდურწაი სრულ ი
ქულები	ქულ ები
ანდერსონთან	ა ნდერსონ თან
მკლავში	მკლავ ში
მსმენელებს	მსმენ ელ ებს
დანიშნოს	და ნიშნ ოს
ლტოლვილების	ლტოლვ ილ ების
ორსულ	ორ სულ
შესატყვისი	შესა ტყვის ი
შვედეთისა	შვე დეთ ისა
მოწინააღმდეგესთან	მოწინააღმდეგ ე სთან
დასჯით	და სჯ ით
ჰუმანიზმი	ჰუ მან იზმი
ზონდი	ზო ნდ ი
დენიელ	დე ნი ელ
ბურთისთვის	ბურთ ისთვის
გამოაგზავნა	გამოა გზავნ ა
გარნიეს	გარ ნი ეს
დაარწმუნეს	დაა რწმუნ ეს
გააგზავნეს	გაა გზავნ ეს
ბებიას	ბე ბი ას
დაიბრუნებდა	დაი ბრუნ ებდა
ჟორჟი	ჟორ ჟ ი
კოდით	კ ოდ ით
წარმოსახვითი	წარმო სახვ ითი
ნმ	ნმ
გაუპატიურების	გა უპატიურ ების
ფრენენ	ფრენ ენ
მკვლელობისთვის	მ კვლელობ ისთვის
რისკის	რი სკ ის
ჩნდებოდნენ	ჩნდ ებოდნენ
სექტემბერში	სექტემ ბერ ში
მრუდე	მრუდ ე
მარხილის	მარ ხილ ის
გაურბიან	გაუ რბ იან
წუთებზე	წუთ ებზე
აღსადგენად	აღსა დგენ ად
პრობლემებია	პრობლემ ებია
გორილას	გორ ილ ას
კაიზერის	კა იზერ ის
პლატინის	პლატ ინ ის
მოსარწყავად	მოსა რწყავ ად
ნიშა	ნი შ ა
პროცენტულად	პრო ცენტ ულად
იფანტება	ი ფანტ ება
სისტემებთან	სისტემ ებთან
ათენას	ა თენ ას
ავსტრალია	ავსტრ ალი ა
ოშოს	ო შო ს
ეთიკურ	ეთ იკ ურ
საწარმოებლად	სა წარმო ებლად
გადაადგილდა	გადა ადგილ და
მიზანია	მი ზან ია
ხევისბერი	ხევის ბერ ი
მარცვლის	მარ ცვლ ის
ყოველივე	ყოველ ი ვე
ფერგიუსონმა	ფერგი უსონ მა
შემოქმედებაშიც	შემო ქმედებ აშიც
მოასწრებს	მოა სწრ ებს
მინარეთი	მინარ ეთ ი
რუსეთისთვის	რუ სეთ ისთვის
პროტექტორატის	პრო ტექტორატი ს
საინიციატივო	საინიცია ტივ ო
ცვივა	ცვი ვ ა
საკმეტოში	სა კმეტ ოში
განმარტოებულ	განმარტ ო ებულ
გეოლოგიას	გე ოლოგი ას
ხელისუფლებაში	ხელისუფლებ აში
ეტიუდი	ეტიუდ ი
პალიასტომის	პალ იასტომ ის
უბერავს	უ ბერ ავს
წყალსატევის	წყალსა ტევ ის
თბილელის	თბილ ელის
ღვთისმშობელმა	ღვთის მშობ ელმა
ეპოქას	ეპ ოქ ას
გამოუცხადეს	გამოუ ცხად ეს
მოსახერხებელია	მოსა ხერხებელი ა
დატვირთულია	და ტვირთ ულია
ქრისტეშობამდე	ქრისტე შობ ამდე
მილიონად	მი ლიონ ად
ამოვსებული	ამო ვსებული
ლამა	ლამ ა
პოლიტიკამ	პოლიტიკ ამ
სამართალი	სა მართალ ი
მოსამსახურეთა	მოსა მსახურ ეთა
მინდვრები	მინდვრ ები
შენდებოდა	შენ დებოდა
მიწერილ	მი წერილ
უკანასკნელს	უ კანასკნელ ს
რხევას	რ ხევ ას
ცენზორის	ცენზ ორ ის
კატისებრთა	კატ ისებრთა
დასაშვებ	დასა შვებ
იასონი	ია სონ ი
მაღალი	მაღ ალ ი
დაარწმუნებს	დაა რწმუნ ებს
განლაგების	გან ლაგ ების
წინაპრებისგან	წინა პრ ებისგან
ციური	ც იურ ი
გადახდების	გადა ხდ ების
პრევალი	პრე ვალ ი
მარჯიელა	მარჯი ელ ა
უტოპიურ	უ ტოპ იურ
უჯრედები	უჯრედ ები
დაუმატეს	დაუ მატ ეს
გერმანელის	გერმან ელ ის
ფოთლოვან	ფოთლ ოვან
კალთებიდან	კალ თ ებიდან
კათოლიკოსი	კათოლიკოს ი
ცეცხლსასროლ	ცეცხლსა სროლ
ჭყონდიდელის	ჭ ყონდიდ ელის
ხიმშიაშვილი	ხი მში აშვილი
ნაშთებიც	ნაშთ ებიც
მცხეთაში	მც ხეთ აში
წმინდანების	წ მინდან ების
მადაგასკარი	მადაგა სკარ ი
სექსუალობის	სექსუ ალობ ის
დარტყმების	და რტყმ ების
საკოლმეურნეო	სა კოლმეურნეო
ოლიმპოს	ოლიმპ ოს
შავკანიანები	შავ კანიან ები
შეასრულებს	შეა სრულ ებს
რავენაში	რა ვენ აში
მყინვარია	მ ყინვარ ია
კანგალი	კანგალ ი
იგერიებდნენ	ი გერი ებდნენ
ექსპლოატაციის	ე ქსპლოატ აციის
მდინარეებს	მდინარე ებს
სამახსოვრო	სა მახსოვრ ო
შეიარაღების	შეიარა ღებ ის
ცენტრიც	ცენტრ იც
სკოლაა	სკოლ აა
მქონეა	მ ქონ ეა
ვიგებთ	ვი გ ებთ
მორფოლოგიური	მორფოლოგი ური
თურქების	თურქ ების
მეთაურობის	მე თაურ ობის
მწყემსი	მ წყემს ი
საყრდენ	სა ყრდენ
სხვადახვა	სხვადა ხვ ა
მონარქი	მონა რქ ი
კირილეს	კირ ილ ეს
გეტო	გე ტო
წინამორბედთან	წინამორ ბედ თან
ჯულიეტა	ჯული ეტ ა
პლანეტად	პლანეტ ად
ჰემში	ჰემ ში
აგრძელებს	ა გრძელებ ს
აქვეა	ა ქვე ა
კილომეტრია	კილო მეტრ ია
აცვიათ	ა ცვ იათ
ეწეოდა	ე წეო და
არქანჯელო	არქ ანჯელ ო
საგები	სა გ ები
წარმოიდგინე	წარმოი დგინე
იუანის	იუ ან ის
ერთპიროვნული	ერთ პიროვნუ ლი
რუმინული	რუ მინ ული
ჯგუფთა	ჯგუფ თა
ტურნირებზე	ტურნირ ებზე
შევსებული	შე ვსებ ული
კლდიდან	კლ დ იდან
ქვიან	ქვ იან
შემოზღუდული	შემო ზღუდ ული
ფეროშენადნობთა	ფერო შენადნობ თა
აბსოლუტიზმი	აბსოლ უტ იზმი
ალყამ	ალ ყ ამ
ყოფილმა	ყოფილ მა
ეგზისტენციალურ	ეგზ ისტენციალ ურ
გაერო	გა ერო
გათამაშებიდან	გა თამაშ ებიდან
მაროკოს	მარ ოკო ს
პრემიერი	პრემიერ ი
ლიცენზიით	ლი ცენზი ით
შტატებში	შტატ ებში
ყრილობებს	ყ რილობებ ს
ექმნება	ე ქმნ ება
ირჩევდა	ი რჩევ და
ზბიგნევი	ზ ბიგნევ ი
უკრაინელები	უკრა ინ ელები
კავშირებით	კავშირ ებით
კონსოლების	კონ სოლ ების
მშიერი	მში ერ ი
ღელვის	ღელვ ის
საცეცხლე	სა ცეცხლ ე
მხარეებზე	მხარე ებზე
კოპერი	კო პერ ი
ლიცენზიის	ლი ცენზი ის
დასასჯელად	დასა სჯ ელად
ოკეანეებში	ოკეან ე ებში
პიროვნებები	პიროვნ ებ ები
პოულობდა	პო ულობ და
დაამონტაჟეს	დაა მონტაჟ ეს
სკანირება	სკან ირება
მკვლელი	მკვლელ ი
ემაგრება	ე მაგრ ება
ვახტანგი	ვახ ტანგ ი
თვალნათლივ	თვალ ნათლივ
ოდნავი	ოდნ ავ ი
გლობუსზე	გლო ბუს ზე
საგლეხო	სა გლეხ ო
ჟღენტი	ჟ ღ ენტი
მამაკაცური	მამა კაც ური
კვირეული	კვირე ული
სვიტრი	სვი ტრ ი
ნოველების	ნოველ ების
გეიმის	გე იმ ის
ზეახალი	ზე ახალ ი
ალპინისტთა	ალპინ ისტ თა
ხელშეკრულებაში	ხელშე კრულებ აში
შუბისპირები	შუ ბ ისპირები
გოლგოთის	გოლ გოთ ის
მემკვიდრეობისა	მე მკვიდრეობ ისა
თარგმანს	თარგ მან ს
მოუნდა	მო უნ და
ჩეხი	ჩ ეხ ი
კიტი	კი ტ ი
კრება	კრებ ა
ამჟამინდელ	ა მჟამინდელ
მართალ	მართალ
დარტყმით	და რტყმ ით
ფორმებისა	ფორმ ებისა
ახსნა	ა ხსნ ა
კანონზომიერება	კანონ ზომიერ ება
დადაბლებული	დადა ბლ ებული
ფირის	ფირ ის
ქიქოძის	ქი ქოძ ის
ჩართვას	ჩა რთვ ას
ვაჭარი	ვა ჭარ ი
წონაა	წონ აა
აგილერამ	ა გილერა მ
ენერგიების	ენერგი ების
ფტორიდი	ფ ტორი დი
ეკოლოგიურად	ეკო ლოგი ურად
პატიმრებს	პატიმრ ებს
დოქტრინა	დო ქტრინ ა
დააზიანა	დაა ზიან ა
მოკლავდა	მო კლავ და
ორეგონის	ორეგ ონ ის
დამთავრდება	და მთავრ დება
მოძრაობასთან	მოძრა ობ ასთან
ნიკეაში	ნი კე აში
კოსმოსური	კოსმო ს ური
კამპუსი	კამ პუს ი
ამჰერსტში	ამჰერ სტ ში
დუბაი	დუ ბა ი
აღმოჩენაა	აღმო ჩენ აა
დაისაჯნენ	დაი საჯ ნენ
გარეკანი	გარე კან ი
შემკული	შემ კულ ი
ევოლუციურად	ევოლუცი ურად
ტანკების	ტანკ ების
მაისი	მა ის ი
კიშინიოვის	კი შინი ოვის
ღატაკი	ღატაკ ი
წამოუღია	წამო უღ ია
მასალაც	მა სალ აც
აჩვენებდა	ა ჩვენ ებდა
ჰეზბოლამ	ჰეზ ბოლ ამ
იგრძნობოდა	ი გრძნობ ოდა
ტემპერატურაზე	ტემპერა ტურ აზე
ნაკადული	ნა კად ული
გასულიყვნენ	გა სულ იყვნენ
ასისტენტად	ასისტენტ ად
ტორონტო	ტორო ნტო
წილის	წი ლ ის
კრიტიკის	კრიტიკ ის
განმსჭვალული	გან მსჭვალ ული
დამფუძნებლები	დამ ფუძნებ ლები
ლაზთა	ლა ზ თა
მხოლოს	მხოლ ოს
ოცნებაა	ოცნებ აა
პიანისტის	პიან ისტ ის
მოპყრობა	მო პყრობ ა
ამბიციები	ამბ იცი ები
უჩვეულოდ	უ ჩვეულ ოდ
ექნებოდა	ე ქნებ ოდა
მიუსაჯა	მიუ საჯ ა
ნორმანული	ნორ მან ული
განმარტება	განმარტ ებ ა
გააქვს	გა აქვ ს
ელამი	ე ლამ ი
ძვირფასია	ძვირფას ია
თავსართები	თავსა რთ ები
გავედი	გა ვედ ი
კანკელი	კან კელ ი
ფიცით	ფიც ით
აგზავნიან	ა გზავნ იან
რაინის	რა ინ ის
ჰაბილისს	ჰა ბილის ს
კრებულში	კრებულ ში
დაეთმოთ	და ეთმო თ
მოძრაობიდან	მოძრა ობ იდან
დისკზე	დის კ ზე
გოთიკის	გოთ იკის
მელბურნში	მელბურ ნ ში
კანონის	კანონ ის
მოციქულთა	მოციქულ თა
ჰუდის	ჰუ დ ის
ბორუსია	ბორ უს ია
სიგრძისა	სი გრძ ისა
საბუთის	საბუთ ის
გაწყდა	გა წყდ ა
აიღებს	აი ღებ ს
იმედგაცრუებული	იმედგა ცრუ ებული
მამფალი	მამ ფალ ი
ამინდი	ა მინდ ი
იზრდებიან	იზრდ ებიან
ბეჭედს	ბე ჭედ ს
არქიტექტორი	არქიტექ ტორ ი
უნებლიე	უ ნებლი ე
გრაფების	გრაფ ების
სიბრმავე	სი ბრმავ ე
მატერიალების	მატერიალ ების
ლოდები	ლოდ ები
ვოკალისტ	ვოკ ალისტ
სესხის	სესხ ის
სოლისტია	სო ლისტ ია
დოჟის	დო ჟ ის
