იტალიასთან	იტალ ი ასთან
კავკასიელ	კავკასი ელ
ბაკის	ბა კ ის
ევოლუციაში	ევ ოლუცი აში
მოხუცი	მო ხუც ი
ლუარსაბ	ლუარსაბ
შარაძე	შ არ აძე
ფორმაა	ფორმ აა
სათანადოდ	სა თანადო დ
ნიდერლანდში	ნიდერლანდ ში
ვეზუვის	ვ ეზუ ვის
მწვერვალი	მწვერ ვალ ი
ეშვება	ეშვ ება
პოლონური	პოლონ ურ ი
გააფთრებული	გაა ფთ რებული
გაჩერებას	გა ჩერებ ას
დევიზი	დე ვიზ ი
ასრულდა	ა სრულ და
ნაძვის	ნა ძვ ის
ირლანდიელები	ირ ლანდი ელები
სათადარიგოთა	სა თადარიგ ოთა
სულებთან	სულ ებთან
ცოლი	ცოლ ი
იწყებდნენ	იწყ ებდნენ
სიგანეში	სი განე ში
სეისმურ	სე ისმ ურ
ქალაქისათვის	ქალაქ ისათვის
ფესვები	ფესვ ები
ტელეარხების	ტელე არხ ების
აგნოსტიკოსი	აგნოსტი კოს ი
ააფეთქეს	ა აფეთქ ეს
ანგარიშს	ანგარიშ ს
ოლივია	ოლივი ა
ატარებდა	ა ტარ ებდა
ანგარიშებში	ანგარიშ ებში
გავრცელებას	გა ვრცელებ ას
ბარიკადებზე	ბარიკ ად ებზე
შეენარჩუნებინათ	შეე ნარჩუნ ებინათ
აბსტრაქტულ	აბსტრ აქტ ულ
დაინახავს	და ინახ ავს
თეორიების	თეო რი ების
ტრიბუნების	ტრიბუ ნ ების
დაუჯდა	და უჯ და
რესპუბლიკელებს	რესპუბლი კ ელებს
ბიძაშვილზე	ბიძა შვილ ზე
გაზეთის	გა ზეთ ის
ფარულად	ფარ ულად
განრისხება	გან რისხ ება
პელეს	პელ ეს
ერევანი	ერე ვან ი
მონად	მო ნ ად
ირკვევა	ი რკვევ ა
ფერწერას	ფერ წერ ას
რადიოს	რადი ო ს
ბაქოში	ბაქო ში
პარტიზანებს	პარტი ზან ებს
ყიზილბაშების	ყ იზილბაშ ების
შენადნობის	შე ნადნობ ის
ეთიოპელი	ეთიოპ ელ ი
საპა	სა პ ა
ისრებით	ისრ ებით
მთვარის	მთვარ ის
პატივმოყვარე	პატივ მოყვარე
ბებიასთან	ბე ბი ასთან
მიღწევაში	მი ღწევ აში
პოლონეთმა	პოლონ ეთ მა
რეიგანის	რე იგან ის
არქონის	არ ქონ ის
სანქციები	სან ქცი ები
აცნობენ	ა ცნობ ენ
დაფუძნებულ	და ფუძნებ ულ
ბალთაზარ	ბალთა ზარ
ჰადესში	ჰა დეს ში
მეთხუთმეტე	მე თხუთმეტ ე
კულინარული	კულინარ ული
ბენქსი	ბენ ქს ი
გასამგზავრებლად	გასა მგზავრ ებლად
ანგარიშების	ანგარიშ ების
ნახშირორჟანგის	ნახშირორ ჟანგ ის
რუსუდან	რუ სუდან
მიზანიც	მი ზან იც
დოვლათის	დო ვლათ ის
ერისთავ	ერის თავ
დიაკვნად	დიაკვნ ად
საკონსერვო	სა კონსერვ ო
ესპანურენოვან	ესპან ურ ენოვან
ამაღლებს	ა მაღლებ ს
ედიქტის	ედიქტ ის
უჯრედებზე	უჯრედ ებზე
ფრიზი	ფრი ზ ი
ტერფი	ტერ ფ ი
პიეტრო	პი ეტრ ო
ხელმძღვანელობით	ხელმძღვანე ლობ ით
მყინვარის	მყინვარ ის
წამოსული	წამო სულ ი
ვახტანგ	ვა ხტანგ
სისასტიკის	სისა სტიკ ის
შესაბამისი	შესა ბამის ი
აქტივობას	აქტივ ობ ას
პარმას	პარ მ ას
წვერიანი	წ ვერ იანი
უტრეხტის	უტ რეხტ ის
ხანგრძლივობაა	ხანგრძლივ ობაა
კემბრიჯში	კემბრი ჯ ში
აგილერას	აგ ილერ ას
გადასვლისას	გადა სვლ ისას
საფუძვლის	სა ფუძვლ ის
ციკლონური	ციკლონ ური
ხაზის	ხაზ ის
მხარე	მხარე
ოფიცრები	ოფიც რ ები
მიმდევრებს	მიმდევრ ებ ს
გამოშვებულ	გამო შვებ ულ
მტაცებელია	მტაც ებელ ია
ტბის	ტბ ის
რასელმა	რა სელ მა
კიროს	კირ ოს
მედიას	მედი ას
სოკოების	ს ოკო ების
შენელების	შე ნელებ ის
კვერცხების	კვერ ცხ ების
ინდოევროპული	ინდოევრო პულ ი
სტრატეგიულ	სტრატეგი ულ
ჰქონდათ	ჰქონდ ათ
რამა	რა მ ა
დაუმორჩილა	დაუ მორჩილ ა
ამსახველ	ა მსახველ
სტრუქტურებს	სტრუქტურ ებს
სავანაში	სა ვან აში
ოქტომბერი	ოქტომ ბერ ი
სამმართველოს	სა მმართველო ს
მიაღწიოს	მი აღწი ოს
ზრდასა	ზრდ ასა
ქელბაჯარის	ქელბა ჯარ ის
ეფექტით	ეფექტ ით
ნაყინი	ნა ყინ ი
სამუშაოს	სა მუშაო ს
გამოცემამდე	გამო ცემ ამდე
შრედინგერის	შრედინ გერ ის
ნორმის	ნორმ ის
ვეზირის	ვე ზირ ის
გადმოხვიდე	გადმო ხვიდე
თეიმურაზ	თე იმურაზ
გამოთვლები	გამო თვლ ები
განმასხვავებელ	განმა სხვავებ ელ
დაადგება	დაა დგ ება
მაგნიტუდის	მაგნიტ უდ ის
პირას	პირ ას
პროექტია	პროექტ ია
იშვიათია	იშვიათ ია
გებელსმა	გებელს მა
ისხდნენ	ის ხ დნენ
დიმიტრი	დი მიტრ ი
ეფექტს	ეფექტ ს
მოსავლიანობა	მოსავლ იანობ ა
რადეს	რა დე ს
ფარგლები	ფარგლ ები
გადაკეთებულია	გადა კეთებული ა
დაითხოვა	დაი თხოვ ა
რელიგიისა	რე ლიგი ისა
შრიფტით	შ რიფტი თ
დრამატულად	დრა მატულ ად
შეფასებული	შე ფასებ ული
ევროპელებს	ევრო პელ ებს
ჯავახეთი	ჯავახ ეთ ი
განდეგილი	გან დეგილ ი
თხემურ	თხე მ ურ
კონტაქტში	კონტაქტ ში
მოთამაშედ	მო თამაშე დ
მაღალმთის	მაღალ მთ ის
დანიშნულმა	და ნიშნულ მა
პარაგვაი	პარა გვა ი
სინგლში	სი ნგლ ში
სრულუფლებიანი	სრულ უფლებიან ი
მოჭრილ	მო ჭრილ
გადაქცეულია	გადა ქცეულ ია
ასწიოს	ა სწი ოს
ჩადენსისის	ჩა დენ სისის
არხით	არ ხ ით
წესია	წეს ია
ვატიკანის	ვა ტიკან ის
ზოროასტრიზმის	ზო როასტრ იზმის
ვაკანტური	ვ აკანტ ური
გამდინარე	გა მდინარე
ლაღი	ლა ღ ი
ცოდვათა	ცოდვ ათა
დასტურდება	დასტურ დება
სოფლებისა	სოფლ ებისა
შედეგი	შე დეგ ი
მტირალა	მტი რალ ა
აეხსნა	აე ხსნ ა
ოტავა	ო ტავ ა
რქებს	რქ ებს
მოხალისედ	მო ხალისე დ
ხალიჩების	ხა ლიჩ ების
კიდურწაისრული	კიდურ წაისრ ული
ქულები	ქუ ლ ები
ანდერსონთან	ან დერსონ თან
მკლავში	მკლავ ში
მსმენელებს	მს მენელ ებს
დანიშნოს	და ნიშნ ოს
ლტოლვილების	ლტოლ ვილ ების
ორსულ	ორ სულ
შესატყვისი	შე სატყვის ი
შვედეთისა	შვე დეთ ისა
მოწინააღმდეგესთან	მოწინააღ მდეგე სთან
დასჯით	დას ჯ ით
ჰუმანიზმი	ჰუ მან იზმი
ზონდი	ზო ნდ ი
დენიელ	დენიელ
ბურთისთვის	ბურთ ისთვის
გამოაგზავნა	გამოა გზავნ ა
გარნიეს	გარ ნი ეს
დაარწმუნეს	დაა რწმუნ ეს
გააგზავნეს	გაა გზავნ ეს
ბებიას	ბე ბი ას
დაიბრუნებდა	დაი ბრუნ ებდა
ჟორჟი	ჟორ ჟ ი
კოდით	კოდ ით
წარმოსახვითი	წარმო სახვ ითი
ნმ	ნმ
გაუპატიურების	გა უპატიურ ების
ფრენენ	ფრე ნენ
მკვლელობისთვის	მ კვლელობ ისთვის
რისკის	რი სკ ის
ჩნდებოდნენ	ჩნდ ებოდნენ
სექტემბერში	სექტ ემბერ ში
მრუდე	მრუდ ე
მარხილის	მარ ხილ ის
გაურბიან	გაუ რბ იან
წუთებზე	წუ თ ებზე
აღსადგენად	აღსა დგენ ად
პრობლემებია	პრობლე მ ებია
გორილას	გორ ილ ას
კაიზერის	კა იზერ ის
პლატინის	პლა ტინ ის
მოსარწყავად	მოსა რწყავ ად
ნიშა	ნი შ ა
პროცენტულად	პროცე ნტ ულად
იფანტება	ი ფანტ ება
სისტემებთან	სისტემ ებთან
ათენას	ათე ნ ას
ავსტრალია	ავსტრ ალი ა
ოშოს	ო შ ოს
ეთიკურ	ეთ იკ ურ
საწარმოებლად	სა წარმო ებლად
გადაადგილდა	გადა ადგილ და
მიზანია	მი ზან ია
ხევისბერი	ხევის ბერ ი
მარცვლის	მარცვლ ი ს
ყოველივე	ყოველ ივე
ფერგიუსონმა	ფერ გიუსონ მა
შემოქმედებაშიც	შე მოქმედებ აშიც
მოასწრებს	მოა სწრ ებს
მინარეთი	მი ნარ ეთი
რუსეთისთვის	რუს ეთ ისთვის
პროტექტორატის	პრო ტექტორ ატის
საინიციატივო	სა ინიციატივ ო
ცვივა	ცვ ივ ა
საკმეტოში	სა კმეტ ოში
განმარტოებულ	გან მარტო ებულ
გეოლოგიას	გე ოლოგი ას
ხელისუფლებაში	ხელისუფლებ აში
ეტიუდი	ეტ იუდ ი
პალიასტომის	პა ლიასტომ ის
უბერავს	უ ბერ ავს
წყალსატევის	წყალსა ტევ ის
თბილელის	თბილ ელის
ღვთისმშობელმა	ღვთის მშობელ მა
ეპოქას	ეპ ოქ ას
გამოუცხადეს	გამოუ ცხად ეს
მოსახერხებელია	მოსა ხერხებელი ა
დატვირთულია	და ტვირთ ულია
ქრისტეშობამდე	ქრისტე შობ ამდე
მილიონად	მი ლიონ ად
ამოვსებული	ამო ვსებ ული
ლამა	ლამ ა
პოლიტიკამ	პოლიტ იკ ამ
სამართალი	სამართ ალ ი
მოსამსახურეთა	მოსა მსახურ ეთა
მინდვრები	მინდვრ ები
შენდებოდა	შე ნ დებოდა
მიწერილ	მი წერილ
უკანასკნელს	უკანა სკნელ ს
რხევას	რხევ ას
ცენზორის	ცენ ზორ ის
კატისებრთა	კა ტი სებრთა
დასაშვებ	დასა შვებ
იასონი	ია სონ ი
მაღალი	მა ღალ ი
დაარწმუნებს	დაა რწმუნ ებს
განლაგების	გან ლაგ ების
წინაპრებისგან	წინა პრ ებისგან
ციური	ცი ური
გადახდების	გადა ხდ ების
პრევალი	პრე ვალ ი
მარჯიელა	მარჯი ელ ა
უტოპიურ	უ ტოპი ურ
უჯრედები	უჯრედ ები
დაუმატეს	დაუ მატ ეს
გერმანელის	გერმან ელ ის
ფოთლოვან	ფოთლოვან
კალთებიდან	კალ თ ებიდან
კათოლიკოსი	კათოლიკოს ი
ცეცხლსასროლ	ცეცხლსა სროლ
ჭყონდიდელის	ჭყონდი დელ ის
ხიმშიაშვილი	ხიმ ში აშვილი
ნაშთებიც	ნაშთ ებიც
მცხეთაში	მც ხეთ აში
წმინდანების	წ მინდან ების
მადაგასკარი	მადაგა სკარ ი
სექსუალობის	სექსუალ ობის
დარტყმების	და რტყმ ების
საკოლმეურნეო	სა კოლმეურნე ო
ოლიმპოს	ოლიმპ ო ს
შავკანიანები	შავ კანიან ები
შეასრულებს	შეა სრულ ებს
რავენაში	რა ვენ აში
მყინვარია	მყინვარ ია
კანგალი	კან გალ ი
იგერიებდნენ	ი გერი ებდნენ
ექსპლოატაციის	ექსპ ლოატ აციის
მდინარეებს	მდინარე ებს
სამახსოვრო	სა მახსოვრ ო
შეიარაღების	შეიარა ღებ ის
ცენტრიც	ცენტრ იც
სკოლაა	ს კოლ აა
მქონეა	მქონე ა
ვიგებთ	ვი გებ თ
მორფოლოგიური	მორფ ოლოგი ური
თურქების	თურქ ების
მეთაურობის	მე თაურ ობის
მწყემსი	მ წყემს ი
საყრდენ	სა ყრდენ
სხვადახვა	სხვადა ხვ ა
მონარქი	მონ არქი
კირილეს	კირ ილ ეს
გეტო	გე ტო
წინამორბედთან	წინამორ ბედ თან
ჯულიეტა	ჯული ეტ ა
პლანეტად	პლანეტ ად
ჰემში	ჰე მ ში
აგრძელებს	ა გრძელებ ს
აქვეა	ა ქვე ა
კილომეტრია	კილო მეტრ ია
აცვიათ	ა ცვ იათ
ეწეოდა	ე წ ეოდა
არქანჯელო	არქ ანჯელ ო
საგები	სა გებ ი
წარმოიდგინე	წარმოი დგინ ე
იუანის	იუ ან ის
ერთპიროვნული	ერთ პიროვნულ ი
რუმინული	რუმინ ულ ი
ჯგუფთა	ჯგუფ თა
ტურნირებზე	ტურნირ ებზე
შევსებული	შე ვსებ ული
კლდიდან	კლ დ იდან
ქვიან	ქვ იან
შემოზღუდული	შემო ზღუდ ული
ფეროშენადნობთა	ფეროშე ნადნობ თა
აბსოლუტიზმი	აბსოლუტ იზმ ი
ალყამ	ალყ ამ
ყოფილმა	ყოფილ მა
ეგზისტენციალურ	ეგზ ისტენციალ ურ
გაერო	გაე რო
გათამაშებიდან	გა თამაშებ იდან
მაროკოს	მარ ოკო ს
პრემიერი	პრემიერ ი
ლიცენზიით	ლი ცენზი ით
შტატებში	შტატ ებში
ყრილობებს	ყრი ლობ ებს
ექმნება	ე ქმნ ება
ირჩევდა	ი რჩევ და
ზბიგნევი	ზ ბიგნევ ი
უკრაინელები	უ კრაინ ელები
კავშირებით	კავშირ ებით
კონსოლების	კონს ოლ ების
მშიერი	მ შიერ ი
ღელვის	ღელვ ის
საცეცხლე	სა ცეცხლ ე
მხარეებზე	მხარე ებზე
კოპერი	კო პერ ი
ლიცენზიის	ლი ცენზი ის
დასასჯელად	დასა სჯელ ად
ოკეანეებში	ოკეანე ებში
პიროვნებები	პირ ოვნებ ები
პოულობდა	პო ულობ და
დაამონტაჟეს	დაა მონტაჟ ეს
სკანირება	სკან ირება
მკვლელი	მკვლელ ი
ემაგრება	ე მაგრ ება
ვახტანგი	ვა ხტანგ ი
თვალნათლივ	თვალ ნათლ ივ
ოდნავი	ოდ ნავ ი
გლობუსზე	გლო ბუს ზე
საგლეხო	სა გლეხ ო
ჟღენტი	ჟღე ნტ ი
მამაკაცური	მამა კაც ური
კვირეული	კვირე ული
სვიტრი	სვ იტ რი
ნოველების	ნოველ ების
გეიმის	გე იმ ის
ზეახალი	ზე ახალ ი
ალპინისტთა	ალ პინ ისტთა
ხელშეკრულებაში	ხელშეკრულებ ა ში
შუბისპირები	შუ ბ ისპირები
გოლგოთის	გოლ გოთ ის
მემკვიდრეობისა	მე მკვიდრეობ ისა
თარგმანს	თარგმ ან ს
მოუნდა	მო უნდ ა
ჩეხი	ჩე ხ ი
კიტი	კ იტ ი
კრება	კრებ ა
ამჟამინდელ	ა მჟამინდელ
მართალ	მართ ალ
დარტყმით	და რტყმ ით
ფორმებისა	ფორმ ებისა
ახსნა	ა ხსნ ა
კანონზომიერება	კანონ ზომიერებ ა
დადაბლებული	და დაბლ ებული
ფირის	ფირ ის
ქიქოძის	ქიქო ძ ის
ჩართვას	ჩა რთვ ას
ვაჭარი	ვა ჭარ ი
წონაა	წონ აა
აგილერამ	აგ ილერ ამ
ენერგიების	ენერგი ების
ფტორიდი	ფტორ იდ ი
ეკოლოგიურად	ეკ ოლოგი ურად
პატიმრებს	პატიმრ ებს
დოქტრინა	დო ქტრინ ა
დააზიანა	დაა ზიან ა
მოკლავდა	მო კლავ და
ორეგონის	ორე გონ ის
დამთავრდება	და მთავრ დება
მოძრაობასთან	მოძრაობ ასთან
ნიკეაში	ნიკე აში
კოსმოსური	კოსმო ს ური
კამპუსი	კამ პუს ი
ამჰერსტში	ამჰერ სტ ში
დუბაი	დუბა ი
აღმოჩენაა	აღმო ჩენ აა
დაისაჯნენ	დაი საჯ ნენ
გარეკანი	გარეკან ი
შემკული	შემ კულ ი
ევოლუციურად	ევ ოლუცი ურად
ტანკების	ტან კ ების
მაისი	მა ის ი
კიშინიოვის	კი შინ იოვის
ღატაკი	ღატაკ ი
წამოუღია	წამო უღ ია
მასალაც	მასალ აც
აჩვენებდა	ა ჩვენ ებდა
ჰეზბოლამ	ჰე ზბოლა მ
იგრძნობოდა	ი გრძნობ ოდა
ტემპერატურაზე	ტემპერა ტურ აზე
ნაკადული	ნაკად ული
გასულიყვნენ	გა სული ყვნენ
ასისტენტად	ას ისტენტ ად
ტორონტო	ტორ ონტო
წილის	წ ილ ის
კრიტიკის	კრიტიკ ის
განმსჭვალული	გან მსჭვალ ული
დამფუძნებლები	დამფუძნებ ლ ები
ლაზთა	ლა ზ თა
მხოლოს	მხო ლ ოს
ოცნებაა	ოცნებ აა
პიანისტის	პიან ისტ ის
მოპყრობა	მო პყრობ ა
ამბიციები	ამ ბიცი ები
უჩვეულოდ	უ ჩვეულ ოდ
ექნებოდა	ე ქნებ ოდა
მიუსაჯა	მიუ საჯ ა
ნორმანული	ნორ მან ული
განმარტება	გან მარტ ება
გააქვს	გა აქვ ს
ელამი	ელ ამ ი
ძვირფასია	ძვირფას ია
თავსართები	თავსა რთ ები
გავედი	გა ვედ ი
კანკელი	კან კელ ი
ფიცით	ფიც ით
აგზავნიან	ა გზავნ იან
რაინის	რა ინ ის
ჰაბილისს	ჰა ბილის ს
კრებულში	კრებულ ში
დაეთმოთ	დაე თმ ოთ
მოძრაობიდან	მოძრაობ იდან
დისკზე	დისკ ზე
გოთიკის	გოთ იკის
მელბურნში	მელ ბურნ ში
კანონის	კანონ ის
მოციქულთა	მოციქულ თა
ჰუდის	ჰუ დ ის
ბორუსია	ბო რუს ია
სიგრძისა	სი გრძ ისა
საბუთის	საბუთ ის
გაწყდა	გა წყდ ა
აიღებს	ა იღ ებს
იმედგაცრუებული	იმედგა ცრუ ებული
მამფალი	მა მფალ ი
ამინდი	ამ ინდ ი
იზრდებიან	იზრდებ იან
ბეჭედს	ბე ჭედ ს
არქიტექტორი	არქი ტექტორ ი
უნებლიე	უნ ებლი ე
გრაფების	გრაფ ების
სიბრმავე	სი ბრმავ ე
მატერიალების	მატერიალ ების
ლოდები	ლოდ ები
ვოკალისტ	ვოკ ალისტ
სესხის	სესხ ის
სოლისტია	სო ლისტ ია
დოჟის	დო ჟ ის
