იტალიასთან	იტა ლი ასთან
კავკასიელ	კავკასი ელ
ბაკის	ბა კ ის
ევოლუციაში	ევოლუცი აში
მოხუცი	მო ხუც ი
ლუარსაბ	ლუ არსაბ
შარაძე	შა რ აძე
ფორმაა	ფორმ აა
სათანადოდ	სა თანად ოდ
ნიდერლანდში	ნი დერლანდ ში
ვეზუვის	ვ ეზუვ ის
მწვერვალი	მ წვერვალ ი
ეშვება	ე შვებ ა
პოლონური	პოლონ ურ ი
გააფთრებული	გა აფთრ ებული
გაჩერებას	გა ჩერ ებას
დევიზი	დე ვიზ ი
ასრულდა	ა სრულდ ა
ნაძვის	ნა ძვ ის
ირლანდიელები	ირ ლანდი ელები
სათადარიგოთა	სა თადარიგ ოთა
სულებთან	სულ ებთან
ცოლი	ცოლ ი
იწყებდნენ	ი წყებ დნენ
სიგანეში	სიგან ე ში
სეისმურ	სე ისმ ურ
ქალაქისათვის	ქალაქ ისათვის
ფესვები	ფე სვ ები
ტელეარხების	ტელეარ ხ ების
აგნოსტიკოსი	აგნოსტი კოს ი
ააფეთქეს	აა ფეთქ ეს
ანგარიშს	ანგარიშ ს
ოლივია	ოლი ვი ა
ატარებდა	ა ტარ ებდა
ანგარიშებში	ანგარიშ ებში
გავრცელებას	გა ვრცელებ ას
ბარიკადებზე	ბარი კად ებზე
შეენარჩუნებინათ	შეე ნარჩუნ ებინათ
აბსტრაქტულ	აბსტრ აქტ ულ
დაინახავს	დაი ნახავ ს
თეორიების	თე ორი ების
ტრიბუნების	ტრიბუ ნ ების
დაუჯდა	და უჯ და
რესპუბლიკელებს	რესპუბლი კ ელებს
ბიძაშვილზე	ბიძა შვილ ზე
გაზეთის	გა ზეთ ის
ფარულად	ფარ ულად
განრისხება	გან რისხ ება
პელეს	პე ლე ს
ერევანი	ერე ვან ი
მონად	მო ნ ად
ირკვევა	ი რკვევ ა
ფერწერას	ფერ წერ ას
რადიოს	რადი ო ს
ბაქოში	ბაქ ო ში
პარტიზანებს	პარტი ზან ებს
ყიზილბაშების	ყ იზილბაშ ების
შენადნობის	შენადნობ ი ს
ეთიოპელი	ეთიოპ ელ ი
საპა	სა პ ა
ისრებით	ის რ ებით
მთვარის	მთვარ ის
პატივმოყვარე	პატივ მოყვარე
ბებიასთან	ბე ბი ასთან
მიღწევაში	მი ღწევ აში
პოლონეთმა	პოლონ ეთ მა
რეიგანის	რე იგან ის
არქონის	არ ქონ ის
სანქციები	სან ქცი ები
აცნობენ	ა ცნობ ენ
დაფუძნებულ	და ფუძნებ ულ
ბალთაზარ	ბალთა ზარ
ჰადესში	ჰა დეს ში
მეთხუთმეტე	მე თხუთმეტ ე
კულინარული	კულ ინ არული
ბენქსი	ბენ ქს ი
გასამგზავრებლად	გასა მგზავრ ებლად
ანგარიშების	ანგარიშ ების
ნახშირორჟანგის	ნახშირორ ჟანგ ის
რუსუდან	რუს უდ ან
მიზანიც	მი ზან იც
დოვლათის	დოვლ ათ ის
ერისთავ	ერის თავ
დიაკვნად	დია კვნ ად
საკონსერვო	საკონსერვ ო
ესპანურენოვან	ესპან ურ ენოვან
ამაღლებს	ა მაღლებ ს
ედიქტის	ედიქტ ის
უჯრედებზე	უჯრედ ებზე
ფრიზი	ფრი ზ ი
ტერფი	ტერ ფ ი
პიეტრო	პი ეტრო
ხელმძღვანელობით	ხელმძღვანე ლობ ით
მყინვარის	მყინვარ ის
წამოსული	წამო სულ ი
ვახტანგ	ვა ხტანგ
სისასტიკის	სისა სტიკ ის
შესაბამისი	შესაბა მის ი
აქტივობას	აქტივ ობ ას
პარმას	პარ მ ას
წვერიანი	წვერ იანი
უტრეხტის	უტრე ხტ ის
ხანგრძლივობაა	ხანგრძლივ ობაა
კემბრიჯში	კემ ბრიჯ ში
აგილერას	აგილე რა ს
გადასვლისას	გადა სვლ ისას
საფუძვლის	საფუძვლ ის
ციკლონური	ციკლო ნ ური
ხაზის	ხაზ ის
მხარე	მხარ ე
ოფიცრები	ოფიც რ ები
მიმდევრებს	მიმდევრ ებს
გამოშვებულ	გამო შვებ ულ
მტაცებელია	მტაცებ ელ ია
ტბის	ტ ბ ის
რასელმა	რა სელ მა
კიროს	კი როს
მედიას	მედი ას
სოკოების	სო კო ების
შენელების	შე ნელ ების
კვერცხების	კვერ ცხ ების
ინდოევროპული	ინდოევრო პულ ი
სტრატეგიულ	სტრ ატეგ იულ
ჰქონდათ	ჰ ქონ დათ
რამა	რა მა
დაუმორჩილა	დაუ მორჩილ ა
ამსახველ	ა მსახველ
სტრუქტურებს	სტრუქტურ ებს
სავანაში	სა ვან აში
ოქტომბერი	ოქტომ ბერ ი
სამმართველოს	სამ მართველო ს
მიაღწიოს	მი აღწი ოს
ზრდასა	ზრდ ასა
ქელბაჯარის	ქელბა ჯარ ის
ეფექტით	ეფექტ ით
ნაყინი	ნა ყინ ი
სამუშაოს	სა მუშაო ს
გამოცემამდე	გამო ცემ ამდე
შრედინგერის	შრედინგერ ის
ნორმის	ნორ მ ის
ვეზირის	ვე ზირ ის
გადმოხვიდე	გადმო ხვიდე
თეიმურაზ	თეიმ ურაზ
გამოთვლები	გამო თვლ ები
განმასხვავებელ	განმა სხვავებ ელ
დაადგება	დაა დგ ება
მაგნიტუდის	მაგ ნიტუდ ის
პირას	პირ ას
პროექტია	პროექტ ია
იშვიათია	იშვიათ ია
გებელსმა	გ ებელს მა
ისხდნენ	ის ხ დნენ
დიმიტრი	დი მიტრი
ეფექტს	ეფექტ ს
მოსავლიანობა	მოსა ვლ იანობა
რადეს	რა დე ს
ფარგლები	ფარგლ ები
გადაკეთებულია	გადა კეთ ებულია
დაითხოვა	დაი თხოვ ა
რელიგიისა	რელი გი ისა
შრიფტით	შ რიფტ ით
დრამატულად	დრამა ტულ ად
შეფასებული	შე ფასებ ული
ევროპელებს	ევრო პ ელებს
ჯავახეთი	ჯავახ ეთ ი
განდეგილი	განდე გილ ი
თხემურ	თხემ ურ
კონტაქტში	კონტაქტ ში
მოთამაშედ	მოთამა შე დ
მაღალმთის	მაღალ მთ ის
დანიშნულმა	და ნიშნულ მა
პარაგვაი	პარა გვაი
სინგლში	სი ნგლ ში
სრულუფლებიანი	სრულუფლებ იან ი
მოჭრილ	მო ჭრილ
გადაქცეულია	გადა ქცეულ ია
ასწიოს	ა სწი ოს
ჩადენსისის	ჩა დენ სისის
არხით	არ ხ ით
წესია	წეს ია
ვატიკანის	ვა ტიკან ის
ზოროასტრიზმის	ზორო ასტრ იზმის
ვაკანტური	ვაკან ტურ ი
გამდინარე	გა მდინარე
ლაღი	ლა ღ ი
ცოდვათა	ცოდვ ათა
დასტურდება	დასტურ დება
სოფლებისა	სოფლ ებისა
შედეგი	შე დეგ ი
მტირალა	მტი რალ ა
აეხსნა	აე ხსნ ა
ოტავა	ო ტავ ა
რქებს	რქ ებს
მოხალისედ	მოხალი სე დ
ხალიჩების	ხალი ჩ ების
კიდურწაისრული	კიდურწაი სრულ ი
ქულები	ქუ ლ ები
ანდერსონთან	ანდერ სონ თან
მკლავში	მკლავ ში
მსმენელებს	მს მენელ ებს
დანიშნოს	და ნიშნ ოს
ლტოლვილების	ლტოლ ვილ ების
ორსულ	ორ სულ
შესატყვისი	შე სატყვის ი
შვედეთისა	შვე დეთ ისა
მოწინააღმდეგესთან	მოწინააღმდეგ ე სთან
დასჯით	და სჯ ით
ჰუმანიზმი	ჰუმა ნ იზმი
ზონდი	ზო ნდ ი
დენიელ	დე ნიელ
ბურთისთვის	ბურთ ისთვის
გამოაგზავნა	გამოა გზავნ ა
გარნიეს	გარნი ე ს
დაარწმუნეს	დაა რწმუნ ეს
გააგზავნეს	გაა გზავნ ეს
ბებიას	ბე ბი ას
დაიბრუნებდა	დაი ბრუნ ებდა
ჟორჟი	ჟორ ჟ ი
კოდით	კო დ ით
წარმოსახვითი	წარმო სახვ ითი
ნმ	ნმ
გაუპატიურების	გა უპატიურ ების
ფრენენ	ფრენ ენ
მკვლელობისთვის	მ კვლელობ ისთვის
რისკის	რის კ ის
ჩნდებოდნენ	ჩნდ ებოდნენ
სექტემბერში	სექტ ემბერ ში
მრუდე	მრუდ ე
მარხილის	მარ ხილ ის
გაურბიან	გა ურბ იან
წუთებზე	წუ თ ებზე
აღსადგენად	აღსა დგენ ად
პრობლემებია	პრობლემ ებია
გორილას	გო რილ ას
კაიზერის	კა იზერ ის
პლატინის	პლა ტინ ის
მოსარწყავად	მოსა რწყავ ად
ნიშა	ნი შ ა
პროცენტულად	პრო ცენტ ულად
იფანტება	ი ფანტ ება
სისტემებთან	სისტემ ებთან
ათენას	ათ ენ ას
ავსტრალია	ავსტრა ლი ა
ოშოს	ოშ ოს
ეთიკურ	ეთ იკ ურ
საწარმოებლად	სა წარმო ებლად
გადაადგილდა	გადა ადგილდ ა
მიზანია	მი ზან ია
ხევისბერი	ხევის ბერ ი
მარცვლის	მარ ცვლ ის
ყოველივე	ყოველ ივე
ფერგიუსონმა	ფერ გიუსონ მა
შემოქმედებაშიც	შემო ქმედებ აშიც
მოასწრებს	მოა სწრ ებს
მინარეთი	მი ნარ ეთი
რუსეთისთვის	რუს ეთ ისთვის
პროტექტორატის	პროტექტო რატ ის
საინიციატივო	საინიცია ტივ ო
ცვივა	ცვ ივ ა
საკმეტოში	სა კმეტ ოში
განმარტოებულ	გან მარტო ებულ
გეოლოგიას	გეო ლოგი ას
ხელისუფლებაში	ხელის უფლებ აში
ეტიუდი	ეტი უდ ი
პალიასტომის	პალიასტო მ ის
უბერავს	უ ბერ ავს
წყალსატევის	წყალსა ტევ ის
თბილელის	თბილ ელის
ღვთისმშობელმა	ღვთის მშობელ მა
ეპოქას	ეპ ოქ ას
გამოუცხადეს	გამოუ ცხად ეს
მოსახერხებელია	მოსა ხერხებელი ა
დატვირთულია	და ტვირთ ულია
ქრისტეშობამდე	ქრისტ ეშობ ამდე
მილიონად	მი ლიონ ად
ამოვსებული	ამო ვსებული
ლამა	ლა მ ა
პოლიტიკამ	პოლიტიკ ამ
სამართალი	სამართ ალ ი
მოსამსახურეთა	მოსა მსახურე თა
მინდვრები	მინდვრ ები
შენდებოდა	შე ნ დებოდა
მიწერილ	მი წერილ
უკანასკნელს	უკანა სკნელ ს
რხევას	რ ხევ ას
ცენზორის	ცენ ზორ ის
კატისებრთა	კატ ისებრთა
დასაშვებ	დასა შვებ
იასონი	ია სონ ი
მაღალი	მა ღალ ი
დაარწმუნებს	დაა რწმუნ ებს
განლაგების	გან ლაგ ების
წინაპრებისგან	წინა პრ ებისგან
ციური	ცი ური
გადახდების	გადა ხდ ების
პრევალი	პრე ვალ ი
მარჯიელა	მარჯი ელ ა
უტოპიურ	უტოპ ი ურ
უჯრედები	უჯრედ ები
დაუმატეს	დაუ მატ ეს
გერმანელის	გერმან ელ ის
ფოთლოვან	ფოთლოვან
კალთებიდან	კალ თ ებიდან
კათოლიკოსი	კათოლი კოს ი
ცეცხლსასროლ	ცეცხლსა სროლ
ჭყონდიდელის	ჭყ ონდიდ ელის
ხიმშიაშვილი	ხი მში აშვილი
ნაშთებიც	ნაშთ ებიც
მცხეთაში	მც ხეთ აში
წმინდანების	წმი ნდან ების
მადაგასკარი	მადაგა სკარ ი
სექსუალობის	სექსუალ ობის
დარტყმების	და რტყმ ების
საკოლმეურნეო	საკოლ მეურნე ო
ოლიმპოს	ოლ იმპ ოს
შავკანიანები	შავ კანიან ები
შეასრულებს	შეა სრულ ებს
რავენაში	რა ვენ აში
მყინვარია	მყინვარ ია
კანგალი	კან გალი
იგერიებდნენ	ი გერი ებდნენ
ექსპლოატაციის	ექსპ ლოატ აციის
მდინარეებს	მდინარე ებს
სამახსოვრო	სა მახსოვრ ო
შეიარაღების	შე იარაღ ების
ცენტრიც	ცენტრ იც
სკოლაა	სკოლ აა
მქონეა	მქონე ა
ვიგებთ	ვი გებ თ
მორფოლოგიური	მორფოლოგი ური
თურქების	თურქ ების
მეთაურობის	მე თაურ ობის
მწყემსი	მწყ ემს ი
საყრდენ	სა ყრდენ
სხვადახვა	სხვადა ხვ ა
მონარქი	მო ნარქი
კირილეს	კირ ილ ეს
გეტო	გე ტო
წინამორბედთან	წინა მორბედ თან
ჯულიეტა	ჯულ იეტ ა
პლანეტად	პლანეტ ად
ჰემში	ჰე მ ში
აგრძელებს	ა გრძელებ ს
აქვეა	ა ქვე ა
კილომეტრია	კილო მეტრ ია
აცვიათ	ა ცვ იათ
ეწეოდა	ეწეო და
არქანჯელო	არქ ანჯელო
საგები	სა გ ები
წარმოიდგინე	წარმოი დგინ ე
იუანის	იუ ან ის
ერთპიროვნული	ერთპირ ოვნ ული
რუმინული	რუმინ ულ ი
ჯგუფთა	ჯგუფ თა
ტურნირებზე	ტურნირ ებზე
შევსებული	შე ვსებ ული
კლდიდან	კლ დ იდან
ქვიან	ქვ იან
შემოზღუდული	შემო ზღუდ ული
ფეროშენადნობთა	ფეროშენადნობ თა
აბსოლუტიზმი	აბსოლუტ იზმ ი
ალყამ	ალ ყ ამ
ყოფილმა	ყოფილ მა
ეგზისტენციალურ	ეგზისტენციალ ურ
გაერო	გაე რო
გათამაშებიდან	გა თამაშ ებიდან
მაროკოს	მა როკო ს
პრემიერი	პრე მიერ ი
ლიცენზიით	ლი ცენზი ით
შტატებში	შტატ ებში
ყრილობებს	ყ რილობ ებს
ექმნება	ე ქმნ ება
ირჩევდა	ი რჩევ და
ზბიგნევი	ზბიგნ ევ ი
უკრაინელები	უკრა ინ ელები
კავშირებით	კავშირ ებით
კონსოლების	კონ სოლ ების
მშიერი	მ შ იერი
ღელვის	ღელვ ის
საცეცხლე	სა ცეცხლ ე
მხარეებზე	მხარ ე ებზე
კოპერი	კო პერ ი
ლიცენზიის	ლი ცენზი ის
დასასჯელად	დასა სჯელ ად
ოკეანეებში	ოკეანე ებში
პიროვნებები	პირ ოვნებ ები
პოულობდა	პო ულობ და
დაამონტაჟეს	დაა მონტაჟ ეს
სკანირება	სკან ირება
მკვლელი	მკვლელ ი
ემაგრება	ე მაგრ ება
ვახტანგი	ვა ხტანგ ი
თვალნათლივ	თვალ ნათლივ
ოდნავი	ოდნავ ი
გლობუსზე	გლო ბუს ზე
საგლეხო	სა გლეხ ო
ჟღენტი	ჟღ ენტი
მამაკაცური	მამა კაც ური
კვირეული	კვირ ეული
სვიტრი	სვი ტრ ი
ნოველების	ნოველ ების
გეიმის	გე იმ ის
ზეახალი	ზე ახალ ი
ალპინისტთა	ალპინ ისტ თა
ხელშეკრულებაში	ხელშეკრ ულებ აში
შუბისპირები	შ უბ ისპირები
გოლგოთის	გოლ გოთ ის
მემკვიდრეობისა	მე მკვიდრეობ ისა
თარგმანს	თარგმ ან ს
მოუნდა	მო უნ და
ჩეხი	ჩ ეხ ი
კიტი	კი ტ ი
კრება	კრებ ა
ამჟამინდელ	ამ ჟამინდ ელ
მართალ	მართ ალ
დარტყმით	და რტყმ ით
ფორმებისა	ფორმ ებისა
ახსნა	ა ხსნ ა
კანონზომიერება	კანონ ზომიერ ება
დადაბლებული	დადა ბლ ებული
ფირის	ფირ ის
ქიქოძის	ქიქო ძ ის
ჩართვას	ჩა რთვ ას
ვაჭარი	ვა ჭარ ი
წონაა	წონ აა
აგილერამ	აგილე რა მ
ენერგიების	ენერგი ების
ფტორიდი	ფ ტორი დი
ეკოლოგიურად	ეკ ოლოგი ურად
პატიმრებს	პატიმრებ ს
დოქტრინა	დოქ ტრინ ა
დააზიანა	დაა ზიან ა
მოკლავდა	მო კლავ და
ორეგონის	ორე გონ ის
დამთავრდება	და მთავრ დება
მოძრაობასთან	მო ძრაობ ასთან
ნიკეაში	ნიკე აში
კოსმოსური	კოსმო ს ური
კამპუსი	კამ პუს ი
ამჰერსტში	ამ ჰერსტ ში
დუბაი	დუ ბაი
აღმოჩენაა	აღმო ჩენ აა
დაისაჯნენ	დაი საჯ ნენ
გარეკანი	გარე კან ი
შემკული	შემ კულ ი
ევოლუციურად	ევოლუცი ურად
ტანკების	ტან კ ების
მაისი	მა ის ი
კიშინიოვის	კი შინ იოვის
ღატაკი	ღატაკ ი
წამოუღია	წამო უღ ია
მასალაც	მას ალ აც
აჩვენებდა	ა ჩვენებ და
ჰეზბოლამ	ჰე ზბოლ ამ
იგრძნობოდა	ი გრძნობ ოდა
ტემპერატურაზე	ტემპერატურ აზე
ნაკადული	ნა კად ული
გასულიყვნენ	გა სული ყვნენ
ასისტენტად	ასისტენტ ად
ტორონტო	ტორ ონტო
წილის	წილ ის
კრიტიკის	კრიტიკ ის
განმსჭვალული	გან მსჭვალ ული
დამფუძნებლები	დამ ფუძნებ ლები
ლაზთა	ლა ზ თა
მხოლოს	მხოლ ოს
ოცნებაა	ოცნებ აა
პიანისტის	პიან ისტ ის
მოპყრობა	მო პყრობ ა
ამბიციები	ამბ იცი ები
უჩვეულოდ	უ ჩვეულ ოდ
ექნებოდა	ე ქნებ ოდა
მიუსაჯა	მიუ საჯ ა
ნორმანული	ნორ მან ული
განმარტება	გან მარტ ება
გააქვს	გაა ქვ ს
ელამი	ე ლამ ი
ძვირფასია	ძვირფას ია
თავსართები	თავსა რთ ები
გავედი	გა ვედ ი
კანკელი	კან კელ ი
ფიცით	ფიც ით
აგზავნიან	ა გზავნ იან
რაინის	რაი ნ ის
ჰაბილისს	ჰა ბილის ს
კრებულში	კრებულ ში
დაეთმოთ	და ეთმო თ
მოძრაობიდან	მო ძრაობ იდან
დისკზე	დისკ ზე
გოთიკის	გოთ იკის
მელბურნში	მელბურ ნ ში
კანონის	კანონ ის
მოციქულთა	მოციქულ თა
ჰუდის	ჰუ დ ის
ბორუსია	ბო რუს ია
სიგრძისა	სი გრძ ისა
საბუთის	საბუთ ის
გაწყდა	გა წყდ ა
აიღებს	აი ღ ებს
იმედგაცრუებული	იმედგა ცრუ ებული
მამფალი	მა მფალ ი
ამინდი	ა მინდ ი
იზრდებიან	ი ზრდ ებიან
ბეჭედს	ბე ჭედ ს
არქიტექტორი	არქიტექტ ორ ი
უნებლიე	უნებ ლი ე
გრაფების	გრაფ ების
სიბრმავე	სი ბრმავ ე
მატერიალების	მა ტერიალ ების
ლოდები	ლო დ ები
ვოკალისტ	ვოკა ლისტ
სესხის	სესხ ის
სოლისტია	სო ლისტ ია
დოჟის	დოჟ ის
გაათავისუფლა	გაათავისუფ ლ ა
