ბათუმში	ბათუმ ში
რედაქციას	რედაქცი ას
საცალფეხო	საცალ ფეხ ო
უკეთესად	უკეთეს ად
ქვეშევრდომობაში	ქვეშევ რდომ ობაში
ზეწოლამ	ზეწოლ ამ
ფარნაოზს	ფარნა ოზ ს
მომთხოვნი	მომთხოვნ ი
ალიზის	ალიზ ის
მწვრთნელად	მწვრთნელ ად
როჟე	რო ჟ ე
რიგით	რიგ ით
ლოგიკა	ლოგიკ ა
ნელსონმა	ნელსონ მ ა
ადგილით	ადგილ ით
ვაჟისთვის	ვაჟ ისთვის
ინდოჩინეთის	ინდო ჩინ ეთის
ევაგრე	ევაგრ ე
ერაყი	ერაყ ი
პიროსი	პიროს ი
ურთიერთმოქმედების	ურთიერთ მოქმედ ების
ადამ	ად ამ
მონასტრიდან	მონასტრ ი დან
იჯარით	იჯარ ით
ღვიძლში	ღვიძლ ში
ესაუბრებოდა	ესაუბრ ებ ოდა
დუღაბით	დუღაბ ით
ჩხერიმელის	ჩხერიმ ელ ის
დარბაზს	დარბაზ ს
გვალვაგამძლეა	გვალვა გამძლე ა
ეთხოვა	ე თხოვ ა
მისანიჭებლად	მი სანიჭ ებლად
ბურთისთვის	ბურთ ისთვის
ესმერალდას	ესმერალ დ ას
ჩაქრობა	ჩა ქრ ობა
გლადიატორთა	გლადი ატორ თა
მიკრობული	მიკრობ ულ ი
ნაკლებობა	ნაკლებ ობ ა
ისწავლის	ისწავლ ის
ნეტსის	ნეტს ის
პილოტები	პილოტ ებ ი
შემოესია	შემო ეს ია
შესაძლებლობაზე	შესაძლებლ ობ აზე
ჩინელთა	ჩინელ თ ა
საკონსტრუქტორო	სა კონსტრუქტ ორ ო
ხორვატი	ხორვატ ი
ტროას	ტრო ას
ჩანჩქერთან	ჩანჩქერ თან
მეთოდეს	მეთოდ ეს
მკვლევარებს	მკვლევარ ებ ს
მედალიონში	მედალიონ ში
ცხოველებია	ცხოველ ებ ია
ეპოქის	ეპოქ ის
ტყავის	ტყავ ის
მოზელის	მოზე ლ ის
მიდგა	მი დგ ა
ნიკეის	ნიკე ის
აბარებს	აბარ ებ ს
მოუხერხებელია	მოუ ხერხ ებელი ა
სათათბიროს	სა თათბირ ო ს
სასმელ	სა სმ ელ
აღსასრულის	აღსასრულ ის
გამოკვეთა	გამო კვეთ ა
ხსენებული	ხსენებ ული
შოუ	შო უ
სამფლობელოებში	სამფლობელ ო ებში
მოგვიანებით	მოგვიან ებ ით
სახისაა	სახ ისა ა
ზაქარაია	ზაქარ აი ა
პლატოზე	პლატო ზ ე
გადაადგილდებიან	გადაადგილ დ ებიან
მისვლას	მისვლ ას
კიდურებით	კიდურ ებ ით
ხეტიალი	ხეტიალ ი
მასებით	მას ებ ით
საავტორო	სა ავტორ ო
ხერხემლიან	ხერხემლიან
ფლეტჩერმა	ფლეტჩერ მა
სიხშირეზე	სიხშირ ე ზე
იმარჯვეს	იმარჯვ ეს
ბერნარდი	ბერნარდ ი
ხუნძახის	ხუნ ძახ ის
თავსაბურავი	თავსა ბურავ ი
იტევს	ი ტევ ს
კერკეტი	კერ კეტ ი
მეტრს	მეტრ ს
ამოშვერილი	ამო შვერ ილი
აყენებს	აყენ ებს
გვერდში	გვერდ ში
გზაზე	გზ აზე
ჰასეკი	ჰას ეკ ი
ალყიდან	ალყ ი დან
აგარაკი	აგარაკ ი
განივ	გან ივ
სახალიფოში	სახალიფ ო ში
ჰოუქსმა	ჰოუქს მა
თეატრისთვის	თეატრ ისთვის
პართია	პართი ა
ხავიერ	ხავ იერ
არაჩვეულებრივ	არაჩვეულ ებრივ
ზამთრობს	ზამთრ ობ ს
სიმწარე	სიმწარ ე
გამოტანილია	გამო ტანილ ია
კისერი	კისერ ი
ფორმირება	ფორმირ ებ ა
ბირთვების	ბირთვ ებ ის
ენდემია	ენდემ ი ა
ტურიდან	ტურ ი დან
გრონინგენის	გრონ ინგ ენის
ჰიპოთეზის	ჰიპოთეზ ის
მოლეკულა	მოლეკულ ა
წინააზიური	წინააზი ურ ი
სპეც	სპე ც
ხერხდება	ხერხ დ ება
წარმართულ	წარმართ ულ
ინტერესებზე	ინტერეს ებ ზე
თაღში	თაღ ში
სიძლიერეს	სიძლიერ ეს
ნაწლავს	ნაწლავ ს
შახტებში	შახტ ებ ში
ვილიამ	ვილ ი ამ
თივის	თი ვ ის
იდეალურად	იდეალ ურ ად
პეიტონს	პეიტონ ს
საგანთა	საგან თ ა
ნოემბერი	ნო ემბერ ი
ხეა	ხე ა
ტაძრის	ტაძრ ის
კონფედერაციაში	კონფედერ აცი აში
ასპექტებზე	ასპექტ ებ ზე
ლოქის	ლოქ ის
ინტერპრეტაცია	ინტერპრეტა ცი ა
ეყრდნობა	ეყრდნობ ა
გამოეცალა	გამოე ცალ ა
სიმფიზური	სიმ ფიზ ურ ი
უკრავდნენ	უკრავ დ ნენ
ტრაგედიას	ტრაგედ ი ას
დაარღვიეს	და არღვი ეს
სოფი	სოფ ი
ფაკულტეტს	ფაკულტეტ ს
პაპირუსის	პაპირუს ის
კუტუზოვის	კუტუზ ოვ ის
ძარცვას	ძარცვ ას
დასაშვებია	და საშვებ ია
ქრისტიან	ქრისტ იან
ლეონტი	ლეონ ტი
რალი	რალ ი
ადამიანზე	ადამიან ზ ე
გაცნობის	გა ცნობ ის
ეთნოსის	ეთნოს ის
ბუზი	ბუ ზი
ეკლესიები	ეკლესი ებ ი
კორპუსმა	კორპუს მა
ქცეულიყო	ქცეულ იყო
ფინიკიელთა	ფინიკი ელ თა
უფასოდ	უფას ოდ
მოიწონა	მოიწონ ა
საიტების	საიტ ებ ის
რქა	რქ ა
ოცდაცხრამეტი	ოცდა ცხრამეტ ი
მამაკაცებში	მამაკაც ებ ში
სწრაფია	სწრაფ ი ა
თემს	თემ ს
მაისურით	მაისურ ით
გააჩნდათ	გაა ჩნდ ათ
ომისთვის	ომ ისთვის
ერთგან	ერთ გან
მანგროს	მანგ რ ოს
შეტევებს	შეტევ ებ ს
მიცვალებულებს	მიცვალ ებულ ებს
ვოლდემორს	ვოლდემორ ს
განწყობილება	განწყობილ ებ ა
პაკეტები	პაკეტ ებ ი
სამაზრო	სამ აზრ ო
იურისპრუდენციას	იურისპრუდენცი ას
კორიუნის	კორი უნ ის
კოსტუმები	კოსტუმ ებ ი
ლივერპულის	ლივერპულ ის
დაგებული	დაგ ებულ ი
აღძრა	აღ ძრ ა
მშობლებთან	მშობლ ებ თან
მხარეებს	მხარე ებ ს
ორიონის	ორ იონ ის
დანაყოფებს	დანაყოფ ებ ს
ბალადების	ბალად ებ ის
კრიშტიანუ	კრიშტ იან უ
ბოტანიკურ	ბოტან იკურ
როგორმე	როგორ მ ე
სლოვაკურ	სლოვაკ ურ
ნადირობდნენ	ნადირობ დ ნენ
წარმონაქმნებს	წარმონაქმნ ებ ს
დეტალს	დეტალ ს
საძიებო	საძიებ ო
ქარხნები	ქარხნ ებ ი
ალანდის	ალანდ ის
ყოფამ	ყოფ ამ
დიფერენციალურ	დიფერენცი ალურ
ისახავს	ისახავ ს
ბიომრავალფეროვნების	ბიომრავალფეროვ ნ ების
ოლიმპია	ოლიმპ ი ა
შებრუნებული	შე ბრუნ ებული
დაფის	დაფ ის
ჩვეულებრივად	ჩვეულებრივ ად
ლეგენდები	ლეგენდ ებ ი
დაწინაურდა	დაწინაურ დ ა
მამლუქები	მამლუქ ებ ი
უგანდის	უგანდ ის
სწერდა	სწერ დ ა
თვითმფრინავის	თვითმფრინავ ის
თვისებების	თვისებ ებ ის
ცეკვას	ცეკვ ას
გადმოიბირა	გადმო იბირ ა
ორაგული	ორაგულ ი
მკითხველების	მკითხველ ების
ჰაერით	ჰაერ ით
სიკეთის	სიკეთ ის
ვენესუელელი	ვენესუელ ელ ი
იაროსლავ	ია როსლავ
ხელნაწერია	ხელნაწერ ი ა
გამოიყოს	გამო იყ ოს
ასისტენტად	ასისტ ენტ ად
აფრიკელი	აფრიკ ელ ი
ჩასმულ	ჩასმ ულ
ვადას	ვად ას
ელექტროენერგიას	ელექტრო ენერგი ას
შეკუმშვას	შეკუმშ ვ ას
მგზავრობის	მგზავრ ობ ის
ხდებოდა	ხ დ ებოდა
მხარეთმცოდნეობის	მხარე თმცოდნე ობის
არაბულიდან	არაბულ ი დან
რისგანაც	რ ისგან აც
ამყარებდა	ამყარ ებ და
საზოგადოებად	საზოგადოებ ად
უმწეოთა	უმწე ოთ ა
შეეცადა	შეეცა დ ა
გამოფინა	გამოფინ ა
კონსულად	კონსულ ად
მომსწრე	მომ სწრ ე
მოქმედებისას	მოქმედ ებ ისას
ნერბისა	ნერ ბ ისა
მოეწყოთ	მო ეწყ ოთ
ეპარქიათა	ეპარქი ა თა
სარბიელზე	სარბი ელ ზე
რეიჩელ	რეიჩელ
დაზარალდა	დაზარალ დ ა
დოკუმენტურად	დოკუმენტ ურ ად
ეწვეოდა	ეწვ ე ოდა
კონტინენტურ	კონტინენტ ურ
ბრანდენბურგის	ბრანდ ენ ბურგ ის
სამოყვარულო	სა მოყვარულ ო
დისკს	დისკ ს
ტერნერის	ტერნერ ის
კანცელარია	კანცელარი ა
მოახლოებული	მოახლო ებულ ი
გვეუბნება	გვე უბნ ება
ლარსი	ლარს ი
ალგეთი	ალგეთ ი
იაპონიაში	იაპონი ა ში
კვაზიმოდოს	კვ აზიმოდ ოს
ინგლისურმა	ინგლისურ მა
გამოიკვეთა	გამოი კვეთ ა
ეცილებოდა	ეცილ ებ ოდა
სამდივნო	სამდივნ ო
ახლდნენ	ახლ დ ნენ
მეკობრეებს	მეკობრე ებ ს
ყავთ	ყავ თ
უკანასკნელში	უკანასკნელ ში
ინჟინერი	ინჟინე რ ი
ნახევარი	ნახევარ ი
წინააღდეგ	წინააღ დეგ
ჭეშმარიტ	ჭეშმარ იტ
პროდუქტები	პროდუქტ ებ ი
ინა	ინ ა
მონობა	მონ ობ ა
პატივსაცემი	პატივ საცემ ი
სექსუალური	სექსუალ ურ ი
რიჩარდ	რიჩარდ
პითაგორას	პითაგორ ას
ეგვიპტესთან	ეგვიპტ ეს თან
ატრიალებს	ა ტრიალ ებს
შთაგონებულია	შთაგონ ებულ ია
გაქირავებაში	გაქირავ ებაში
რომელზე	რომელ ზ ე
ერთხმად	ერთ ხმ ად
დაინტერესდნენ	დაინტერეს დ ნენ
მალიქი	მალიქ ი
სანიტარული	სან იტარ ული
ცერემონიაში	ცერემონ ი აში
სისონა	სი სონ ა
განაცხადებს	განაცხად ებ ს
წინაპარს	წინაპარ ს
საცურავი	სა ცურავ ი
თარიღის	თარიღ ის
მუსლიმმა	მუსლიმ მა
კავალიერსმა	კავალი ერს მა
ზრუნვას	ზრუნვ ას
ვინ	ვინ
გორასამარხები	გორ ასამარხ ები
გორგასალი	გორგას ალ ი
განდგომა	განდგომ ა
პტოლემეს	პტოლემე ს
ყარაღანდის	ყარაღანდ ის
ლიდერობდა	ლიდერ ობ და
მოსაზრებები	მოსაზრებ ებ ი
არმიებმა	არმი ებ მა
ასტატის	ა სტატი ს
მონღოლები	მონღოლ ებ ი
ბომბავდნენ	ბომბ ავ დნენ
მოძრაობების	მოძრაობ ებ ის
სისტემატიური	სისტემატ იურ ი
შემოქმედებამ	შემოქმედებ ამ
წარწერის	წარწერ ის
ითხოვს	ითხოვ ს
ფრენა	ფრენ ა
იგდეს	იგდ ეს
ნათესავმა	ნათესავ მა
წინააღმდეგობები	წინააღმდეგ ობ ები
მშიერი	მში ერ ი
მადნეული	მადნ ეულ ი
ღუმელის	ღუმელ ის
ტიიას	ტი ი ას
ინტერვალი	ინტერვალ ი
წვიმის	წვიმ ის
მახასიათებელს	მახასიათებ ელ ს
ელფერს	ელფერ ს
საბუთები	საბუთ ებ ი
ქვიან	ქვ იან
გილგამეშის	გილგამე შ ის
წრფის	წრფ ის
ავსტრალიაში	ავსტრალი ა ში
აღზარდეს	აღ ზარდ ეს
მესაქონლეობის	მესაქონლე ობის
დაპატიმრებები	დაპატიმრ ებ ები
ეკონომიკის	ეკონომიკ ის
დიალექტებს	დიალექტ ებ ს
მიქსფირი	მიქს ფირ ი
მეტამორფულ	მეტამორფ ულ
მსახიობობა	მსახიობ ობ ა
მაუწყებლობას	მაუწყ ებლობ ას
სტინგმა	სტინგ მა
საყდრის	საყდრ ის
შეჰზადეს	შეჰზა დ ეს
დანიელები	დანი ელ ები
ამიერკავკასიის	ამიერკავკას ი ის
ხახა	ხახ ა
ლაქებით	ლაქ ებ ით
კარპატებში	კარპატ ებ ში
ბავშვისთვის	ბავშვ ისთვის
აფსიდს	აფსიდ ს
კლასიკურ	კლას იკურ
ღმრთისა	ღმრთ ისა
გადახვეწილი	გადა ხვეწ ილი
მოძრაობიდან	მოძრაობ ი დან
ორგანიზმში	ორგანიზმ ში
ექიმს	ექიმ ს
წამოწყებული	წამოწყ ებულ ი
ფილადელფია	ფილა დელფი ა
ფაქტორმა	ფაქტორ მ ა
ანტიციკლონი	ანტიციკლ ონ ი
მირდატ	მირ დატ
წერტილები	წერტილ ებ ი
თამარ	თამ არ
დააღწია	დააღწი ა
წყალსაცავის	წყალ საცავ ის
ეტაპი	ეტაპ ი
ამუშავებენ	ამუშავ ებ ენ
დაბრუნდება	დაბრუნ დ ება
ქალაქშია	ქალაქ ში ა
აღმოსავლეთი	აღმოსავლ ეთ ი
კონცხის	კონცხ ის
მიწით	მიწ ით
ვაჭრებმა	ვაჭრ ებ მა
ჩამოყალიბებაში	ჩამოყალიბ ებ აში
პულიცერის	პულიც ერ ის
კითხვებს	კითხვ ებ ს
კანონიზაცია	კანონ იზაცი ა
არისტოკრატული	არისტოკრატ ულ ი
სპეციფიური	სპეციფ იურ ი
ვერსიის	ვერსი ის
ნათესავებმა	ნათესავ ებ მა
განედური	განედ ურ ი
ოჯახმა	ოჯახ მა
წარწერით	წარწერ ით
მანგანუმი	მანგანუმ ი
მთლიანობის	მთლიან ობ ის
მაზრაში	მაზრ ა ში
მისცემს	მი სცემ ს
იკეთებს	იკეთ ებ ს
ზედაპირები	ზედაპირ ებ ი
დასახლებულები	დასახლ ებულ ები
ფასდაუდებელია	ფასდაუდ ებელ ია
ერთეულად	ერთეულ ად
შეტევით	შეტევ ით
ინტენსიურმა	ინტენსი ურ მა
ბედნიერებაა	ბედნიერ ებ აა
ალბომსა	ალბომ სა
დაედო	და ედ ო
მეტაფიზიკურ	მეტა ფიზიკურ
მიღებაზე	მიღებ აზე
ტექნიკუმი	ტექნიკ უმ ი
ჰანგები	ჰანგ ებ ი
ბგერებს	ბგერ ებ ს
ზეახლის	ზე ახლ ის
თეატრის	თეატრ ის
პალეოლოგოსის	პალეოლოგ ოს ის
ჩაწერაში	ჩაწერ ა ში
ობობების	ობობ ებ ის
დივერგენცია	დივერგენ ცი ა
ორგანიზებას	ორგანიზ ებ ას
ეფატეს	ეფ ატ ეს
ასასვლელად	ა სასვლელ ად
ახალციხეში	ახალციხ ე ში
სიონში	სიონ ში
გაყიდვა	გაყიდვ ა
დაბლობის	დაბლობ ის
ღვთისგან	ღვთის გან
განდის	გან დ ის
ბრაზილია	ბრაზილი ა
შემორჩენილი	შემო რჩენილ ი
გზამკვლევი	გზამ კვლევ ი
შემცირდა	შემცირ დ ა
ლიცენზიას	ლიცენზ ი ას
ვიზუალურ	ვიზუალ ურ
რანგში	რანგ ში
დამსახურების	და მსახურებ ის
სოციალური	სოციალ ურ ი
შიშს	შიშ ს
ჩამოსაყალიბებლად	ჩამოსა ყალიბ ებლად
ოსგუდის	ოსგუდ ის
სახელმწიფოში	სახელმწიფო ში
სპა	სპ ა
შეურიგებელი	შეურიგ ებელ ი
ფრონტონზე	ფრონტ ონ ზე
დაპყრობები	დაპყრ ობ ები
საწარმოებში	საწარმო ებ ში
რობენის	რობენ ის
უმნიშვნელოვანესია	უმნიშვნელოვან ეს ია
ძლიერაა	ძლიერ ა ა
მარადი	მარად ი
კაპის	კაპ ის
ჯულიუს	ჯული უს
გამარჯვებულს	გამარჯვებ ულ ს
მეთვალყურეობის	მეთვალყ ურე ობის
სალამურზე	სალამ ურ ზე
დასძინა	დას ძინ ა
მაო	მა ო
მიესადაგება	მი ესადაგ ება
გეოლოგიის	გეოლოგი ის
ნიმუშად	ნიმუშ ად
გაფართოების	გაფართო ებ ის
ელექტრონიკაში	ელექტრონ იკ აში
პრეტენზიებზე	პრეტენ ზი ებზე
შემუშავების	შემუშავ ებ ის
სანდრო	სანდრ ო
თანხმობის	თანხმ ობ ის
ღონისძიებები	ღონისძიებ ებ ი
ეპილეფსიური	ეპილეფსი ურ ი
პროტონებისა	პროტონ ების ა
შეწყალების	შეწყალ ებ ის
ჩარევით	ჩარევ ით
პილასტრები	პილასტრ ებ ი
ციხეა	ციხე ა
დღესასწაულის	დღე სასწაულ ის
აი	აი
ბერტ	ბერტ
გაიტაცეს	გა იტაც ეს
გამაგრდნენ	გამაგრ დ ნენ
ფასეულობათა	ფასეულ ობ ათა
ორბელიანს	ორბელ იან ს
ლექსის	ლექს ის
უიტმენის	უიტმენ ის
დაუდეს	დაუ დ ეს
ნადირზე	ნადირ ზ ე
ყვავილოვანი	ყვავილ ოვან ი
ნეპალი	ნეპალ ი
კეშის	კეშ ის
ორივემ	ორივე მ
სამუსიკო	სა მუსიკ ო
გადასატანი	გადასატან ი
კანაფის	კანაფ ის
გაქცევაში	გაქცევ ა ში
ჩიქოვანი	ჩიქოვან ი
გაირკვევა	გაი რკვევ ა
წასულა	წასულ ა
სანგრებში	სანგრ ებ ში
ირიდიუმის	ირიდ იუმ ის
ასწლეულში	ასწლეუ ლ ში
რეზერფორდმა	რეზერ ფორდ მა
აიყვანა	ა იყვან ა
დადიანი	დადიან ი
სექტორებში	სექტორ ებ ში
კოლონიზაცია	კოლონიზ აცი ა
უთხარი	უ თხარ ი
შემდგომი	შემდგომ ი
რიუკიუს	რიუკ იუს
მწუხარებით	მწუხარ ებ ით
მიმდინარეობდა	მიმდინარე ობ და
ტიხრული	ტიხრ ულ ი
სამი	სამ ი
ეხლანდელი	ეხლანდ ელ ი
ლიგის	ლიგ ის
პოლონელმა	პოლონ ელ მა
დერეკ	დერ ეკ
მსმენელის	მსმენ ელ ის
ურბინოს	ურბინ ო ს
შეეწირათ	შეე წირ ათ
ფეხბურთელი	ფეხბურთელ ი
გამოჯანმრთელდა	გამო ჯანმრთელ დ ა
შეჩერდნენ	შეჩერ დ ნენ
ურთიერთქმედებას	ურთიერთ ქმედებ ას
მიმართვის	მიმართ ვ ის
გახურებულ	გახურ ებულ
ყაზანის	ყაზან ის
ფრინველების	ფრინველ ებ ის
თავთავის	თავთავ ის
ლაბორატორიულ	ლაბორ ატორი ულ
რეიგანი	რეიგან ი
მცენარეულობით	მცენარე ულ ობით
თეოლოგი	თეოლოგ ი
კვლევებისა	კვლევ ების ა
ჰაიდ	ჰაი დ
მტრისთვის	მტრ ისთვის
პოლარულ	პოლარ ულ
გაყიდეს	გაყიდ ეს
მინდორს	მინდორ ს
შეითვისა	შე ითვის ა
ფერი	ფერ ი
თეორემა	თეორემ ა
ცალკე	ცალკ ე
პოლიგონი	პოლიგონ ი
ნეკნები	ნეკნ ებ ი
მხარისათვის	მხარ ის ათვის
ირანიდან	ირან ი დან
ანებებს	ან ებ ებს
შესასვლელი	შე სასვლელ ი
გომინდანის	გომინდ ან ის
პორტუგალიელი	პორტუგალი ელ ი
დაეხმარებოდა	და ეხმარ ებოდა
დედაქალაქიდან	დედაქალაქ ი დან
პროგრესულად	პროგრე სულ ად
ჩემპიონატების	ჩემპიონატ ებ ის
პროგრამებით	პროგრამ ებ ით
გამოცხადებამდე	გამოცხად ებ ამდე
აღიქვამდა	აღიქვამ დ ა
პარიზში	პარიზ ში
წიაღისეულის	წიაღ ისეულ ის
ინდიელებს	ინდიელ ებ ს
ყოველ	ყო ველ
გაერთიანებებს	გაერთიანებ ებ ს
გროვდება	გროვ დ ება
გამახვილებულია	გამახვილ ებულ ია
ცოის	ცო ის
შრიფტით	შრიფტ ით
აიხსნას	ა იხსნ ას
ჩასაბერი	ჩასა ბერ ი
დაგი	და გ ი
უდიდებულესობის	უდიდებულეს ობ ის
კახეთის	კახეთ ის
გრანადის	გრანად ის
ბორნეოს	ბორნე ოს
გამხდარიყო	გამხდარ იყ ო
სტატისტიკურ	სტატი სტიკ ურ
უდიდესი	უდიდეს ი
შაჰნამეს	შაჰნამ ეს
მოაშორა	მო აშორ ა
დიაგნოსტიკა	დიაგნო სტიკ ა
კანტონებად	კანტონ ებ ად
კივილი	კივ ილ ი
აღწევდნენ	აღწევ დ ნენ
სხვაზე	სხვ აზე
ტრადიციულად	ტრადიცი ულ ად
კონტინენტზე	კონტინენტ ზ ე
საკვები	საკვ ებ ი
აქამდე	აქ ამდე
სამრეწველო	სა მრეწველ ო
ეტაპობრივი	ეტაპ ობრივ ი
თამაშიანი	თამაშ იან ი
კონფლიქტის	კონფლიქტ ის
სიტყვებისა	სიტყვ ების ა
სირიისა	სირი ისა
შეხვედრა	შეხვედრ ა
ჩაშლა	ჩა შლ ა
შაკო	შაკ ო
ლიცენზიების	ლიცენზ ი ების
ვიოლინოს	ვიოლინ ო ს
ლეშს	ლეშ ს
მოცულობის	მოცულ ობ ის
დაფები	დაფ ებ ი
ნოლანის	ნოლან ის
ვარსკვლავით	ვარსკვლავ ით
ოთხზე	ოთხ ზ ე
ჩჟუ	ჩჟ უ
დომ	დ ომ
ნოლდორები	ნოლდორ ებ ი
ბრიტანეთთან	ბრიტან ეთ თან
დანერგილი	დანერგ ილ ი
იონის	იონ ის
ერთმა	ერთ მა
თმების	თმ ებ ის
სრულფასოვანი	სრულფას ოვან ი
ცხადდებოდა	ცხად დ ებოდა
დალექვის	დალექ ვ ის
კრიტიკულ	კრიტიკ ულ
პალეონტოლოგიური	პალეონტ ოლოგი ური
განსწავლული	განსწავლ ულ ი
ჩაენაცვლებინა	ჩაე ნაცვლ ებინა
მემორიალურ	მემორი ალურ
მაიკი	მაიკ ი
ვანუატუს	ვანუ ატ უს
გამოცხადებიდან	გამოცხად ებ იდან
დაუფიქრებლად	დაუ ფიქრ ებლად
გდრ	გდ რ
კონკისტადორებმა	კონკისტადო რ ებმა
მეცნიერებებს	მეცნიერებ ებ ს
მაგნიტურ	მაგნიტ ურ
არსენალმა	არსენალ მ ა
გვერდს	გვერდ ს
სტიქიის	სტიქ ი ის
თაიფ	თა იფ
მეშლება	მე შლ ება
განჯის	განჯ ის
აღსარებისთვის	აღსარ ებ ისთვის
მოკიდება	მო კიდ ება
მუსლიმთა	მუსლიმ თ ა
ნაციონალიზმის	ნაციონალ იზმ ის
მზადების	მზად ებ ის
ქვეშა	ქვეშ ა
წაართვა	წაართვ ა
თემურიდების	თემურ იდ ების
მუსლიმი	მუსლიმ ი
შეფიცულთა	შეფიც ულ თა
ცხენებს	ცხენ ებ ს
დადებითია	დადებით ი ა
პაპა	პაპ ა
ეკოლოგიური	ეკოლოგი ურ ი
პატარ	პატ არ
მორინ	მო რინ
შარაძე	შარ აძე
არიული	არი ულ ი
ტრანსკრიპციის	ტრანსკრიპ ცი ის
შეკავება	შეკავ ებ ა
კარლს	კარლ ს
ფერმენტაციის	ფერმენტ აცი ის
ბეიფილდის	ბეი ფილდ ის
მიმდგომი	მი მდგომ ი
ნახშირწყლებს	ნახშირ წყლ ებ ს
ასოების	ასო ებ ის
ტერიტორიები	ტერიტორი ებ ი
ისიდა	ისიდ ა
ხელისუფლებაზე	ხელისუფლ ებ აზე
ნოზაძე	ნ ოზ აძე
ნაშრომებისა	ნაშრომ ების ა
საზოგადოებამ	საზოგადოებ ამ
პირიქითა	პირიქ ი თა
აკადემია	აკადემი ა
სკოლა	სკოლ ა
ბრძენის	ბრძენ ის
ქსელის	ქსელ ის
საამების	საამ ებ ის
გეომეტრიული	გეომეტრ ი ული
მოახერხებენ	მოახერხ ებ ენ
მასშტაბი	მასშტაბ ი
საკავალერიო	სა კავალერ ი ო
სივრცეა	სივრცე ა
სიამოვნება	სიამოვნებ ა
მესამემ	მესამე მ
გადაწყვეტილებებს	გადაწყვეტილ ებებს
პარაზიტია	პარაზიტ ი ა
ჰარისონმა	ჰარისონ მა
ძველთაგანვე	ძველ თაგან ვე
დარქმეული	და რქმე ული
სამეფოდან	სამეფო დ ან
მოქმედ	მოქმედ
სათეატრო	სა თეატრ ო
