იტალიასთან	იტა ლი ასთან
ბაკის	ბა კ ის
ევოლუციაში	ევოლუცი ა ში
მოხუცი	მო ხუც ი
ლუარსაბ	ლუარსაბ
შარაძე	შ არ აძე
ფორმაა	ფორმ აა
სათანადოდ	სა თანადო დ
ნიდერლანდში	ნიდერ ლანდ ში
ვეზუვის	ვ ეზუ ვის
მწვერვალი	მ წვერვალ ი
ეშვება	ე შვებ ა
პოლონური	პოლონ ურ ი
გააფთრებული	გაა ფთ რებული
გაჩერებას	გა ჩერ ებას
დევიზი	დე ვიზ ი
ასრულდა	ა სრულ და
ნაძვის	ნა ძვ ის
ირლანდიელები	ირ ლანდი ელები
სათადარიგოთა	სა თადარიგ ოთა
სულებთან	სულ ებთან
ცოლი	ცოლ ი
იწყებდნენ	ი წყებ დნენ
სიგანეში	სიგა ნე ში
სეისმურ	სე ისმ ურ
ქალაქისათვის	ქა ლაქ ისათვის
ფესვები	ფესვ ები
ტელეარხების	ტელე არხ ების
აგნოსტიკოსი	აგნოსტი კოს ი
ააფეთქეს	აა ფეთქ ეს
ანგარიშს	ანგარიშ ს
ოლივია	ოლივი ა
ატარებდა	ა ტარებ და
ანგარიშებში	ანგარიშ ებში
გავრცელებას	გა ვრცელებ ას
ბარიკადებზე	ბა რიკად ებზე
შეენარჩუნებინათ	შეე ნარჩუნ ებინათ
აბსტრაქტულ	აბსტრ აქტულ
დაინახავს	და ინახ ავს
თეორიების	თეო რი ების
ტრიბუნების	ტრი ბუნ ების
დაუჯდა	და უჯ და
რესპუბლიკელებს	რესპუბლიკ ელ ებს
ბიძაშვილზე	ბიძა შვილ ზე
გაზეთის	გა ზეთ ის
ფარულად	ფარ ულად
განრისხება	გან რისხ ება
პელეს	პე ლე ს
ერევანი	ერე ვან ი
მონად	მონ ად
ირკვევა	ი რკვევ ა
ფერწერას	ფერ წერ ას
რადიოს	რადი ო ს
ბაქოში	ბაქო ში
პარტიზანებს	პარტი ზან ებს
ყიზილბაშების	ყიზილ ბაშ ების
შენადნობის	შენადნობ ი ს
ეთიოპელი	ეთიო პ ელი
საპა	სა პ ა
ისრებით	ის რ ებით
მთვარის	მთვარ ის
პატივმოყვარე	პატივმო ყვარ ე
ბებიასთან	ბე ბი ასთან
მიღწევაში	მი ღწევ აში
პოლონეთმა	პოლონ ეთ მა
რეიგანის	რე იგან ის
არქონის	არ ქონი ს
სანქციები	სან ქცი ები
აცნობენ	ა ცნობ ენ
დაფუძნებულ	და ფუძნებ ულ
ბალთაზარ	ბალ თაზარ
ჰადესში	ჰა დესში
მეთხუთმეტე	მე თხუთმეტ ე
კულინარული	კუ ლინ არული
ბენქსი	ბენ ქს ი
გასამგზავრებლად	გასა მგზავრ ებლად
ანგარიშების	ანგარიშ ების
ნახშირორჟანგის	ნახშირორ ჟანგ ის
რუსუდან	რუს უდან
მიზანიც	მი ზან იც
დოვლათის	დოვლათ ის
ერისთავ	ერის თავ
დიაკვნად	დიაკვ ნ ად
საკონსერვო	საკონსერვ ო
ესპანურენოვან	ესპან ურ ენოვან
ამაღლებს	ა მაღლებ ს
ედიქტის	ედიქტ ის
უჯრედებზე	უჯრედ ებზე
ფრიზი	ფრი ზ ი
ტერფი	ტერ ფ ი
პიეტრო	პი ეტრ ო
ხელმძღვანელობით	ხელმძღვანელ ობ ით
მყინვარის	მ ყინვარ ის
წამოსული	წამო სულ ი
ვახტანგ	ვა ხტანგ
სისასტიკის	სისა სტიკ ის
შესაბამისი	შესა ბამის ი
აქტივობას	აქტივ ობ ას
პარმას	პარ მ ას
წვერიანი	წვერ იანი
უტრეხტის	უტრე ხტ ის
ხანგრძლივობაა	ხანგრძლ ივ ობაა
კემბრიჯში	კემბრ იჯ ში
აგილერას	აგ ილერ ას
გადასვლისას	გადა სვლ ისას
საფუძვლის	საფუძვლ ის
ციკლონური	ციკლო ნ ური
ხაზის	ხაზ ის
მხარე	მხარ ე
ოფიცრები	ოფიც რ ები
მიმდევრებს	მიმდევრ ებს
გამოშვებულ	გამო შვებ ულ
მტაცებელია	მტაცებ ელ ია
ტბის	ტბ ის
რასელმა	რას ელმა
კიროს	კი როს
მედიას	მედი ას
სოკოების	სო კო ების
შენელების	შე ნელებ ის
კვერცხების	კვერ ცხ ების
ინდოევროპული	ინდოევრო პულ ი
სტრატეგიულ	სტრატ ეგი ულ
ჰქონდათ	ჰ ქონ დათ
რამა	რამ ა
დაუმორჩილა	დაუ მორჩილ ა
ამსახველ	ა მსახველ
სტრუქტურებს	სტრუქტურ ებს
სავანაში	სავა ნ აში
ოქტომბერი	ოქტომ ბერ ი
სამმართველოს	სამ მართველ ოს
მიაღწიოს	მი აღწი ოს
ზრდასა	ზრდ ასა
ქელბაჯარის	ქელბა ჯარ ის
ეფექტით	ეფექტ ით
ნაყინი	ნა ყინ ი
სამუშაოს	სა მუშაო ს
გამოცემამდე	გამო ცემ ამდე
შრედინგერის	შრედინ გერი ს
ნორმის	ნორ მ ის
ვეზირის	ვეზირ ის
გადმოხვიდე	გადმო ხვიდ ე
თეიმურაზ	თე იმურაზ
გამოთვლები	გამო თვლ ები
განმასხვავებელ	განმა სხვავ ებელ
დაადგება	დაა დგ ება
მაგნიტუდის	მაგნიტ უდ ის
პირას	პირ ას
პროექტია	პროექტ ია
იშვიათია	იშვიათ ია
გებელსმა	გ ებელს მა
ისხდნენ	ის ხ დნენ
დიმიტრი	დი მიტრი
ეფექტს	ეფექტ ს
მოსავლიანობა	მოსავლ იანობა
რადეს	რა დ ეს
ფარგლები	ფარგლ ებ ი
გადაკეთებულია	გადა კეთ ებულია
დაითხოვა	დაი თხოვ ა
რელიგიისა	რე ლიგი ისა
შრიფტით	შრიფ ტ ით
დრამატულად	დრა მატ ულად
შეფასებული	შე ფასებ ული
ევროპელებს	ევრო პელ ებს
ჯავახეთი	ჯავახ ეთ ი
განდეგილი	გან დეგ ილი
თხემურ	თხ ემ ურ
კონტაქტში	კონტაქტ ში
მოთამაშედ	მო თამაშე დ
მაღალმთის	მაღალ მთ ის
დანიშნულმა	და ნიშნულ მა
პარაგვაი	პარა გვა ი
სინგლში	ს ინგლ ში
სრულუფლებიანი	სრულ უფლებიან ი
მოჭრილ	მო ჭრილ
გადაქცეულია	გადა ქცეულ ია
ასწიოს	ა სწი ოს
ჩადენსისის	ჩა დენ სისის
არხით	არხ ით
წესია	წეს ია
ვატიკანის	ვა ტიკან ის
ზოროასტრიზმის	ზ ოროასტრიზმ ის
ვაკანტური	ვა კ ანტური
გამდინარე	გა მდინარე
ლაღი	ლა ღ ი
ცოდვათა	ცოდვ ათა
დასტურდება	დასტურ დება
სოფლებისა	სოფლ ებისა
შედეგი	შე დეგ ი
მტირალა	მტი რალ ა
აეხსნა	აე ხსნ ა
ოტავა	ოტ ავ ა
რქებს	რქ ებს
მოხალისედ	მო ხალისე დ
ხალიჩების	ხალი ჩ ების
კიდურწაისრული	კიდურწა ისრ ული
ქულები	ქუ ლ ები
ანდერსონთან	ანდერ სონ თან
მკლავში	მკლავ ში
მსმენელებს	მსმენ ელ ებს
დანიშნოს	და ნიშნ ოს
ლტოლვილების	ლტოლ ვილ ების
ორსულ	ორ სულ
შესატყვისი	შე სატყვის ი
შვედეთისა	შვედე თ ისა
მოწინააღმდეგესთან	მო წინააღმდეგ ესთან
დასჯით	დას ჯ ით
ჰუმანიზმი	ჰუ მან იზმი
ზონდი	ზო ნდ ი
დენიელ	დე ნიელ
ბურთისთვის	ბურთ ისთვის
გამოაგზავნა	გამოა გზავნ ა
გარნიეს	გარ ნი ეს
დაარწმუნეს	დაა რწმუნ ეს
გააგზავნეს	გაა გზავნ ეს
ბებიას	ბე ბი ას
დაიბრუნებდა	დაი ბრუნ ებდა
ჟორჟი	ჟორ ჟ ი
კოდით	კო დ ით
წარმოსახვითი	წარმო სახვ ითი
ნმ	ნმ
გაუპატიურების	გაუ პატიურებ ის
ფრენენ	ფრენ ენ
მკვლელობისთვის	მკვლე ლობ ისთვის
რისკის	რის კ ის
ჩნდებოდნენ	ჩნდ ებოდნენ
სექტემბერში	სექტ ემბერ ში
მრუდე	მრუდ ე
მარხილის	მარხ ილის
გაურბიან	გაუ რბ იან
წუთებზე	წუ თ ებზე
აღსადგენად	აღსა დგენ ად
პრობლემებია	პრობლე მ ებია
გორილას	გო რილ ას
კაიზერის	კა იზერ ის
პლატინის	პლატ ინ ის
მოსარწყავად	მოსა რწყავ ად
ნიშა	ნი შ ა
პროცენტულად	პროცე ნტ ულად
იფანტება	ი ფანტ ება
სისტემებთან	სისტემ ებთან
ათენას	ა თენ ას
ავსტრალია	ავსტრა ლი ა
ოშოს	ოშ ოს
ეთიკურ	ეთ იკ ურ
საწარმოებლად	სა წარმო ებლად
გადაადგილდა	გადა ადგილდ ა
მიზანია	მი ზან ია
ხევისბერი	ხევის ბერ ი
მარცვლის	მარ ცვლ ის
ყოველივე	ყოველ ივე
ფერგიუსონმა	ფერ გიუსონ მა
შემოქმედებაშიც	შემო ქმედებ აშიც
მოასწრებს	მოა სწრ ებს
მინარეთი	მი ნარეთ ი
რუსეთისთვის	რუს ეთ ისთვის
პროტექტორატის	პრო ტექტორა ტის
საინიციატივო	საინიცია ტივ ო
ცვივა	ცვ ივ ა
საკმეტოში	სა კმეტ ოში
განმარტოებულ	განმარტ ო ებულ
გეოლოგიას	გე ოლოგი ას
ხელისუფლებაში	ხელისუფლებ აში
ეტიუდი	ე ტიუდ ი
პალიასტომის	პალია სტო მის
უბერავს	უ ბერ ავს
წყალსატევის	წყალსა ტევ ის
თბილელის	თბილ ელის
ღვთისმშობელმა	ღვთისმ შობ ელმა
ეპოქას	ეპ ოქ ას
გამოუცხადეს	გამოუ ცხად ეს
მოსახერხებელია	მოსა ხერხ ებელია
დატვირთულია	და ტვირთულ ია
ქრისტეშობამდე	ქრისტ ეშ ობამდე
მილიონად	მი ლიონ ად
ამოვსებული	ამო ვსებ ული
ლამა	ლა მა
პოლიტიკამ	პოლიტიკ ამ
სამართალი	სამართ ალ ი
მოსამსახურეთა	მოსა მსახურ ეთა
მინდვრები	მინდვრ ები
შენდებოდა	შე ნ დებოდა
მიწერილ	მი წერილ
უკანასკნელს	უკანა სკნელ ს
რხევას	რ ხევ ას
ცენზორის	ცენზ ორ ის
კატისებრთა	კატ ისებრთა
დასაშვებ	დასა შვებ
იასონი	ი ასონ ი
მაღალი	მა ღალ ი
დაარწმუნებს	დაა რწმუნ ებს
განლაგების	გან ლაგ ების
წინაპრებისგან	წინა პრ ებისგან
ციური	ცი ური
გადახდების	გადა ხდ ების
პრევალი	პრე ვალ ი
მარჯიელა	მარ ჯიელ ა
უტოპიურ	უ ტოპი ურ
უჯრედები	უჯრედ ები
დაუმატეს	დაუ მატ ეს
გერმანელის	გერმან ელ ის
ფოთლოვან	ფოთლ ოვან
კალთებიდან	კალ თ ებიდან
კათოლიკოსი	კათოლიკოს ი
ცეცხლსასროლ	ცეცხლსა სროლ
ჭყონდიდელის	ჭ ყონდიდ ელის
ხიმშიაშვილი	ხიმ ში აშვილი
ნაშთებიც	ნაშთ ებიც
მცხეთაში	მც ხეთ აში
წმინდანების	წ მინდან ების
მადაგასკარი	მადაგა სკარ ი
სექსუალობის	სექსუალ ობის
დარტყმების	და რტყმ ების
საკოლმეურნეო	სა კოლ მეურნეო
ოლიმპოს	ოლიმპ ო ს
შავკანიანები	შავ კანიან ები
შეასრულებს	შეა სრულ ებს
რავენაში	რა ვენ აში
მყინვარია	მ ყინვარ ია
კანგალი	კანგა ლი
იგერიებდნენ	ი გერი ებდნენ
ექსპლოატაციის	ექსპლო ატაცი ის
მდინარეებს	მდინარე ებს
სამახსოვრო	სა მახსოვრ ო
შეიარაღების	შე იარაღ ების
ცენტრიც	ცენტრ იც
სკოლაა	ს კოლ აა
მქონეა	მ ქონ ეა
ვიგებთ	ვი გებ თ
მორფოლოგიური	მორფ ოლოგი ური
თურქების	თურქ ების
მეთაურობის	მე თაურ ობის
მწყემსი	მწყ ემს ი
საყრდენ	საყრდენ
სხვადახვა	სხვადა ხვ ა
მონარქი	მონ არქი
კირილეს	კირ ილ ეს
გეტო	გე ტო
წინამორბედთან	წინამორ ბედ თან
ჯულიეტა	ჯული ეტ ა
პლანეტად	პლანეტ ად
ჰემში	ჰემ ში
აგრძელებს	ა გრძელებ ს
აქვეა	ა ქვე ა
კილომეტრია	კილო მეტრ ია
აცვიათ	ა ცვ იათ
ეწეოდა	ეწეო და
არქანჯელო	არქ ანჯელო
საგები	სა გებ ი
წარმოიდგინე	წარმოი დგინ ე
იუანის	იუ ან ის
ერთპიროვნული	ერთ პიროვნ ული
რუმინული	რუ მინ ული
ჯგუფთა	ჯგუფ თა
ტურნირებზე	ტურნირ ებზე
შევსებული	შე ვსებ ული
კლდიდან	კლ დი დან
ქვიან	ქვ იან
შემოზღუდული	შემო ზღუდულ ი
ფეროშენადნობთა	ფეროშენადნობ თ ა
აბსოლუტიზმი	ა ბსოლუტ იზმი
ალყამ	ალ ყ ამ
ყოფილმა	ყოფილ მა
ეგზისტენციალურ	ეგზისტენციალ ურ
გაერო	გაე რო
გათამაშებიდან	გა თამაშ ებიდან
მაროკოს	მარ ოკო ს
პრემიერი	პრემიერ ი
ლიცენზიით	ლი ცენზი ით
შტატებში	შტ ატ ებში
ყრილობებს	ყ რილობ ებს
ექმნება	ექმნ ება
ირჩევდა	ი რჩევ და
ზბიგნევი	ზბიგნ ევ ი
უკრაინელები	უკ რაინ ელები
კავშირებით	კავშირ ებით
კონსოლების	კონ სოლ ების
მშიერი	მ შიერ ი
ღელვის	ღელვ ის
საცეცხლე	სა ცეცხლ ე
მხარეებზე	მხარ ე ებზე
კოპერი	კო პერ ი
ლიცენზიის	ლი ცენზი ის
დასასჯელად	დასა სჯელ ად
ოკეანეებში	ოკეან ე ებში
პიროვნებები	პირო ვნებ ები
პოულობდა	პო ულობ და
დაამონტაჟეს	დაა მონტაჟ ეს
სკანირება	სკან ირება
მკვლელი	მკვლელ ი
ემაგრება	ე მაგრ ება
ვახტანგი	ვა ხტანგ ი
თვალნათლივ	თვალნ ათლივ
ოდნავი	ოდნ ავ ი
გლობუსზე	გლო ბუს ზე
საგლეხო	სა გლეხ ო
ჟღენტი	ჟღ ენტ ი
მამაკაცური	მამა კაც ური
კვირეული	კვირ ეული
სვიტრი	სვი ტრ ი
ნოველების	ნო ველ ების
გეიმის	გე იმ ის
ზეახალი	ზე ახალ ი
ალპინისტთა	ალ პინ ისტთა
ხელშეკრულებაში	ხელშე კრულ ებაში
შუბისპირები	შ უბ ისპირები
გოლგოთის	გოლ გოთ ის
მემკვიდრეობისა	მემკვიდრეობ ი სა
თარგმანს	თარგ მან ს
მოუნდა	მო უნ და
ჩეხი	ჩე ხ ი
კიტი	კიტ ი
კრება	კრებ ა
ამჟამინდელ	ა მჟამინდელ
მართალ	მართ ალ
დარტყმით	და რტყმ ით
ფორმებისა	ფორმ ებისა
ახსნა	ა ხსნ ა
კანონზომიერება	კანონ ზომიერ ება
დადაბლებული	დადა ბლ ებული
ფირის	ფ ირ ის
ქიქოძის	ქიქო ძ ის
ჩართვას	ჩა რთვ ას
ვაჭარი	ვა ჭარ ი
წონაა	წონ აა
აგილერამ	აგ ილერ ამ
ენერგიების	ენერგი ების
ფტორიდი	ფ ტორი დი
ეკოლოგიურად	ეკ ოლოგი ურად
პატიმრებს	პატიმრ ებს
დოქტრინა	დო ქტრინ ა
დააზიანა	დაა ზიან ა
მოკლავდა	მო კლავ და
ორეგონის	ორ ეგონ ის
დამთავრდება	და მთავრ დება
მოძრაობასთან	მოძრა ობ ასთან
ნიკეაში	ნი კე აში
კოსმოსური	კოსმო სურ ი
კამპუსი	კამ პუს ი
ამჰერსტში	ა მჰერსტ ში
დუბაი	დუბაი
აღმოჩენაა	აღმო ჩენ აა
დაისაჯნენ	დაი საჯ ნენ
გარეკანი	გარე კან ი
შემკული	შემ კულ ი
ევოლუციურად	ევოლუცი ურ ად
ტანკების	ტან კ ების
მაისი	მა ის ი
კიშინიოვის	კი შინი ოვის
ღატაკი	ღატაკ ი
წამოუღია	წამო უღ ია
მასალაც	მას ალ აც
აჩვენებდა	ა ჩვენებ და
ჰეზბოლამ	ჰე ზბოლ ამ
იგრძნობოდა	ი გრძნობ ოდა
ტემპერატურაზე	ტემპერატურ აზე
ნაკადული	ნა კად ული
გასულიყვნენ	გა სულ იყვნენ
ასისტენტად	ას ისტენტ ად
ტორონტო	ტორ ონტო
წილის	წილ ის
კრიტიკის	კრიტიკ ის
განმსჭვალული	გან მსჭვალულ ი
დამფუძნებლები	დამ ფუძნებ ლები
ლაზთა	ლა ზ თა
მხოლოს	მხოლ ოს
ოცნებაა	ოცნებ აა
პიანისტის	პიან ისტ ის
მოპყრობა	მო პყრობ ა
ამბიციები	ამბ იცი ები
უჩვეულოდ	უ ჩვეულ ოდ
ექნებოდა	ე ქნებ ოდა
მიუსაჯა	მიუ საჯ ა
ნორმანული	ნორ მან ული
განმარტება	განმარტ ებ ა
გააქვს	გა აქვ ს
ელამი	ე ლამ ი
ძვირფასია	ძვირფას ია
თავსართები	თავსა რთ ები
გავედი	გა ვედ ი
კანკელი	კანკე ლი
ფიცით	ფიც ით
აგზავნიან	ა გზავნ იან
რაინის	რა ინ ის
ჰაბილისს	ჰა ბილის ს
კრებულში	კრე ბულ ში
დაეთმოთ	და ეთმ ოთ
მოძრაობიდან	მოძრა ობ იდან
დისკზე	დის კ ზე
გოთიკის	გოთ იკის
მელბურნში	მელბურ ნ ში
კანონის	კანონ ის
მოციქულთა	მოციქულ თა
ჰუდის	ჰუ დ ის
ბორუსია	ბო რუს ია
სიგრძისა	სი გრძ ისა
საბუთის	საბუთ ის
გაწყდა	გა წყდ ა
აიღებს	ა იღ ებს
იმედგაცრუებული	იმედგა ცრუ ებული
მამფალი	მამ ფალ ი
ამინდი	ამი ნდ ი
იზრდებიან	ი ზრდ ებიან
ბეჭედს	ბე ჭედ ს
არქიტექტორი	არქიტექ ტორ ი
უნებლიე	უნებლი ე
გრაფების	გრაფ ების
სიბრმავე	სი ბრმავ ე
მატერიალების	მატერიალ ების
ლოდები	ლო დ ები
ვოკალისტ	ვოკ ალისტ
სესხის	სესხ ის
სოლისტია	სო ლისტ ია
დოჟის	დო ჟ ის
