იტალიასთან	ი ტალი ასთან
რონდელი	რო ნდ ელი
კავკასიელ	კავკასი ელ
ბაკის	ბა კ ის
ევოლუციაში	ევ ოლუცი აში
მოხუცი	მო ხუც ი
ლუარსაბ	ლუარს აბ
შარაძე	შარ აძე
ფორმაა	ფორმ აა
სათანადოდ	სათანა დო დ
ნიდერლანდში	ნიდერ ლანდ ში
ვეზუვის	ვეზუ ვ ის
მწვერვალი	მწვერ ვალ ი
ეშვება	ე შვ ება
პოლონური	პოლ ონ ური
გააფთრებული	გააფ თრ ებული
გაჩერებას	გა ჩერ ებას
დევიზი	დე ვიზი
ასრულდა	ა სრულ და
ნაძვის	ნაძ ვ ის
ირლანდიელები	ირ ლანდიელ ები
სათადარიგოთა	სათადა რიგო თა
სულებთან	ს ულ ებთან
ცოლი	ცოლ ი
იწყებდნენ	იწყ ებდნენ
სიგანეში	სი განე ში
სეისმურ	სეისმ ურ
ქალაქისათვის	ქალაქ ისათვის
ფესვები	ფესვ ები
ტელეარხების	ტელე არხ ების
აგნოსტიკოსი	აგნოსტ იკო სი
ააფეთქეს	აა ფეთქ ეს
ანგარიშს	ანგარიშ ს
ოლივია	ოლი ვი ა
ატარებდა	ა ტარ ებდა
ანგარიშებში	ანგარიშ ებში
გავრცელებას	გა ვრცელ ებას
ბარიკადებზე	ბარ იკ ადებზე
შეენარჩუნებინათ	შეე ნარჩუნ ებინათ
აბსტრაქტულ	აბსტრაქტ ულ
დაინახავს	დაი ნახ ავს
თეორიების	თეო რი ების
ტრიბუნების	ტრიბუ ნ ების
დაუჯდა	და უჯ და
რესპუბლიკელებს	რესპუბლი კელ ებს
ბიძაშვილზე	ბიძ აშვილ ზე
გაზეთის	გაზ ეთ ის
ფარულად	ფარ ულად
განრისხება	განრის ხ ება
პელეს	პე ლე ს
ერევანი	ერე ვან ი
მონად	მონ ად
ირკვევა	ი რკვევ ა
ფერწერას	ფერ წერ ას
რადიოს	რა დიო ს
ბაქოში	ბაქ ო ში
პარტიზანებს	პარტი ზან ებს
ყიზილბაშების	ყიზილ ბაშ ების
შენადნობის	შენადნობ ის
ეთიოპელი	ეთიოპ ელი
საპა	სა პ ა
ისრებით	ის რ ებით
მთვარის	მთვარ ის
პატივმოყვარე	პატი ვ მოყვარე
ბებიასთან	ბ ები ასთან
მიღწევაში	მი ღწევ აში
პოლონეთმა	პოლო ნეთ მა
რეიგანის	რე იგან ის
არქონის	არქ ონის
სანქციები	სან ქცი ები
აცნობენ	ა ცნობ ენ
დაფუძნებულ	და ფუძნ ებულ
ბალთაზარ	ბალ თა ზარ
ჰადესში	ჰად ესში
მეთხუთმეტე	მე თხუთმეტ ე
კულინარული	კულინარ ულ ი
ბენქსი	ბენ ქს ი
გასამგზავრებლად	გასა მგზავრ ებლად
ანგარიშების	ანგარიშ ების
ნახშირორჟანგის	ნახშირორ ჟანგ ის
რუსუდან	რუსუ დან
მიზანიც	მი ზან იც
დოვლათის	დოვ ლათ ის
ერისთავ	ერისთავ
დიაკვნად	დიაკვ ნ ად
საკონსერვო	სა კონსერვ ო
ესპანურენოვან	ესპან ურ ენოვან
ამაღლებს	ა მაღლ ებს
ედიქტის	ედიქტ ის
უჯრედებზე	უჯრედ ებ ზე
ფრიზი	ფრი ზ ი
ტერფი	ტერ ფ ი
პიეტრო	პი ე ტრო
ხელმძღვანელობით	ხელმძღვანელ ობით
მყინვარის	მყინვარ ის
წამოსული	წამო სულ ი
ვახტანგ	ვახტ ანგ
სისასტიკის	სისას ტიკ ის
შესაბამისი	შე საბამ ისი
აქტივობას	აქტივ ობ ას
პარმას	პარ მ ას
წვერიანი	წვ ერ იანი
უტრეხტის	უტრე ხ ტის
ხანგრძლივობაა	ხანგრძლივ ობაა
კემბრიჯში	კემბრ იჯ ში
აგილერას	აგილ ერა ს
გადასვლისას	გადა სვლ ისას
საფუძვლის	საფუძ ვლ ის
ციკლონური	ციკლო ნ ური
ხაზის	ხაზ ის
მხარე	მხარე
ოფიცრები	ოფიც რ ები
მიმდევრებს	მიმდევრ ებს
გამოშვებულ	გამო შვ ებულ
მტაცებელია	მტაც ებელ ია
ტბის	ტ ბ ის
რასელმა	რას ელ მა
კიროს	კირ ოს
მედიას	მედი ას
სოკოების	სო კო ების
შენელების	შე ნელ ების
კვერცხების	კვერცხ ების
ინდოევროპული	ინდო ევროპ ული
სტრატეგიულ	სტრატ ეგი ულ
ჰქონდათ	ჰქონ დ ათ
რამა	რამ ა
დაუმორჩილა	დაუ მორჩილ ა
ამსახველ	ამ სახვ ელ
სტრუქტურებს	სტრუქტურ ებს
სავანაში	სა ვან აში
ოქტომბერი	ოქტომ ბერ ი
სამმართველოს	სამმართველ ო ს
მიაღწიოს	მი აღწი ოს
ზრდასა	ზრდ ასა
ქელბაჯარის	ქელბა ჯარ ის
ეფექტით	ეფექტ ით
ნაყინი	ნა ყინ ი
სამუშაოს	სამუშა ო ს
გამოცემამდე	გამო ცემ ამდე
შრედინგერის	შ რე დინგერის
ნორმის	ნორმ ის
ვეზირის	ვე ზირ ის
გადმოხვიდე	გადმო ხვ იდე
თეიმურაზ	თეიმუ რაზ
გამოთვლები	გამო თვლ ები
განმასხვავებელ	განმასხვავ ებელ
დაადგება	დაა დგ ება
მაგნიტუდის	მაგნიტ უდ ის
პირას	პირ ას
პროექტია	პროექტ ია
იშვიათია	იშვიათ ია
გებელსმა	გებ ელს მა
ისხდნენ	ი სხ დნენ
დიმიტრი	დიმი ტრი
ეფექტს	ეფექტ ს
მოსავლიანობა	მოსავლ იანობ ა
რადეს	რა დეს
ფარგლები	ფარგლ ები
გადაკეთებულია	გადა კეთ ებულია
დაითხოვა	დაი თხოვ ა
რელიგიისა	რელი გი ისა
შრიფტით	შრი ფტ ით
დრამატულად	დრამატუ ლ ად
შეფასებული	შე ფასებ ული
ევროპელებს	ევრო პელ ებს
ჯავახეთი	ჯავახ ეთ ი
განდეგილი	გან დეგ ილი
თხემურ	თხ ემ ურ
კონტაქტში	კონტაქტ ში
მოთამაშედ	მოთამაშ ე დ
მაღალმთის	მაღალ მთის
დანიშნულმა	და ნიშნულ მა
პარაგვაი	პარა გვა ი
სინგლში	სინ გლ ში
სრულუფლებიანი	სრულ უფლებ იანი
მოჭრილ	მო ჭრილ
გადაქცეულია	გადა ქცეულ ია
ასწიოს	ას წი ოს
ჩადენსისის	ჩა დენ სისის
არხით	არხ ით
წესია	წეს ია
ვატიკანის	ვატიკ ან ის
ზოროასტრიზმის	ზო რო ასტრიზმის
ვაკანტური	ვა კან ტური
გამდინარე	გა მდინარე
ლაღი	ლ აღ ი
ცოდვათა	ცოდ ვ ათა
დასტურდება	დასტურ დება
სოფლებისა	სოფლ ებ ისა
შედეგი	შე დეგ ი
მტირალა	მ ტირ ალა
აეხსნა	აე ხსნ ა
ოტავა	ო ტავ ა
რქებს	რქ ებს
მოხალისედ	მოხალი სე დ
ხალიჩების	ხალი ჩ ების
კიდურწაისრული	კიდ ურ წაისრული
ქულები	ქ ულ ები
ანდერსონთან	ანდერ სონ თან
მკლავში	მკლავ ში
მსმენელებს	მსმენ ელ ებს
დანიშნოს	და ნიშნ ოს
ლტოლვილების	ლტოლვი ლ ების
ორსულ	ორ სულ
შესატყვისი	შესა ტყვ ისი
შვედეთისა	შვედ ეთ ისა
მოწინააღმდეგესთან	მოწინააღმდეგ ე სთან
დასჯით	დას ჯ ით
ჰუმანიზმი	ჰუ მან იზმი
ზონდი	ზონ დ ი
დენიელ	დენ იელ
ბურთისთვის	ბურთ ისთვის
გამოაგზავნა	გამოა გზავნ ა
გარნიეს	გარ ნი ეს
დაარწმუნეს	დაა რწმუნ ეს
გააგზავნეს	გაა გზავნ ეს
ბებიას	ბ ები ას
დაიბრუნებდა	დაი ბრუნ ებდა
ჟორჟი	ჟორ ჟ ი
კოდით	კ ოდ ით
წარმოსახვითი	წარმო სახვ ითი
ნმ	ნმ
გაუპატიურების	გაუპატი ურ ების
ფრენენ	ფრე ნენ
მკვლელობისთვის	მკვლელობ ისთვის
რისკის	რის კ ის
ჩნდებოდნენ	ჩნდ ებ ოდნენ
სექტემბერში	სექტ ემბერ ში
მრუდე	მრუდ ე
მარხილის	მარ ხილ ის
გაურბიან	გაუ რბ იან
წუთებზე	წ უთ ებზე
აღსადგენად	აღსა დგენ ად
პრობლემებია	პრობლე მ ებია
გორილას	გორ ილ ას
კაიზერის	კაიზე რ ის
პლატინის	პლატ ინ ის
მოსარწყავად	მოსა რწყავ ად
ნიშა	ნ იშ ა
პროცენტულად	პრო ცენტ ულად
იფანტება	ი ფანტ ება
სისტემებთან	სისტემ ებთან
ათენას	ა თენ ას
ავსტრალია	ავსტრა ლი ა
ოშოს	ოშ ოს
ეთიკურ	ეთ იკ ურ
საწარმოებლად	საწარ მო ებლად
გადაადგილდა	გადა ადგილ და
მიზანია	მი ზან ია
ხევისბერი	ხევის ბერ ი
მარცვლის	მარცვლ ის
ყოველივე	ყოველ ივე
ფერგიუსონმა	ფერგიუ სონ მა
შემოქმედებაშიც	შე მოქმედებ აშიც
მოასწრებს	მოა სწრ ებს
მინარეთი	მინარ ეთ ი
რუსეთისთვის	რუს ეთ ისთვის
პროტექტორატის	პროტექტორ ატ ის
საინიციატივო	სა ინიციატივ ო
ცვივა	ც ვივა
საკმეტოში	საკ მეტ ოში
განმარტოებულ	გან მარტო ებულ
გეოლოგიას	გეო ლოგი ას
ხელისუფლებაში	ხელის უფლ ებაში
ეტიუდი	ეტი უდ ი
პალიასტომის	პალიას ტომ ის
უბერავს	უ ბერ ავს
წყალსატევის	წყალსა ტევ ის
თბილელის	თბილ ელ ის
ღვთისმშობელმა	ღვთისმშობ ელ მა
ეპოქას	ეპ ოქ ას
გამოუცხადეს	გამოუ ცხად ეს
მოსახერხებელია	მოსახერხ ებელ ია
დატვირთულია	დატვირთ ულ ია
ქრისტეშობამდე	ქრისტ ე შობამდე
მილიონად	მი ლიონ ად
ამოვსებული	ამოვს ებულ ი
ლამა	ლამ ა
პოლიტიკამ	პოლიტ იკ ამ
სამართალი	სამართ ალ ი
მოსამსახურეთა	მოსა მსახურ ეთა
მინდვრები	მინდ ვრ ები
შენდებოდა	შენ დებოდა
მიწერილ	მი წერილ
უკანასკნელს	უკანასკ ნელ ს
რხევას	რ ხევ ას
ცენზორის	ცენზ ორ ის
კატისებრთა	კატ ისებრთა
დასაშვებ	დასა შვ ებ
იასონი	იას ონ ი
მაღალი	მაღალ ი
დაარწმუნებს	დაა რწმუნ ებს
განლაგების	გან ლაგ ების
წინაპრებისგან	წინა პრ ებისგან
ციური	ცი ური
გადახდების	გადა ხდ ების
პრევალი	პრე ვალ ი
მარჯიელა	მარ ჯი ელა
უტოპიურ	უტოპი ურ
უჯრედები	უჯრედ ებ ი
დაუმატეს	დაუ მატ ეს
გერმანელის	გერმან ელ ის
ფოთლოვან	ფოთლოვან
კალთებიდან	კალ თ ებიდან
კათოლიკოსი	კათოლიკოს ი
ცეცხლსასროლ	ცეცხლსა სროლ
ჭყონდიდელის	ჭყონ დიდ ელის
ხიმშიაშვილი	ხიმში აშვილ ი
ნაშთებიც	ნაშთ ებიც
მცხეთაში	მც ხეთ აში
წმინდანების	წმინდ ან ების
მადაგასკარი	მადაგას კარ ი
სექსუალობის	სექსუა ლობ ის
დარტყმების	და რტყმ ების
საკოლმეურნეო	საკოლ მეურნე ო
ოლიმპოს	ოლიმპ ოს
შავკანიანები	შავკან იან ები
შეასრულებს	შეა სრულ ებს
რავენაში	რ ავენ აში
მყინვარია	მყინვარ ია
კანგალი	კან გალი
იგერიებდნენ	ი გერი ებდნენ
ექსპლოატაციის	ექსპლოა ტაც იის
მდინარეებს	მდინარე ებ ს
სამახსოვრო	სა მახსოვრ ო
შეიარაღების	შე იარაღ ების
ცენტრიც	ცენტრ იც
სკოლაა	ს კოლ აა
მქონეა	მ ქონ ეა
ვიგებთ	ვი გ ებთ
მორფოლოგიური	მორფ ოლოგი ური
თურქების	თურქ ების
მეთაურობის	მეთაურ ობ ის
მწყემსი	მწყემ ს ი
საყრდენ	სა ყრდენ
სხვადახვა	სხვადა ხვ ა
მონარქი	მონ არქი
კირილეს	კი რილ ეს
გეტო	გეტ ო
წინამორბედთან	წინამორ ბედ თან
ჯულიეტა	ჯული ეტ ა
პლანეტად	პლანეტ ად
ჰემში	ჰემ ში
აგრძელებს	ა გრძელებ ს
აქვეა	ა ქვე ა
კილომეტრია	კილო მეტრ ია
აცვიათ	ა ცვ იათ
ეწეოდა	ეწ ე ოდა
არქანჯელო	არქ ანჯელო
საგები	სა გ ები
წარმოიდგინე	წარმოი დგინ ე
იუანის	იუ ან ის
ერთპიროვნული	ერთ პიროვნულ ი
რუმინული	რუმინ ულ ი
ჯგუფთა	ჯგუფ თა
ტურნირებზე	ტურნირ ებზე
შევსებული	შე ვს ებული
კლდიდან	კლდ იდან
ქვიან	ქვ იან
შემოზღუდული	შემოზღუდ ული
ფეროშენადნობთა	ფერო შენადნობ თა
აბსოლუტიზმი	აბსოლუტ იზმ ი
ალყამ	ალ ყ ამ
ყოფილმა	ყოფილ მა
ეგზისტენციალურ	ეგზისტენ ც იალურ
გაერო	გაე რო
გათამაშებიდან	გა თამაშ ებიდან
მაროკოს	მარ ოკ ოს
პრემიერი	პრემიერ ი
ლიცენზიით	ლი ცენზი ით
შტატებში	შ ტატ ებში
ყრილობებს	ყრილ ობ ებს
ექმნება	ე ქმნ ება
ირჩევდა	ი რჩევ და
ზბიგნევი	ზბი გნ ევი
უკრაინელები	უკრაი ნელ ები
კავშირებით	კავშირ ებით
კონსოლების	კონს ოლ ების
მშიერი	მ შ იერი
ღელვის	ღელვ ის
საცეცხლე	სა ცეცხლ ე
მხარეებზე	მხარე ებზე
კოპერი	კო პერი
ლიცენზიის	ლი ცენზი ის
დასასჯელად	დასა სჯელ ად
ოკეანეებში	ოკეან ე ებში
პიროვნებები	პიროვნ ებ ები
პოულობდა	პო ულობ და
დაამონტაჟეს	დაა მონტაჟ ეს
სკანირება	ს კან ირება
მკვლელი	მკვლე ლ ი
ემაგრება	ე მაგრ ება
ვახტანგი	ვახტ ანგ ი
თვალნათლივ	თვალ ნათ ლივ
ოდნავი	ოდ ნავ ი
გლობუსზე	გლო ბუს ზე
საგლეხო	სა გლეხ ო
ჟღენტი	ჟღ ენტ ი
მამაკაცური	მამა კაც ური
კვირეული	კვირ ეული
სვიტრი	ს ვიტ რი
ნოველების	ნოვ ელ ების
გეიმის	გე იმ ის
ზეახალი	ზე ახალ ი
ალპინისტთა	ალ პინ ისტთა
ხელშეკრულებაში	ხელ შეკრულ ებაში
შუბისპირები	შ უბ ისპირები
გოლგოთის	გოლ გოთ ის
მემკვიდრეობისა	მემკვიდრე ობ ისა
თარგმანს	თარგ მან ს
მოუნდა	მო უნდ ა
ჩეხი	ჩეხ ი
კიტი	კ იტ ი
კრება	კრებ ა
ამჟამინდელ	ამ ჟამინდელ
მართალ	მართ ალ
დარტყმით	და რტყმ ით
ფორმებისა	ფორმ ებისა
ახსნა	ა ხსნ ა
კანონზომიერება	კანონ ზომიერ ება
დადაბლებული	დადა ბლ ებული
ფირის	ფირ ის
ქიქოძის	ქიქო ძ ის
ჩართვას	ჩა რთვ ას
ვაჭარი	ვა ჭარ ი
წონაა	წონ აა
აგილერამ	აგილ ერა მ
ენერგიების	ენერგ ი ების
ფტორიდი	ფ ტორი დი
ეკოლოგიურად	ეკო ლოგი ურად
პატიმრებს	პატიმრ ებს
დოქტრინა	დოქტრ ინ ა
დააზიანა	დაა ზიან ა
მოკლავდა	მო კლავ და
ორეგონის	ორე გონ ის
დამთავრდება	და მთავრ დება
მოძრაობასთან	მოძრაო ბ ასთან
ნიკეაში	ნ იკე აში
კოსმოსური	კოსმ ოს ური
კამპუსი	კამ პუს ი
ამჰერსტში	ამჰერ ს ტში
დუბაი	დუბაი
აღმოჩენაა	აღმო ჩენ აა
დაისაჯნენ	დაისა ჯ ნენ
გარეკანი	გარე კან ი
შემკული	შემ კულ ი
ევოლუციურად	ევ ოლუცი ურად
ტანკების	ტან კ ების
მაისი	მა ის ი
კიშინიოვის	კიში ნი ოვის
ღატაკი	ღა ტაკ ი
წამოუღია	წამო უღ ია
მასალაც	მას ალ აც
აჩვენებდა	ა ჩვენებ და
ჰეზბოლამ	ჰეზბოლ ა მ
იგრძნობოდა	ი გრძნობ ოდა
ტემპერატურაზე	ტემპერა ტურ აზე
ნაკადული	ნაკ ად ული
გასულიყვნენ	გა სულ იყვნენ
ასისტენტად	ასისტ ენტ ად
ტორონტო	ტორონ ტო
წილის	წი ლ ის
კრიტიკის	კრიტიკ ის
განმსჭვალული	გან მსჭვალ ული
დამფუძნებლები	დამფუძნე ბლ ები
ლაზთა	ლა ზ თა
მხოლოს	მხ ოლ ოს
ოცნებაა	ოც ნებ აა
პიანისტის	პიან ისტ ის
მოპყრობა	მო პყრობ ა
ამბიციები	ამბ იცი ები
უჩვეულოდ	უ ჩვეულ ოდ
ექნებოდა	ექ ნებ ოდა
მიუსაჯა	მიუსა ჯ ა
ნორმანული	ნორმა ნ ული
განმარტება	გან მარტ ება
გააქვს	გა აქვ ს
ელამი	ელ ამ ი
ძვირფასია	ძვირფას ია
თავსართები	თავსა რთ ები
გავედი	გა ვედ ი
კანკელი	კან კელ ი
ფიცით	ფიც ით
აგზავნიან	ა გზავნ იან
რაინის	რა ინ ის
ჰაბილისს	ჰაბილი ს ს
კრებულში	კრებულ ში
დაეთმოთ	და ეთ მოთ
მოძრაობიდან	მოძრაო ბ იდან
დისკზე	დისკ ზე
გოთიკის	გო თ იკის
მელბურნში	მელბურ ნ ში
კანონის	კან ონ ის
მოციქულთა	მოციქულ თა
ჰუდის	ჰ უდ ის
ბორუსია	ბორ უს ია
სიგრძისა	სი გრძ ისა
საბუთის	საბუთ ის
გაწყდა	გა წყ და
აიღებს	ა იღ ებს
იმედგაცრუებული	იმედგა ცრუ ებული
მამფალი	მა მ ფალი
ამინდი	ა მინდ ი
იზრდებიან	ი ზრდ ებიან
ბეჭედს	ბე ჭედ ს
არქიტექტორი	არქიტექტ ორ ი
უნებლიე	უნებლი ე
გრაფების	გრაფ ების
სიბრმავე	სი ბრმავ ე
მატერიალების	მატერიალ ების
ლოდები	ლ ოდ ები
ვოკალისტ	ვოკ ალისტ
სესხის	სესხ ის
